Time,Temperature_HBM,Temperature_FPGA
-2,0,-30.3611
-1.5,0,-31.216
-1,0,-29.4752
-0.5,0,-30.501
0,0,-29.8793
0.5,0,-30.0658
1,0,-31.2626
1.5,0,-29.8482
2,0,-29.3508
2.5,0,-29.3819
3,0,-29.9415
3.5,0,-29.5218
4,0,-30.0658
4.5,0,-29.9259
5,0,-30.1124
5.5,0,-29.5684
6,0,-30.6409
6.5,0,-28.9933
7,0,-30.2523
7.5,0,-29.4596
8,0,-29.3197
8.5,0,-29.2731
9,0,-30.501
9.5,0,-29.4285
10,0,-29.5373
10.5,0,-29.6461
11,0,-29.7394
11.5,0,-30.0347
12,0,-29.7239
12.5,0,-29.755
13,0,-29.6617
13.5,0,-29.4907
14,0,-29.6772
14.5,0,-28.5892
15,0,-29.8793
15.5,0,-29.0711
16,0,-29.8327
16.5,0,-28.2939
17,0,-29.5529
17.5,0,-28.9467
18,0,-29.0711
18.5,0,-29.0866
19,0,-29.2109
19.5,0,-29.2887
20,0,-28.6825
20.5,0,-28.8845
21,0,-28.5115
21.5,0,-29.755
22,0,-28.1696
22.5,0,-30.0503
23,0,-28.8535
23.5,0,-29.3042
24,0,-28.6359
24.5,0,-28.8068
25,0,-28.5581
25.5,0,-29.7394
26,0,-28.6048
26.5,0,-28.6048
27,0,-28.0608
27.5,0,-29.4596
28,0,-28.7913
28.5,0,-28.7602
29,0,-28.5115
29.5,0,-28.5892
30,0,-29.5063
30.5,0,-28.3405
31,0,-27.7033
31.5,0,-28.9001
32,0,-27.8587
32.5,0,-29.3508
33,0,-28.6514
33.5,0,-29.0089
34,0,-28.1229
34.5,0,-29.755
35,0,-28.3872
35.5,0,-29.1021
36,0,-28.4027
36.5,0,-29.0244
37,0,-27.3147
37.5,0,-29.3197
38,0,-27.0505
38.5,0,-29.3042
39,0,-28.6359
39.5,0,-29.584
40,0,-28.0141
40.5,0,-29.3197
41,0,-27.8587
41.5,0,-29.1643
42,0,-29.0244
42.5,0,-28.8379
43,0,-28.3716
43.5,0,-28.154
44,0,-28.7757
44.5,0,-28.2939
45,0,-29.04
45.5,0,-27.8587
46,0,-28.8845
46.5,0,-27.5012
47,0,-28.5115
47.5,0,-28.1385
48,0,-28.698
48.5,0,-28.5737
49,0,-28.5426
49.5,0,-28.5892
50,0,-28.4804
50.5,0,-29.0555
51,0,-28.154
51.5,0,-28.2162
52,0,-29.4907
52.5,0,-27.6877
53,0,-29.3975
53.5,0,-27.5012
54,0,-27.9986
54.5,0,-27.5945
55,0,-28.4493
55.5,0,-28.2006
56,0,-28.1074
56.5,0,-27.8276
57,0,-27.983
57.5,0,-28.3094
58,0,-27.8898
58.5,0,-28.7291
59,0,-28.2473
59.5,0,-27.7188
60,0,-27.9209
60.5,0,-27.8898
61,0,-28.7913
61.5,0,-27.9986
62,0,-28.8379
62.5,0,-27.237
63,0,-28.4804
63.5,0,-28.3094
64,0,-28.4182
64.5,0,-27.9364
65,0,-28.1385
65.5,0,-27.5478
66,0,-28.7136
66.5,0,-28.0763
67,0,-28.0608
67.5,0,-28.0141
68,0,-27.7654
68.5,0,-28.5737
69,0,-27.6566
69.5,0,-27.983
70,0,-27.2836
70.5,0,-28.1229
71,0,-26.9727
71.5,0,-28.1851
72,0,-28.154
72.5,0,-28.7913
73,0,-28.5271
73.5,0,-27.9209
74,0,-27.9986
