Time,Temperature_HBM,Temperature_FPGA
-2,0,-30.299
-1.5,0,-30.0814
-1,0,-29.8638
-0.5,0,-29.2576
0,0,-28.0452
0.5,0,-26.9106
1,0,-26.7085
1.5,0,-26.3199
2,0,-25.5894
2.5,0,-25.263
3,0,-23.6465
3.5,0,-24.6568
4,0,-23.8175
4.5,0,-23.5844
5,0,-22.7917
5.5,0,-22.3876
6,0,-21.7503
6.5,0,-22.4653
7,0,-22.5585
7.5,0,-21.7658
8,0,-21.6726
8.5,0,-22.4653
9,0,-20.7089
9.5,0,-21.2685
10,0,-21.3151
10.5,0,-22.1389
11,0,-19.6831
11.5,0,-21.5638
12,0,-20.4913
12.5,0,-20.6623
13,0,-19.2789
13.5,0,-20.3203
14,0,-19.3256
14.5,0,-20.1649
15,0,-20.3825
15.5,0,-20.5846
16,0,-20.3048
16.5,0,-19.3411
17,0,-20.8799
17.5,0,-19.6364
18,0,-19.481
18.5,0,-18.7194
19,0,-19.7608
19.5,0,-19.2168
20,0,-19.2168
20.5,0,-18.2997
21,0,-18.4396
21.5,0,-18.4396
22,0,-19.0613
22.5,0,-19.1701
23,0,-18.0977
23.5,0,-17.7091
24,0,-18.222
24.5,0,-17.4293
25,0,-17.9112
25.5,0,-17.305
26,0,-17.5381
26.5,0,-17.0874
27,0,-17.0408
27.5,0,-16.9475
28,0,-18.1443
28.5,0,-17.0097
29,0,-17.3672
29.5,0,-16.0926
30,0,-18.0821
30.5,0,-16.3569
31,0,-16.6833
31.5,0,-16.4657
32,0,-16.6366
32.5,0,-16.9475
33,0,-17.1806
33.5,0,-16.5589
34,0,-16.6366
34.5,0,-16.4346
35,0,-16.59
35.5,0,-15.8129
36,0,-15.8595
36.5,0,-15.5953
37,0,-15.1911
37.5,0,-16.0771
38,0,-15.6885
38.5,0,-16.4812
39,0,-16.3879
39.5,0,-15.6885
40,0,-14.8647
40.5,0,-15.1756
41,0,-14.7715
41.5,0,-15.5642
42,0,-15.8439
42.5,0,-15.5953
43,0,-15.502
43.5,0,-15.6574
44,0,-15.1911
44.5,0,-15.2378
45,0,-14.243
45.5,0,-14.1497
46,0,-14.7404
46.5,0,-14.9424
47,0,-14.3363
47.5,0,-15.2378
48,0,-14.6782
48.5,0,-14.3984
49,0,-13.7301
49.5,0,-15.0046
50,0,-14.2896
50.5,0,-14.2896
51,0,-13.6835
51.5,0,-14.2896
52,0,-13.9632
52.5,0,-14.8958
53,0,-14.8492
53.5,0,-13.699
54,0,-13.9943
54.5,0,-13.4659
55,0,-12.6265
55.5,0,-11.8338
56,0,-13.8233
56.5,0,-13.5902
57,0,-13.7301
57.5,0,-13.326
58,0,-13.3415
58.5,0,-13.3415
59,0,-13.4814
59.5,0,-12.5644
60,0,-12.984
60.5,0,-12.5022
61,0,-13.7456
61.5,0,-12.782
62,0,-12.0048
62.5,0,-12.0981
63,0,-12.2224
63.5,0,-12.4089
64,0,-13.0928
64.5,0,-10.9479
65,0,-12.4089
65.5,0,-12.2535
66,0,-13.2172
66.5,0,-12.6576
67,0,-12.1913
67.5,0,-12.1758
68,0,-12.5799
68.5,0,-11.2898
69,0,-13.1861
69.5,0,-13.0928
70,0,-11.2277
70.5,0,-12.8286
71,0,-12.6421
71.5,0,-12.1602
72,0,-11.8494
72.5,0,-11.0411
73,0,-11.5385
73.5,0,-12.0204
74,0,-10.7147
74.5,0,-11.725
75,0,-11.1966
75.5,0,-11.6629
76,0,-10.9323
76.5,0,-11.6473
77,0,-10.2018
77.5,0,-11.4142
78,0,-10.8235
78.5,0,-11.3675
79,0,-10.8702
79.5,0,-11.4763
80,0,-10.2951
80.5,0,-12.3312
81,0,-10.6992
81.5,0,-10.6992
82,0,-10.3417
82.5,0,-12.067
83,0,-10.5127
83.5,0,-10.9479
84,0,-9.7977
84.5,0,-10.3262
85,0,-12.0048
85.5,0,-11.1033
86,0,-10.2174
86.5,0,-11.6939
87,0,-11.181
87.5,0,-10.2951
88,0,-10.9479
88.5,0,-10.1552
89,0,-10.4505
89.5,0,-9.64227
90,0,-10.5593
90.5,0,-10.0464
91,0,-10.9013
91.5,0,-10.7458
92,0,-11.3054
92.5,0,-9.82879
93,0,-10.0153
93.5,0,-9.42467
94,0,-11.0411
94.5,0,-9.73553
95,0,-11.1033
95.5,0,-9.78216
96,0,-9.9065
96.5,0,-9.50238
97,0,-10.5749
97.5,0,-8.98946
98,0,-9.99976
98.5,0,-9.42467
99,0,-10.2484
99.5,0,-10.3572
100,0,-10.3262
100.5,0,-9.93759
101,0,-10.5282
101.5,0,-9.82879
102,0,-9.00501
102.5,0,-9.61118
103,0,-8.16568
103.5,0,-10.8546
104,0,-9.16044
104.5,0,-8.83403
105,0,-8.44546
105.5,0,-9.45575
106,0,-8.39883
106.5,0,-10.0775
107,0,-9.12935
107.5,0,-9.7977
108,0,-9.14489
108.5,0,-8.8962
109,0,-9.25369
109.5,0,-8.5698
110,0,-8.1346
110.5,0,-9.02055
111,0,-7.99471
111.5,0,-8.97392
112,0,-8.55426
112.5,0,-9.03609
113,0,-7.6683
113.5,0,-8.69414
114,0,-8.49209
114.5,0,-9.93759
115,0,-9.45575
115.5,0,-8.74077
116,0,-8.2434
116.5,0,-9.31587
117,0,-9.28478
117.5,0,-8.44546
118,0,-8.61643
118.5,0,-7.32636
119,0,-8.7874
119.5,0,-8.49209
120,0,-8.30557
120.5,0,-8.15014
121,0,-8.41437
121.5,0,-7.27973
122,0,-8.15014
122.5,0,-7.65276
123,0,-9.23815
123.5,0,-7.27973
124,0,-8.36774
124.5,0,-6.82898
125,0,-8.05688
125.5,0,-7.91699
126,0,-8.58534
126.5,0,-7.62168
127,0,-7.83928
127.5,0,-7.85482
128,0,-8.64752
128.5,0,-8.15014
129,0,-7.74602
129.5,0,-7.54396
130,0,-7.24864
130.5,0,-7.63722
131,0,-8.38328
131.5,0,-8.49209
132,0,-7.43516
132.5,0,-7.96362
133,0,-7.49733
133.5,0,-8.64752
134,0,-7.99471
134.5,0,-7.83928
135,0,-6.96887
135.5,0,-7.29527
136,0,-7.3419
136.5,0,-7.83928
137,0,-7.26419
137.5,0,-7.87036
138,0,-6.02074
138.5,0,-7.41962
139,0,-6.96887
139.5,0,-7.10876
140,0,-6.68909
140.5,0,-7.43516
141,0,-7.21756
141.5,0,-8.29003
142,0,-6.31606
142.5,0,-7.24864
143,0,-6.40932
143.5,0,-5.92749
144,0,-6.14509
144.5,0,-8.01025
145,0,-6.84452
145.5,0,-6.93778
146,0,-7.68385
146.5,0,-7.07767
147,0,-6.96887
147.5,0,-6.114
148,0,-7.38853
148.5,0,-6.58029
149,0,-7.49733
149.5,0,-6.61138
150,0,-6.62692
150.5,0,-6.42486
151,0,-5.97411
151.5,0,-6.72018
152,0,-7.4507
152.5,0,-6.03629
153,0,-7.10876
153.5,0,-6.7979
154,0,-7.3419
154.5,0,-6.51812
155,0,-6.67355
155.5,0,-5.8964
156,0,-6.51812
156.5,0,-5.84977
157,0,-6.73572
157.5,0,-5.29022
158,0,-6.48703
158.5,0,-6.68909
159,0,-6.82898
159.5,0,-6.95333
160,0,-6.50258
160.5,0,-6.14509
161,0,-6.67355
161.5,0,-5.70988
162,0,-5.15033
162.5,0,-5.15033
163,0,-5.69434
163.5,0,-7.0155
164,0,-6.44041
164.5,0,-6.72018
165,0,-5.57
165.5,0,-6.30052
166,0,-6.09846
166.5,0,-5.75651
167,0,-5.43011
167.5,0,-6.28498
168,0,-5.70988
168.5,0,-6.03629
169,0,-5.13479
169.5,0,-6.47149
170,0,-5.36794
170.5,0,-6.0052
171,0,-5.04153
171.5,0,-5.91194
172,0,-5.18142
172.5,0,-5.72543
173,0,-5.50782
173.5,0,-5.29022
174,0,-4.31101
174.5,0,-5.7876
175,0,-6.0052
175.5,0,-6.06737
176,0,-5.57
176.5,0,-5.32131
177,0,-5.25914
177.5,0,-5.49228
178,0,-6.64246
178.5,0,-5.38348
179,0,-6.114
179.5,0,-4.10895
180,0,-5.61663
180.5,0,-5.27468
181,0,-5.83423
181.5,0,-5.04153
182,0,-5.39902
182.5,0,-4.93273
183,0,-4.68404
183.5,0,-4.57524
184,0,-5.18142
184.5,0,-4.76176
185,0,-6.06737
185.5,0,-4.71513
186,0,-5.27468
186.5,0,-5.58554
187,0,-5.07262
187.5,0,-6.02074
188,0,-5.18142
188.5,0,-5.21251
189,0,-5.07262
189.5,0,-5.27468
190,0,-5.02599
190.5,0,-5.84977
191,0,-4.87056
191.5,0,-5.39902
192,0,-3.96906
192.5,0,-6.82898
193,0,-4.59079
193.5,0,-5.22805
194,0,-5.21251
194.5,0,-5.27468
195,0,-4.59079
195.5,0,-5.25914
196,0,-4.71513
196.5,0,-4.60633
197,0,-3.87581
197.5,0,-4.94827
198,0,-4.04678
198.5,0,-4.63741
199,0,-3.37843
199.5,0,-4.97936
200,0,-4.32655
200.5,0,-4.62187
201,0,-4.6685
201.5,0,-5.60108
202,0,-3.50277
202.5,0,-5.05708
203,0,-4.20221
203.5,0,-4.76176
204,0,-4.60633
204.5,0,-5.10371
205,0,-5.15033
205.5,0,-4.15558
206,0,-4.9949
206.5,0,-3.40951
207,0,-4.29547
207.5,0,-3.59603
208,0,-4.62187
208.5,0,-4.24884
209,0,-4.32655
209.5,0,-4.68404
210,0,-5.18142
210.5,0,-3.82918
211,0,-4.90165
211.5,0,-4.82393
212,0,-3.59603
212.5,0,-3.59603
213,0,-4.27992
213.5,0,-3.51832
214,0,-3.30071
214.5,0,-3.767
215,0,-3.58049
215.5,0,-3.23854
216,0,-5.55445
216.5,0,-4.54416
217,0,-4.62187
217.5,0,-3.89135
218,0,-4.49753
218.5,0,-5.32131
219,0,-4.48198
219.5,0,-4.20221
220,0,-3.84472
