Time,Temperature_HBM,Temperature_FPGA
-2,31,29.9925
-1.5,31,30.5831
-1,31,30.3499
-0.5,31,30.9406
0,32,30.9561
0.5,36,30.9872
1,37,31.2048
1.5,37,31.3602
2,37,31.1893
2.5,37,30.6919
3,37,31.2514
3.5,37,30.3655
4,37,31.1116
4.5,37,30.1479
5,37,30.8318
5.5,37,30.8629
6,37,31.267
6.5,37,31.9198
7,37,31.2981
7.5,37,31.6089
8,37,32.5104
8.5,37,30.7074
9,37,32.0131
9.5,37,31.7333
10,37,31.5468
10.5,37,30.7696
11,37,30.7852
11.5,37,31.5001
12,37,32.4949
12.5,37,30.894
13,37,31.3602
13.5,37,31.3447
14,38,31.64
14.5,38,30.8162
15,37,31.5778
15.5,37,30.4743
16,37,31.7488
16.5,37,31.8887
17,37,31.5623
17.5,38,31.982
18,38,31.8265
18.5,38,31.5468
19,38,31.5001
19.5,38,32.0752
20,38,32.1996
20.5,38,32.728
21,38,32.2151
21.5,38,32.4327
22,38,30.4587
22.5,38,32.2151
23,38,31.8732
23.5,38,31.982
24,38,30.7541
24.5,38,32.1374
25,38,31.0649
25.5,38,32.4483
26,38,31.4224
26.5,38,32.6348
27,38,30.8007
27.5,38,31.7954
28,38,31.9198
28.5,38,32.4483
29,38,31.4069
29.5,38,30.381
30,38,31.1116
30.5,38,32.6037
31,38,31.4535
31.5,38,31.1893
32,38,30.9717
32.5,38,31.9198
33,38,31.9975
33.5,38,32.9767
34,38,32.3861
34.5,38,32.184
35,38,31.6866
35.5,38,31.9664
36,38,32.4016
36.5,38,31.1737
37,38,31.4224
37.5,38,32.2462
38,38,31.2359
38.5,38,31.7799
39,38,31.2359
39.5,38,31.8887
40,38,31.6245
40.5,38,31.7488
41,38,32.0908
41.5,38,32.1219
42,38,32.3395
42.5,38,31.5468
43,38,31.6866
43.5,38,32.0908
44,38,31.9353
44.5,38,31.3758
45,38,32.2151
45.5,38,31.0494
46,38,33.7072
46.5,38,32.5726
47,38,32.3239
47.5,38,32.0908
48,38,32.9612
48.5,38,31.5312
49,38,32.0597
49.5,38,32.2151
50,38,32.7747
50.5,38,32.1685
51,38,32.899
51.5,38,32.0441
52,38,32.5104
52.5,38,31.4846
53,38,32.5104
53.5,38,32.6192
54,38,32.9612
54.5,38,31.5001
55,38,32.4483
55.5,38,32.1996
56,38,33.4119
56.5,38,32.5415
57,38,33.4896
57.5,38,32.1529
58,38,32.8057
58.5,38,31.8576
59,38,32.4483
59.5,38,31.3292
60,38,32.1685
60.5,38,31.5001
61,38,32.0441
61.5,39,32.2462
62,38,32.355
62.5,38,33.5829
63,38,31.6556
63.5,38,32.8368
64,38,32.5571
64.5,38,32.6037
65,38,33.272
65.5,38,31.64
66,38,32.6192
66.5,39,32.8057
67,38,31.4846
67.5,38,32.8679
68,38,31.8421
68.5,38,32.5726
69,38,32.2307
69.5,38,32.4016
70,38,31.9975
70.5,38,33.3342
71,38,32.3861
71.5,38,32.2773
72,38,32.4327
72.5,38,33.3653
73,38,31.64
73.5,38,32.2928
74,38,31.7488
74.5,38,33.6295
75,38,32.0597
