Time,Temperature_HBM,Temperature_FPGA
-2,0,-35.6458
-1.5,0,-35.1795
-1,0,-35.8167
-0.5,0,-35.2261
0,0,-34.4179
0.5,0,-32.4905
1,0,-31.4491
1.5,0,-31.0917
2,0,-29.5529
2.5,0,-30.2057
3,0,-29.7394
3.5,0,-28.5115
4,0,-27.6566
4.5,0,-29.0711
5,0,-27.8121
5.5,0,-28.0297
6,0,-27.1437
6.5,0,-27.7499
7,0,-27.066
7.5,0,-27.0349
8,0,-26.6774
8.5,0,-25.4029
9,0,-27.5168
9.5,0,-25.4495
10,0,-25.8847
10.5,0,-25.8537
11,0,-25.7915
11.5,0,-25.5272
12,0,-26.6153
12.5,0,-25.0454
13,0,-26.351
13.5,0,-24.3149
14,0,-24.5947
14.5,0,-24.2216
15,0,-24.1595
15.5,0,-23.9574
16,0,-23.3201
16.5,0,-23.7243
17,0,-23.8175
17.5,0,-22.6673
18,0,-22.9937
18.5,0,-23.2113
19,0,-24.004
19.5,0,-22.4342
20,0,-22.6362
20.5,0,-21.9679
21,0,-22.6518
21.5,0,-21.9523
22,0,-23.0093
22.5,0,-21.3617
23,0,-22.4808
23.5,0,-21.7192
24,0,-21.2063
24.5,0,-20.1804
25,0,-21.5793
25.5,0,-21.6259
26,0,-20.3048
26.5,0,-19.5587
27,0,-20.6934
27.5,0,-19.7297
28,0,-20.3203
28.5,0,-19.9784
29,0,-20.5068
29.5,0,-19.4499
30,0,-19.7142
30.5,0,-19.5743
31,0,-19.2168
31.5,0,-19.481
32,0,-19.1546
32.5,0,-19.652
33,0,-18.6728
33.5,0,-19.7919
34,0,-17.9267
34.5,0,-18.9215
35,0,-18.2376
35.5,0,-18.7194
36,0,-18.8748
36.5,0,-18.1288
37,0,-17.6158
37.5,0,-18.1754
38,0,-17.1962
38.5,0,-18.1288
39,0,-17.849
39.5,0,-17.4449
40,0,-16.8231
40.5,0,-17.9733
41,0,-15.1756
41.5,0,-16.9475
42,0,-16.0615
42.5,0,-17.0097
43,0,-15.8129
43.5,0,-16.4812
44,0,-15.5175
44.5,0,-16.4035
45,0,-15.4554
45.5,0,-16.419
46,0,-15.6263
46.5,0,-15.502
47,0,-15.502
47.5,0,-16.6211
48,0,-15.4398
48.5,0,-16.0149
49,0,-14.5383
49.5,0,-15.7818
50,0,-15.0979
50.5,0,-15.1756
51,0,-14.2275
51.5,0,-14.9735
52,0,-14.1653
52.5,0,-14.3052
53,0,-14.5228
53.5,0,-14.9114
54,0,-14.4917
54.5,0,-14.1187
55,0,-14.1964
55.5,0,-13.8544
56,0,-14.6005
56.5,0,-13.2327
57,0,-13.2327
57.5,0,-13.5125
58,0,-13.4659
58.5,0,-13.3415
59,0,-13.6368
59.5,0,-12.6887
60,0,-13.1239
60.5,0,-12.5333
61,0,-12.3157
61.5,0,-12.2224
62,0,-13.4192
62.5,0,-12.5644
63,0,-12.7042
63.5,0,-12.269
64,0,-11.8805
64.5,0,-11.6629
65,0,-12.5799
65.5,0,-11.6318
66,0,-12.5644
66.5,0,-11.3054
67,0,-11.7095
67.5,0,-12.0514
68,0,-11.523
68.5,0,-9.59564
69,0,-12.067
69.5,0,-11.5696
70,0,-10.3106
70.5,0,-10.8857
71,0,-10.4661
71.5,0,-11.0567
72,0,-11.1499
72.5,0,-11.181
73,0,-10.2018
73.5,0,-11.0256
74,0,-10.2174
74.5,0,-9.64227
75,0,-9.65781
75.5,0,-10.3417
76,0,-10.2484
76.5,0,-10.093
77,0,-9.19152
77.5,0,-10.3572
78,0,-9.40912
78.5,0,-9.48684
79,0,-9.03609
79.5,0,-9.33141
80,0,-8.44546
80.5,0,-9.92204
81,0,-8.91175
81.5,0,-9.23815
82,0,-8.61643
82.5,0,-9.44021
83,0,-8.22785
83.5,0,-9.00501
84,0,-8.18122
84.5,0,-9.87542
85,0,-8.27448
85.5,0,-9.40912
86,0,-7.13984
86.5,0,-8.50763
87,0,-7.90145
87.5,0,-7.1243
88,0,-7.21756
88.5,0,-7.69939
89,0,-8.01025
89.5,0,-7.10876
90,0,-7.73048
90.5,0,-7.57505
91,0,-7.82374
91.5,0,-7.63722
92,0,-7.4507
92.5,0,-7.03104
93,0,-7.80819
93.5,0,-6.76681
94,0,-8.30557
94.5,0,-6.114
95,0,-6.72018
95.5,0,-6.70464
96,0,-7.04658
96.5,0,-6.47149
97,0,-6.73572
97.5,0,-5.39902
98,0,-6.93778
98.5,0,-5.32131
99,0,-5.18142
99.5,0,-5.98966
100,0,-6.02074
100.5,0,-5.52337
101,0,-5.94303
101.5,0,-4.46644
102,0,-5.30576
102.5,0,-4.07787
103,0,-6.0052
103.5,0,-4.40427
104,0,-4.4509
104.5,0,-4.87056
105,0,-4.2333
105.5,0,-4.83947
106,0,-4.48198
106.5,0,-4.69959
107,0,-4.03124
107.5,0,-4.35764
108,0,-3.40951
108.5,0,-5.19696
109,0,-4.10895
109.5,0,-4.31101
110,0,-3.56495
110.5,0,-4.35764
111,0,-3.20746
111.5,0,-4.06232
112,0,-3.03648
112.5,0,-3.64266
113,0,-3.12974
113.5,0,-3.767
114,0,-2.69454
114.5,0,-2.97431
115,0,-2.83442
115.5,0,-3.25408
116,0,-2.53911
116.5,0,-2.4303
117,0,-1.40446
117.5,0,-2.84997
118,0,-2.19716
118.5,0,-3.0054
119,0,-1.7775
119.5,0,-2.49248
120,0,-1.79304
120.5,0,-2.71008
121,0,-1.8863
121.5,0,-1.6687
122,0,-1.76195
122.5,0,-1.29566
123,0,-1.97956
123.5,0,-1.43555
124,0,-2.27487
124.5,0,-1.68424
125,0,-2.27487
125.5,0,-0.798286
126,0,-0.829372
126.5,0,-2.07281
127,1,-1.23349
127.5,1,-1.31121
128,1,-1.59098
128.5,1,0.072124
129,1,-1.01589
129.5,1,-0.984802
130,1,-0.534054
130.5,1,-0.378624
131,1,-0.56514
131.5,1,0.227554
132,1,-0.844915
132.5,2,0.10321
133,2,-0.269823
133.5,2,1.05133
134,2,0.414071
134.5,2,0.4607
135,2,1.14459
135.5,2,0.585044
136,2,0.849275
136.5,2,0.662759
137,2,1.19122
137.5,2,-1.23349
138,2,0.196468
138.5,2,-0.145478
139,3,1.5798
139.5,2,0.880362
140,3,1.99946
140.5,3,1.14459
141,3,2.18598
141.5,3,0.787103
142,3,1.96837
142.5,3,0.585044
143,3,0.958077
143.5,3,1.67306
144,3,2.09272
144.5,3,1.20677
145,3,1.51763
145.5,4,0.818189
146,4,3.0253
146.5,4,2.34141
147,4,3.66256
147.5,4,1.31557
148,3,3.0253
148.5,4,1.85957
149,4,3.07193
149.5,4,3.56931
150,4,2.34141
150.5,4,3.10301
151,4,3.22736
151.5,4,3.86462
152,4,2.07717
152.5,4,3.28953
153,5,3.42942
153.5,5,2.85433
154,5,2.74553
154.5,5,3.47605
155,5,2.57455
155.5,5,4.1444
156,5,2.51238
156.5,5,3.32062
157,5,3.86462
157.5,5,5.23241
158,5,4.37754
158.5,5,3.64702
159,6,3.98897
159.5,6,5.27904
160,5,4.92155
160.5,6,5.20132
161,6,3.19627
161.5,6,5.63653
162,6,4.1444
162.5,6,4.71949
163,6,4.40863
163.5,6,4.22211
164,6,5.35675
164.5,7,4.70395
165,7,4.90601
165.5,6,4.67286
166,7,5.31013
166.5,7,4.99926
167,7,5.74533
167.5,7,5.32567
168,7,5.83859
168.5,7,5.46556
169,7,6.97323
169.5,7,5.97848
170,7,6.11836
170.5,7,5.72979
171,7,6.80226
171.5,8,5.5899
172,7,5.71424
172.5,8,6.04065
173,8,7.12866
173.5,8,5.74533
174,8,7.1442
174.5,8,6.83334
175,8,7.01986
175.5,8,6.07173
176,8,7.28409
176.5,8,5.94739
177,8,6.78671
177.5,8,7.65712
178,9,6.89551
178.5,8,6.91106
179,9,7.53278
179.5,9,7.54832
180,9,6.84889
180.5,9,7.59495
181,9,7.47061
181.5,9,7.84364
182,9,7.19083
182.5,9,8.3721
183,9,7.96798
183.5,9,7.48615
184,9,7.95244
184.5,9,7.81255
185,9,7.43952
185.5,9,9.08708
186,9,8.68296
186.5,9,7.43952
187,10,8.17004
187.5,10,9.11817
188,10,8.62079
188.5,10,8.90056
189,10,7.47061
189.5,10,8.68296
190,10,8.60525
190.5,10,8.90056
191,10,9.07154
191.5,10,9.28914
192,10,10.1906
192.5,10,9.33577
193,11,9.84869
193.5,11,8.76068
194,11,9.07154
194.5,11,9.77097
195,11,10.1129
195.5,11,9.28914
196,11,10.0352
196.5,11,9.94195
197,11,10.144
197.5,11,9.24251
198,11,9.6
198.5,11,9.1648
199,11,10.0663
199.5,11,9.98858
200,11,11.03
200.5,11,10.9367
201,12,11.2009
201.5,12,10.1129
202,12,11.1388
202.5,12,9.84869
203,12,10.2839
203.5,12,10.6258
204,12,11.061
204.5,12,10.6725
205,12,11.0144
205.5,12,11.5895
206,12,12.2268
206.5,12,10.7502
207,12,10.5948
207.5,12,10.9367
208,13,11.3097
208.5,13,10.5792
209,13,10.859
209.5,13,11.6051
210,13,11.2009
210.5,13,11.9936
211,13,12.118
211.5,13,12.6775
212,13,11.1854
212.5,13,12.2734
213,13,11.6206
213.5,13,12.0713
214,13,12.2268
214.5,13,12.864
215,13,12.3667
215.5,13,12.3045
216,13,11.6828
216.5,13,12.8019
217,13,11.232
217.5,13,12.3045
218,13,12.8485
218.5,14,12.4599
219,13,13.0506
219.5,14,12.5065
220,14,11.4496
220.5,13,12.491
221,13,12.6931
221.5,13,13.0195
222,13,12.8174
222.5,13,12.3511
223,14,12.864
223.5,13,12.6153
224,14,12.3977
224.5,14,12.4133
225,13,12.7397
225.5,14,12.4599
226,14,13.2837
226.5,14,12.0869
227,13,13.408
227.5,14,11.7916
228,14,13.0816
228.5,14,11.6828
229,13,14.6049
229.5,14,13.0661
230,14,13.0661
230.5,14,12.0713
231,14,13.377
231.5,14,12.491
232,14,13.7034
232.5,14,11.9936
233,14,13.0039
233.5,14,12.2579
234,14,13.4547
234.5,14,12.9728
235,14,13.035
235.5,14,13.0039
236,14,13.408
236.5,14,12.7086
237,14,13.3459
237.5,14,12.864
238,14,12.2268
238.5,14,13.035
239,14,12.5065
239.5,14,13.921
240,14,13.3148
240.5,14,12.8796
241,14,13.4236
241.5,14,14.0764
242,14,12.8174
242.5,14,13.6723
243,15,13.6412
243.5,15,12.8019
244,14,12.833
244.5,15,14.2007
245,15,12.8951
245.5,15,13.5635
246,14,13.2682
246.5,14,13.4547
247,14,13.1749
247.5,15,12.2423
248,15,13.1127
248.5,15,13.3303
249,15,13.0039
249.5,15,12.4444
250,15,13.9054
250.5,15,14.6515
251,14,13.6567
251.5,15,12.662
252,14,12.9884
252.5,15,12.5376
253,14,13.0506
253.5,14,13.1904
254,14,12.491
254.5,14,12.0403
255,15,13.0039
255.5,14,12.1491
256,14,12.3977
256.5,14,13.3148
257,14,13.3303
257.5,14,12.662
258,14,13.1283
258.5,14,12.2112
259,14,13.2215
259.5,14,12.3511
260,14,13.5479
260.5,14,13.0039
261,14,12.5687
261.5,14,12.491
262,14,12.7708
262.5,14,12.4444
263,14,13.5946
263.5,14,13.5168
264,14,13.3459
264.5,14,14.2163
265,14,13.377
265.5,14,13.9987
266,14,12.833
266.5,14,14.123
267,14,12.5998
267.5,14,13.6878
268,15,13.2215
268.5,15,14.1075
269,15,13.75
269.5,15,13.7189
270,15,12.9573
270.5,15,13.408
271,15,13.1749
271.5,15,13.2992
272,14,12.7397
272.5,15,12.9728
273,15,12.118
273.5,14,13.7344
274,14,12.9107
274.5,14,13.3459
275,14,13.0816
275.5,14,13.2215
276,14,12.5843
276.5,14,12.2889
277,14,13.6101
277.5,14,12.0092
278,14,12.5687
278.5,14,12.2579
279,14,12.6309
279.5,14,12.0869
280,14,12.7708
280.5,14,13.1127
281,13,12.6309
281.5,14,12.0247
282,14,12.8019
282.5,14,12.8796
283,13,12.3667
283.5,14,12.4599
284,14,12.5221
284.5,14,12.6775
285,14,13.2371
285.5,14,11.4496
286,14,12.2734
286.5,14,12.5065
287,14,13.408
287.5,14,12.8485
288,14,12.5221
288.5,14,13.2837
289,14,13.0195
289.5,14,13.206
290,14,13.0195
290.5,14,12.6775
291,14,12.491
291.5,14,13.0816
292,14,12.3667
292.5,14,13.408
293,15,12.4288
293.5,14,13.5946
294,14,12.3977
294.5,14,13.6878
295,15,13.2682
295.5,15,13.2682
296,15,13.3614
296.5,15,13.5635
297,15,12.9262
297.5,15,14.7914
298,15,13.8899
298.5,15,13.4547
299,15,13.7811
299.5,15,13.8277
300,15,13.3459
300.5,15,14.0919
301,15,12.7086
301.5,15,14.6049
302,15,13.7811
302.5,15,15.0401
303,16,13.4547
303.5,15,14.8691
304,16,13.2215
304.5,16,15.1489
305,16,14.3095
305.5,16,13.4236
306,16,14.465
306.5,16,13.408
307,16,13.6567
307.5,16,14.4183
308,16,14.9934
308.5,16,14.1852
309,16,15.5841
309.5,16,13.9987
310,16,15.3665
310.5,16,15.6152
311,16,15.1955
311.5,17,15.3354
312,17,15.1022
312.5,17,14.5738
313,17,15.926
313.5,17,14.8225
314,17,16.7653
314.5,17,15.5996
315,17,16.5633
315.5,17,15.5064
316,17,14.9157
316.5,17,15.5374
317,17,15.211
317.5,17,16.7809
318,17,16.1125
318.5,17,15.6773
319,17,16.6255
319.5,18,16.7032
320,18,15.1489
320.5,18,16.8897
321,18,16.2369
321.5,18,16.0037
322,18,16.4545
322.5,18,16.9985
323,18,15.9571
323.5,18,17.2783
324,18,17.3404
324.5,18,17.2472
325,18,16.8431
325.5,18,17.7445
326,18,16.812
326.5,19,18.2419
327,19,17.8534
327.5,19,17.1073
328,19,17.6513
328.5,19,17.6824
329,19,16.9674
329.5,19,18.1798
330,19,17.3249
330.5,19,17.8534
331,19,17.1384
331.5,19,17.2938
332,19,16.4856
332.5,19,17.9622
333,19,18.4906
333.5,19,17.8689
334,19,19.0035
334.5,20,17.7135
335,19,17.4026
335.5,20,18.4906
336,20,18.4129
336.5,20,17.9155
337,20,18.7238
337.5,20,17.8534
338,20,18.7859
338.5,20,17.9932
339,20,19.1745
339.5,20,19.2678
340,20,19.6097
340.5,20,18.0399
341,20,18.9414
341.5,20,18.7238
342,20,20.0915
342.5,21,18.615
343,21,20.5423
343.5,20,19.1745
344,21,19.7185
344.5,21,19.2522
345,21,19.1123
345.5,21,19.4698
346,21,18.2886
346.5,21,20.4335
347,21,18.7548
347.5,21,20.3558
348,21,19.4543
348.5,21,20.6511
349,21,19.9672
349.5,21,21.4438
350,21,19.9983
350.5,21,20.993
351,22,20.0449
351.5,21,20.1382
352,22,19.159
352.5,21,20.9309
353,22,19.6097
353.5,22,20.62
354,22,20.1071
354.5,22,20.5112
355,22,20.8687
355.5,22,20.5268
356,22,19.905
356.5,22,21.3505
357,22,20.5889
357.5,22,21.2884
358,22,21.2106
358.5,22,21.8479
359,23,20.8376
359.5,22,21.0863
360,23,20.8842
360.5,22,21.708
361,23,21.1796
361.5,23,22.0655
362,23,21.5681
362.5,23,21.1485
363,23,21.6303
363.5,23,20.449
364,23,22.0811
364.5,23,20.8065
365,23,21.879
365.5,23,21.2106
366,23,22.8582
366.5,23,22.0811
367,23,21.537
367.5,23,22.3297
368,23,23.0914
368.5,23,23.3556
369,24,22.6561
369.5,24,22.3919
370,24,22.9515
370.5,24,21.6614
371,24,23.7908
371.5,24,22.4075
372,24,22.6095
372.5,24,22.3142
373,24,22.8271
373.5,24,23.884
374,24,23.3867
374.5,24,22.9359
375,24,22.9359
375.5,24,23.1846
376,24,22.3919
376.5,24,24.0861
377,24,22.3142
