Time,Temperature_HBM,Temperature_FPGA
-2,0,-27.2681
-1.5,0,-27.4546
-1,0,-27.8898
-0.5,0,-26.8795
0,0,-25.2786
0.5,0,-23.5999
1,0,-23.0404
1.5,0,-22.8383
2,0,-21.0198
2.5,0,-22.5585
3,0,-21.1597
3.5,0,-20.3359
4,0,-20.6312
4.5,0,-21.3773
5,0,-20.4758
5.5,0,-20.4136
6,0,-19.31
6.5,0,-18.766
7,0,-18.766
7.5,0,-19.1391
8,0,-18.8904
8.5,0,-18.2687
9,0,-17.8334
9.5,0,-17.5381
10,0,-17.6469
10.5,0,-17.5226
11,0,-16.9475
11.5,0,-17.3361
12,0,-17.3672
12.5,0,-16.6677
13,0,-16.6211
13.5,0,-15.8129
14,0,-16.6833
14.5,0,-16.6211
15,0,-16.9941
15.5,0,-15.9683
16,0,-15.8129
16.5,0,-15.2222
17,0,-15.5797
17.5,0,-15.3932
18,0,-15.0357
18.5,0,-15.129
19,0,-16.0926
19.5,0,-14.3052
20,0,-15.16
20.5,0,-13.9943
21,0,-15.0668
21.5,0,-15.4087
22,0,-14.8026
22.5,0,-14.2896
23,0,-13.155
23.5,0,-13.2483
24,0,-13.3726
24.5,0,-14.3052
25,0,-12.8441
25.5,0,-14.0565
26,0,-12.984
26.5,0,-13.7145
27,0,-12.6421
27.5,0,-12.9685
28,0,-11.9116
28.5,0,-13.0773
29,0,-12.1447
29.5,0,-12.984
30,0,-12.1758
30.5,0,-12.5488
31,0,-12.4866
31.5,0,-11.5541
32,0,-11.5385
32.5,0,-12.0825
33,0,-11.181
33.5,0,-11.8338
34,0,-10.9634
34.5,0,-11.1033
35,0,-11.6318
35.5,0,-11.3054
36,0,-10.8546
36.5,0,-11.1655
37,0,-9.81324
37.5,0,-10.9634
38,0,-11.6784
38.5,0,-10.7303
39,0,-10.6215
39.5,0,-10.2484
40,0,-9.44021
40.5,0,-9.17598
41,0,-11.2277
41.5,0,-9.48684
42,0,-9.45575
42.5,0,-8.88066
43,0,-9.92204
43.5,0,-8.91175
44,0,-9.61118
44.5,0,-9.05163
45,0,-9.65781
45.5,0,-7.76156
46,0,-8.97392
46.5,0,-8.58534
47,0,-8.64752
47.5,0,-8.29003
48,0,-8.61643
48.5,0,-8.42991
49,0,-8.15014
49.5,0,-8.16568
50,0,-8.97392
50.5,0,-7.49733
51,0,-8.88066
51.5,0,-7.21756
52,0,-8.461
52.5,0,-7.26419
53,0,-7.57505
53.5,0,-6.95333
54,0,-7.52842
54.5,0,-6.44041
55,0,-8.29003
55.5,0,-6.65801
56,0,-7.87036
56.5,0,-7.35744
57,0,-6.76681
57.5,0,-6.65801
58,0,-5.70988
58.5,0,-7.3419
59,0,-5.6788
59.5,0,-6.76681
60,0,-6.3316
60.5,0,-7.20201
61,0,-5.94303
61.5,0,-6.51812
62,0,-5.46119
62.5,0,-7.20201
63,0,-6.36269
63.5,0,-6.72018
64,0,-4.85502
64.5,0,-6.47149
65,0,-5.53891
65.5,0,-6.44041
66,0,-4.5597
66.5,0,-4.2333
67,0,-4.74622
67.5,0,-5.21251
68,0,-5.01045
68.5,0,-5.08816
69,0,-4.83947
69.5,0,-5.46119
70,0,-5.36794
70.5,0,-4.8861
71,0,-4.6685
71.5,0,-4.09341
72,0,-3.5494
72.5,0,-4.54416
73,0,-4.21775
73.5,0,-3.61157
74,0,-4.49753
74.5,0,-3.98461
75,0,-3.767
75.5,0,-3.1142
76,0,-4.69959
76.5,0,-3.6582
77,0,-3.06757
77.5,0,-2.81888
78,0,-3.68929
78.5,0,-2.98985
79,0,-1.9951
79.5,0,-2.69454
80,0,-3.09865
80.5,0,-2.29042
81,0,-3.08311
81.5,0,-2.19716
82,0,-3.08311
82.5,0,-1.91738
83,0,-3.36289
83.5,0,-2.15053
84,0,-2.25933
84.5,0,-2.19716
85,0,-4.06232
85.5,0,-1.90184
86,0,-2.05727
86.5,0,-1.17132
87,0,-1.63761
87.5,0,-2.01064
88,0,-1.48218
88.5,0,-1.65315
89,0,-1.38892
89.5,0,-2.29042
90,0,-0.891544
90.5,1,-1.85521
91,1,-0.92263
91.5,1,-1.03143
92,1,-0.844915
92.5,1,-1.45109
93,1,-0.969259
93.5,1,-0.114392
94,1,-0.0366772
94.5,1,-0.25428
95,1,0.631673
95.5,1,-0.145478
96,1,-0.129935
96.5,1,-0.518511
97,1,-0.502968
97.5,1,-0.316452
98,2,0.77156
98.5,2,-0.00559118
99,2,0.833732
99.5,2,-0.487425
100,2,0.678302
100.5,2,0.382985
101,2,0.569501
101.5,2,-0.238737
102,2,0.740474
102.5,3,1.02025
103,2,1.67306
103.5,3,0.351899
104,3,-0.300909
104.5,3,0.97362
105,3,1.25339
105.5,3,1.65751
106,3,2.52792
106.5,3,2.17043
107,3,0.942534
107.5,3,2.17043
108,3,0.491786
108.5,4,1.78186
109,3,1.28448
109.5,3,1.56425
110,3,1.73523
110.5,3,2.94758
111,4,1.61088
111.5,4,3.18073
112,4,1.6886
112.5,4,2.94758
113,4,1.85957
113.5,4,2.55901
114,4,1.48654
114.5,4,3.08747
115,4,2.40358
115.5,4,3.00976
116,4,2.60564
116.5,4,3.36725
117,5,2.52792
117.5,5,3.18073
118,5,3.86462
118.5,5,3.64702
119,5,3.08747
119.5,5,3.42942
120,5,4.67286
120.5,5,3.14964
121,5,2.97867
121.5,5,3.04084
122,5,4.17548
122.5,5,3.78691
123,5,3.9268
123.5,6,3.66256
124,5,4.64177
124.5,5,4.84383
125,6,3.94234
125.5,6,3.66256
126,6,4.81275
126.5,6,4.29983
127,6,5.32567
127.5,6,3.70919
128,6,5.10807
128.5,7,3.83354
129,7,5.15469
