Time,Temperature_HBM,Temperature_FPGA
-2,0,-34.0604
-1.5,0,-34.0137
-1,0,-33.5319
-0.5,0,-34.822
0,0,-32.8014
0.5,0,-30.7031
1,0,-30.6875
1.5,0,-28.5737
2,0,-28.9778
2.5,0,-27.9675
3,0,-28.2473
3.5,0,-27.1904
4,0,-27.7499
4.5,0,-26.9417
5,0,-26.895
5.5,0,-26.5531
6,0,-26.0402
6.5,0,-26.1334
7,0,-26.4909
7.5,0,-25.2475
8,0,-25.9625
8.5,0,-25.1231
9,0,-26.3044
9.5,0,-24.9366
10,0,-24.9677
10.5,0,-25.1231
11,0,-24.4703
11.5,0,-24.4859
12,0,-24.6568
12.5,0,-23.8331
13,0,-24.1284
13.5,0,-23.6465
14,0,-23.631
14.5,0,-22.4031
15,0,-22.9471
15.5,0,-21.9368
16,0,-21.7969
16.5,0,-22.5741
17,0,-22.2321
17.5,0,-22.4342
18,0,-21.5016
18.5,0,-20.8022
19,0,-20.8488
19.5,0,-22.714
20,0,-21.5171
20.5,0,-22.5274
21,0,-20.911
21.5,0,-20.8643
22,0,-20.2582
22.5,0,-20.8799
23,0,-20.5846
23.5,0,-21.1752
24,0,-20.6467
24.5,0,-19.3567
25,0,-20.3514
25.5,0,-20.3514
26,0,-19.8851
26.5,0,-19.4966
27,0,-19.5587
27.5,0,-18.937
28,0,-19.1857
28.5,0,-19.6831
29,0,-19.1391
29.5,0,-18.5795
30,0,-18.7194
30.5,0,-19.1235
31,0,-18.937
31.5,0,-18.7971
32,0,-18.6883
32.5,0,-18.4241
33,0,-18.3153
33.5,0,-18.3619
34,0,-17.3827
34.5,0,-17.8334
35,0,-16.963
35.5,0,-17.3205
36,0,-17.4138
36.5,0,-16.8076
37,0,-17.0408
37.5,0,-17.1029
38,0,-18.0355
38.5,0,-16.4967
39,0,-17.0252
39.5,0,-17.0252
40,0,-17.507
40.5,0,-15.6108
41,0,-16.7454
41.5,0,-17.0718
42,0,-17.1029
42.5,0,-16.0926
43,0,-16.2791
43.5,0,-15.2844
44,0,-15.4398
44.5,0,-15.3932
45,0,-15.8129
45.5,0,-15.4709
46,0,-14.9735
46.5,0,-15.3466
47,0,-15.5331
47.5,0,-14.6938
48,0,-14.9735
48.5,0,-14.8181
49,0,-15.673
49.5,0,-14.6627
50,0,-14.7715
50.5,0,-14.3984
51,0,-15.4709
51.5,0,-14.3518
52,0,-15.2222
52.5,0,-13.87
53,0,-15.1756
53.5,0,-13.0928
54,0,-13.6368
54.5,0,-13.2949
55,0,-14.0254
55.5,0,-13.7923
56,0,-12.984
56.5,0,-14.958
57,0,-13.4503
57.5,0,-12.7198
58,0,-13.9788
58.5,0,-13.2016
59,0,-13.2638
59.5,0,-13.4348
60,0,-11.8183
60.5,0,-13.326
61,0,-12.2846
61.5,0,-13.3571
62,0,-12.3778
62.5,0,-13.2327
63,0,-12.5333
63.5,0,-12.0048
64,0,-11.4142
64.5,0,-12.4556
65,0,-11.5851
65.5,0,-12.067
66,0,-11.7872
66.5,0,-12.269
67,0,-11.8649
67.5,0,-12.2224
68,0,-11.3986
68.5,0,-12.4866
69,0,-11.7872
69.5,0,-11.1344
70,0,-11.0101
70.5,0,-11.8649
71,0,-10.8546
71.5,0,-10.3106
72,0,-11.0567
72.5,0,-10.6215
73,0,-11.4142
73.5,0,-11.1966
74,0,-10.1707
74.5,0,-9.71998
75,0,-11.3209
75.5,0,-9.06718
76,0,-10.4661
76.5,0,-10.2795
77,0,-10.6681
77.5,0,-10.093
78,0,-10.8702
78.5,0,-9.48684
79,0,-10.3262
79.5,0,-8.74077
80,0,-10.093
80.5,0,-9.06718
81,0,-9.23815
81.5,0,-8.39883
82,0,-9.05163
82.5,0,-9.61118
83,0,-10.0619
83.5,0,-8.61643
84,0,-9.12935
84.5,0,-8.60089
85,0,-9.76661
85.5,0,-8.88066
86,0,-8.33666
86.5,0,-9.25369
87,0,-9.51793
87.5,0,-7.88591
88,0,-8.3522
88.5,0,-8.47654
89,0,-8.18122
89.5,0,-8.42991
90,0,-7.94808
90.5,0,-8.38328
91,0,-7.59059
91.5,0,-7.91699
92,0,-7.15538
92.5,0,-8.02579
93,0,-8.10351
93.5,0,-7.69939
94,0,-6.81344
94.5,0,-6.48703
95,0,-6.51812
95.5,0,-7.10876
96,0,-6.28498
96.5,0,-6.82898
97,0,-6.93778
97.5,0,-6.67355
98,0,-6.50258
98.5,0,-7.07767
99,0,-7.15538
99.5,0,-6.47149
100,0,-6.53366
100.5,0,-6.73572
101,0,-5.24359
101.5,0,-6.05183
102,0,-4.48198
102.5,0,-6.42486
103,0,-6.0052
103.5,0,-5.18142
104,0,-6.0052
104.5,0,-5.50782
105,0,-5.91194
105.5,0,-5.55445
106,0,-6.20726
106.5,0,-4.15558
107,0,-5.43011
107.5,0,-4.91719
108,0,-5.6788
108.5,0,-5.33685
109,0,-5.81868
109.5,0,-5.29022
110,0,-5.41457
110.5,0,-4.51307
111,0,-5.11925
111.5,0,-3.5494
112,0,-5.10371
112.5,0,-3.50277
113,0,-5.46119
113.5,0,-3.78255
114,0,-3.42506
114.5,0,-3.95352
115,0,-4.85502
115.5,0,-2.3215
116,0,-4.82393
116.5,0,-3.64266
117,0,-3.28517
117.5,0,-3.28517
118,0,-3.87581
118.5,0,-3.09865
119,0,-4.01569
119.5,0,-4.10895
120,0,-3.59603
120.5,0,-3.64266
121,0,-3.14528
121.5,0,-3.767
122,0,-3.3318
122.5,0,-3.37843
123,0,-1.8863
123.5,0,-2.63236
124,0,-3.0054
124.5,0,-3.34734
125,0,-2.44585
125.5,0,-2.53911
126,0,-0.92263
126.5,0,-2.44585
127,0,-0.891544
127.5,0,-2.71008
128,0,-2.13499
128.5,0,-2.78779
129,0,-1.06252
129.5,0,-1.15578
130,0,-1.43555
130.5,0,-1.96401
131,0,-0.0677633
131.5,0,-1.74641
132,0,-1.7775
132.5,0,-2.15053
133,0,-1.38892
133.5,0,-2.07281
134,1,-0.907087
134.5,1,-0.627312
135,1,-1.7775
135.5,1,-0.891544
136,1,-1.46664
136.5,1,-0.705028
137,1,-1.42001
137.5,1,0.134296
138,1,-1.04697
138.5,1,0.165382
139,1,-0.502968
139.5,2,-0.829372
140,2,-0.0677633
140.5,2,-0.129935
141,2,0.305269
141.5,2,-0.300909
142,2,-0.487425
142.5,2,1.12905
143,2,0.149839
143.5,2,0.274183
144,2,-0.207651
144.5,2,0.289726
145,2,0.491786
145.5,2,1.25339
146,2,1.45545
146.5,2,0.4607
147,3,0.724931
147.5,3,2.15489
148,3,0.895905
148.5,2,0.0565809
149,2,0.351899
149.5,3,1.09796
150,3,2.18598
150.5,3,1.06688
151,3,1.95283
151.5,3,1.26894
152,3,2.23261
152.5,3,0.895905
153,3,2.45021
153.5,3,2.17043
154,3,1.93729
154.5,4,1.08242
155,4,3.19627
155.5,4,2.09272
156,4,2.37249
156.5,4,2.54347
157,4,2.45021
157.5,4,2.1238
158,4,3.05639
158.5,4,3.2429
159,4,2.86987
159.5,4,1.96837
160,4,2.97867
160.5,4,2.27923
161,4,2.79215
161.5,4,3.19627
162,5,2.55901
162.5,5,3.75582
163,5,4.02005
163.5,5,2.96313
164,5,2.68335
164.5,5,3.89571
165,5,3.66256
165.5,5,4.362
166,5,3.39833
166.5,5,4.31537
167,5,4.00451
167.5,5,4.29983
168,5,3.41388
168.5,5,4.29983
169,5,3.2429
169.5,5,4.15994
170,6,3.95788
170.5,6,4.06668
171,6,4.85938
171.5,6,4.67286
172,6,4.28429
172.5,6,5.55881
173,6,4.59515
173.5,6,4.50189
174,6,4.05114
174.5,6,3.91125
175,7,4.33091
175.5,7,5.41893
176,7,4.75058
176.5,7,5.13915
177,7,5.5899
177.5,7,5.88522
178,7,4.40863
178.5,7,4.59515
179,7,5.38784
179.5,7,4.76612
180,7,5.54327
180.5,7,4.11331
181,7,5.18578
181.5,7,4.362
182,7,5.97848
182.5,7,4.82829
183,7,5.55881
183.5,7,5.54327
184,7,5.24795
184.5,7,5.06144
185,7,5.04589
185.5,7,5.82305
186,7,5.83859
186.5,7,6.56911
187,8,6.53802
187.5,7,5.60544
188,7,5.62099
188.5,8,5.6987
189,8,5.21687
189.5,8,5.65207
190,8,6.13391
190.5,8,6.0251
191,8,4.89046
191.5,8,6.46031
192,8,5.10807
192.5,8,5.94739
193,8,5.55881
193.5,8,6.22716
194,8,4.87492
194.5,8,5.88522
195,8,5.90076
195.5,8,6.39814
196,8,5.83859
196.5,8,6.10282
197,8,4.75058
197.5,8,6.16499
198,8,6.13391
198.5,8,6.44477
199,8,4.61069
199.5,8,6.30488
200,8,4.90601
200.5,8,5.72979
201,8,5.8075
201.5,8,6.4914
202,8,6.44477
202.5,8,5.72979
203,8,7.05094
203.5,8,6.47585
204,8,5.93185
204.5,8,6.33597
205,8,6.67791
205.5,8,5.6987
206,8,6.35151
206.5,8,7.23746
207,8,6.87997
207.5,8,5.49664
208,8,6.35151
208.5,8,5.55881
209,8,5.8075
