Time,Temperature_HBM,Temperature_FPGA
-2,0,-29.04
-1.5,0,-28.8068
-1,0,-29.5063
-0.5,0,-29.6772
0,0,-29.9726
0.5,0,-29.1021
1,0,-29.242
1.5,0,-28.6359
2,0,-29.1177
2.5,0,-28.9623
3,0,-28.3094
3.5,0,-28.7913
4,0,-29.4752
4.5,0,-28.8068
5,0,-29.6151
5.5,0,-28.7757
6,0,-29.4441
6.5,0,-28.1385
7,0,-29.1643
7.5,0,-28.7136
8,0,-28.1696
8.5,0,-28.2628
9,0,-28.5892
9.5,0,-28.2939
10,0,-28.8224
10.5,0,-27.408
11,0,-28.4338
11.5,0,-27.5168
12,0,-27.6411
12.5,0,-28.496
13,0,-29.3042
13.5,0,-27.4546
14,0,-27.8898
14.5,0,-28.5115
15,0,-28.0297
15.5,0,-29.3042
16,0,-28.154
16.5,0,-28.1229
17,0,-27.3147
17.5,0,-27.6256
18,0,-26.895
18.5,0,-28.2162
19,0,-27.7654
19.5,0,-28.5737
20,0,-27.2681
20.5,0,-27.2681
21,0,-26.8173
21.5,0,-28.2473
22,0,-27.3924
22.5,0,-28.3716
23,0,-27.2214
23.5,0,-27.7499
24,0,-27.0349
24.5,0,-27.237
25,0,-26.7862
25.5,0,-27.6411
26,0,-27.2836
26.5,0,-27.7033
27,0,-26.9572
27.5,0,-27.3302
28,0,-27.439
28.5,0,-27.8121
29,0,-27.0505
29.5,0,-28.325
30,0,-27.0971
30.5,0,-27.7654
31,0,-26.9417
31.5,0,-27.5012
32,0,-27.5634
32.5,0,-27.6411
33,0,-26.3821
33.5,0,-26.7551
34,0,-27.7499
34.5,0,-27.0971
35,0,-27.6411
35.5,0,-26.5531
36,0,-27.3147
36.5,0,-26.8795
37,0,-27.8587
37.5,0,-25.7759
38,0,-26.7862
38.5,0,-26.6619
39,0,-27.5478
39.5,0,-27.3302
40,0,-26.5065
40.5,0,-26.7707
41,0,-27.0815
41.5,0,-26.5375
42,0,-27.0505
42.5,0,-27.3458
43,0,-27.8587
43.5,0,-26.8484
44,0,-27.6411
44.5,0,-26.0402
45,0,-27.0971
45.5,0,-26.2267
46,0,-27.3147
46.5,0,-26.9572
47,0,-26.9572
47.5,0,-26.2422
48,0,-26.8329
48.5,0,-26.895
49,0,-26.0246
49.5,0,-25.9469
50,0,-26.9727
50.5,0,-26.7862
51,0,-27.7654
51.5,0,-26.5375
52,0,-27.3924
52.5,0,-26.3199
53,0,-26.4909
53.5,0,-25.7138
54,0,-26.9572
54.5,0,-26.1334
55,0,-26.0713
55.5,0,-26.2889
56,0,-26.1179
56.5,0,-26.7085
57,0,-26.2733
57.5,0,-27.5789
58,0,-25.5894
58.5,0,-27.0038
59,0,-26.2422
59.5,0,-27.1748
60,0,-26.6619
60.5,0,-26.7551
61,0,-26.3821
61.5,0,-26.6774
62,0,-25.9158
62.5,0,-26.1956
63,0,-25.1231
63.5,0,-27.0349
64,0,-26.4598
64.5,0,-26.6308
65,0,-25.807
65.5,0,-26.3666
66,0,-25.807
66.5,0,-26.0713
67,0,-25.9314
67.5,0,-26.6153
68,0,-25.636
68.5,0,-26.5065
69,0,-26.6463
69.5,0,-26.2267
70,0,-26.0868
70.5,0,-26.7707
71,0,-25.4806
71.5,0,-26.2578
72,0,-26.4754
72.5,0,-26.3044
73,0,-26.351
73.5,0,-26.7396
74,0,-26.1334
74.5,0,-25.9935
75,0,-26.6153
75.5,0,-26.9727
76,0,-25.4495
76.5,0,-25.2475
77,0,-26.522
77.5,0,-25.434
78,0,-26.5065
78.5,0,-24.9677
79,0,-25.9469
79.5,0,-25.2164
80,0,-26.0557
80.5,0,-24.3926
81,0,-26.8484
81.5,0,-24.6413
82,0,-26.6619
82.5,0,-25.8381
83,0,-25.7604
83.5,0,-25.2786
84,0,-25.9314
84.5,0,-25.9469
85,0,-26.3666
85.5,0,-24.9677
86,0,-26.1334
86.5,0,-24.7967
87,0,-26.8795
87.5,0,-25.5117
88,0,-27.0505
88.5,0,-25.3563
89,0,-26.4132
89.5,0,-25.6516
90,0,-26.149
90.5,0,-24.548
91,0,-26.7085
91.5,0,-25.2786
92,0,-25.9625
92.5,0,-25.2941
93,0,-25.3874
93.5,0,-25.7293
94,0,-25.5739
94.5,0,-25.2164
95,0,-25.3563
95.5,0,-24.9988
96,0,-25.2475
96.5,0,-25.4495
97,0,-25.4806
97.5,0,-25.9469
98,0,-25.7293
98.5,0,-25.6516
99,0,-26.2422
99.5,0,-25.9003
100,0,-24.8278
100.5,0,-26.1334
101,0,-25.7138
101.5,0,-26.351
102,0,-25.0143
102.5,0,-26.0868
103,0,-25.6827
103.5,0,-25.6982
104,0,-25.5117
104.5,0,-26.6619
105,0,-25.7604
105.5,0,-24.8434
106,0,-25.2786
106.5,0,-26.2111
107,0,-25.434
107.5,0,-25.6205
108,0,-25.9003
108.5,0,-26.0091
109,0,-25.0765
109.5,0,-26.149
110,0,-25.4806
110.5,0,-25.807
111,0,-26.1179
111.5,0,-25.4651
112,0,-25.2475
112.5,0,-25.6827
113,0,-25.5894
113.5,0,-25.5739
114,0,-25.5583
114.5,0,-24.7035
115,0,-26.7551
115.5,0,-24.9366
116,0,-25.7293
116.5,0,-24.6568
117,0,-25.7915
117.5,0,-25.2475
118,0,-25.5428
118.5,0,-25.0299
119,0,-26.1801
119.5,0,-25.2941
120,0,-25.7448
120.5,0,-24.346
121,0,-25.9158
121.5,0,-25.2786
122,0,-25.7604
122.5,0,-25.5428
123,0,-25.807
123.5,0,-25.3096
124,0,-25.6205
124.5,0,-25.3407
125,0,-25.807
125.5,0,-25.8537
126,0,-25.4029
126.5,0,-25.4029
127,0,-25.8847
127.5,0,-25.3096
128,0,-25.434
128.5,0,-24.0351
129,0,-25.5117
129.5,0,-25.7604
130,0,-26.1023
130.5,0,-24.719
131,0,-25.1076
131.5,0,-25.4651
132,0,-25.3718
132.5,0,-25.2319
133,0,-24.8123
133.5,0,-25.092
134,0,-25.6516
134.5,0,-26.0246
135,0,-25.434
135.5,0,-25.6827
136,0,-24.3304
136.5,0,-25.3563
137,0,-24.8434
137.5,0,-25.978
138,0,-25.3252
138.5,0,-25.0143
139,0,-23.5844
139.5,0,-25.7448
140,0,-24.8744
140.5,0,-25.7448
141,0,-24.7967
141.5,0,-25.8847
142,0,-24.6879
142.5,0,-25.1231
143,0,-24.2061
143.5,0,-24.1595
144,0,-25.263
144.5,0,-25.2164
145,0,-24.8278
145.5,0,-25.3096
146,0,-24.7346
146.5,0,-25.6516
147,0,-24.5791
147.5,0,-25.9469
148,0,-24.2527
148.5,0,-24.8589
149,0,-24.4859
149.5,0,-24.9211
150,0,-24.8434
150.5,0,-24.9522
151,0,-25.7915
151.5,0,-25.7915
152,0,-24.6879
152.5,0,-24.9677
153,0,-25.5428
153.5,0,-25.1231
154,0,-25.6516
154.5,0,-25.0299
155,0,-24.9832
155.5,0,-24.9055
156,0,-25.2786
156.5,0,-24.1905
157,0,-25.1853
157.5,0,-24.4859
158,0,-26.0402
158.5,0,-24.3304
159,0,-25.4029
159.5,0,-24.3149
160,0,-25.061
160.5,0,-24.3304
161,0,-25.2786
161.5,0,-24.7035
162,0,-25.0299
162.5,0,-24.8589
163,0,-25.1231
163.5,0,-25.1231
164,0,-25.0765
164.5,0,-24.5169
165,0,-25.0299
165.5,0,-24.2683
166,0,-25.4184
166.5,0,-25.263
167,0,-24.9366
167.5,0,-25.2786
168,0,-25.2008
168.5,0,-24.9366
169,0,-25.1542
169.5,0,-24.4392
170,0,-24.0351
170.5,0,-24.1905
171,0,-24.89
171.5,0,-25.0143
172,0,-25.0143
172.5,0,-24.6724
173,0,-25.2475
173.5,0,-25.7604
174,0,-24.2683
174.5,0,-24.9055
175,0,-24.4237
175.5,0,-25.605
176,0,-24.6724
176.5,0,-24.6413
177,0,-25.1076
177.5,0,-25.4806
178,0,-25.7448
178.5,0,-24.4548
179,0,-24.7501
179.5,0,-25.2475
180,0,-24.3771
180.5,0,-25.8537
181,0,-24.5014
181.5,0,-24.8434
182,0,-24.6258
182.5,0,-25.2475
183,0,-25.2164
183.5,0,-25.0299
184,0,-24.8123
184.5,0,-24.9366
185,0,-24.5791
185.5,0,-25.3252
186,0,-24.6258
186.5,0,-25.2941
187,0,-24.5325
187.5,0,-24.9677
188,0,-25.0454
188.5,0,-25.2319
189,0,-24.2683
189.5,0,-25.4651
190,0,-25.092
190.5,0,-24.6102
191,0,-25.4029
191.5,0,-24.346
192,0,-24.9832
192.5,0,-23.8952
193,0,-24.7967
193.5,0,-24.9832
194,0,-24.4237
194.5,0,-24.1439
195,0,-24.1439
195.5,0,-23.5688
196,0,-26.149
196.5,0,-25.0143
197,0,-24.9211
197.5,0,-24.5636
198,0,-24.7035
198.5,0,-24.2993
199,0,-25.0454
199.5,0,-24.8744
200,0,-24.9988
200.5,0,-23.8331
201,0,-24.9055
201.5,0,-24.5947
202,0,-24.6258
202.5,0,-23.8952
203,0,-24.7967
203.5,0,-24.3771
204,0,-23.9263
204.5,0,-25.0299
205,0,-24.3304
205.5,0,-24.2993
206,0,-24.89
206.5,0,-24.0351
207,0,-23.8175
207.5,0,-24.5791
208,0,-24.175
208.5,0,-24.9988
209,0,-24.8744
209.5,0,-24.4859
210,0,-24.9211
210.5,0,-24.2683
211,0,-23.6776
211.5,0,-24.7967
212,0,-23.6932
212.5,0,-25.4962
213,0,-24.0507
213.5,0,-24.9988
214,0,-25.092
214.5,0,-24.9988
215,0,-24.5947
215.5,0,-25.4184
216,0,-24.6413
216.5,0,-24.3615
217,0,-24.5947
217.5,0,-25.2786
218,0,-24.6413
218.5,0,-24.7967
219,0,-23.9263
219.5,0,-25.1542
220,0,-23.2269
220.5,0,-24.7501
221,0,-24.4703
221.5,0,-24.4859
222,0,-24.4703
222.5,0,-24.5169
223,0,-24.5014
223.5,0,-23.46
224,0,-23.3979
224.5,0,-23.9263
225,0,-24.6724
225.5,0,-24.0662
226,0,-24.3615
226.5,0,-23.9108
227,0,-24.7656
227.5,0,-24.7967
228,0,-24.7035
228.5,0,-24.0196
229,0,-24.9522
229.5,0,-23.7553
230,0,-24.7967
230.5,0,-24.3304
231,0,-24.4548
231.5,0,-23.9729
232,0,-25.5272
232.5,0,-23.6776
233,0,-25.0765
233.5,0,-24.0196
234,0,-25.2941
234.5,0,-24.4548
235,0,-25.1387
235.5,0,-23.6465
236,0,-24.7501
236.5,0,-24.0973
237,0,-24.6102
237.5,0,-23.7243
238,0,-25.6205
238.5,0,-24.3304
239,0,-25.8847
239.5,0,-23.8952
240,0,-25.092
240.5,0,-24.2993
241,0,-24.1128
241.5,0,-23.3357
242,0,-24.4703
242.5,0,-23.9574
243,0,-24.175
243.5,0,-24.6102
244,0,-24.6102
244.5,0,-24.2527
245,0,-23.8797
245.5,0,-24.2527
246,0,-25.1076
246.5,0,-25.1542
247,0,-24.5791
247.5,0,-24.3926
248,0,-24.2683
248.5,0,-24.3771
249,0,-25.2941
249.5,0,-24.3149
250,0,-24.2372
250.5,0,-25.2008
251,0,-23.8641
251.5,0,-25.2008
252,0,-24.9522
252.5,0,-24.0351
253,0,-23.7398
253.5,0,-24.2216
254,0,-24.0817
254.5,0,-24.3149
255,0,-23.8486
255.5,0,-24.5169
256,0,-23.4289
256.5,0,-24.2683
257,0,-23.7087
257.5,0,-23.6932
258,0,-23.7087
258.5,0,-24.0507
259,0,-23.8331
259.5,0,-23.3979
260,0,-23.2269
260.5,0,-24.4237
261,0,-23.3823
261.5,0,-24.175
262,0,-24.719
262.5,0,-24.2372
263,0,-24.7812
263.5,0,-24.9366
264,0,-24.7812
264.5,0,-24.004
265,0,-24.8278
265.5,0,-24.0973
266,0,-24.3771
266.5,0,-24.6413
267,0,-25.3096
267.5,0,-25.4184
268,0,-24.4392
268.5,0,-23.5067
269,0,-24.0662
269.5,0,-24.5636
270,0,-23.6155
270.5,0,-24.0507
271,0,-24.7346
271.5,0,-24.4392
272,0,-24.7035
272.5,0,-23.7864
273,0,-24.9832
273.5,0,-24.175
274,0,-24.719
274.5,0,-24.1595
275,0,-24.1595
275.5,0,-23.4756
276,0,-24.004
276.5,0,-23.5067
277,0,-24.2216
277.5,0,-23.5999
278,0,-25.2008
278.5,0,-23.3823
279,0,-24.8123
279.5,0,-23.9263
280,0,-24.346
280.5,0,-25.3718
281,0,-23.7398
281.5,0,-25.7293
282,0,-24.2527
282.5,0,-24.9677
283,0,-23.6932
283.5,0,-24.2993
284,0,-24.8278
284.5,0,-24.3771
285,0,-23.9419
285.5,0,-24.8434
286,0,-23.46
286.5,0,-24.548
287,0,-24.0507
287.5,0,-24.548
288,0,-24.7035
288.5,0,-24.6568
289,0,-24.5947
289.5,0,-25.263
290,0,-23.7553
290.5,0,-23.1025
291,0,-23.3668
291.5,0,-24.1595
292,0,-24.004
292.5,0,-24.4081
293,0,-24.3304
293.5,0,-24.8123
294,0,-24.4548
294.5,0,-23.7398
295,0,-23.6155
295.5,0,-24.0662
296,0,-24.2838
296.5,0,-23.7553
297,0,-24.2993
297.5,0,-23.802
298,0,-24.0196
298.5,0,-24.1284
299,0,-24.2216
299.5,0,-23.802
300,0,-24.6879
