Time,Temperature_HBM,Temperature_FPGA
-2,0,-30.3611
-1.5,0,-30.2407
-1,0,-30.1202
-0.5,0,-29.9998
0,0,-29.8793
0.5,0,-29.8689
1,0,-29.8586
1.5,0,-29.8482
2,0,-29.3508
2.5,0,-29.4078
3,0,-29.4648
3.5,0,-29.5218
4,0,-29.7239
4.5,0,-29.9259
5,0,-29.7472
5.5,0,-29.5684
6,0,-29.2809
6.5,0,-28.9933
7,0,-29.2265
7.5,0,-29.4596
8,0,-29.3197
8.5,0,-29.2731
9,0,-29.3508
9.5,0,-29.4285
10,0,-29.4876
10.5,0,-29.5467
11,0,-29.6057
11.5,0,-29.6648
12,0,-29.7239
12.5,0,-29.6928
13,0,-29.6617
13.5,0,-29.4907
14,0,-29.04
14.5,0,-28.5892
15,0,-28.8301
15.5,0,-29.0711
16,0,-28.6825
16.5,0,-28.2939
17,0,-28.6203
17.5,0,-28.9467
18,0,-28.8939
18.5,0,-28.841
19,0,-28.7882
19.5,0,-28.7353
20,0,-28.6825
20.5,0,-28.597
21,0,-28.5115
21.5,0,-28.3405
22,0,-28.1696
22.5,0,-28.5115
23,0,-28.8535
23.5,0,-28.7447
24,0,-28.6359
24.5,0,-28.597
25,0,-28.5581
25.5,0,-28.5815
26,0,-28.6048
26.5,0,-28.3328
27,0,-28.0608
27.5,0,-28.426
28,0,-28.7913
28.5,0,-28.7602
29,0,-28.5115
29.5,0,-28.4545
30,0,-28.3975
30.5,0,-28.3405
31,0,-27.7033
31.5,0,-27.781
32,0,-27.8587
32.5,0,-28.255
33,0,-28.6514
33.5,0,-28.3872
34,0,-28.1229
34.5,0,-28.255
35,0,-28.3872
35.5,0,-28.3949
36,0,-28.4027
36.5,0,-27.8587
37,0,-27.3147
37.5,0,-27.1826
38,0,-27.0505
38.5,0,-27.8432
39,0,-28.6359
39.5,0,-28.325
40,0,-28.0141
40.5,0,-27.9364
41,0,-27.8587
41.5,0,-28.4416
42,0,-29.0244
42.5,0,-28.8379
43,0,-28.3716
43.5,0,-28.154
44,0,-28.224
44.5,0,-28.2939
45,0,-28.0763
45.5,0,-27.8587
46,0,-27.68
46.5,0,-27.5012
47,0,-27.8198
47.5,0,-28.1385
48,0,-28.3561
48.5,0,-28.5737
49,0,-28.5426
49.5,0,-28.5115
50,0,-28.4804
50.5,0,-28.3172
51,0,-28.154
51.5,0,-27.9986
52,0,-27.8432
52.5,0,-27.6877
53,0,-27.5945
53.5,0,-27.5012
54,0,-27.5478
54.5,0,-27.5945
55,0,-27.8976
55.5,0,-28.2006
56,0,-28.1074
56.5,0,-27.8276
57,0,-27.8483
57.5,0,-27.8691
58,0,-27.8898
58.5,0,-28.0685
59,0,-28.2473
59.5,0,-27.7188
60,0,-27.8043
60.5,0,-27.8898
61,0,-27.9442
61.5,0,-27.9986
62,0,-27.6178
62.5,0,-27.237
63,0,-27.7732
63.5,0,-28.3094
64,0,-28.1229
64.5,0,-27.9364
65,0,-27.7421
65.5,0,-27.5478
66,0,-27.8121
66.5,0,-28.0763
67,0,-28.0608
67.5,0,-28.0141
68,0,-27.7654
68.5,0,-27.711
69,0,-27.6566
69.5,0,-27.4701
70,0,-27.2836
70.5,0,-27.1282
71,0,-26.9727
71.5,0,-27.5634
72,0,-28.154
72.5,0,-28.3405
73,0,-28.5271
73.5,0,-27.9209
74,0,-27.6566
74.5,0,-27.3924
75,0,-27.1282
75.5,0,-27.4701
76,0,-27.8121
76.5,0,-27.8665
77,0,-27.9209
77.5,0,-27.7965
78,0,-27.7033
78.5,0,-27.8898
79,0,-28.0763
79.5,0,-27.8898
80,0,-27.7033
80.5,0,-27.4313
81,0,-27.1593
81.5,0,-27.4598
82,0,-27.7603
82.5,0,-28.0608
83,0,-27.1593
83.5,0,-27.2914
84,0,-27.4235
84.5,0,-27.1178
85,0,-26.8121
85.5,0,-26.5065
86,0,-26.7279
86.5,0,-26.9494
87,0,-27.1709
87.5,0,-27.3924
88,0,-27.338
88.5,0,-27.2836
89,0,-27.439
89.5,0,-27.5945
90,0,-27.4313
90.5,0,-27.2681
91,0,-27.3613
91.5,0,-27.4546
92,0,-27.2681
92.5,0,-27.0815
93,0,-27.4857
93.5,0,-27.8898
94,0,-27.7654
94.5,0,-27.6411
95,0,-27.4857
95.5,0,-27.3302
96,0,-27.0349
96.5,0,-26.7396
97,0,-26.9572
97.5,0,-27.1748
98,0,-27.3924
98.5,0,-27.61
99,0,-27.6489
99.5,0,-27.6877
100,0,-27.3769
100.5,0,-26.7707
101,0,-26.9883
101.5,0,-27.2059
102,0,-27.5168
102.5,0,-27.8276
103,0,-28.154
103.5,0,-28.4804
104,0,-27.711
104.5,0,-26.9417
105,0,-27.1515
105.5,0,-27.3613
106,0,-27.5401
106.5,0,-27.7188
107,0,-27.237
107.5,0,-27.3924
108,0,-27.5478
108.5,0,-27.6256
109,0,-27.7033
109.5,0,-27.5556
110,0,-27.408
110.5,0,-27.4002
111,0,-27.3924
111.5,0,-27.2292
112,0,-27.066
112.5,0,-27.0691
113,0,-27.0722
113.5,0,-27.0753
114,0,-27.0784
114.5,0,-27.0815
115,0,-27.0919
115.5,0,-27.1023
116,0,-27.1126
116.5,0,-27.1593
117,0,-27.2059
117.5,0,-27.3458
118,0,-27.4857
118.5,0,-27.3536
119,0,-27.2214
119.5,0,-26.8484
120,0,-26.5065
120.5,0,-27.0349
121,0,-27.5634
121.5,0,-27.4235
122,0,-27.2836
122.5,0,-27.2603
123,0,-27.237
123.5,0,-27.2448
124,0,-27.2525
124.5,0,-26.8795
125,0,-26.9222
125.5,0,-26.965
126,0,-27.0077
126.5,0,-27.0505
127,0,-26.7811
127.5,0,-26.5116
128,0,-26.2422
128.5,0,-26.5997
129,0,-26.9572
129.5,0,-27.3147
130,0,-27.2914
130.5,0,-27.2681
131,0,-27.1282
131.5,0,-27.0505
132,0,-27.3536
132.5,0,-27.6566
133,0,-27.4235
133.5,0,-27.1904
134,0,-27.338
134.5,0,-27.4857
135,0,-27.3147
135.5,0,-27.1437
136,0,-27.0971
136.5,0,-27.0505
137,0,-26.9158
137.5,0,-26.7811
138,0,-26.6463
138.5,0,-26.5686
139,0,-26.4909
139.5,0,-26.4132
140,0,-26.4754
140.5,0,-26.5375
141,0,-26.5997
141.5,0,-26.6619
142,0,-26.7707
142.5,0,-26.8795
143,0,-27.0815
143.5,0,-27.2836
144,0,-27.0815
144.5,0,-27.0738
145,0,-27.066
145.5,0,-27.0582
146,0,-27.0505
146.5,0,-26.9028
147,0,-26.7551
147.5,0,-26.8562
148,0,-26.9572
148.5,0,-26.9883
149,0,-27.0194
149.5,0,-26.9572
150,0,-26.895
150.5,0,-27.1126
151,0,-27.3302
151.5,0,-27.2292
152,0,-27.1282
152.5,0,-27.2214
153,0,-27.3147
153.5,0,-27.4857
154,0,-27.6566
154.5,0,-27.4779
155,0,-27.2992
155.5,0,-27.2059
156,0,-26.7085
156.5,0,-26.8639
157,0,-27.0194
157.5,0,-27.0116
158,0,-27.0038
158.5,0,-27.2292
159,0,-27.4546
159.5,0,-27.0815
160,0,-26.7085
160.5,0,-26.5375
161,0,-26.3666
161.5,0,-26.4521
162,0,-26.5375
162.5,0,-26.623
163,0,-26.7085
163.5,0,-26.8018
164,0,-26.895
164.5,0,-26.9883
165,0,-27.294
165.5,0,-27.5997
166,0,-27.9053
166.5,0,-27.6566
167,0,-27.2681
167.5,0,-26.8795
168,0,-26.9028
168.5,0,-26.9261
169,0,-26.8018
169.5,0,-26.6774
170,0,-26.7551
170.5,0,-26.8329
171,0,-26.7396
171.5,0,-26.6463
172,0,-26.6722
172.5,0,-26.6982
173,0,-26.7241
173.5,0,-26.9002
174,0,-27.0764
174.5,0,-27.2525
175,0,-27.0038
175.5,0,-26.2733
176,0,-26.3199
176.5,0,-26.3666
177,0,-26.1567
177.5,0,-25.9469
178,0,-26.3251
178.5,0,-26.7033
179,0,-27.0815
179.5,0,-27.123
180,0,-27.1644
180.5,0,-27.2059
181,0,-26.9261
181.5,0,-26.7811
182,0,-26.636
182.5,0,-26.4909
