Time,Temperature_HBM,Temperature_FPGA
-2,29,29.1065
-1.5,29,28.9316
-1,29,28.7568
-0.5,29,28.5819
0,29,28.4071
0.5,33,29.6971
1,33.0714,29.6039
1.5,33.1429,29.5106
2,33.2143,30.179
2.5,33.2857,30.8473
3,33.3571,30.0857
3.5,33.4286,29.3241
4,33.5,29.3163
4.5,33.5714,29.3086
5,33.6429,29.8759
5.5,33.7143,30.4432
6,33.7857,30.381
6.5,33.8571,30.3189
7,33.9286,30.0624
7.5,34,29.8059
8,34,29.5417
8.5,34,29.2775
9,34,29.6816
9.5,34,30.0857
10,34,30.0158
10.5,34.0159,29.9458
11,34.0317,30.1479
11.5,34.0476,30.3499
12,34.0635,30.8629
12.5,34.0794,30.8279
13,34.0952,30.7929
13.5,34.1111,30.758
14,34.127,30.723
14.5,34.1429,30.451
15,34.1587,30.179
15.5,34.1746,30.0469
16,34.1905,29.9147
16.5,34.2063,29.8526
17,34.2222,29.7904
17.5,34.2381,29.907
18,34.254,30.0235
18.5,34.2698,30.2101
19,34.2857,30.3966
19.5,34.3016,30.653
20,34.3175,30.9095
20.5,34.3333,30.5675
21,34.3492,30.2256
21.5,34.3651,30.179
22,34.381,30.1323
22.5,34.3968,30.4743
23,34.4127,30.8162
23.5,34.4286,30.4665
24,34.4444,30.1168
24.5,34.4603,30.1246
25,34.4762,30.1323
25.5,34.4921,30.9872
26,34.5079,31.5623
26.5,34.5238,31.2437
27,34.5397,30.925
27.5,34.5556,30.5287
28,34.5714,30.1323
28.5,34.5873,30.2334
29,34.6032,30.3344
29.5,34.619,30.381
30,34.6349,30.8784
30.5,34.6508,30.4484
31,34.6667,30.0184
31.5,34.6825,29.5883
32,34.6984,30.1479
32.5,34.7143,30.552
33,34.7302,30.7074
33.5,34.746,30.8629
34,34.7619,31.0183
34.5,34.7778,31.1893
35,34.7937,31.1077
35.5,34.8095,31.0261
36,34.8254,30.9445
36.5,34.8413,30.8629
37,34.8571,30.9095
37.5,34.873,30.9561
38,34.8889,31.1271
38.5,34.9048,31.2981
39,34.9206,31.0261
39.5,34.9365,30.7541
40,34.9524,30.8162
40.5,34.9683,31.096
41,34.9841,30.723
41.5,35,30.3499
42,35,30.8318
42.5,35,30.9561
43,35,30.9794
43.5,35,31.0028
44,35,30.5753
44.5,35,30.1479
45,35,30.4043
45.5,35,30.6608
46,35,30.8473
46.5,35,30.7903
47,35,30.7333
47.5,35,30.6763
48,35,31.1737
48.5,35,31.8732
49,35,31.2981
49.5,35,30.723
50,35,30.9328
50.5,35,31.1426
51,35,31.0079
51.5,35,30.8732
52,35,30.7385
52.5,35,30.8784
53,35,31.0183
53.5,35,31.166
54,35,31.3136
54.5,35,31.1271
55,35,30.9406
55.5,35,30.7541
56,35,31.7644
56.5,35,31.6556
57,35,31.5468
57.5,35,31.438
58,35,31.3292
58.5,35,31.1893
59,35,31.0494
59.5,35,30.9484
60,35.0053,30.8473
60.5,35.0105,30.8292
61,35.0158,30.8111
61.5,35.0211,30.7929
62,35.0263,30.7748
62.5,35.0316,30.7567
63,35.0368,30.7385
63.5,35.0421,30.8318
64,35.0474,30.925
64.5,35.0526,31.0649
65,35.0579,31.2048
65.5,35.0632,31.3447
66,35.0684,31.4846
66.5,35.0737,30.7152
67,35.0789,29.9458
67.5,35.0842,31.0338
68,35.0895,31.1271
68.5,35.0947,31.4846
69,35.1,31.2631
69.5,35.1053,31.0416
70,35.1105,30.8201
70.5,35.1158,30.5986
71,35.1211,31.0805
71.5,35.1263,31.5623
72,35.1316,30.9794
72.5,35.1368,30.3966
73,35.1421,31.2204
73.5,35.1474,31.3913
74,35.1526,31.1893
74.5,35.1579,30.9872
75,35.1632,31.0494
75.5,35.1684,31.1893
76,35.1737,31.5157
76.5,35.1789,31.8421
77,35.1842,31.6245
77.5,35.1895,31.4069
78,35.1947,31.5623
78.5,35.2,32.728
79,35.2053,32.2384
79.5,35.2105,31.7488
80,35.2158,31.6711
80.5,35.2211,31.5934
81,35.2263,31.166
81.5,35.2316,30.7385
82,35.2368,30.9872
82.5,35.2421,31.2359
83,35.2474,31.6322
83.5,35.2526,32.0286
84,35.2579,31.8498
84.5,35.2632,31.6711
85,35.2684,31.5468
85.5,35.2737,31.4224
86,35.2789,31.5234
86.5,35.2842,31.6245
87,35.2895,31.3499
87.5,35.2947,31.0753
88,35.3,30.8007
88.5,35.3053,31.2126
89,35.3105,31.6245
89.5,35.3158,31.7799
90,35.3211,31.9353
90.5,35.3263,31.6322
91,35.3316,31.3292
91.5,35.3368,31.2398
92,35.3421,31.1504
92.5,35.3474,31.061
93,35.3526,30.9717
93.5,35.3579,30.7774
94,35.3632,30.5831
94.5,35.3684,31.7177
95,35.3737,31.5053
95.5,35.3789,31.2929
96,35.3842,31.0805
96.5,35.3895,30.6919
97,35.3947,30.3033
97.5,35.4,31.7644
98,35.4053,31.8576
98.5,35.4105,31.7177
99,35.4158,31.5778
99.5,35.4211,31.3758
100,35.4263,31.1737
100.5,35.4316,31.2748
101,35.4368,31.3758
101.5,35.4421,31.4535
102,35.4474,31.5312
102.5,35.4526,31.469
103,35.4579,31.4069
103.5,35.4632,31.3447
104,35.4684,31.2825
104.5,35.4737,31.469
105,35.4789,31.6556
105.5,35.4842,31.4846
106,35.4895,31.3136
106.5,35.4947,32.1374
107,35.5,31.8032
107.5,35.5053,31.469
108,35.5105,32.355
108.5,35.5158,32.1322
109,35.5211,31.9094
109.5,35.5263,31.6866
110,35.5316,31.741
110.5,35.5368,31.7954
111,35.5421,31.8265
111.5,35.5474,31.8576
112,35.5526,32.1374
112.5,35.5579,32.4172
113,35.5632,32.0441
113.5,35.5684,31.6711
114,35.5737,31.2981
114.5,35.5789,30.925
115,35.5842,30.9561
115.5,35.5895,31.7022
116,35.5947,31.9509
116.5,35.6,32.1996
117,35.6053,32.0985
117.5,35.6105,31.9975
118,35.6158,31.7255
118.5,35.6211,31.4535
119,35.6263,31.4108
119.5,35.6316,31.368
120,35.6368,31.3253
120.5,35.6421,31.2825
121,35.6474,31.0649
121.5,35.6526,30.8473
122,35.6579,31.2437
122.5,35.6632,31.64
123,35.6684,31.5778
123.5,35.6737,31.5157
124,35.6789,31.7177
124.5,35.6842,31.5623
125,35.6895,31.4069
125.5,35.6947,31.2514
126,35.7,31.096
126.5,35.7053,31.3913
127,35.7105,31.6866
127.5,35.7158,31.982
128,35.7211,31.9625
128.5,35.7263,31.9431
129,35.7316,31.9237
129.5,35.7368,31.9042
130,35.7421,32.7436
130.5,35.7474,31.9431
131,35.7526,31.1426
131.5,35.7579,31.8421
132,35.7632,31.8628
132.5,35.7684,31.8835
133,35.7737,31.9042
133.5,35.7789,31.6556
134,35.7842,31.4069
134.5,35.7895,31.1582
135,35.7947,31.5468
135.5,35.8,31.5468
136,35.8053,31.5468
136.5,35.8105,31.5468
137,35.8158,31.5468
137.5,35.8211,31.71
138,35.8263,31.8732
138.5,35.8316,32.1374
139,35.8368,32.4016
139.5,35.8421,32.1452
140,35.8474,31.8887
140.5,35.8526,31.9198
141,35.8579,31.9509
141.5,35.8632,31.8188
142,35.8684,31.6866
142.5,35.8737,31.469
143,35.8789,31.2514
143.5,35.8842,31.3447
144,35.8895,31.2307
144.5,35.8947,31.1167
145,35.9,31.0028
145.5,35.9053,31.0105
146,35.9105,31.0183
146.5,35.9158,31.368
147,35.9211,31.7177
147.5,35.9263,31.6089
148,35.9316,31.5001
148.5,35.9368,31.539
149,35.9421,31.5778
