Time,Temperature_HBM,Temperature_FPGA
-2,31,30.1479
-1.5,31,30.4976
-1,31,30.8473
-0.5,31,31.197
0,31,31.5468
0.5,35,31.5856
1,35.0244,31.6245
1.5,35.0488,31.4613
2,35.0732,31.2981
2.5,35.0976,31.1349
3,35.122,30.9717
3.5,35.1463,31.1116
4,35.1707,31.2514
4.5,35.1951,31.3913
5,35.2195,30.9794
5.5,35.2439,30.5675
6,35.2683,30.9017
6.5,35.2927,31.2359
7,35.3171,31.64
7.5,35.3415,31.6038
8,35.3659,31.5675
8.5,35.3902,31.5312
9,35.4146,31.4613
9.5,35.439,31.3913
10,35.4634,31.5234
10.5,35.4878,31.6556
11,35.5122,31.3525
11.5,35.5366,31.0494
12,35.561,31.0649
12.5,35.5854,31.1893
13,35.6098,31.2126
13.5,35.6341,31.2359
14,35.6585,31.6322
14.5,35.6829,32.0286
15,35.7073,31.8783
15.5,35.7317,31.7281
16,35.7561,31.5778
16.5,35.7805,31.3292
17,35.8049,31.0805
17.5,35.8293,30.8318
18,35.8537,31.2981
18.5,35.878,31.6089
19,35.9024,32.0597
19.5,35.9268,32.2773
20,35.9512,32.1219
20.5,35.9756,31.9664
21,36,31.8965
21.5,36,31.8265
22,36,31.9042
22.5,36,31.982
23,36,31.2903
23.5,36,30.5986
24,36,30.7541
24.5,36,31.5623
25,36,32.3705
25.5,36,31.469
26,36,30.5675
26.5,36,31.2825
27,36,32.2773
27.5,36,32.0364
28,36,31.7954
28.5,36,31.8965
29,36,31.9975
29.5,36,31.811
30,36,31.6245
30.5,36,31.438
31,36,31.3136
31.5,36,31.1893
32,36,31.9664
32.5,36,31.912
33,36,31.8576
33.5,36,31.7566
34,36,31.6556
34.5,36,31.4302
35,36,31.2048
35.5,36,31.2981
36,36,31.8576
36.5,36,32.2773
37,36,32.6969
37.5,36,32.6659
38,36,32.6348
38.5,36,31.7721
39,36,30.9095
39.5,36,31.4846
40,36,31.4566
40.5,36,31.4286
41,36,31.4007
41.5,36,31.3727
42,36,31.3447
42.5,36,31.8887
43,36,31.3758
43.5,36,30.8629
44,36,30.8862
44.5,36,30.9095
45,36,31.2048
45.5,36,31.5468
46,36,31.4302
46.5,36,31.3136
47,36,31.3758
47.5,36,31.4069
48,36,31.7954
48.5,36,32.184
49,36,31.7488
49.5,36,31.3136
50,36,31.5312
50.5,36,31.7488
