Time,Temperature_HBM,Temperature_FPGA
-2,0,-28.9623
-1.5,0,-28.6864
-1,0,-28.4105
-0.5,0,-28.1346
0,0,-27.8587
0.5,0.00246305,-25.6827
1,0.00492611,-25.6127
1.5,0.00738916,-25.5428
2,0.00985222,-24.6879
2.5,0.0123153,-23.7864
3,0.0147783,-23.8408
3.5,0.0172414,-23.8952
4,0.0197044,-22.9471
4.5,0.0221675,-23.0481
5,0.0246305,-23.1492
5.5,0.0270936,-22.4964
6,0.0295567,-22.0922
6.5,0.0320197,-21.7969
7,0.0344828,-21.5327
7.5,0.0369458,-21.3928
8,0.0394089,-20.9187
8.5,0.0418719,-20.4447
9,0.044335,-20.7478
9.5,0.046798,-21.0509
10,0.0492611,-20.5379
10.5,0.0517241,-20.025
11,0.0541872,-19.8696
11.5,0.0566502,-18.8593
12,0.0591133,-19.1339
12.5,0.0615764,-19.4085
13,0.0640394,-19.6831
13.5,0.0665025,-18.9525
14,0.0689655,-18.8981
14.5,0.0714286,-18.8437
15,0.0738916,-18.393
15.5,0.0763547,-17.507
16,0.0788177,-17.9267
16.5,0.0812808,-18.3464
17,0.0837438,-18.1365
17.5,0.0862069,-17.9267
18,0.08867,-17.9112
18.5,0.091133,-16.932
19,0.0935961,-17.1107
19.5,0.0960591,-17.2894
20,0.0985222,-17.1806
20.5,0.100985,-17.0718
21,0.103448,-17.1185
21.5,0.105911,-17.1651
22,0.108374,-17.1029
22.5,0.110837,-17.0408
23,0.1133,-16.59
23.5,0.115764,-16.1393
24,0.118227,-15.9217
24.5,0.12069,-15.7041
25,0.123153,-15.8673
25.5,0.125616,-16.0305
26,0.128079,-15.9916
26.5,0.130542,-15.9527
27,0.133005,-16.2403
27.5,0.135468,-16.5278
28,0.137931,-15.4398
28.5,0.140394,-15.673
29,0.142857,-15.9061
29.5,0.14532,-15.4942
30,0.147783,-15.0823
30.5,0.150246,-15.0823
31,0.152709,-15.0823
31.5,0.155172,-15.0746
32,0.157635,-15.0668
32.5,0.160099,-14.8181
33,0.162562,-14.5694
33.5,0.165025,-14.3596
34,0.167488,-14.1497
34.5,0.169951,-14.2508
35,0.172414,-14.3518
