Time,Temperature_HBM,Temperature_FPGA
-2,0,-30.0192
-1.5,0,-29.4052
-1,0,-28.7913
-0.5,0,-28.1773
0,0,-27.5634
0.5,0.00263852,-25.7293
1,0.00527704,-24.9832
1.5,0.00791557,-23.9729
2,0.0105541,-22.9626
2.5,0.0131926,-22.473
3,0.0158311,-21.9834
3.5,0.0184697,-22.1751
4,0.0211082,-22.3668
4.5,0.0237467,-22.5585
5,0.0263852,-21.9368
5.5,0.0290237,-21.7114
6,0.0316623,-21.4861
6.5,0.0343008,-21.2218
7,0.0369393,-20.1183
7.5,0.0395778,-20.2659
8,0.0422164,-20.4136
8.5,0.0448549,-20.5068
9,0.0474934,-20.6001
9.5,0.0501319,-20.6856
10,0.0527704,-20.7711
10.5,0.055409,-19.481
11,0.0580475,-19.4344
11.5,0.060686,-19.3877
12,0.0633245,-19.0847
12.5,0.0659631,-18.7816
13,0.0686016,-18.8165
13.5,0.0712401,-18.8515
14,0.0738786,-18.8865
14.5,0.0765172,-18.9215
15,0.0791557,-18.5951
15.5,0.0817942,-18.2687
16,0.0844327,-17.9578
16.5,0.0870712,-17.6469
17,0.0897098,-17.2428
17.5,0.0923483,-16.8387
18,0.0949868,-17.1496
18.5,0.0976253,-17.4604
19,0.100264,-17.4293
19.5,0.102902,-16.4812
20,0.105541,-16.4423
20.5,0.108179,-16.4035
21,0.110818,-16.2481
21.5,0.113456,-16.0926
22,0.116095,-16.3724
22.5,0.118734,-16.6522
23,0.121372,-16.3802
23.5,0.124011,-16.1082
24,0.126649,-16.2947
24.5,0.129288,-16.4812
25,0.131926,-16.1859
25.5,0.134565,-15.3932
26,0.137203,-15.5253
26.5,0.139842,-15.6574
27,0.14248,-15.9527
27.5,0.145119,-16.2481
28,0.147757,-14.9424
28.5,0.150396,-15.1911
29,0.153034,-15.4398
29.5,0.155673,-15.0746
30,0.158311,-14.7093
30.5,0.16095,-14.8336
31,0.163588,-14.958
31.5,0.166227,-14.7715
32,0.168865,-14.6238
32.5,0.171504,-14.4762
33,0.174142,-14.0254
33.5,0.176781,-14.0358
34,0.17942,-14.0461
34.5,0.182058,-14.0565
35,0.184697,-14.1394
35.5,0.187335,-14.2223
36,0.189974,-14.3052
36.5,0.192612,-13.699
37,0.195251,-13.0928
