Time,Temperature_HBM,Temperature_FPGA
-2,0,-24.4548
-1.5,0,-24.7656
-1,0,-25.0299
-0.5,0,-24.7967
0,0,-24.5325
0.5,0,-24.6258
1,0,-24.0196
1.5,0,-24.0507
2,0,-24.5169
2.5,0,-24.4237
3,0,-23.9885
3.5,0,-25.7604
4,0,-24.8278
4.5,0,-24.7501
5,0,-25.4495
5.5,0,-24.5014
6,0,-25.3718
6.5,0,-24.3615
7,0,-25.3096
7.5,0,-25.2008
8,0,-25.2164
8.5,0,-24.4392
9,0,-24.9522
9.5,0,-25.1698
10,0,-25.4184
10.5,0,-24.8589
11,0,-25.5428
11.5,0,-25.4495
12,0,-25.3563
12.5,0,-24.7035
13,0,-25.3096
13.5,0,-24.6258
14,0,-26.1179
14.5,0,-25.4184
15,0,-25.1387
15.5,0,-24.4859
16,0,-24.8278
16.5,0,-25.4806
17,0,-25.6205
17.5,0,-24.5636
18,0,-25.1853
18.5,0,-24.6258
19,0,-25.6982
19.5,0,-25.5428
20,0,-24.9832
20.5,0,-24.9677
21,0,-26.2422
21.5,0,-25.8847
22,0,-25.7604
22.5,0,-26.522
23,0,-25.1698
23.5,0,-25.605
24,0,-25.0454
24.5,0,-25.6827
25,0,-25.6827
25.5,0,-26.0246
26,0,-25.9935
26.5,0,-26.2111
27,0,-25.1387
27.5,0,-25.2786
28,0,-25.4029
28.5,0,-26.6463
29,0,-25.8226
29.5,0,-25.7604
30,0,-24.719
30.5,0,-26.0868
31,0,-25.2786
31.5,0,-25.8847
32,0,-25.6516
32.5,0,-25.978
33,0,-25.4184
33.5,0,-26.1179
34,0,-25.1853
34.5,0,-25.8537
35,0,-26.2578
35.5,0,-25.7915
36,0,-26.1334
36.5,0,-26.2578
37,0,-25.0143
37.5,0,-25.7759
38,0,-24.9988
38.5,0,-26.5686
39,0,-25.263
39.5,0,-25.2164
40,0,-25.1231
40.5,0,-26.2889
41,0,-26.4132
41.5,0,-25.9003
42,0,-26.0557
42.5,0,-25.2941
43,0,-27.5945
43.5,0,-25.7138
44,0,-26.0713
44.5,0,-25.9158
45,0,-27.1282
45.5,0,-26.3666
46,0,-26.693
46.5,0,-26.3355
47,0,-26.7396
47.5,0,-26.3666
48,0,-27.3147
48.5,0,-26.2267
49,0,-25.4806
49.5,0,-25.9625
50,0,-25.3718
50.5,0,-26.2889
51,0,-26.2111
51.5,0,-25.978
52,0,-26.4132
52.5,0,-26.2267
53,0,-26.8795
53.5,0,-25.6671
54,0,-26.1645
54.5,0,-26.2111
55,0,-25.978
55.5,0,-27.2059
56,0,-26.5531
56.5,0,-25.6982
57,0,-26.6463
57.5,0,-25.8226
58,0,-26.7551
58.5,0,-26.2422
59,0,-26.3355
59.5,0,-26.0402
60,0,-26.3977
60.5,0,-25.1542
61,0,-26.1179
61.5,0,-27.1593
62,0,-27.0038
62.5,0,-26.5375
63,0,-26.5531
63.5,0,-27.3302
64,0,-25.9625
64.5,0,-27.7654
65,0,-26.3199
65.5,0,-28.0452
66,0,-26.3977
66.5,0,-26.693
67,0,-25.7915
67.5,0,-27.408
68,0,-26.8795
68.5,0,-27.5634
69,0,-27.0038
69.5,0,-26.2889
70,0,-26.7085
70.5,0,-27.3147
71,0,-26.7707
71.5,0,-26.6774
72,0,-26.4598
72.5,0,-27.237
73,0,-26.0713
73.5,0,-26.6463
74,0,-26.6463
74.5,0,-27.0505
75,0,-26.2267
75.5,0,-27.1748
76,0,-26.5531
76.5,0,-27.439
77,0,-26.5531
77.5,0,-27.5634
78,0,-28.2317
78.5,0,-27.0349
79,0,-27.9675
79.5,0,-26.7551
80,0,-27.4235
80.5,0,-26.5375
81,0,-27.4701
81.5,0,-26.2578
82,0,-28.1229
82.5,0,-26.522
83,0,-27.5323
83.5,0,-26.3355
84,0,-27.6722
84.5,0,-27.4235
85,0,-27.7654
85.5,0,-26.5842
86,0,-27.3924
86.5,0,-27.6566
87,0,-26.9572
87.5,0,-27.0194
88,0,-27.4701
88.5,0,-27.237
89,0,-27.61
89.5,0,-26.5686
90,0,-28.2006
90.5,0,-27.2992
91,0,-27.1904
91.5,0,-27.4857
92,0,-27.7654
92.5,0,-27.066
93,0,-28.1385
93.5,0,-27.0038
94,0,-27.8898
