Time,Temperature_HBM,Temperature_FPGA
-2,0,-27.952
-1.5,0,-28.3872
-1,0,-26.3199
-0.5,0,-28.6669
0,0,-28.3405
0.5,0,-26.9106
1,0,-27.3147
1.5,0,-25.3252
2,0,-25.9003
2.5,0,-24.3304
3,0,-25.1853
3.5,0,-24.1439
4,0,-23.6776
4.5,0,-23.631
5,0,-23.9108
5.5,0,-23.4134
6,0,-23.3979
6.5,0,-22.1389
7,0,-23.2735
7.5,0,-22.5896
8,0,-22.5585
8.5,0,-22.0301
9,0,-23.0248
9.5,0,-21.9368
10,0,-22.2321
10.5,0,-21.1286
11,0,-21.4083
11.5,0,-20.4602
12,0,-21.8746
12.5,0,-20.7711
13,0,-21.3462
13.5,0,-19.9939
14,0,-20.1494
14.5,0,-20.7711
15,0,-20.7089
15.5,0,-20.0406
16,0,-20.9421
16.5,0,-20.6312
17,0,-20.3048
17.5,0,-19.6831
18,0,-19.5587
18.5,0,-19.6364
19,0,-19.652
19.5,0,-18.3464
20,0,-19.4655
20.5,0,-18.8593
21,0,-20.3514
21.5,0,-19.1391
22,0,-19.2168
22.5,0,-18.4396
23,0,-18.1443
23.5,0,-19.823
24,0,-19.2789
24.5,0,-19.2945
25,0,-18.4396
25.5,0,-18.7194
26,0,-19.0147
26.5,0,-18.8282
27,0,-18.4085
27.5,0,-18.7349
28,0,-18.393
28.5,0,-18.9992
29,0,-18.937
29.5,0,-18.051
30,0,-17.678
30.5,0,-18.0977
31,0,-16.5745
31.5,0,-18.5329
32,0,-17.7402
32.5,0,-18.393
33,0,-16.9164
33.5,0,-18.2531
34,0,-17.2739
34.5,0,-17.1806
35,0,-17.0718
35.5,0,-17.1029
36,0,-17.2584
36.5,0,-16.8542
37,0,-17.7868
37.5,0,-17.476
38,0,-16.9941
38.5,0,-17.6003
39,0,-16.1237
39.5,0,-17.3516
40,0,-16.4657
40.5,0,-16.4501
41,0,-16.8698
41.5,0,-17.3361
42,0,-16.1237
42.5,0,-15.9217
43,0,-16.6055
43.5,0,-15.2688
44,0,-16.1393
44.5,0,-15.9527
45,0,-16.2791
45.5,0,-15.5486
46,0,-16.8698
46.5,0,-15.1756
47,0,-17.0718
47.5,0,-15.0823
48,0,-15.5486
48.5,0,-15.3776
49,0,-15.9527
49.5,0,-15.5953
50,0,-16.9786
50.5,0,-14.8803
51,0,-16.2947
51.5,0,-15.5486
52,0,-15.0668
52.5,0,-14.616
53,0,-15.9217
53.5,0,-15.3776
54,0,-15.5797
54.5,0,-14.1808
55,0,-14.9269
55.5,0,-14.7559
56,0,-15.0046
56.5,0,-13.6213
57,0,-15.3466
57.5,0,-15.4087
58,0,-14.7404
58.5,0,-14.1653
59,0,-14.414
59.5,0,-13.5125
60,0,-14.8803
60.5,0,-13.8233
61,0,-14.3052
61.5,0,-12.8286
62,0,-15.2999
62.5,0,-13.4348
63,0,-14.5072
63.5,0,-14.0409
64,0,-13.326
64.5,0,-13.0928
65,0,-14.1497
65.5,0,-13.8544
66,0,-13.4503
66.5,0,-13.6057
67,0,-14.0565
67.5,0,-14.3674
68,0,-12.8752
68.5,0,-14.1187
69,0,-12.8752
69.5,0,-13.8544
70,0,-12.269
70.5,0,-12.9374
71,0,-13.2483
71.5,0,-13.2327
72,0,-12.782
72.5,0,-13.699
73,0,-12.782
73.5,0,-12.8286
74,0,-12.7509
74.5,0,-13.8389
75,0,-11.9582
75.5,0,-13.0307
76,0,-12.9529
76.5,0,-13.0928
77,0,-12.9685
77.5,0,-13.4037
78,0,-12.4089
78.5,1,-12.3312
79,1,-12.2069
79.5,1,-11.7406
80,1,-11.6162
80.5,1,-11.7095
81,1,-12.067
81.5,1,-11.5385
82,1,-13.0928
82.5,1,-11.8805
83,1,-12.067
83.5,1,-11.1499
84,1,-13.0151
84.5,1,-11.725
85,1,-12.6887
85.5,1,-11.6007
86,1,-12.3312
86.5,1,-11.7872
87,1,-12.6887
87.5,1,-11.7561
88,1,-11.4919
88.5,1,-10.8702
89,1,-12.3623
89.5,2,-12.067
90,2,-11.1033
90.5,1,-10.9945
91,2,-10.7614
91.5,2,-10.2329
92,2,-11.6939
92.5,2,-10.808
93,2,-11.6473
93.5,2,-10.1086
94,2,-11.4763
94.5,2,-10.3106
95,2,-11.5541
95.5,2,-11.352
96,2,-11.5541
96.5,2,-10.2795
97,2,-11.3831
97.5,2,-10.7147
98,2,-9.81324
98.5,2,-10.5438
99,2,-10.4971
99.5,2,-11.2121
100,2,-10.7769
100.5,2,-11.1966
101,3,-9.76661
101.5,3,-10.4505
102,3,-10.0619
102.5,3,-10.2795
103,3,-10.4505
103.5,3,-10.4505
104,3,-10.0153
104.5,3,-10.4194
105,3,-10.3262
105.5,3,-10.5438
106,3,-10.1241
106.5,3,-9.71998
107,3,-8.80295
107.5,3,-10.2329
108,3,-9.82879
108.5,3,-9.37804
109,3,-9.00501
109.5,3,-11.0101
110,3,-9.84433
110.5,3,-10.7458
111,3,-9.70444
111.5,3,-9.5801
112,3,-9.20706
112.5,4,-10.2018
113,4,-8.21231
113.5,4,-8.61643
114,4,-8.81849
114.5,4,-9.37804
115,4,-9.93759
115.5,4,-8.83403
116,4,-9.5801
116.5,4,-9.4713
117,4,-9.14489
117.5,4,-8.21231
118,4,-9.34695
118.5,4,-8.7874
119,4,-9.28478
119.5,4,-9.30032
120,4,-9.93759

