Time,Temperature_HBM,Temperature_FPGA
-2,0,-37.9306
-1.5,0,-38.4746
-1,0,-37.6197
-0.5,0,-38.0549
0,0,-38.2725
0.5,0,-38.0705
1,0,-38.9253
1.5,0,-37.0913
2,0,-37.7441
2.5,0,-37.6197
3,0,-38.1948
3.5,0,-37.0757
4,0,-38.1016
4.5,0,-37.2001
5,0,-38.5989
5.5,0,-36.5473
6,0,-37.2933
6.5,0,-36.9047
7,0,-37.0135
7.5,0,-36.5162
8,0,-36.3607
8.5,0,-36.3763
9,0,-36.625
9.5,0,-36.454
10,0,-37.2001
10.5,0,-35.5525
11,0,-37.0135
11.5,0,-35.8944
12,0,-36.5783
12.5,0,-35.8944
13,0,-37.0446
13.5,0,-35.2727
14,0,-36.0965
14.5,0,-36.0499
15,0,-36.1898
15.5,0,-34.9774
16,0,-36.0188
16.5,0,-35.3349
17,0,-36.454
17.5,0,-35.6924
18,0,-36.1742
18.5,0,-35.3815
19,0,-34.6355
19.5,0,-35.537
20,0,-34.0448
20.5,0,-36.2986
21,0,-35.3971
21.5,0,-35.0862
22,0,-35.3349
22.5,0,-35.7079
23,0,-34.9774
23.5,0,-35.366
24,0,-35.6147
24.5,0,-35.568
25,0,-34.5577
25.5,0,-35.6458
26,0,-34.4334
26.5,0,-34.7598
27,0,-35.2572
27.5,0,-35.5836
28,0,-33.936
28.5,0,-35.1173
29,0,-34.8997
29.5,0,-34.6355
30,0,-33.9516
30.5,0,-35.1173
31,0,-34.4334
31.5,0,-34.8997
32,0,-34.1692
32.5,0,-34.5577
33,0,-35.195
33.5,0,-34.9463
34,0,-34.0293
34.5,0,-34.4179
35,0,-34.7287
35.5,0,-34.9463
36,0,-34.3557
36.5,0,-34.7132
37,0,-33.1278
37.5,0,-34.2158
38,0,-33.7651
38.5,0,-34.7753
39,0,-33.5941
39.5,0,-34.2469
40,0,-32.8325
40.5,0,-33.5785
41,0,-33.0656
41.5,0,-34.0448
42,0,-32.9257
42.5,0,-34.3557
43,0,-32.3506
43.5,0,-33.4542
44,0,-32.3506
44.5,0,-32.9568
45,0,-33.0034
45.5,0,-33.6407
46,0,-33.5008
46.5,0,-33.3765
47,0,-32.3506
47.5,0,-33.0656
48,0,-33.4076
48.5,0,-33.6718
49,0,-32.1175
49.5,0,-32.9568
50,0,-33.0967
50.5,0,-33.5319
51,0,-32.9413
51.5,0,-31.8999
52,0,-32.7392
52.5,0,-33.0345
53,0,-32.9102
53.5,0,-32.8325
54,0,-33.0501
54.5,0,-32.7703
55,0,-33.4697
55.5,0,-31.8999
56,0,-33.0501
56.5,0,-32.5682
57,0,-32.3196
57.5,0,-32.133
58,0,-32.9257
58.5,0,-32.7237
59,0,-32.7858
59.5,0,-32.4594
60,0,-33.5319
60.5,0,-31.8066
61,0,-32.1019
61.5,0,-31.6978
62,0,-32.6304
62.5,0,-32.5372
63,0,-32.5527
63.5,0,-31.4491
64,0,-32.4439
64.5,0,-32.0242
65,0,-31.6823
65.5,0,-31.4025
66,0,-31.9931
66.5,0,-31.5269
67,0,-32.304
67.5,0,-31.0295
68,0,-32.0087
68.5,0,-31.0917
69,0,-32.2574
69.5,0,-31.1694
70,0,-32.133
70.5,0,-32.304
71,0,-31.4491
71.5,0,-31.4958
72,0,-31.2782
72.5,0,-31.7134
73,0,-31.0761
73.5,0,-30.843
74,0,-32.1175
74.5,0,-30.7963
75,0,-31.931
75.5,0,-32.2729
76,0,-30.0969
76.5,0,-32.3662
77,0,-31.4336
77.5,0,-31.9621
78,0,-30.8585
78.5,0,-31.9154
79,0,-30.2523
79.5,0,-32.3506
80,0,-30.7342
80.5,0,-31.3248
81,0,-31.1383
81.5,0,-31.4491
82,0,-30.8119
82.5,0,-31.3714
83,0,-30.8119
83.5,0,-31.8688
84,0,-30.5632
84.5,0,-31.7911
85,0,-29.786
85.5,0,-31.7289
86,0,-30.9828
86.5,0,-31.2937
87,0,-30.4233
87.5,0,-30.9673
88,0,-29.9726
88.5,0,-30.4544
89,0,-29.6772
89.5,0,-31.1072
90,0,-30.5321
90.5,0,-30.4699
91,0,-30.8274
91.5,0,-30.3922
92,0,-29.8793
92.5,0,-30.7342
93,0,-29.8171
93.5,0,-30.5787
94,0,-29.9881
94.5,0,-30.5476
95,0,-30.3456
95.5,0,-30.5943
96,0,-30.0347
96.5,0,-30.0192
97,0,-30.5943
97.5,0,-30.0347
98,0,-29.3042
98.5,0,-30.9518
99,0,-29.5063
99.5,0,-30.299
100,0,-29.2576
100.5,0,-28.8224
101,0,-30.7342
101.5,0,-30.0814
102,0,-30.7652
102.5,0,-29.5063
103,0,-29.9259
103.5,0,-29.9415
104,0,-29.9104
104.5,0,-29.1021
105,0,-30.2834
105.5,0,-29.6772
106,0,-30.0503
106.5,0,-30.2834
107,0,-30.0503
107.5,0,-29.2265
108,0,-30.33
108.5,0,-28.9156
109,0,-30.5632
109.5,0,-29.5373
110,0,-29.957
110.5,0,-28.9778
111,0,-29.6306
111.5,0,-29.3664
112,0,-28.8535
112.5,0,-29.6151
113,0,-29.755
113.5,0,-29.7083
114,0,-29.0555
114.5,0,-29.1643
115,0,-30.2368
115.5,0,-28.8379
116,0,-30.128
116.5,0,-28.7291
117,0,-28.3561
117.5,0,-28.5426
118,0,-29.3197
118.5,0,-28.6359
119,0,-30.0036
119.5,0,-28.1074
120,0,-29.5684
120.5,0,-29.3508
121,0,-29.0089
121.5,0,-29.3975
122,0,-29.5218
122.5,0,-28.9623
123,0,-28.5892
123.5,0,-28.7136
124,0,-29.1954
124.5,0,-28.8379
125,0,-29.0866
125.5,0,-29.5063
126,0,-28.8535
126.5,0,-29.3508
127,0,-28.2006
127.5,0,-28.5737
128,0,-28.3405
128.5,0,-28.6203
129,0,-27.5789
129.5,0,-28.9312
130,0,-28.8224
130.5,0,-28.2939
131,0,-28.8224
131.5,0,-28.4649
132,0,-28.6048
132.5,0,-29.0555
133,0,-27.7654
133.5,0,-29.1488
134,0,-28.496
134.5,0,-29.3664
135,0,-27.237
135.5,0,-28.4027
136,0,-28.2939
136.5,0,-27.8276
137,0,-26.8639
137.5,0,-28.1696
138,0,-27.5012
138.5,0,-28.9156
139,0,-27.6256
139.5,0,-28.3561
140,0,-28.2317
140.5,0,-28.3716
141,0,-27.7654
141.5,0,-28.2006
142,0,-28.6203
142.5,0,-27.7188
143,0,-28.325
143.5,0,-28.3561
144,0,-26.9417
144.5,0,-27.3613
145,0,-28.6203
145.5,0,-27.0971
146,0,-28.7447
146.5,0,-27.8742
147,0,-28.6825
147.5,0,-26.8018
148,0,-27.5945
148.5,0,-27.781
149,0,-28.0918
149.5,0,-26.8484
150,0,-27.5323
150.5,0,-28.0141
151,0,-27.61
151.5,0,-27.4857
152,0,-27.1282
152.5,0,-27.2525
