Time,Temperature_HBM,Temperature_FPGA
-2,0,-37.9306
-1.5,0,-38.7855
-1,0,-38.4746
-0.5,0,-38.2881
0,0,-38.7388
0.5,0,-38.8787
1,0,-37.3866
1.5,0,-37.371
2,0,-37.4643
2.5,0,-37.1379
3,0,-36.9669
3.5,0,-38.5523
4,0,-37.5109
4.5,0,-37.7441
5,0,-36.3918
5.5,0,-37.1534
6,0,-37.1068
6.5,0,-36.3452
7,0,-37.1845
7.5,0,-37.3399
8,0,-36.9047
8.5,0,-37.371
9,0,-35.6613
9.5,0,-37.2001
10,0,-36.2209
10.5,0,-36.7649
11,0,-36.5939
11.5,0,-36.3763
12,0,-36.2519
12.5,0,-36.1898
13,0,-36.0654
13.5,0,-35.4282
14,0,-36.2675
14.5,0,-36.0654
15,0,-36.081
15.5,0,-35.3971
16,0,-37.0602
16.5,0,-36.4074
17,0,-36.8426
17.5,0,-35.366
18,0,-36.6871
18.5,0,-35.5525
19,0,-36.081
19.5,0,-35.024
20,0,-34.8064
20.5,0,-35.5059
21,0,-36.3452
21.5,0,-34.9774
22,0,-35.6768
22.5,0,-34.8842
23,0,-34.993
23.5,0,-33.936
24,0,-34.9619
24.5,0,-33.8739
25,0,-35.4592
25.5,0,-35.0862
26,0,-35.1484
26.5,0,-35.2727
27,0,-35.5214
27.5,0,-34.48
28,0,-34.822
28.5,0,-34.822
29,0,-34.278
29.5,0,-33.7806
30,0,-34.8842
30.5,0,-33.8894
31,0,-34.0759
31.5,0,-33.6407
32,0,-34.6976
32.5,0,-33.9827
33,0,-34.5733
33.5,0,-33.7806
34,0,-34.2624
34.5,0,-33.5941
35,0,-35.6147
35.5,0,-33.4542
36,0,-34.3712
36.5,0,-33.6563
37,0,-33.8894
37.5,0,-33.3765
38,0,-33.5319
38.5,0,-33.0967
39,0,-34.1381
39.5,0,-33.3143
40,0,-34.1692
40.5,0,-33.5164
41,0,-33.6718
41.5,0,-33.8117
42,0,-33.4076
42.5,0,-33.3454
43,0,-32.8791
43.5,0,-32.6926
44,0,-32.1952
44.5,0,-33.5319
45,0,-33.0501
45.5,0,-33.563
46,0,-33.0345
46.5,0,-32.8946
47,0,-32.6304
47.5,0,-32.9102
48,0,-32.7392
48.5,0,-32.7858
49,0,-32.8325
49.5,0,-32.5527
50,0,-32.2107
50.5,0,-32.8791
51,0,-32.5993
51.5,0,-33.9049
52,0,-32.8014
52.5,0,-32.8946
53,0,-31.9931
53.5,0,-33.8739
54,0,-32.4284
54.5,0,-32.9879
55,0,-31.387
55.5,0,-31.8377
56,0,-31.6667
56.5,0,-31.9931
57,0,-31.9154
57.5,0,-31.9931
58,0,-32.4128
58.5,0,-32.304
59,0,-31.3403
59.5,0,-32.2885
60,0,-31.5735
60.5,0,-31.7911
61,0,-30.9828
61.5,0,-32.3662
62,0,-31.5579
62.5,0,-31.0139
63,0,-31.4181
63.5,0,-31.4491
64,0,-31.6978
64.5,0,-31.9465
65,0,-30.4233
65.5,0,-30.9207
66,0,-30.4078
66.5,0,-31.045
67,0,-32.1019
67.5,0,-30.9518
68,0,-32.6926
68.5,0,-31.8222
69,0,-30.9673
69.5,0,-30.4855
70,0,-31.4647
70.5,0,-30.8585
71,0,-31.4025
71.5,0,-30.501
72,0,-30.0969
72.5,0,-30.33
73,0,-30.8585
73.5,0,-30.4078
74,0,-31.2471
74.5,0,-30.3767
75,0,-31.1383
75.5,0,-30.874
76,0,-30.7031
76.5,0,-30.501
77,0,-30.7808
77.5,0,-29.8793
78,0,-30.5787
78.5,0,-30.0814
79,0,-30.4078
79.5,0,-29.9104
80,0,-30.1902
80.5,0,-29.8948
81,0,-29.9415
81.5,0,-29.6928
82,0,-31.4336
82.5,0,-30.1435
83,0,-29.6928
83.5,0,-29.2731
84,0,-30.3145
84.5,0,-28.9467
85,0,-29.5218
85.5,0,-29.584
86,0,-30.2212
86.5,0,-28.8224
87,0,-30.2834
87.5,0,-28.9467
88,0,-29.6306
88.5,0,-29.6617
89,0,-29.242
89.5,0,-29.413
90,0,-30.0347
90.5,0,-29.6151
91,0,-29.6928
91.5,0,-29.0244
92,0,-29.3819
92.5,0,-29.413
93,0,-28.4027
93.5,0,-29.3353
94,0,-29.1021
94.5,0,-28.9467
95,0,-28.9001
95.5,0,-29.3819
96,0,-28.869
96.5,0,-28.9467
97,0,-28.9312
97.5,0,-29.5995
98,0,-28.6825
98.5,0,-29.8948
99,0,-28.869
99.5,0,-29.1799
100,0,-28.1851
100.5,0,-29.4752
101,0,-27.8121
101.5,0,-29.2265
102,0,-28.3561
102.5,0,-28.8379
103,0,-29.2265
103.5,0,-28.4027
104,0,-27.0038
104.5,0,-28.5115
105,0,-27.7344
105.5,0,-28.4338
106,0,-28.5115
106.5,0,-28.5271
107,0,-27.6566
107.5,0,-29.0866
108,0,-28.4804
108.5,0,-28.4493
109,0,-28.1385
109.5,0,-28.2628
110,0,-28.4649
110.5,0,-29.3042
111,0,-27.5012
111.5,0,-28.869
112,0,-28.2784
112.5,0,-27.2836
113,0,-28.1074
113.5,0,-26.7396
114,0,-28.2628
114.5,0,-27.8587
115,0,-28.2473
115.5,0,-27.8587
116,0,-27.4235
116.5,0,-26.9883
117,0,-27.781
117.5,0,-26.9883
118,0,-28.8845
118.5,0,-27.1437
119,0,-29.0711
119.5,0,-27.066
120,0,-27.9675
120.5,0,-27.0038
121,0,-27.983
121.5,0,-27.1904
122,0,-27.7188
122.5,0,-26.522
123,0,-27.7344
123.5,0,-26.7707
124,0,-27.9364
124.5,0,-25.9935
125,0,-27.5789
125.5,0,-26.351
126,0,-27.5323
126.5,0,-26.7241
127,0,-27.408
127.5,0,-26.5997
128,0,-26.8329
128.5,0,-25.978
129,0,-26.2422
