Time,Temperature_HBM,Temperature_FPGA
-2,0,-31.6667
-1.5,0,-31.2782
-1,0,-33.221
-0.5,0,-31.7289
0,0,-31.589
0.5,0,-31.4491
1,0,-30.9673
1.5,0,-30.5476
2,0,-28.869
2.5,0,-27.8742
3,0,-27.1437
3.5,0,-25.9158
4,0,-26.0402
4.5,0,-25.9469
5,0,-24.6413
5.5,0,-25.0765
6,0,-23.8331
6.5,0,-24.5636
7,0,-23.2891
7.5,0,-23.9574
8,0,-22.5741
8.5,0,-23.0248
9,0,-21.7814
9.5,0,-22.2477
10,0,-22.5274
10.5,0,-21.8591
11,0,-21.4394
11.5,0,-21.999
12,0,-20.5535
12.5,0,-21.9523
13,0,-20.9887
13.5,0,-20.9887
14,0,-21.5793
14.5,0,-20.6623
15,0,-19.1857
15.5,1,-20.6778
16,1,-18.8437
16.5,1,-19.4966
17,1,-19.7452
17.5,1,-19.6831
18,1,-18.3464
18.5,1,-19.652
19,2,-17.6158
19.5,2,-18.1754
20,2,-18.3153
20.5,2,-18.0977
21,2,-17.8801
21.5,2,-19.1857
22,2,-16.9009
22.5,3,-18.2997
23,3,-17.2894
23.5,3,-18.2997
24,3,-17.2117
24.5,3,-18.2842
25,3,-16.1859
25.5,4,-16.6055
26,4,-16.9009
26.5,4,-16.3102
27,4,-17.9422
27.5,4,-16.7765
28,4,-17.2584
28.5,4,-15.7818
29,5,-16.9786
29.5,5,-16.3258
30,5,-17.0252
30.5,5,-16.1393
31,5,-16.2791
31.5,5,-15.4087
32,5,-16.5434
32.5,5,-14.7559
33,5,-16.0771
33.5,6,-14.5694
34,6,-15.2844
34.5,6,-15.2067
35,6,-15.4087
35.5,6,-14.3829
36,6,-15.3932
36.5,6,-14.8336
37,6,-15.1756
37.5,6,-13.7923
38,7,-15.2533
38.5,7,-13.7145
39,7,-14.4295
39.5,7,-13.5591
40,7,-13.2638
40.5,7,-14.0254
41,7,-14.0565
41.5,8,-13.6057
42,8,-14.3207
42.5,8,-13.2793
43,8,-13.7923
43.5,8,-13.4969
44,8,-13.1395
44.5,8,-12.5177
45,8,-13.4659
45.5,8,-12.3934
46,8,-12.7664
46.5,8,-11.4763
47,9,-13.4503
47.5,9,-13.2327
48,9,-12.9063
48.5,9,-12.1758
49,9,-12.813
49.5,9,-12.1447
50,9,-12.5488
50.5,9,-11.4297
51,9,-12.3934
51.5,10,-11.5696
52,9,-11.2121
52.5,10,-10.5749
53,10,-11.0722
53.5,10,-11.7872
54,10,-11.3209
54.5,10,-11.6473
55,10,-10.5904
55.5,10,-11.3675
56,10,-11.3365
56.5,10,-10.9634
57,10,-10.0464
57.5,11,-11.1344
58,11,-10.2018
58.5,11,-11.3831
59,11,-10.6059
59.5,11,-11.1655
60,11,-9.67336
60.5,11,-10.5904
61,11,-9.3625
61.5,11,-9.4713
62,12,-10.2329
62.5,12,-9.89096
63,12,-8.77186
63.5,12,-9.14489
64,12,-9.67336
64.5,12,-9.14489
65,12,-9.12935
65.5,12,-9.73553
66,12,-8.461
66.5,12,-9.23815
67,12,-8.61643
67.5,12,-8.49209
68,12,-8.7874
68.5,12,-8.64752
69,10,-9.12935
69.5,10,-8.3522
70,10,-8.29003
70.5,10,-8.74077
71,10,-8.84958
71.5,10,-7.91699
72,10,-8.98946
72.5,10,-7.82374
73,10,-7.62168
73.5,10,-8.07242
74,10,-7.1243
74.5,10,-7.80819
75,14,-8.66306
75.5,14,-7.71493
76,14,-7.63722
76.5,14,-5.98966
77,14,-7.59059
77.5,14,-6.82898
78,14,-7.99471
78.5,14,-6.25389
