Time,Temperature_HBM,Temperature_FPGA
-2,27,26.775
-1.5,27,27.2569
-1,27,26.0445
-0.5,27,27.3191
0,27,27.5211
0.5,33,26.4486
1,34,27.5833
1.5,34,27.1636
2,34,26.8839
2.5,34,26.2155
3,34,27.5367
3.5,34,27.288
4,34,28.2516
4.5,34,27.7232
5,34,27.4279
5.5,34,26.5885
6,34,27.0548
6.5,34,27.4279
7,34,27.9408
7.5,34,27.3501
8,34,27.9563
8.5,34,26.0134
9,35,27.7698
9.5,34,27.5988
10,35,27.6765
10.5,34,27.8164
11,35,28.0962
11.5,35,27.5988
12,34,28.4382
12.5,35,28.2361
13,35,28.1584
13.5,34,27.8786
14,35,28.1584
14.5,35,27.6455
15,35,27.661
15.5,35,27.0082
16,35,27.6921
16.5,35,28.2516
17,35,27.4123
17.5,35,27.4279
18,35,27.7853
18.5,35,29.0443
19,35,26.946
19.5,35,27.8631
20,35,26.5108
20.5,35,28.0496
21,35,27.4589
21.5,35,28.1739
22,35,27.5367
22.5,35,27.3812
23,35,29.1376
23.5,35,27.9874
24,35,27.6765
24.5,35,28.3449
25,35,27.5056
25.5,35,29.2775
26,35,27.9874
26.5,35,28.8267
27,35,28.0185
27.5,35,28.9044
28,35,27.2413
28.5,35,27.9408
29,35,27.4123
29.5,35,28.5936
30,35,28.2672
30.5,35,29.4329
31,35,28.2516
31.5,35,29.1998
32,35,27.9252
32.5,35,27.832
33,35,28.3449
33.5,35,28.6558
34,35,28.034
34.5,35,28.3294
35,35,28.1739
35.5,36,29.1842
36,35,28.9355
36.5,36,28.376
37,36,29.4174
37.5,36,28.3449
38,36,28.6402
38.5,35,27.9874
39,36,28.9822
39.5,36,27.7543
40,35,28.7646
40.5,35,27.6765
41,36,29.0754
41.5,36,28.4382
42,36,29.3552
42.5,36,27.3191
43,36,29.0132
43.5,36,27.4745
44,36,29.1998
44.5,35,28.376
45,36,28.1895
45.5,36,28.1118
46,36,28.8112
46.5,36,28.9044
47,36,29.1065
47.5,36,28.7024
48,36,28.5625
48.5,36,28.1584
49,36,29.5417
49.5,36,28.7335
50,36,27.8475
50.5,36,27.8941
51,36,29.7438
51.5,36,28.8112
52,36,29.2464
52.5,36,28.5003
53,36,27.8786
53.5,36,28.8112
54,36,29.1531
54.5,36,28.4226
55,36,28.7335
55.5,36,29.1998
56,36,29.1065
56.5,36,28.9355
57,36,28.0807
57.5,36,29.6039
58,36,28.7179
58.5,36,30.3189
59,36,27.5367
59.5,36,29.5417
60,36,27.8631
60.5,36,28.6247
61,36,29.2308
61.5,36,28.3138
62,36,29.9769
62.5,36,29.2775
63,36,28.1895
63.5,36,28.7335
64,36,28.5003
64.5,36,28.6868
65,36,28.3915
65.5,36,29.6971
66,36,28.2516
66.5,36,28.8578
67,36,27.8164
67.5,36,29.1531
68,36,28.9977
68.5,36,28.9355
69,36,29.2619
69.5,36,29.6039
70,36,29.1376
70.5,36,30.7074
71,36,28.578
71.5,36,28.6402
72,36,29.7282
