Time,Temperature
-2,34
-1.5,34
-1,34
-0.5,34
0,35
0.5,44
1,44
1.5,45
2,45
2.5,45
3,45
3.5,45
4,45
4.5,45
5,45
5.5,45
6,45
6.5,45
7,46
7.5,45
8,46
8.5,46
9,46
9.5,46
10,46
10.5,46
11,46
11.5,46
12,46
12.5,46
13,46
13.5,46
14,46
14.5,46
15,46
15.5,46
16,46
16.5,46
17,46
17.5,46
18,46
18.5,46
19,46
19.5,46
20,46
20.5,47
21,47
21.5,46
22,47
22.5,46
23,47
23.5,47
24,47
24.5,47
25,47
25.5,47
26,47
26.5,47
27,47
27.5,47
28,47
28.5,47
29,47
29.5,47
30,47
30.5,47
31,47
31.5,47
32,47
32.5,47
33,47
33.5,47
34,47
34.5,47
35,47
35.5,47
36,47
36.5,47
37,47
37.5,47
38,48
38.5,47
39,48
39.5,47
40,48
40.5,47
41,48
41.5,48
42,48
42.5,48
43,48
43.5,48
44,48
44.5,48
45,48
45.5,48
46,48
46.5,48
47,48
47.5,48
48,48
48.5,48
49,48
49.5,48
50,48
50.5,48
51,48
51.5,48
52,48
52.5,48
53,48
53.5,48
54,48
54.5,48
55,48
55.5,48
56,48
56.5,49
57,48
57.5,48
58,48
58.5,49
59,49
59.5,48
60,48
60.5,49
61,49
61.5,49
62,49
62.5,49
63,49
63.5,49
64,49
64.5,49
65,49
65.5,49
66,49
66.5,49
67,49
67.5,49
68,49
68.5,49
69,49
69.5,49
70,49
70.5,49
71,49
71.5,49
72,49
72.5,49
73,49
73.5,49
74,49
74.5,49
75,49
75.5,49
76,49
76.5,49
77,49
77.5,49
78,49
78.5,49
79,49
79.5,49
80,49
80.5,49
81,49
81.5,49
82,49
82.5,49
83,50
83.5,50
84,50
84.5,49
85,49
85.5,50
86,50
86.5,49
87,50
87.5,50
88,50
88.5,50
89,50
89.5,50
90,50
90.5,50
91,50
91.5,50
92,50
92.5,50
93,50
93.5,50
94,50
94.5,50
95,50
95.5,50
96,50
96.5,50
97,50
97.5,50
98,50
98.5,50
99,50
99.5,50
100,50
100.5,50
101,50
101.5,50
102,50
102.5,50
103,50
103.5,50
104,50
104.5,50
105,50
105.5,50
106,50
106.5,50
107,50
107.5,50
108,50
108.5,50
109,50
109.5,50
110,50
110.5,50
111,50
111.5,50
112,50
112.5,50
113,50
113.5,50
114,50
114.5,51
115,50
115.5,50
116,50
116.5,50
117,51
117.5,51
118,50
118.5,51
119,51
119.5,51
120,51
120.5,51
121,51
121.5,51
122,51
122.5,51
123,51
123.5,51
124,51
124.5,51
125,51
125.5,51
126,51
126.5,51
127,51
127.5,51
128,51
128.5,51
129,51
129.5,51
130,51
130.5,51
131,51
131.5,51
132,51
132.5,51
133,51
133.5,51
134,51
134.5,51
135,51
135.5,51
136,51
136.5,51
137,51
137.5,51
138,51
138.5,51
139,51
139.5,51
140,51
140.5,51
141,51
141.5,51
142,51
142.5,51
143,51
143.5,51
144,51
144.5,51
145,51
145.5,51
146,51
146.5,51
147,51
147.5,51
148,51
148.5,51
149,51
149.5,51
150,51
150.5,51
151,51
151.5,51
152,51
152.5,51
153,51
153.5,51
154,51
154.5,51
155,52
155.5,51
156,51
156.5,51
157,52
157.5,51
158,52
158.5,52
159,51
159.5,51
160,52
160.5,52
161,52
161.5,52
162,52
162.5,51
163,52
163.5,52
164,52
164.5,52
165,52
165.5,52
166,52
166.5,52
167,51
167.5,52
168,52
168.5,52
169,52
169.5,52
170,52
170.5,52
171,52
171.5,52
172,52
172.5,52
173,52
173.5,52
174,52
174.5,52
175,52
175.5,52
176,52
176.5,52
177,52
177.5,52
178,52
178.5,52
179,52
179.5,52
180,52
180.5,52
181,52
181.5,52
182,52
182.5,52
183,52
183.5,52
184,52
184.5,52
185,52
185.5,52
186,52
186.5,52
187,52
187.5,52
188,52
188.5,52
189,52
189.5,52
190,52
190.5,52
191,52
191.5,52
192,52
192.5,52
193,52
193.5,52
194,52
194.5,52
195,52
195.5,52
196,52
196.5,52
197,52
197.5,52
198,52
198.5,52
199,52
199.5,52
200,52
200.5,52
201,52
201.5,52
202,52
202.5,52
203,52
203.5,52
204,52
204.5,52
205,52
205.5,52
206,52
206.5,52
207,53
207.5,53
208,52
208.5,53
209,52
209.5,53
210,53
210.5,53
211,53
211.5,53
212,53
212.5,53
213,53
213.5,53
214,53
214.5,53
215,53
215.5,53
216,53
216.5,53
217,53
217.5,53
218,53
218.5,53
219,53
219.5,53
220,53
220.5,53
221,53
221.5,53
222,53
222.5,53
223,53
223.5,53
224,53
224.5,53
225,53
225.5,53
226,53
226.5,53
227,53
227.5,53
228,53
228.5,53
229,53
229.5,53
230,53
230.5,53
231,53
231.5,53
232,53
232.5,53
233,53
233.5,53
234,53
234.5,53
235,53
235.5,53
236,53
236.5,53
237,53
237.5,53
238,53
238.5,53
239,53
239.5,53
240,53
240.5,53
241,53
241.5,53
242,53
242.5,53
243,53
243.5,53
244,53
244.5,53
245,53
245.5,53
246,53
246.5,53
247,53
247.5,53
248,53
248.5,53
249,53
249.5,53
250,53
250.5,53
251,53
251.5,53
252,53
252.5,53
253,53
253.5,53
254,53
254.5,53
255,53
255.5,53
256,53
256.5,53
257,53
257.5,53
258,53
258.5,53
259,53
259.5,53
260,53
260.5,53
261,53
261.5,54
262,53
262.5,53
263,54
263.5,53
264,53
264.5,53
265,53
265.5,54
266,53
266.5,53
267,53
267.5,53
268,53
268.5,53
269,53
269.5,53
270,54
270.5,53
271,54
271.5,53
272,54
272.5,54
273,54
273.5,54
274,54
274.5,54
275,54
275.5,53
276,53
276.5,54
277,54
277.5,53
278,54
278.5,54
279,54
279.5,54
280,54
280.5,53
281,53
281.5,54
282,54
282.5,54
283,54
283.5,54
284,53
284.5,53
285,54
285.5,54
286,54
286.5,54
287,54
287.5,54
288,54
288.5,54
289,54
289.5,54
290,54
290.5,54
291,54
291.5,54
292,54
292.5,54
293,54
293.5,54
294,54
294.5,54
295,54
295.5,54
296,54
296.5,54
297,54
297.5,54
298,54
298.5,54
299,54
299.5,54
300,54
