Time,Temperature
-2,34
-1.5,35
-1,34
-0.5,34
0,35
0.5,44
1,45
1.5,46
2,46
2.5,47
3,47
3.5,48
4,48
4.5,48
5,48
5.5,49
6,49
6.5,49
7,50
7.5,50
8,51
8.5,51
9,51
9.5,51
10,51
10.5,52
11,52
11.5,52
12,52
12.5,53
13,53
13.5,53
14,53
14.5,54
15,54
15.5,54
16,54
16.5,55
17,55
17.5,55
18,56
18.5,56
19,56
19.5,56
20,56
20.5,57
21,57
21.5,57
22,57
22.5,58
23,58
23.5,58
24,58
24.5,59
25,59
25.5,59
26,59
26.5,59
27,60
27.5,60
28,60
28.5,60
29,61
29.5,61
30,61
30.5,61
31,61
31.5,62
32,62
32.5,62
33,62
33.5,63
34,63
34.5,63
35,63
35.5,63
36,64
36.5,64
37,64
37.5,64
38,64
38.5,64
39,65
39.5,65
40,65
40.5,65
41,65
41.5,66
42,66
42.5,66
43,66
43.5,67
44,67
44.5,67
45,67
45.5,67
46,67
46.5,68
47,68
47.5,68
48,68
48.5,68
49,68
49.5,68
50,69
50.5,69
51,69
51.5,69
52,69
52.5,69
53,70
53.5,70
54,70
54.5,70
55,70
55.5,71
56,71
56.5,71
57,71
57.5,71
58,71
58.5,71
59,71
59.5,72
60,72
60.5,72
61,72
61.5,72
62,72
62.5,72
63,73
63.5,73
64,73
64.5,73
65,73
65.5,73
66,73
66.5,73
67,74
67.5,74
68,74
68.5,74
69,74
69.5,74
70,74
70.5,74
71,75
71.5,74
72,75
72.5,74
73,75
73.5,75
74,75
74.5,75
75,75
75.5,75
76,75
76.5,75
77,76
77.5,76
78,76
78.5,76
79,76
79.5,76
80,76
80.5,76
81,76
81.5,76
82,76
82.5,77
83,77
83.5,77
84,77
84.5,77
85,77
85.5,77
86,77
86.5,77
87,77
87.5,77
88,77
88.5,77
89,77
89.5,78
90,78
90.5,78
91,78
91.5,78
92,78
92.5,78
93,78
93.5,78
94,78
94.5,78
95,78
95.5,78
96,78
96.5,78
97,78
97.5,78
98,78
98.5,79
99,78
99.5,78
100,79
100.5,79
101,78
101.5,79
102,79
102.5,79
103,79
103.5,79
104,79
104.5,79
105,79
105.5,79
106,79
106.5,79
107,79
107.5,79
108,79
108.5,79
109,79
109.5,79
110,79
110.5,80
111,80
111.5,80
112,80
112.5,80
113,79
113.5,80
114,80
114.5,80
115,79
115.5,79
116,79
116.5,80
117,79
117.5,79
118,79
118.5,79
119,80
119.5,79
120,79
120.5,80
121,80
121.5,79
122,79
122.5,79
123,79
123.5,79
124,80
124.5,79
125,79
125.5,79
126,79
126.5,79
127,79
127.5,79
128,79
128.5,79
129,79
129.5,79
130,79
130.5,79
131,79
131.5,79
132,79
132.5,79
133,79
133.5,79
134,79
134.5,79
135,79
135.5,79
136,79
136.5,79
137,79
137.5,79
138,79
138.5,79
139,79
139.5,79
140,79
140.5,79
141,79
141.5,79
142,79
142.5,79
143,79
143.5,79
144,79
144.5,79
145,79
145.5,79
146,79
146.5,79
147,79
147.5,79
148,79
148.5,80
149,79
149.5,79
150,79
150.5,79
151,79
151.5,79
152,79
152.5,79
153,79
153.5,79
154,79
154.5,79
155,79
155.5,79
156,79
156.5,79
157,79
157.5,79
158,79
158.5,79
159,79
159.5,79
160,79
160.5,79
161,79
161.5,79
162,79
162.5,79
163,79
163.5,79
164,79
164.5,79
165,79
165.5,79
166,79
166.5,79
167,79
167.5,80
168,79
168.5,79
169,80
169.5,79
170,79
170.5,79
171,79
171.5,79
172,79
172.5,79
173,79
173.5,80
174,79
174.5,80
175,79
175.5,79
176,80
176.5,79
177,79
177.5,80
178,80
178.5,80
179,79
179.5,80
180,80
180.5,80
181,80
181.5,80
182,80
182.5,80
183,80
183.5,80
184,80
184.5,80
185,80
185.5,80
186,80
186.5,80
187,80
187.5,80
188,80
188.5,80
189,80
189.5,80
190,80
190.5,80
191,80
191.5,80
192,80
192.5,80
193,80
193.5,80
194,80
194.5,80
195,80
195.5,80
196,80
196.5,80
197,80
197.5,80
198,80
198.5,80
199,80
199.5,80
200,80
200.5,80
201,80
201.5,80
202,80
202.5,80
203,80
203.5,80
204,80
204.5,80
205,80
205.5,80
206,80
206.5,80
207,80
207.5,80
208,80
208.5,80
209,80
209.5,80
210,80
210.5,80
211,80
211.5,80
212,80
212.5,80
213,80
213.5,80
214,80
214.5,80
215,80
215.5,80
216,80
216.5,80
217,80
217.5,80
218,80
218.5,80
219,80
219.5,80
220,80
220.5,80
221,80
221.5,80
222,80
222.5,80
223,80
223.5,80
224,80
224.5,80
225,80
225.5,80
226,80
226.5,80
227,80
227.5,80
228,81
228.5,80
229,81
229.5,80
230,80
230.5,80
231,81
231.5,80
232,81
232.5,80
233,81
233.5,80
234,81
234.5,81
235,81
235.5,81
236,81
236.5,81
237,81
237.5,81
238,81
238.5,81
239,81
239.5,81
240,81
240.5,81
241,81
241.5,81
242,80
242.5,81
243,81
243.5,81
244,81
244.5,81
245,81
245.5,81
246,81
246.5,81
247,81
247.5,81
248,81
248.5,81
249,81
249.5,81
250,81
250.5,81
251,81
251.5,81
252,81
252.5,81
253,81
253.5,81
254,81
254.5,81
255,81
255.5,81
256,81
256.5,81
257,81
257.5,81
258,81
258.5,81
259,81
259.5,81
260,81
260.5,81
261,81
261.5,81
262,81
262.5,81
263,81
263.5,81
264,81
264.5,81
265,81
265.5,81
266,81
266.5,81
267,81
267.5,81
268,81
268.5,81
269,81
269.5,81
270,81
270.5,81
271,81
271.5,81
272,81
272.5,81
273,81
273.5,81
274,81
274.5,81
275,81
275.5,81
276,81
276.5,81
277,81
277.5,81
278,81
278.5,81
279,81
279.5,81
280,81
280.5,81
281,81
281.5,81
282,81
282.5,81
283,81
283.5,81
284,81
284.5,81
285,82
285.5,82
286,81
286.5,82
287,81
287.5,82
288,81
288.5,81
289,81
289.5,81
290,81
290.5,81
291,81
291.5,81
292,81
292.5,81
293,81
293.5,81
294,81
294.5,82
295,82
295.5,82
296,82
296.5,81
297,81
297.5,81
298,81
298.5,81
299,82
299.5,81
300,82
