Time,Temperature
-2,34
-1.5,34
-1,34
-0.5,34
0,35
0.5,43
1,44
1.5,44
2,44
2.5,44
3,45
3.5,45
4,45
4.5,45
5,45
5.5,45
6,45
6.5,45
7,45
7.5,45
8,45
8.5,45
9,45
9.5,45
10,45
10.5,45
11,45
11.5,45
12,45
12.5,45
13,46
13.5,45
14,46
14.5,46
15,46
15.5,46
16,46
16.5,46
17,46
17.5,46
18,46
18.5,46
19,46
19.5,46
20,46
20.5,46
21,46
21.5,46
22,46
22.5,46
23,46
23.5,46
24,46
24.5,46
25,47
25.5,46
26,46
26.5,46
27,47
27.5,46
28,47
28.5,46
29,47
29.5,47
30,47
30.5,47
31,47
31.5,47
32,47
32.5,47
33,47
33.5,47
34,47
34.5,47
35,47
35.5,47
36,47
36.5,47
37,47
37.5,47
38,47
38.5,47
39,47
39.5,47
40,47
40.5,47
41,47
41.5,47
42,47
42.5,48
43,47
43.5,47
44,47
44.5,47
45,48
45.5,47
46,48
46.5,48
47,48
47.5,48
48,47
48.5,48
49,48
49.5,48
50,48
50.5,48
51,48
51.5,48
52,48
52.5,48
53,48
53.5,48
54,48
54.5,48
55,48
55.5,48
56,48
56.5,48
57,48
57.5,48
58,48
58.5,48
59,48
59.5,48
60,48
60.5,48
61,48
61.5,48
62,48
62.5,48
63,48
63.5,48
64,49
64.5,48
65,48
65.5,48
66,49
66.5,49
67,49
67.5,49
68,49
68.5,49
69,49
69.5,49
70,49
70.5,49
71,49
71.5,49
72,49
72.5,49
73,49
73.5,49
74,49
74.5,49
75,49
75.5,49
76,49
76.5,49
77,49
77.5,49
78,49
78.5,49
79,49
79.5,49
80,49
80.5,49
81,49
81.5,49
82,49
82.5,49
83,49
83.5,49
84,49
84.5,49
85,49
85.5,49
86,49
86.5,49
87,49
87.5,49
88,50
88.5,49
89,49
89.5,49
90,49
90.5,49
91,49
91.5,49
92,50
92.5,50
93,50
93.5,50
94,50
94.5,50
95,50
95.5,50
96,50
96.5,50
97,50
97.5,50
98,50
98.5,50
99,50
99.5,50
100,50
100.5,50
101,50
101.5,50
102,50
102.5,50
103,50
103.5,50
104,50
104.5,50
105,50
105.5,50
106,50
106.5,50
107,50
107.5,50
108,50
108.5,50
109,50
109.5,50
110,50
110.5,50
111,50
111.5,50
112,50
112.5,50
113,50
113.5,50
114,50
114.5,50
115,50
115.5,50
116,50
116.5,50
117,50
117.5,50
118,50
118.5,50
119,50
119.5,50
120,50
120.5,50
121,51
121.5,50
122,51
122.5,51
123,51
123.5,51
124,51
124.5,50
125,50
125.5,50
126,51
126.5,51
127,51
127.5,51
128,51
128.5,51
129,51
129.5,51
130,51
130.5,51
131,51
131.5,51
132,51
132.5,51
133,51
133.5,51
134,51
134.5,51
135,51
135.5,51
136,51
136.5,51
137,51
137.5,51
138,51
138.5,51
139,51
139.5,51
140,51
140.5,51
141,51
141.5,51
142,51
142.5,51
143,51
143.5,51
144,51
144.5,51
145,51
145.5,51
146,51
146.5,51
147,51
147.5,51
148,51
148.5,51
149,51
149.5,51
150,51
150.5,51
151,51
151.5,51
152,51
152.5,51
153,51
153.5,51
154,51
154.5,51
155,51
155.5,51
156,51
156.5,51
157,51
157.5,52
158,51
158.5,52
159,51
159.5,51
160,51
160.5,52
161,51
161.5,52
162,51
162.5,51
163,51
163.5,51
164,51
164.5,52
165,52
165.5,51
166,52
166.5,52
167,52
167.5,52
168,52
168.5,52
169,52
169.5,52
170,52
170.5,52
171,52
171.5,52
172,52
172.5,52
173,52
173.5,52
174,52
174.5,52
175,52
175.5,52
176,51
176.5,52
177,52
177.5,52
178,52
178.5,52
179,52
179.5,52
180,52
180.5,52
181,52
181.5,52
182,52
182.5,52
183,52
183.5,52
184,52
184.5,52
185,52
185.5,52
186,52
186.5,52
187,52
187.5,52
188,52
188.5,52
189,52
189.5,52
190,52
190.5,52
191,52
191.5,52
192,52
192.5,52
193,52
193.5,52
194,52
194.5,52
195,52
195.5,52
196,52
196.5,52
197,52
197.5,52
198,52
198.5,52
199,52
199.5,52
200,52
200.5,52
201,52
201.5,52
202,52
202.5,52
203,52
203.5,52
204,52
204.5,52
205,52
205.5,52
206,52
206.5,52
207,52
207.5,52
208,52
208.5,52
209,52
209.5,52
210,53
210.5,52
211,52
211.5,52
212,52
212.5,52
213,52
213.5,52
214,53
214.5,52
215,53
215.5,52
216,52
216.5,53
217,53
217.5,53
218,52
218.5,53
219,52
219.5,53
220,53
220.5,53
221,52
221.5,53
222,53
222.5,53
223,53
223.5,53
224,53
224.5,53
225,53
225.5,53
226,53
226.5,53
227,53
227.5,53
228,53
228.5,53
229,53
229.5,53
230,53
230.5,53
231,53
231.5,53
232,53
232.5,53
233,53
233.5,53
234,53
234.5,53
235,53
235.5,53
236,53
236.5,53
237,53
237.5,53
238,53
238.5,53
239,53
239.5,53
240,53
240.5,53
241,53
241.5,53
242,53
242.5,53
243,53
243.5,53
244,53
244.5,53
245,53
245.5,53
246,53
246.5,53
247,53
247.5,53
248,53
248.5,53
249,53
249.5,53
250,53
250.5,53
251,53
251.5,53
252,53
252.5,53
253,53
253.5,53
254,53
254.5,53
255,53
255.5,53
256,53
256.5,53
257,53
257.5,53
258,53
258.5,53
259,53
259.5,53
260,53
260.5,53
261,53
261.5,53
262,53
262.5,53
263,53
263.5,53
264,53
264.5,53
265,53
265.5,53
266,53
266.5,53
267,54
267.5,53
268,53
268.5,53
269,53
269.5,53
270,53
270.5,53
271,53
271.5,54
272,53
272.5,54
273,53
273.5,53
274,53
274.5,53
275,53
275.5,54
276,53
276.5,53
277,53
277.5,53
278,53
278.5,54
279,54
279.5,53
280,53
280.5,54
281,53
281.5,53
282,54
282.5,54
283,54
283.5,53
284,53
284.5,54
285,53
285.5,53
286,53
286.5,54
287,54
287.5,54
288,53
288.5,53
289,53
289.5,54
290,54
290.5,54
291,53
291.5,53
292,53
292.5,54
293,53
293.5,54
294,54
294.5,54
295,54
295.5,54
296,54
296.5,54
297,54
297.5,54
298,54
298.5,54
299,54
299.5,54
300,54
