Time,Temperature
-2,34
-1.5,34
-1,34
-0.5,34
0,37
0.5,48
1,48
1.5,49
2,50
2.5,50
3,51
3.5,51
4,51
4.5,52
5,52
5.5,52
6,53
6.5,53
7,53
7.5,54
8,54
8.5,54
9,55
9.5,55
10,55
10.5,56
11,56
11.5,56
12,56
12.5,57
13,57
13.5,57
14,58
14.5,58
15,58
15.5,58
16,58
16.5,59
17,59
17.5,59
18,59
18.5,60
19,60
19.5,60
20,61
20.5,61
21,61
21.5,61
22,61
22.5,62
23,62
23.5,62
24,63
24.5,63
25,63
25.5,63
26,64
26.5,64
27,64
27.5,64
28,64
28.5,65
29,65
29.5,65
30,65
30.5,66
31,66
31.5,66
32,66
32.5,66
33,67
33.5,67
34,67
34.5,67
35,68
35.5,68
36,68
36.5,68
37,68
37.5,68
38,69
38.5,69
39,69
39.5,69
40,70
40.5,70
41,70
41.5,70
42,70
42.5,71
43,71
43.5,71
44,71
44.5,72
45,71
45.5,72
46,72
46.5,72
47,72
47.5,72
48,73
48.5,73
49,73
49.5,73
50,73
50.5,73
51,74
51.5,74
52,74
52.5,74
53,74
53.5,74
54,75
54.5,75
55,75
55.5,75
56,75
56.5,75
57,76
57.5,76
58,76
58.5,76
59,76
59.5,76
60,77
60.5,77
61,77
61.5,77
62,77
62.5,77
63,77
63.5,78
64,78
64.5,78
65,78
65.5,78
66,78
66.5,78
67,78
67.5,78
68,78
68.5,79
69,79
69.5,79
70,79
70.5,79
71,79
71.5,79
72,80
72.5,80
73,80
73.5,80
74,80
74.5,80
75,80
75.5,80
76,80
76.5,80
77,80
77.5,80
78,81
78.5,81
79,81
79.5,81
80,81
80.5,81
81,81
81.5,81
82,81
82.5,81
83,81
83.5,81
84,82
84.5,81
85,82
85.5,82
86,82
86.5,82
87,82
87.5,82
88,82
88.5,82
89,82
89.5,82
90,82
90.5,82
91,82
91.5,82
92,82
92.5,82
93,83
93.5,83
94,83
94.5,83
95,83
95.5,83
96,83
96.5,83
97,83
97.5,83
98,83
98.5,83
99,83
99.5,83
100,83
100.5,83
101,83
101.5,83
102,83
102.5,84
103,84
103.5,83
104,84
104.5,83
105,84
105.5,84
106,84
106.5,84
107,83
107.5,84
108,83
108.5,83
109,83
109.5,84
110,84
110.5,83
111,84
111.5,84
112,83
112.5,84
113,83
113.5,83
114,83
114.5,84
115,83
115.5,84
116,84
116.5,84
117,84
117.5,84
118,84
118.5,83
119,83
119.5,84
120,83
120.5,83
121,83
121.5,84
122,84
122.5,84
123,84
123.5,84
124,84
124.5,84
125,84
125.5,84
126,84
126.5,84
127,84
127.5,84
128,84
128.5,84
129,84
129.5,84
130,84
130.5,84
131,84
131.5,83
132,84
132.5,84
133,84
133.5,84
134,84
134.5,84
135,84
135.5,84
136,84
136.5,84
137,84
137.5,84
138,84
138.5,84
139,84
139.5,84
140,84
140.5,84
141,84
141.5,84
142,84
142.5,84
143,84
143.5,83
144,84
144.5,84
145,84
145.5,84
146,84
146.5,84
147,84
147.5,84
148,84
148.5,84
149,84
149.5,84
150,84
150.5,84
151,84
151.5,84
152,84
152.5,84
153,84
153.5,84
154,84
154.5,84
155,84
155.5,84
156,84
156.5,84
157,84
157.5,84
158,84
158.5,84
159,84
159.5,84
160,84
160.5,84
161,84
161.5,84
162,84
162.5,84
163,84
163.5,84
164,84
164.5,84
165,84
165.5,84
166,84
166.5,84
167,84
167.5,84
168,84
168.5,84
169,84
169.5,84
170,84
170.5,84
171,84
171.5,84
172,84
172.5,84
173,84
173.5,84
174,85
174.5,84
175,84
175.5,84
176,84
176.5,84
177,84
177.5,84
178,84
178.5,84
179,84
179.5,85
180,84
180.5,85
181,84
181.5,85
182,84
182.5,85
183,85
183.5,85
184,85
184.5,85
185,85
185.5,85
186,85
186.5,85
187,85
187.5,85
188,85
188.5,85
189,85
189.5,85
190,85
190.5,85
191,85
191.5,85
192,85
192.5,85
193,85
193.5,85
194,85
194.5,85
195,85
195.5,85
196,85
196.5,85
197,85
197.5,85
198,85
198.5,85
199,85
199.5,85
200,85
200.5,85
201,85
201.5,85
202,85
202.5,85
203,85
203.5,85
204,85
204.5,85
205,85
205.5,85
206,85
206.5,85
207,85
207.5,85
208,85
208.5,85
209,85
209.5,85
210,85
210.5,85
211,85
211.5,85
212,85
212.5,85
213,85
213.5,85
214,85
214.5,85
215,85
215.5,86
216,85
216.5,85
217,85
217.5,85
218,86
218.5,86
219,85
219.5,86
220,86
220.5,85
221,85
221.5,85
222,85
222.5,85
223,85
223.5,86
224,85
224.5,86
225,85
225.5,85
226,86
226.5,86
227,86
227.5,86
228,86
228.5,86
229,86
229.5,86
230,86
230.5,86
231,86
231.5,86
232,86
232.5,86
233,86
233.5,86
234,86
234.5,86
235,86
235.5,86
236,86
236.5,86
237,86
237.5,86
238,86
238.5,86
239,86
239.5,86
240,86
240.5,86
241,86
241.5,86
242,86
242.5,86
243,86
243.5,86
244,86
244.5,86
245,86
245.5,86
246,86
246.5,86
247,86
247.5,86
248,86
248.5,86
249,86
249.5,86
250,86
250.5,86
251,86
251.5,86
252,86
252.5,86
253,86
253.5,86
254,86
254.5,86
255,86
255.5,86
256,86
256.5,86
257,86
257.5,86
258,86
258.5,86
259,86
259.5,86
260,86
260.5,86
261,86
261.5,86
262,86
262.5,87
263,87
263.5,87
264,86
264.5,86
265,86
265.5,86
266,86
266.5,86
267,86
267.5,86
268,86
268.5,86
269,87
269.5,86
270,87
270.5,87
271,87
271.5,87
272,87
272.5,87
273,87
273.5,87
274,87
274.5,87
275,87
275.5,87
276,86
276.5,87
277,87
277.5,87
278,87
278.5,87
279,87
279.5,87
280,87
280.5,87
281,87
281.5,87
282,87
282.5,86
283,86
283.5,87
284,86
284.5,86
285,86
285.5,86
286,86
286.5,86
287,86
287.5,86
288,86
288.5,86
289,86
289.5,86
290,86
290.5,86
291,86
291.5,86
292,86
292.5,86
293,86
293.5,86
294,86
294.5,86
295,85
295.5,85
296,85
296.5,85
297,85
297.5,85
298,85
298.5,85
299,85
299.5,85
300,85
