Time,Temperature
-2,34
-1.5,34
-1,34
-0.5,34
0,34
0.5,40
1,40.3333
1.5,40.6667
2,41
2.5,41
3,41
3.5,41.0294
4,41.0588
4.5,41.0882
5,41.1176
5.5,41.1471
6,41.1765
6.5,41.2059
7,41.2353
7.5,41.2647
8,41.2941
8.5,41.3235
9,41.3529
9.5,41.3824
10,41.4118
10.5,41.4412
11,41.4706
11.5,41.5
12,41.5294
12.5,41.5588
13,41.5882
13.5,41.6176
14,41.6471
14.5,41.6765
15,41.7059
15.5,41.7353
16,41.7647
16.5,41.7941
17,41.8235
17.5,41.8529
18,41.8824
18.5,41.9118
19,41.9412
19.5,41.9706
20,42
20.5,42
21,42
21.5,42
22,42
22.5,42
23,42
23.5,42
24,42
24.5,42
25,42
25.5,42
26,42
26.5,42.0189
27,42.0377
27.5,42.0566
28,42.0755
28.5,42.0943
29,42.1132
29.5,42.1321
30,42.1509
30.5,42.1698
31,42.1887
31.5,42.2075
32,42.2264
32.5,42.2453
33,42.2642
33.5,42.283
34,42.3019
34.5,42.3208
35,42.3396
35.5,42.3585
36,42.3774
36.5,42.3962
37,42.4151
37.5,42.434
38,42.4528
38.5,42.4717
39,42.4906
39.5,42.5094
40,42.5283
40.5,42.5472
41,42.566
41.5,42.5849
42,42.6038
42.5,42.6226
43,42.6415
43.5,42.6604
44,42.6792
44.5,42.6981
45,42.717
45.5,42.7358
46,42.7547
46.5,42.7736
47,42.7925
47.5,42.8113
48,42.8302
48.5,42.8491
49,42.8679
49.5,42.8868
50,42.9057
50.5,42.9245
51,42.9434
51.5,42.9623
52,42.9811
52.5,43
53,43
53.5,43
54,43
54.5,43
55,43
55.5,43
56,43
56.5,43
57,43
57.5,43
58,43
58.5,43
59,43
59.5,43
60,43
60.5,43
61,43
61.5,43
62,43
62.5,43
63,43
63.5,43
64,43
64.5,43
65,43.0139
65.5,43.0278
66,43.0417
66.5,43.0556
67,43.0694
67.5,43.0833
68,43.0972
68.5,43.1111
69,43.125
69.5,43.1389
70,43.1528
70.5,43.1667
71,43.1806
71.5,43.1944
72,43.2083
72.5,43.2222
73,43.2361
73.5,43.25
74,43.2639
74.5,43.2778
75,43.2917
75.5,43.3056
76,43.3194
76.5,43.3333
77,43.3472
77.5,43.3611
78,43.375
78.5,43.3889
79,43.4028
79.5,43.4167
80,43.4306
80.5,43.4444
81,43.4583
81.5,43.4722
82,43.4861
82.5,43.5
83,43.5139
83.5,43.5278
84,43.5417
84.5,43.5556
85,43.5694
85.5,43.5833
86,43.5972
86.5,43.6111
87,43.625
87.5,43.6389
88,43.6528
88.5,43.6667
89,43.6806
89.5,43.6944
90,43.7083
90.5,43.7222
91,43.7361
91.5,43.75
92,43.7639
92.5,43.7778
93,43.7917
93.5,43.8056
94,43.8194
94.5,43.8333
95,43.8472
95.5,43.8611
96,43.875
96.5,43.8889
97,43.9028
97.5,43.9167
98,43.9306
98.5,43.9444
99,43.9583
99.5,43.9722
100,43.9861
100.5,44
101,44
101.5,44
102,44
102.5,44
103,44
103.5,44
104,44
104.5,44
105,44
105.5,44
106,44
106.5,44
107,44
107.5,44
108,44
108.5,44
109,44
109.5,44
110,44
110.5,44
111,44
111.5,44
112,44
112.5,44
113,44
113.5,44
114,44
114.5,44
115,44
115.5,44
116,44
116.5,44
117,44
117.5,44
118,44
118.5,44
119,44
119.5,44
120,44
120.5,44
121,44
121.5,44
122,44.0104
122.5,44.0208
123,44.0312
123.5,44.0417
124,44.0521
124.5,44.0625
125,44.0729
125.5,44.0833
126,44.0938
126.5,44.1042
127,44.1146
127.5,44.125
128,44.1354
128.5,44.1458
129,44.1562
129.5,44.1667
130,44.1771
130.5,44.1875
131,44.1979
131.5,44.2083
132,44.2188
132.5,44.2292
133,44.2396
133.5,44.25
134,44.2604
134.5,44.2708
135,44.2812
135.5,44.2917
136,44.3021
136.5,44.3125
137,44.3229
137.5,44.3333
138,44.3438
138.5,44.3542
139,44.3646
139.5,44.375
140,44.3854
140.5,44.3958
141,44.4062
141.5,44.4167
142,44.4271
142.5,44.4375
143,44.4479
143.5,44.4583
144,44.4688
144.5,44.4792
145,44.4896
145.5,44.5
146,44.5104
146.5,44.5208
147,44.5312
147.5,44.5417
148,44.5521
148.5,44.5625
149,44.5729
149.5,44.5833
150,44.5938
150.5,44.6042
151,44.6146
151.5,44.625
152,44.6354
152.5,44.6458
153,44.6562
153.5,44.6667
154,44.6771
154.5,44.6875
155,44.6979
155.5,44.7083
156,44.7188
156.5,44.7292
157,44.7396
157.5,44.75
158,44.7604
158.5,44.7708
159,44.7812
159.5,44.7917
160,44.8021
160.5,44.8125
161,44.8229
161.5,44.8333
162,44.8438
162.5,44.8542
163,44.8646
163.5,44.875
164,44.8854
164.5,44.8958
165,44.9062
165.5,44.9167
166,44.9271
166.5,44.9375
167,44.9479
167.5,44.9583
168,44.9688
168.5,44.9792
169,44.9896
169.5,45
170,45
170.5,45
171,45
171.5,45
172,45
172.5,45
173,45
173.5,45
174,45
174.5,45
175,45
175.5,45
176,45
176.5,45
177,45
177.5,45
178,45
178.5,45
179,45
179.5,45
180,45
180.5,45
181,45
181.5,45
182,45
182.5,45
183,45
183.5,45
184,45
184.5,45
185,45
185.5,45
186,45
186.5,45
187,45
187.5,45
188,45
188.5,45
189,45
189.5,45
190,45
190.5,45
191,45
191.5,45
192,45
192.5,45
193,45
193.5,45
194,45
194.5,45
195,45
195.5,45
196,45
196.5,45
197,45
197.5,45
198,45.0052
198.5,45.0104
199,45.0155
199.5,45.0207
200,45.0259
200.5,45.0311
201,45.0363
201.5,45.0415
202,45.0466
202.5,45.0518
203,45.057
203.5,45.0622
204,45.0674
204.5,45.0725
205,45.0777
205.5,45.0829
206,45.0881
206.5,45.0933
207,45.0984
207.5,45.1036
208,45.1088
208.5,45.114
209,45.1192
209.5,45.1244
210,45.1295
210.5,45.1347
211,45.1399
211.5,45.1451
212,45.1503
212.5,45.1554
213,45.1606
213.5,45.1658
214,45.171
214.5,45.1762
215,45.1813
215.5,45.1865
216,45.1917
216.5,45.1969
217,45.2021
217.5,45.2073
218,45.2124
218.5,45.2176
219,45.2228
219.5,45.228
220,45.2332
220.5,45.2383
221,45.2435
221.5,45.2487
222,45.2539
222.5,45.2591
223,45.2642
223.5,45.2694
224,45.2746
224.5,45.2798
225,45.285
225.5,45.2902
226,45.2953
226.5,45.3005
227,45.3057
227.5,45.3109
228,45.3161
228.5,45.3212
229,45.3264
229.5,45.3316
230,45.3368
230.5,45.342
231,45.3472
231.5,45.3523
232,45.3575
232.5,45.3627
233,45.3679
233.5,45.3731
234,45.3782
234.5,45.3834
235,45.3886
235.5,45.3938
236,45.399
236.5,45.4041
237,45.4093
237.5,45.4145
238,45.4197
238.5,45.4249
239,45.4301
239.5,45.4352
240,45.4404
240.5,45.4456
241,45.4508
241.5,45.456
242,45.4611
242.5,45.4663
243,45.4715
243.5,45.4767
244,45.4819
244.5,45.487
245,45.4922
245.5,45.4974
246,45.5026
246.5,45.5078
247,45.513
247.5,45.5181
248,45.5233
248.5,45.5285
249,45.5337
249.5,45.5389
250,45.544
250.5,45.5492
251,45.5544
251.5,45.5596
252,45.5648
252.5,45.5699
253,45.5751
253.5,45.5803
254,45.5855
254.5,45.5907
255,45.5959
255.5,45.601
256,45.6062
256.5,45.6114
257,45.6166
257.5,45.6218
258,45.6269
258.5,45.6321
259,45.6373
259.5,45.6425
260,45.6477
260.5,45.6528
261,45.658
261.5,45.6632
262,45.6684
262.5,45.6736
263,45.6788
263.5,45.6839
264,45.6891
264.5,45.6943
265,45.6995
265.5,45.7047
266,45.7098
266.5,45.715
267,45.7202
267.5,45.7254
268,45.7306
268.5,45.7358
269,45.7409
269.5,45.7461
270,45.7513
270.5,45.7565
271,45.7617
271.5,45.7668
272,45.772
272.5,45.7772
273,45.7824
273.5,45.7876
274,45.7927
274.5,45.7979
275,45.8031
275.5,45.8083
276,45.8135
276.5,45.8187
277,45.8238
277.5,45.829
278,45.8342
278.5,45.8394
279,45.8446
279.5,45.8497
280,45.8549
280.5,45.8601
281,45.8653
281.5,45.8705
282,45.8756
282.5,45.8808
283,45.886
283.5,45.8912
284,45.8964
284.5,45.9016
285,45.9067
285.5,45.9119
286,45.9171
286.5,45.9223
287,45.9275
287.5,45.9326
288,45.9378
288.5,45.943
289,45.9482
289.5,45.9534
290,45.9585
290.5,45.9637
291,45.9689
291.5,45.9741
292,45.9793
292.5,45.9845
293,45.9896
293.5,45.9948
294,46
294.5,46
295,46
295.5,46
296,46
296.5,46
297,46
297.5,46
298,46
298.5,46
299,46
299.5,46
300,45
