Time,Temperature(HBM),Temperature(FPGA)
-2,27,26.775
-1.5,27,26.9616
-1,27,27.1481
-0.5,27,27.3346
0,27,27.5211
0.5,33,27.5522
1,34,27.5833
1.5,34.0625,27.5716
2,34.125,27.56
2.5,34.1875,27.5483
3,34.25,27.5367
3.5,34.3125,27.8941
4,34.375,28.2516
4.5,34.4375,27.9524
5,34.5,27.6532
5.5,34.5625,27.354
6,34.625,27.0548
6.5,34.6875,27.4279
7,34.75,27.9408
7.5,34.8125,27.9485
8,34.875,27.9563
8.5,34.9375,27.8631
9,35,27.7698
9.5,35,27.7232
10,35,27.6765
10.5,35,27.8164
11,35,28.0962
11.5,35,28.2672
12,35,28.4382
12.5,35,28.3682
13,35,28.2983
13.5,35,28.2283
14,35,28.1584
14.5,35.0233,27.9097
15,35.0465,27.661
15.5,35.0698,27.6765
16,35.093,27.6921
16.5,35.1163,28.2516
17,35.1395,27.8397
17.5,35.1628,27.4279
18,35.186,27.7853
18.5,35.2093,29.0443
19,35.2326,28.4537
19.5,35.2558,27.8631
20,35.2791,27.9563
20.5,35.3023,28.0496
21,35.3256,28.1118
21.5,35.3488,28.1739
22,35.3721,28.4951
22.5,35.3953,28.8164
23,35.4186,29.1376
23.5,35.4419,28.8734
24,35.4651,28.6091
24.5,35.4884,28.3449
25,35.5116,28.8112
25.5,35.5349,29.2775
26,35.5581,29.0521
26.5,35.5814,28.8267
27,35.6047,28.8656
27.5,35.6279,28.9044
28,35.6512,28.4226
28.5,35.6744,27.9408
29,35.6977,28.2672
29.5,35.7209,28.5936
30,35.7442,29.0132
30.5,35.7674,29.4329
31,35.7907,29.3163
31.5,35.814,29.1998
32,35.8372,28.9148
32.5,35.8605,28.6299
33,35.8837,28.3449
33.5,35.907,28.6558
34,35.9302,28.4926
34.5,35.9535,28.3294
35,35.9767,28.7568
35.5,36,29.1842
36,36,29.2619
36.5,36,29.3396
37,36,29.4174
37.5,36,29.0288
38,36,28.6402
38.5,36,28.8112
39,36,28.9822
39.5,36,28.8734
40,36,28.7646
40.5,36,28.92
41,36,29.0754
41.5,36,29.2153
42,36,29.3552
42.5,36,29.1842
43,36,29.0132
43.5,36,29.1065
44,36,29.1998
44.5,36,29.1026
45,36,29.0055
45.5,36.0082,28.9083
46,36.0164,28.8112
46.5,36.0246,28.9044
47,36.0328,29.1065
47.5,36.041,29.2153
48,36.0492,29.3241
48.5,36.0574,29.4329
49,36.0656,29.5417
49.5,36.0738,28.9925
50,36.082,28.4433
50.5,36.0902,27.8941
51,36.0984,29.7438
51.5,36.1066,29.4951
52,36.1148,29.2464
52.5,36.123,29.1013
53,36.1311,28.9563
53.5,36.1393,28.8112
54,36.1475,29.1531
54.5,36.1557,28.9433
55,36.1639,28.7335
55.5,36.1721,29.1998
56,36.1803,29.3008
56.5,36.1885,29.4018
57,36.1967,29.5029
57.5,36.2049,29.6039
58,36.2131,29.9614
58.5,36.2213,30.3189
59,36.2295,29.9303
59.5,36.2377,29.5417
60,36.2459,29.0832
60.5,36.2541,28.6247
61,36.2623,29.2308
61.5,36.2705,29.6039
62,36.2787,29.9769
62.5,36.2869,29.5624
