Time,Temperature
-2,34
-1.5,34.25
-1,34.5
-0.5,34.75
0,35
0.5,41
1,41.5
1.5,42
2,42.5
2.5,43
3,43.5
3.5,44
4,44.3333
4.5,44.6667
5,45
5.5,45.3333
6,45.6667
6.5,46
7,46.25
7.5,46.5
8,46.75
8.5,47
9,47.2
9.5,47.4
10,47.6
10.5,47.8
11,48
11.5,48.3333
12,48.6667
12.5,49
13,49.25
13.5,49.5
14,49.75
14.5,50
15,50.2
15.5,50.4
16,50.6
16.5,50.8
17,51
17.5,51.25
18,51.5
18.5,51.75
19,52
19.5,52
20,52
20.5,52.25
21,52.5
21.5,52.75
22,53
22.5,53.25
23,53.5
23.5,53.75
24,54
24.5,54.25
25,54.5
25.5,54.75
26,55
26.5,55.2
27,55.4
27.5,55.6
28,55.8
28.5,56
29,56.2
29.5,56.4
30,56.6
30.5,56.8
31,57
31.5,57.2
32,57.4
32.5,57.6
33,57.8
33.5,58
34,58.1667
34.5,58.3333
35,58.5
35.5,58.6667
36,58.8333
36.5,59
37,59.2
37.5,59.4
38,59.6
38.5,59.8
39,60
39.5,60.2
40,60.4
40.5,60.6
41,60.8
41.5,61
42,61.1667
42.5,61.3333
43,61.5
43.5,61.6667
44,61.8333
44.5,62
45,62.2
45.5,62.4
46,62.6
46.5,62.8
47,63
47.5,63
48,63
48.5,63.1667
49,63.3333
49.5,63.5
50,63.6667
50.5,63.8333
51,64
51.5,64.1667
52,64.3333
52.5,64.5
53,64.6667
53.5,64.8333
54,65
54.5,65.2
55,65.4
55.5,65.6
56,65.8
56.5,66
57,66
57.5,66
58,66.1667
58.5,66.3333
59,66.5
59.5,66.6667
60,66.8333
60.5,67
61,67.1111
61.5,67.2222
62,67.3333
62.5,67.4444
63,67.5556
63.5,67.6667
64,67.7778
64.5,67.8889
65,68
65.5,68.125
66,68.25
66.5,68.375
67,68.5
67.5,68.625
68,68.75
68.5,68.875
69,69
69.5,69.1111
70,69.2222
70.5,69.3333
71,69.4444
71.5,69.5556
72,69.6667
72.5,69.7778
73,69.8889
73.5,70
74,70.0833
74.5,70.1667
75,70.25
75.5,70.3333
76,70.4167
76.5,70.5
77,70.5833
77.5,70.6667
78,70.75
78.5,70.8333
79,70.9167
79.5,71
80,71.1
80.5,71.2
81,71.3
81.5,71.4
82,71.5
82.5,71.6
83,71.7
83.5,71.8
84,71.9
84.5,72
85,72.0667
85.5,72.1333
86,72.2
86.5,72.2667
87,72.3333
87.5,72.4
88,72.4667
88.5,72.5333
89,72.6
89.5,72.6667
90,72.7333
90.5,72.8
91,72.8667
91.5,72.9333
92,73
92.5,73.0625
93,73.125
93.5,73.1875
94,73.25
94.5,73.3125
95,73.375
95.5,73.4375
96,73.5
96.5,73.5625
97,73.625
97.5,73.6875
98,73.75
98.5,73.8125
99,73.875
99.5,73.9375
100,74
100.5,74
101,74
101.5,74
102,74
102.5,74
103,74
103.5,74
104,74
104.5,74.0476
105,74.0952
105.5,74.1429
106,74.1905
106.5,74.2381
107,74.2857
107.5,74.3333
108,74.381
108.5,74.4286
109,74.4762
109.5,74.5238
110,74.5714
110.5,74.619
111,74.6667
111.5,74.7143
112,74.7619
112.5,74.8095
113,74.8571
113.5,74.9048
114,74.9524
114.5,75
115,75
115.5,75
116,75
116.5,75
117,75
117.5,75
118,75
118.5,75
119,75
119.5,75
120,75
