Time,Temperature
-2,34
-1.5,34
-1,34
-0.5,34
0,34
0.5,44
1,45
1.5,46
2,46.5
2.5,47
3,47.5
3.5,48
4,48.3333
4.5,48.6667
5,49
5.5,49.5
6,50
6.5,50.25
7,50.5
7.5,50.75
8,51
8.5,51.3333
9,51.6667
9.5,52
10,52.2
10.5,52.4
11,52.6
11.5,52.8
12,53
12.5,53.25
13,53.5
13.5,53.75
14,54
14.5,54.3333
15,54.6667
15.5,55
16,55.25
16.5,55.5
17,55.75
17.5,56
18,56.25
18.5,56.5
19,56.75
19.5,57
20,57.25
20.5,57.5
21,57.75
21.5,58
22,58.2
22.5,58.4
23,58.6
23.5,58.8
24,59
24.5,59.25
25,59.5
25.5,59.75
26,60
26.5,60.25
27,60.5
27.5,60.75
28,61
28.5,61.2
29,61.4
29.5,61.6
30,61.8
30.5,62
31,62.25
31.5,62.5
32,62.75
32.5,63
33,63.25
33.5,63.5
34,63.75
34.5,64
35,64
35.5,64
36,64.25
36.5,64.5
37,64.75
37.5,65
38,65.2
38.5,65.4
39,65.6
39.5,65.8
40,66
40.5,66.2
41,66.4
41.5,66.6
42,66.8
42.5,67
43,67
43.5,67
44,67.25
44.5,67.5
45,67.75
45.5,68
46,68.1667
46.5,68.3333
47,68.5
47.5,68.6667
48,68.8333
48.5,69
49,69.1667
49.5,69.3333
50,69.5
50.5,69.6667
51,69.8333
51.5,70
52,70.1667
52.5,70.3333
53,70.5
53.5,70.6667
54,70.8333
54.5,71
55,71.2
55.5,71.4
56,71.6
56.5,71.8
57,72
57.5,72.125
58,72.25
58.5,72.375
59,72.5
59.5,72.625
60,72.75
60.5,72.875
61,73
61.5,73.125
62,73.25
62.5,73.375
63,73.5
63.5,73.625
64,73.75
64.5,73.875
65,74
65.5,74.1429
66,74.2857
66.5,74.4286
67,74.5714
67.5,74.7143
68,74.8571
68.5,75
69,75
69.5,75
70,75.1111
70.5,75.2222
71,75.3333
71.5,75.4444
72,75.5556
72.5,75.6667
73,75.7778
73.5,75.8889
74,76
74.5,76.0909
75,76.1818
75.5,76.2727
76,76.3636
76.5,76.4545
77,76.5455
77.5,76.6364
78,76.7273
78.5,76.8182
79,76.9091
79.5,77
80,77.0833
80.5,77.1667
81,77.25
81.5,77.3333
82,77.4167
82.5,77.5
83,77.5833
83.5,77.6667
84,77.75
84.5,77.8333
85,77.9167
85.5,78
86,78
86.5,78
87,78.0625
87.5,78.125
88,78.1875
88.5,78.25
89,78.3125
89.5,78.375
90,78.4375
90.5,78.5
91,78.5625
91.5,78.625
92,78.6875
92.5,78.75
93,78.8125
93.5,78.875
94,78.9375
94.5,79
95,79.05
95.5,79.1
96,79.15
96.5,79.2
97,79.25
97.5,79.3
98,79.35
98.5,79.4
99,79.45
99.5,79.5
100,79.55
100.5,79.6
101,79.65
101.5,79.7
102,79.75
102.5,79.8
103,79.85
103.5,79.9
104,79.95
104.5,80
105,80
105.5,80
106,80
106.5,80
107,80
107.5,80
108,80
108.5,80
109,80
109.5,80
110,80
110.5,80
111,80
111.5,80
112,80
112.5,80
113,80
113.5,80
114,80
114.5,80
115,80
115.5,80
116,80
116.5,80
117,80
117.5,80
118,80
118.5,80
119,80
119.5,80
120,80
120.5,80
121,80
121.5,80
122,80
122.5,80
123,80
123.5,80
124,80
124.5,80
125,80
125.5,80
126,80
126.5,80
127,80
127.5,80
128,80
128.5,80
129,80
129.5,80
130,80
130.5,80
131,80
131.5,80
132,80
132.5,80
133,80
133.5,80
134,80
134.5,80
135,80
135.5,80
136,80
136.5,80
137,80
137.5,80
138,80
138.5,80
139,80
139.5,80
140,80
140.5,80
141,80
141.5,80
142,80
142.5,80
143,80
143.5,80
144,80
144.5,80
145,80
145.5,80
146,80
146.5,80
147,80
147.5,80
148,80
148.5,80
149,80
149.5,80
150,80
150.5,80
151,80.0093
151.5,80.0187
152,80.028
152.5,80.0374
153,80.0467
153.5,80.0561
154,80.0654
154.5,80.0748
155,80.0841
155.5,80.0935
156,80.1028
156.5,80.1121
157,80.1215
157.5,80.1308
158,80.1402
158.5,80.1495
159,80.1589
159.5,80.1682
160,80.1776
160.5,80.1869
161,80.1963
161.5,80.2056
162,80.215
162.5,80.2243
163,80.2336
163.5,80.243
164,80.2523
164.5,80.2617
165,80.271
165.5,80.2804
166,80.2897
166.5,80.2991
167,80.3084
167.5,80.3178
168,80.3271
168.5,80.3364
169,80.3458
169.5,80.3551
170,80.3645
170.5,80.3738
171,80.3832
171.5,80.3925
172,80.4019
172.5,80.4112
173,80.4206
173.5,80.4299
174,80.4393
174.5,80.4486
175,80.4579
175.5,80.4673
176,80.4766
176.5,80.486
177,80.4953
177.5,80.5047
178,80.514
178.5,80.5234
179,80.5327
179.5,80.5421
180,80.5514
180.5,80.5607
181,80.5701
181.5,80.5794
182,80.5888
182.5,80.5981
183,80.6075
183.5,80.6168
184,80.6262
184.5,80.6355
185,80.6449
185.5,80.6542
186,80.6636
186.5,80.6729
187,80.6822
187.5,80.6916
188,80.7009
188.5,80.7103
189,80.7196
189.5,80.729
190,80.7383
190.5,80.7477
191,80.757
191.5,80.7664
192,80.7757
192.5,80.785
193,80.7944
193.5,80.8037
194,80.8131
194.5,80.8224
195,80.8318
195.5,80.8411
196,80.8505
196.5,80.8598
197,80.8692
197.5,80.8785
198,80.8879
198.5,80.8972
199,80.9065
199.5,80.9159
200,80.9252
200.5,80.9346
201,80.9439
201.5,80.9533
202,80.9626
202.5,80.972
203,80.9813
203.5,80.9907
204,81
204.5,81
205,81
205.5,81
206,81
206.5,81
207,81
207.5,81
208,81
208.5,81
209,81
209.5,81
210,81
210.5,81
211,81
211.5,81
212,81
212.5,81
213,81
213.5,81
214,81
214.5,81
215,81
215.5,81
216,81
216.5,81
217,81
217.5,81
218,81
218.5,81
219,81
219.5,81.0108
220,81.0215
220.5,81.0323
221,81.043
221.5,81.0538
222,81.0645
222.5,81.0753
223,81.086
223.5,81.0968
224,81.1075
224.5,81.1183
225,81.129
225.5,81.1398
226,81.1505
226.5,81.1613
227,81.172
227.5,81.1828
228,81.1935
228.5,81.2043
229,81.2151
229.5,81.2258
230,81.2366
230.5,81.2473
231,81.2581
231.5,81.2688
232,81.2796
232.5,81.2903
233,81.3011
233.5,81.3118
234,81.3226
234.5,81.3333
235,81.3441
235.5,81.3548
236,81.3656
236.5,81.3763
237,81.3871
237.5,81.3978
238,81.4086
238.5,81.4194
239,81.4301
239.5,81.4409
240,81.4516
240.5,81.4624
241,81.4731
241.5,81.4839
242,81.4946
242.5,81.5054
243,81.5161
243.5,81.5269
244,81.5376
244.5,81.5484
245,81.5591
245.5,81.5699
246,81.5806
246.5,81.5914
247,81.6022
247.5,81.6129
248,81.6237
248.5,81.6344
249,81.6452
249.5,81.6559
250,81.6667
250.5,81.6774
251,81.6882
251.5,81.6989
252,81.7097
252.5,81.7204
253,81.7312
253.5,81.7419
254,81.7527
254.5,81.7634
255,81.7742
255.5,81.7849
256,81.7957
256.5,81.8065
257,81.8172
257.5,81.828
258,81.8387
258.5,81.8495
259,81.8602
259.5,81.871
260,81.8817
260.5,81.8925
261,81.9032
261.5,81.914
262,81.9247
262.5,81.9355
263,81.9462
263.5,81.957
264,81.9677
264.5,81.9785
265,81.9892
265.5,82
266,82
266.5,82
267,82
267.5,82
268,82
268.5,82
269,82
269.5,82
270,82
270.5,82
271,82
271.5,82
272,82
272.5,82
273,82
273.5,82
274,82
274.5,82
275,82
275.5,82
276,82
276.5,82
277,82
277.5,82
278,82
278.5,82
279,82
279.5,82
280,82
280.5,82
281,82
281.5,82
282,82
282.5,82
283,82
283.5,82
284,82
284.5,82
285,82
285.5,82
286,82
286.5,82
287,82
287.5,82
288,82
288.5,82
289,82
289.5,82
290,82
290.5,82
291,82
291.5,82
292,82
292.5,82
293,82
293.5,82
294,82
294.5,82
295,82
295.5,82
296,82
296.5,82
297,82
297.5,82
298,82
298.5,82
299,82
299.5,82
300,82
