Time,Temperature
-2,34
-1.5,34
-1,34
-0.5,34
0,34
0.5,47
1,49
1.5,49.5
2,50
2.5,50.5
3,51
3.5,51.5
4,52
4.5,52.3333
5,52.6667
5.5,53
6,53.3333
6.5,53.6667
7,54
7.5,54.3333
8,54.6667
8.5,55
9,55.25
9.5,55.5
10,55.75
10.5,56
11,56.3333
11.5,56.6667
12,57
12.5,57.25
13,57.5
13.5,57.75
14,58
14.5,58.3333
15,58.6667
15.5,59
16,59.25
16.5,59.5
17,59.75
17.5,60
18,60.25
18.5,60.5
19,60.75
19.5,61
20,61.2
20.5,61.4
21,61.6
21.5,61.8
22,62
22.5,62.3333
23,62.6667
23.5,63
24,63.25
24.5,63.5
25,63.75
25.5,64
26,64.25
26.5,64.5
27,64.75
27.5,65
28,65.25
28.5,65.5
29,65.75
29.5,66
30,66.25
30.5,66.5
31,66.75
31.5,67
32,67.2
32.5,67.4
33,67.6
33.5,67.8
34,68
34.5,68.25
35,68.5
35.5,68.75
36,69
36.5,69.2
37,69.4
37.5,69.6
38,69.8
38.5,70
39,70.2
39.5,70.4
40,70.6
40.5,70.8
41,71
41.5,71.2
42,71.4
42.5,71.6
43,71.8
43.5,72
44,72.2
44.5,72.4
45,72.6
45.5,72.8
46,73
46.5,73.25
47,73.5
47.5,73.75
48,74
48.5,74.1667
49,74.3333
49.5,74.5
50,74.6667
50.5,74.8333
51,75
51.5,75.1667
52,75.3333
52.5,75.5
53,75.6667
53.5,75.8333
54,76
54.5,76.1429
55,76.2857
55.5,76.4286
56,76.5714
56.5,76.7143
57,76.8571
57.5,77
58,77.1667
58.5,77.3333
59,77.5
59.5,77.6667
60,77.8333
60.5,78
61,78
61.5,78
62,78.1667
62.5,78.3333
63,78.5
63.5,78.6667
64,78.8333
64.5,79
65,79
65.5,79
66,79.2
66.5,79.4
67,79.6
67.5,79.8
68,80
68.5,80.1
69,80.2
69.5,80.3
70,80.4
70.5,80.5
71,80.6
71.5,80.7
72,80.8
72.5,80.9
73,81
73.5,81
74,81
74.5,81.125
75,81.25
75.5,81.375
76,81.5
76.5,81.625
77,81.75
77.5,81.875
78,82
78.5,82.0667
79,82.1333
79.5,82.2
80,82.2667
80.5,82.3333
81,82.4
81.5,82.4667
82,82.5333
82.5,82.6
83,82.6667
83.5,82.7333
84,82.8
84.5,82.8667
85,82.9333
85.5,83
86,83
86.5,83
87,83.0769
87.5,83.1538
88,83.2308
88.5,83.3077
89,83.3846
89.5,83.4615
90,83.5385
90.5,83.6154
91,83.6923
91.5,83.7692
92,83.8462
92.5,83.9231
93,84
93.5,84
94,84
94.5,84
95,84.0135
95.5,84.027
96,84.0405
96.5,84.0541
97,84.0676
97.5,84.0811
98,84.0946
98.5,84.1081
99,84.1216
99.5,84.1351
100,84.1486
100.5,84.1622
101,84.1757
101.5,84.1892
102,84.2027
102.5,84.2162
103,84.2297
103.5,84.2432
104,84.2568
104.5,84.2703
105,84.2838
105.5,84.2973
106,84.3108
106.5,84.3243
107,84.3378
107.5,84.3514
108,84.3649
108.5,84.3784
109,84.3919
109.5,84.4054
110,84.4189
110.5,84.4324
111,84.4459
111.5,84.4595
112,84.473
112.5,84.4865
113,84.5
113.5,84.5135
114,84.527
114.5,84.5405
115,84.5541
115.5,84.5676
116,84.5811
116.5,84.5946
117,84.6081
117.5,84.6216
118,84.6351
118.5,84.6486
119,84.6622
119.5,84.6757
120,84.6892
120.5,84.7027
121,84.7162
121.5,84.7297
122,84.7432
122.5,84.7568
123,84.7703
123.5,84.7838
124,84.7973
124.5,84.8108
125,84.8243
125.5,84.8378
126,84.8514
126.5,84.8649
127,84.8784
127.5,84.8919
128,84.9054
128.5,84.9189
129,84.9324
129.5,84.9459
130,84.9595
130.5,84.973
131,84.9865
131.5,85
132,85
132.5,85
133,85
133.5,85
134,85
134.5,85
135,85
135.5,85
136,85
136.5,85
137,85
137.5,85
138,85
138.5,85.0196
139,85.0392
139.5,85.0588
140,85.0784
140.5,85.098
141,85.1176
141.5,85.1373
142,85.1569
142.5,85.1765
143,85.1961
143.5,85.2157
144,85.2353
144.5,85.2549
145,85.2745
145.5,85.2941
146,85.3137
146.5,85.3333
147,85.3529
147.5,85.3725
148,85.3922
148.5,85.4118
149,85.4314
149.5,85.451
150,85.4706
150.5,85.4902
151,85.5098
151.5,85.5294
152,85.549
152.5,85.5686
153,85.5882
153.5,85.6078
154,85.6275
154.5,85.6471
155,85.6667
155.5,85.6863
156,85.7059
156.5,85.7255
157,85.7451
157.5,85.7647
158,85.7843
158.5,85.8039
159,85.8235
159.5,85.8431
160,85.8627
160.5,85.8824
161,85.902
161.5,85.9216
162,85.9412
162.5,85.9608
163,85.9804
163.5,86
164,86
164.5,86
165,86
165.5,86
166,86
166.5,86
167,86
167.5,86
168,86
168.5,86
169,86
169.5,86
170,86
170.5,86.0196
171,86.0392
171.5,86.0588
172,86.0784
172.5,86.098
173,86.1176
173.5,86.1373
174,86.1569
174.5,86.1765
175,86.1961
175.5,86.2157
176,86.2353
176.5,86.2549
177,86.2745
177.5,86.2941
178,86.3137
178.5,86.3333
179,86.3529
179.5,86.3725
180,86.3922
180.5,86.4118
181,86.4314
181.5,86.451
182,86.4706
182.5,86.4902
183,86.5098
183.5,86.5294
184,86.549
184.5,86.5686
185,86.5882
185.5,86.6078
186,86.6275
186.5,86.6471
187,86.6667
187.5,86.6863
188,86.7059
188.5,86.7255
189,86.7451
189.5,86.7647
190,86.7843
190.5,86.8039
191,86.8235
191.5,86.8431
192,86.8627
192.5,86.8824
193,86.902
193.5,86.9216
194,86.9412
194.5,86.9608
195,86.9804
195.5,87
196,87
196.5,87
197,87
197.5,87
198,87
198.5,87
199,87
199.5,87
200,87
200.5,87
201,87
201.5,87
202,87
202.5,87
203,87
203.5,87
204,87
204.5,87
205,87
205.5,87
206,87
206.5,87
207,87
207.5,87
208,87
208.5,87
209,87
209.5,87
210,87
210.5,87
211,87
211.5,87
212,87
212.5,87
213,87
213.5,87
214,87
214.5,87
215,87
215.5,87
216,87
216.5,87
217,87
217.5,87
218,87
218.5,87
219,87
219.5,87
220,87
220.5,87
221,87
221.5,87
222,87
222.5,87
223,87
223.5,87
224,87
224.5,87
225,87
225.5,87
226,87
226.5,87
227,87
227.5,87
228,87
228.5,87
229,87
229.5,87
230,87
230.5,87
231,87
231.5,87
232,87
232.5,87
233,87
233.5,87
234,87
234.5,87
235,87
235.5,87
236,87
236.5,87
237,87
237.5,87
238,87
238.5,87
239,87
239.5,87
240,87
240.5,86.9756
241,86.9512
241.5,86.9268
242,86.9024
242.5,86.878
243,86.8537
243.5,86.8293
244,86.8049
244.5,86.7805
245,86.7561
245.5,86.7317
246,86.7073
246.5,86.6829
247,86.6585
247.5,86.6341
248,86.6098
248.5,86.5854
249,86.561
249.5,86.5366
250,86.5122
250.5,86.4878
251,86.4634
251.5,86.439
252,86.4146
252.5,86.3902
253,86.3659
253.5,86.3415
254,86.3171
254.5,86.2927
255,86.2683
255.5,86.2439
256,86.2195
256.5,86.1951
257,86.1707
257.5,86.1463
258,86.122
258.5,86.0976
259,86.0732
259.5,86.0488
260,86.0244
260.5,86
261,86
261.5,86
262,86
262.5,86
263,85.9859
263.5,85.9718
264,85.9577
264.5,85.9437
265,85.9296
265.5,85.9155
266,85.9014
266.5,85.8873
267,85.8732
267.5,85.8592
268,85.8451
268.5,85.831
269,85.8169
269.5,85.8028
270,85.7887
270.5,85.7746
271,85.7606
271.5,85.7465
272,85.7324
272.5,85.7183
273,85.7042
273.5,85.6901
274,85.6761
274.5,85.662
275,85.6479
275.5,85.6338
276,85.6197
276.5,85.6056
277,85.5915
277.5,85.5775
278,85.5634
278.5,85.5493
279,85.5352
279.5,85.5211
280,85.507
280.5,85.493
281,85.4789
281.5,85.4648
282,85.4507
282.5,85.4366
283,85.4225
283.5,85.4085
284,85.3944
284.5,85.3803
285,85.3662
285.5,85.3521
286,85.338
286.5,85.3239
287,85.3099
287.5,85.2958
288,85.2817
288.5,85.2676
289,85.2535
289.5,85.2394
290,85.2254
290.5,85.2113
291,85.1972
291.5,85.1831
292,85.169
292.5,85.1549
293,85.1408
293.5,85.1268
294,85.1127
294.5,85.0986
295,85.0845
295.5,85.0704
296,85.0563
296.5,85.0423
297,85.0282
297.5,85.0141
298,85
298.5,85
299,85
299.5,85
300,85
