Time,Temperature
-2,34
-1.5,34.25
-1,34.5
-0.5,34.75
0,35
0.5,47
1,47.5
1.5,48
2,48.1667
2.5,48.3333
3,48.5
3.5,48.6667
4,48.8333
4.5,49
5,49
5.5,49
6,49.0625
6.5,49.125
7,49.1875
7.5,49.25
8,49.3125
8.5,49.375
9,49.4375
9.5,49.5
10,49.5625
10.5,49.625
11,49.6875
11.5,49.75
12,49.8125
12.5,49.875
13,49.9375
13.5,50
14,50.0588
14.5,50.1176
15,50.1765
15.5,50.2353
16,50.2941
16.5,50.3529
17,50.4118
17.5,50.4706
18,50.5294
18.5,50.5882
19,50.6471
19.5,50.7059
20,50.7647
20.5,50.8235
21,50.8824
21.5,50.9412
22,51
22.5,51
23,51
23.5,51
24,51
24.5,51
25,51.0588
25.5,51.1176
26,51.1765
26.5,51.2353
27,51.2941
27.5,51.3529
28,51.4118
28.5,51.4706
29,51.5294
29.5,51.5882
30,51.6471
30.5,51.7059
31,51.7647
31.5,51.8235
32,51.8824
32.5,51.9412
33,52
33.5,52
34,52
34.5,52
35,52
35.5,52.037
36,52.0741
36.5,52.1111
37,52.1481
37.5,52.1852
38,52.2222
38.5,52.2593
39,52.2963
39.5,52.3333
40,52.3704
40.5,52.4074
41,52.4444
41.5,52.4815
42,52.5185
42.5,52.5556
43,52.5926
43.5,52.6296
44,52.6667
44.5,52.7037
45,52.7407
45.5,52.7778
46,52.8148
46.5,52.8519
47,52.8889
47.5,52.9259
48,52.963
48.5,53
49,53.0435
49.5,53.087
50,53.1304
50.5,53.1739
51,53.2174
51.5,53.2609
52,53.3043
52.5,53.3478
53,53.3913
53.5,53.4348
54,53.4783
54.5,53.5217
55,53.5652
55.5,53.6087
56,53.6522
56.5,53.6957
57,53.7391
57.5,53.7826
58,53.8261
58.5,53.8696
59,53.913
59.5,53.9565
60,54
60.5,54
61,54
61.5,54
62,54
62.5,54
63,54
63.5,54
64,54.0357
64.5,54.0714
65,54.1071
65.5,54.1429
66,54.1786
66.5,54.2143
67,54.25
67.5,54.2857
68,54.3214
68.5,54.3571
69,54.3929
69.5,54.4286
70,54.4643
70.5,54.5
71,54.5357
71.5,54.5714
72,54.6071
72.5,54.6429
73,54.6786
73.5,54.7143
74,54.75
74.5,54.7857
75,54.8214
75.5,54.8571
76,54.8929
76.5,54.9286
77,54.9643
77.5,55
78,55
78.5,55
79,55
79.5,55
80,55.0333
80.5,55.0667
81,55.1
81.5,55.1333
82,55.1667
82.5,55.2
83,55.2333
83.5,55.2667
84,55.3
84.5,55.3333
85,55.3667
85.5,55.4
86,55.4333
86.5,55.4667
87,55.5
87.5,55.5333
88,55.5667
88.5,55.6
89,55.6333
89.5,55.6667
90,55.7
90.5,55.7333
91,55.7667
91.5,55.8
92,55.8333
92.5,55.8667
93,55.9
93.5,55.9333
94,55.9667
94.5,56
95,56
95.5,56
96,56
96.5,56
97,56
97.5,56
98,56
98.5,56
99,56
99.5,56
100,56
100.5,56
101,56
101.5,56
102,56.0294
102.5,56.0588
103,56.0882
103.5,56.1176
104,56.1471
104.5,56.1765
105,56.2059
105.5,56.2353
106,56.2647
106.5,56.2941
107,56.3235
107.5,56.3529
108,56.3824
108.5,56.4118
109,56.4412
109.5,56.4706
110,56.5
110.5,56.5294
111,56.5588
111.5,56.5882
112,56.6176
112.5,56.6471
113,56.6765
