Time,Temperature
-2,34
-1.5,34
-1,34
-0.5,34
0,34
0.5,46
1,47
1.5,47.2
2,47.4
2.5,47.6
3,47.8
3.5,48
4,48.0714
4.5,48.1429
5,48.2143
5.5,48.2857
6,48.3571
6.5,48.4286
7,48.5
7.5,48.5714
8,48.6429
8.5,48.7143
9,48.7857
9.5,48.8571
10,48.9286
10.5,49
11,49
11.5,49
12,49.0556
12.5,49.1111
13,49.1667
13.5,49.2222
14,49.2778
14.5,49.3333
15,49.3889
15.5,49.4444
16,49.5
16.5,49.5556
17,49.6111
17.5,49.6667
18,49.7222
18.5,49.7778
19,49.8333
19.5,49.8889
20,49.9444
20.5,50
21,50
21.5,50
22,50
22.5,50
23,50
23.5,50
24,50
24.5,50
25,50.0526
25.5,50.1053
26,50.1579
26.5,50.2105
27,50.2632
27.5,50.3158
28,50.3684
28.5,50.4211
29,50.4737
29.5,50.5263
30,50.5789
30.5,50.6316
31,50.6842
31.5,50.7368
32,50.7895
32.5,50.8421
33,50.8947
33.5,50.9474
34,51
34.5,51
35,51
35.5,51
36,51
36.5,51.0333
37,51.0667
37.5,51.1
38,51.1333
38.5,51.1667
39,51.2
39.5,51.2333
40,51.2667
40.5,51.3
41,51.3333
41.5,51.3667
42,51.4
42.5,51.4333
43,51.4667
43.5,51.5
44,51.5333
44.5,51.5667
45,51.6
45.5,51.6333
46,51.6667
46.5,51.7
47,51.7333
47.5,51.7667
48,51.8
48.5,51.8333
49,51.8667
49.5,51.9
50,51.9333
50.5,51.9667
51,52
51.5,52.0357
52,52.0714
52.5,52.1071
53,52.1429
53.5,52.1786
54,52.2143
54.5,52.25
55,52.2857
55.5,52.3214
56,52.3571
56.5,52.3929
57,52.4286
57.5,52.4643
58,52.5
58.5,52.5357
59,52.5714
59.5,52.6071
60,52.6429
60.5,52.6786
61,52.7143
61.5,52.75
62,52.7857
62.5,52.8214
63,52.8571
63.5,52.8929
64,52.9286
64.5,52.9643
65,53
65.5,53
66,53
66.5,53
67,53
67.5,53
68,53
68.5,53
69,53
69.5,53.0244
70,53.0488
70.5,53.0732
71,53.0976
71.5,53.122
72,53.1463
72.5,53.1707
73,53.1951
73.5,53.2195
74,53.2439
74.5,53.2683
75,53.2927
75.5,53.3171
76,53.3415
76.5,53.3659
77,53.3902
77.5,53.4146
78,53.439
78.5,53.4634
79,53.4878
79.5,53.5122
80,53.5366
80.5,53.561
81,53.5854
81.5,53.6098
82,53.6341
82.5,53.6585
83,53.6829
83.5,53.7073
84,53.7317
84.5,53.7561
85,53.7805
85.5,53.8049
86,53.8293
86.5,53.8537
87,53.878
87.5,53.9024
88,53.9268
88.5,53.9512
89,53.9756
89.5,54
90,54
90.5,54
91,54
91.5,54
92,54.0222
92.5,54.0444
93,54.0667
93.5,54.0889
94,54.1111
94.5,54.1333
95,54.1556
95.5,54.1778
96,54.2
96.5,54.2222
97,54.2444
97.5,54.2667
98,54.2889
98.5,54.3111
99,54.3333
99.5,54.3556
100,54.3778
100.5,54.4
101,54.4222
101.5,54.4444
102,54.4667
102.5,54.4889
103,54.5111
103.5,54.5333
104,54.5556
104.5,54.5778
105,54.6
105.5,54.6222
106,54.6444
106.5,54.6667
107,54.6889
107.5,54.7111
108,54.7333
108.5,54.7556
109,54.7778
109.5,54.8
110,54.8222
110.5,54.8444
111,54.8667
111.5,54.8889
112,54.9111
112.5,54.9333
113,54.9556
113.5,54.9778
114,55
114.5,55
115,55
115.5,55
116,55
116.5,55
117,55
117.5,55
118,55
118.5,55
119,55
119.5,55
120,55.0238
120.5,55.0476
121,55.0714
121.5,55.0952
122,55.119
122.5,55.1429
123,55.1667
123.5,55.1905
124,55.2143
124.5,55.2381
125,55.2619
125.5,55.2857
126,55.3095
126.5,55.3333
127,55.3571
127.5,55.381
128,55.4048
128.5,55.4286
129,55.4524
129.5,55.4762
130,55.5
130.5,55.5238
131,55.5476
131.5,55.5714
132,55.5952
132.5,55.619
133,55.6429
133.5,55.6667
134,55.6905
134.5,55.7143
135,55.7381
135.5,55.7619
136,55.7857
136.5,55.8095
137,55.8333
137.5,55.8571
138,55.881
138.5,55.9048
139,55.9286
139.5,55.9524
140,55.9762
140.5,56
141,56
141.5,56
142,56
142.5,56
143,56
143.5,56
144,56
144.5,56
145,56
145.5,56
146,56.0161
146.5,56.0323
147,56.0484
147.5,56.0645
148,56.0806
148.5,56.0968
149,56.1129
149.5,56.129
150,56.1452
150.5,56.1613
151,56.1774
151.5,56.1935
152,56.2097
152.5,56.2258
153,56.2419
153.5,56.2581
154,56.2742
154.5,56.2903
155,56.3065
155.5,56.3226
156,56.3387
156.5,56.3548
157,56.371
157.5,56.3871
158,56.4032
158.5,56.4194
159,56.4355
159.5,56.4516
160,56.4677
160.5,56.4839
161,56.5
161.5,56.5161
162,56.5323
162.5,56.5484
163,56.5645
163.5,56.5806
164,56.5968
164.5,56.6129
165,56.629
165.5,56.6452
166,56.6613
166.5,56.6774
167,56.6935
167.5,56.7097
168,56.7258
168.5,56.7419
169,56.7581
169.5,56.7742
170,56.7903
170.5,56.8065
171,56.8226
171.5,56.8387
172,56.8548
172.5,56.871
173,56.8871
173.5,56.9032
174,56.9194
174.5,56.9355
175,56.9516
175.5,56.9677
176,56.9839
176.5,57
177,57
177.5,57
178,57
178.5,57
179,57
179.5,57
180,57
180.5,57.0159
181,57.0317
181.5,57.0476
182,57.0635
182.5,57.0794
183,57.0952
183.5,57.1111
184,57.127
184.5,57.1429
185,57.1587
185.5,57.1746
186,57.1905
186.5,57.2063
187,57.2222
187.5,57.2381
188,57.254
188.5,57.2698
189,57.2857
189.5,57.3016
190,57.3175
190.5,57.3333
191,57.3492
191.5,57.3651
192,57.381
192.5,57.3968
193,57.4127
193.5,57.4286
194,57.4444
194.5,57.4603
195,57.4762
195.5,57.4921
196,57.5079
196.5,57.5238
197,57.5397
197.5,57.5556
198,57.5714
198.5,57.5873
199,57.6032
199.5,57.619
200,57.6349
200.5,57.6508
201,57.6667
201.5,57.6825
202,57.6984
202.5,57.7143
203,57.7302
203.5,57.746
204,57.7619
204.5,57.7778
205,57.7937
205.5,57.8095
206,57.8254
206.5,57.8413
207,57.8571
207.5,57.873
208,57.8889
208.5,57.9048
209,57.9206
209.5,57.9365
210,57.9524
210.5,57.9683
211,57.9841
211.5,58
212,58
212.5,58
213,58
213.5,58
214,58
214.5,58
215,58
215.5,58
216,58
216.5,58
217,58
217.5,58
218,58
218.5,58
219,58
219.5,58
220,58
220.5,58
221,58
221.5,58
222,58
222.5,58
223,58
223.5,58
224,58
224.5,58
225,58
225.5,58
226,58
226.5,58
227,58
227.5,58
228,58
228.5,58
229,58
229.5,58
230,58
230.5,58
231,58
231.5,58
232,58
232.5,58
233,58
233.5,58.0137
234,58.0274
234.5,58.0411
235,58.0548
235.5,58.0685
236,58.0822
236.5,58.0959
237,58.1096
237.5,58.1233
238,58.137
238.5,58.1507
239,58.1644
239.5,58.1781
240,58.1918
240.5,58.2055
241,58.2192
241.5,58.2329
242,58.2466
242.5,58.2603
243,58.274
243.5,58.2877
244,58.3014
244.5,58.3151
245,58.3288
245.5,58.3425
246,58.3562
246.5,58.3699
247,58.3836
247.5,58.3973
248,58.411
248.5,58.4247
249,58.4384
249.5,58.4521
250,58.4658
250.5,58.4795
251,58.4932
251.5,58.5068
252,58.5205
252.5,58.5342
253,58.5479
253.5,58.5616
254,58.5753
254.5,58.589
255,58.6027
255.5,58.6164
256,58.6301
256.5,58.6438
257,58.6575
257.5,58.6712
258,58.6849
258.5,58.6986
259,58.7123
259.5,58.726
260,58.7397
260.5,58.7534
261,58.7671
261.5,58.7808
262,58.7945
262.5,58.8082
263,58.8219
263.5,58.8356
264,58.8493
264.5,58.863
265,58.8767
265.5,58.8904
266,58.9041
266.5,58.9178
267,58.9315
267.5,58.9452
268,58.9589
268.5,58.9726
269,58.9863
269.5,59
270,59
270.5,59
271,59
271.5,59
272,59
272.5,59
273,59
273.5,59
274,59
274.5,59
275,59
275.5,59
276,59
276.5,59
277,59
277.5,59
278,59
278.5,59
279,59
279.5,59
280,59
280.5,59
281,59
281.5,59
282,59
282.5,59
283,59
283.5,59
284,59
284.5,59
285,59
285.5,59
286,59
286.5,59
287,59
287.5,59
288,59
288.5,59
289,59
289.5,59
290,59
290.5,59
291,59
291.5,59
292,59
292.5,59
293,59
293.5,59
294,59
294.5,59
295,59
295.5,59
296,59
296.5,59
297,59
297.5,59
298,59
298.5,59
299,59
299.5,59
300,59
