Time,Rate
-2,0.5
-1.5,0.5
-1,0.5
-0.5,0.5
0,12
0.5,1
1,1
1.5,1
2,1
2.5,1
3,1
3.5,0.666667
4,0.666667
4.5,0.666667
5,0.666667
5.5,0.666667
6,0.666667
6.5,0.5
7,0.5
7.5,0.5
8,0.5
8.5,0.4
9,0.4
9.5,0.4
10,0.4
10.5,0.4
11,0.666667
11.5,0.666667
12,0.666667
12.5,0.5
13,0.5
13.5,0.5
14,0.5
14.5,0.4
15,0.4
15.5,0.4
16,0.4
16.5,0.4
17,0.5
17.5,0.5
18,0.5
18.5,0.5
19,0
19.5,0
20,0.5
20.5,0.5
21,0.5
21.5,0.5
22,0.5
22.5,0.5
23,0.5
23.5,0.5
24,0.5
24.5,0.5
25,0.5
25.5,0.5
26,0.4
26.5,0.4
27,0.4
27.5,0.4
28,0.4
28.5,0.4
29,0.4
29.5,0.4
30,0.4
30.5,0.4
31,0.4
31.5,0.4
32,0.4
32.5,0.4
33,0.4
33.5,0.333333
34,0.333333
34.5,0.333333
35,0.333333
35.5,0.333333
36,0.333333
36.5,0.4
37,0.4
37.5,0.4
38,0.4
38.5,0.4
39,0.4
39.5,0.4
40,0.4
40.5,0.4
41,0.4
41.5,0.333333
42,0.333333
42.5,0.333333
43,0.333333
43.5,0.333333
44,0.333333
44.5,0.4
45,0.4
45.5,0.4
46,0.4
46.5,0.4
47,0
47.5,0
48,0.333333
48.5,0.333333
49,0.333333
49.5,0.333333
50,0.333333
50.5,0.333333
51,0.333333
51.5,0.333333
52,0.333333
52.5,0.333333
53,0.333333
53.5,0.333333
54,0.4
54.5,0.4
55,0.4
55.5,0.4
56,0.4
56.5,0
57,0
57.5,0.333333
58,0.333333
58.5,0.333333
59,0.333333
59.5,0.333333
60,0.333333
60.5,0.222222
61,0.222222
61.5,0.222222
62,0.222222
62.5,0.222222
63,0.222222
63.5,0.222222
64,0.222222
64.5,0.222222
65,0.25
65.5,0.25
66,0.25
66.5,0.25
67,0.25
67.5,0.25
68,0.25
68.5,0.25
69,0.222222
69.5,0.222222
70,0.222222
70.5,0.222222
71,0.222222
71.5,0.222222
72,0.222222
72.5,0.222222
73,0.222222
73.5,0.166667
74,0.166667
74.5,0.166667
75,0.166667
75.5,0.166667
76,0.166667
76.5,0.166667
77,0.166667
77.5,0.166667
78,0.166667
78.5,0.166667
79,0.166667
79.5,0.2
80,0.2
80.5,0.2
81,0.2
81.5,0.2
82,0.2
82.5,0.2
83,0.2
83.5,0.2
84,0.2
84.5,0.133333
85,0.133333
85.5,0.133333
86,0.133333
86.5,0.133333
87,0.133333
87.5,0.133333
88,0.133333
88.5,0.133333
89,0.133333
89.5,0.133333
90,0.133333
90.5,0.133333
91,0.133333
91.5,0.133333
92,0.125
92.5,0.125
93,0.125
93.5,0.125
94,0.125
94.5,0.125
95,0.125
95.5,0.125
96,0.125
96.5,0.125
97,0.125
97.5,0.125
98,0.125
98.5,0.125
99,0.125
99.5,0.125
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,0.0952381
104.5,0.0952381
105,0.0952381
105.5,0.0952381
106,0.0952381
106.5,0.0952381
107,0.0952381
107.5,0.0952381
108,0.0952381
108.5,0.0952381
109,0.0952381
109.5,0.0952381
110,0.0952381
110.5,0.0952381
111,0.0952381
111.5,0.0952381
112,0.0952381
112.5,0.0952381
113,0.0952381
113.5,0.0952381
114,0.0952381
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0.0952381
120.5,0.0952381
121,0.0952381
121.5,0.0952381
122,0.0952381
122.5,0.0952381
123,0.0952381
123.5,0.0952381
124,0.0952381
124.5,0.0952381
125,0.0952381
125.5,0.0952381
126,0.0952381
126.5,0.0952381
127,0.0952381
127.5,0.0952381
128,0.0952381
128.5,0.0952381
129,0.0952381
129.5,0.0952381
130,0.0952381
130.5,0
131,0
131.5,0
132,0
132.5,0
133,0
133.5,0
134,0
134.5,0
135,0
135.5,0
136,0
136.5,0
137,0
137.5,-0.0465116
138,-0.0465116
138.5,-0.0465116
139,-0.0465116
139.5,-0.0465116
140,-0.0465116
140.5,-0.0465116
141,-0.0465116
141.5,-0.0465116
142,-0.0465116
142.5,-0.0465116
143,-0.0465116
143.5,-0.0465116
144,-0.0465116
144.5,-0.0465116
145,-0.0465116
145.5,-0.0465116
146,-0.0465116
146.5,-0.0465116
147,-0.0465116
147.5,-0.0465116
148,-0.0465116
148.5,-0.0465116
149,-0.0465116
149.5,-0.0465116
150,-0.0465116
150.5,-0.0465116
151,-0.0465116
151.5,-0.0465116
152,-0.0465116
152.5,-0.0465116
153,-0.0465116
153.5,-0.0465116
154,-0.0465116
154.5,-0.0465116
155,-0.0465116
155.5,-0.0465116
156,-0.0465116
156.5,-0.0465116
157,-0.0465116
157.5,-0.0465116
158,-0.0465116
158.5,-0.0465116
159,0
159.5,0
160,0
160.5,0
161,0
161.5,0
162,0
162.5,0
163,0
163.5,0
164,0
164.5,0
165,0
165.5,0
166,0
166.5,0
167,0
167.5,0
168,0
168.5,0
169,0
169.5,0
170,0
170.5,0
171,0
171.5,0
172,0
172.5,0
173,0
173.5,0
174,0
174.5,0
175,0
175.5,0
176,0
176.5,0
177,0
177.5,0
178,0
178.5,0
179,0
179.5,0
180,0
180.5,0
181,0
181.5,0
182,0
182.5,0
183,0
183.5,0
184,0
184.5,0
185,0
185.5,0
186,0
186.5,0
187,0
187.5,0
188,0
188.5,0
189,0
189.5,0
190,0
190.5,0
191,0
191.5,0
192,0
192.5,0
193,0
193.5,0
194,0
194.5,0
195,0
195.5,0
196,0
196.5,0
197,0
197.5,0
198,0
198.5,0
199,0
199.5,0
200,0
200.5,0
201,0
201.5,0
202,0
202.5,0
