Time,Rate
-2,0.5
-1.5,0.5
-1,0.5
-0.5,0.5
0,10
0.5,2
1,2
1.5,0.666667
2,0.666667
2.5,0.666667
3,0.666667
3.5,0.666667
4,0.666667
4.5,1
5,1
5.5,0.5
6,0.5
6.5,0.5
7,0.5
7.5,0.5
8,0.5
8.5,0.5
9,0.5
9.5,0.5
10,0.5
10.5,0.5
11,0.5
11.5,0.5
12,0.5
12.5,0.5
13,0.5
13.5,0.5
14,0.5
14.5,0.5
15,0.5
15.5,0
16,0
16.5,0.5
17,0.5
17.5,0.5
18,0.5
18.5,0.5
19,0.5
19.5,0.5
20,0.5
20.5,0.4
21,0.4
21.5,0.4
22,0.4
22.5,0.4
23,0.5
23.5,0.5
24,0.5
24.5,0.5
25,0.4
25.5,0.4
26,0.4
26.5,0.4
27,0.4
27.5,0.333333
28,0.333333
28.5,0.333333
29,0.333333
29.5,0.333333
30,0.333333
30.5,0.4
31,0.4
31.5,0.4
32,0.4
32.5,0.4
33,0.5
33.5,0.5
34,0.5
34.5,0.5
35,0.333333
35.5,0.333333
36,0.333333
36.5,0.333333
37,0.333333
37.5,0.333333
38,0.4
38.5,0.4
39,0.4
39.5,0.4
40,0.4
40.5,0.333333
41,0.333333
41.5,0.333333
42,0.333333
42.5,0.333333
43,0.333333
43.5,0.333333
44,0.333333
44.5,0.333333
45,0.333333
45.5,0.333333
46,0.333333
46.5,0.333333
47,0.333333
47.5,0.333333
48,0.333333
48.5,0.333333
49,0.333333
49.5,0.285714
50,0.285714
50.5,0.285714
51,0.285714
51.5,0.285714
52,0.285714
52.5,0.285714
53,0.333333
53.5,0.333333
54,0.333333
54.5,0.333333
55,0.333333
55.5,0.333333
56,0.25
56.5,0.25
57,0.25
57.5,0.25
58,0.25
58.5,0.25
59,0.25
59.5,0.25
60,0.285714
60.5,0.285714
61,0.285714
61.5,0.285714
62,0.285714
62.5,0.285714
63,0.285714
63.5,0.25
64,0.25
64.5,0.25
65,0.25
65.5,0.25
66,0.25
66.5,0.25
67,0.25
67.5,0.222222
68,0.222222
68.5,0.222222
69,0.222222
69.5,0.222222
70,0.222222
70.5,0.222222
71,0.222222
71.5,0.222222
72,0.25
72.5,0.25
73,0.25
73.5,0.25
74,0.25
74.5,0.25
75,0.25
75.5,0.25
76,0
76.5,0
77,0
77.5,0.153846
78,0.153846
78.5,0.153846
79,0.153846
79.5,0.153846
80,0.153846
80.5,0.153846
81,0.153846
81.5,0.153846
82,0.153846
82.5,0.153846
83,0.153846
83.5,0.153846
84,0
84.5,0
85,0.2
85.5,0.2
86,0.2
86.5,0.2
87,0.2
87.5,0.2
88,0.2
88.5,0.2
89,0.2
89.5,0.2
90,0.125
90.5,0.125
91,0.125
91.5,0.125
92,0.125
92.5,0.125
93,0.125
93.5,0.125
94,0.125
94.5,0.125
95,0.125
95.5,0.125
96,0.125
96.5,0.125
97,0.125
97.5,0.125
98,0.0833333
98.5,0.0833333
99,0.0833333
99.5,0.0833333
100,0.0833333
100.5,0.0833333
101,0.0833333
101.5,0.0833333
102,0.0833333
102.5,0.0833333
103,0.0833333
103.5,0.0833333
104,0.0833333
104.5,0.0833333
105,0.0833333
105.5,0.0833333
106,0.0833333
106.5,0.0833333
107,0.0833333
107.5,0.0833333
108,0.0833333
108.5,0.0833333
109,0.0833333
109.5,0.0833333
110,0
110.5,0
111,0
111.5,0
112,0
112.5,0
113,0.08
113.5,0.08
114,0.08
114.5,0.08
115,0.08
115.5,0.08
116,0.08
116.5,0.08
117,0.08
117.5,0.08
118,0.08
118.5,0.08
119,0.08
119.5,0.08
120,0.08
120.5,0.08
121,0.08
121.5,0.08
122,0.08
122.5,0.08
123,0.08
123.5,0.08
124,0.08
124.5,0.08
125,0.08
125.5,0
126,0
126.5,0
127,0
127.5,0
128,0
128.5,0
129,0
129.5,0
130,0
130.5,0.1
131,0.1
131.5,0.1
132,0.1
132.5,0.1
133,0.1
133.5,0.1
134,0.1
134.5,0.1
135,0.1
135.5,0.1
136,0.1
136.5,0.1
137,0.1
137.5,0.1
138,0.1
138.5,0.1
139,0.1
139.5,0.1
140,0.1
140.5,-0.0571429
141,-0.0571429
141.5,-0.0571429
142,-0.0571429
142.5,-0.0571429
143,-0.0571429
143.5,-0.0571429
144,-0.0571429
144.5,-0.0571429
145,-0.0571429
145.5,-0.0571429
146,-0.0571429
146.5,-0.0571429
147,-0.0571429
147.5,-0.0571429
148,-0.0571429
148.5,-0.0571429
149,-0.0571429
149.5,-0.0571429
150,-0.0571429
150.5,-0.0571429
151,-0.0571429
151.5,-0.0571429
152,-0.0571429
152.5,-0.0571429
153,-0.0571429
153.5,-0.0571429
154,-0.0571429
154.5,-0.0571429
155,-0.0571429
155.5,-0.0571429
156,-0.0571429
156.5,-0.0571429
157,-0.0571429
157.5,-0.0571429
158,0
158.5,0
159,0
159.5,0
160,0
160.5,0
161,0
161.5,0
162,0
162.5,0
163,0
163.5,0
164,0
164.5,0
165,0
165.5,0
166,0
166.5,0
167,0
167.5,0
168,0
168.5,0
169,0
169.5,0
170,0
170.5,0
171,0
171.5,0
172,0
172.5,0
173,0
173.5,0
174,0
174.5,0
175,0
175.5,0
176,0
176.5,0
177,0
177.5,0
178,0
178.5,0
179,0
179.5,0
180,0
180.5,0
181,0
181.5,0
182,0
182.5,0
183,0
183.5,0
184,0
184.5,0
185,0
185.5,0
186,0
186.5,0
187,0
187.5,0
188,0
188.5,0
189,0
189.5,0
190,0
190.5,0
191,0
191.5,0
192,0
192.5,0
193,0
193.5,0
194,0
194.5,0
195,0
195.5,0
196,0
196.5,0
197,0
197.5,0
198,0
198.5,0
199,0
199.5,0
200,0
200.5,0
201,0
201.5,0
202,0
202.5,0
203,0
203.5,0
204,0
204.5,0
205,0
205.5,0
206,0
