Time,Rate
-2,0.5
-1.5,0.5
-1,0.5
-0.5,0.5
0,12
0.5,2
1,1
1.5,1
2,1
2.5,1
3,0.666667
3.5,0.666667
4,0.666667
4.5,0.666667
5,0.666667
5.5,0.666667
6,0.5
6.5,0.5
7,0.5
7.5,0.5
8,0.5
8.5,0.5
9,0.5
9.5,0.5
10,0.4
10.5,0.4
11,0.4
11.5,0.4
12,0.4
12.5,1
13,1
13.5,0
14,0
14.5,0.666667
15,0.666667
15.5,0.666667
16,0.4
16.5,0.4
17,0.4
17.5,0.4
18,0.4
18.5,0.5
19,0.5
19.5,0.5
20,0.5
20.5,0.4
21,0.4
21.5,0.4
22,0.4
22.5,0.4
23,0.5
23.5,0.5
24,0.5
24.5,0.5
25,0.4
25.5,0.4
26,0.4
26.5,0.4
27,0.4
27.5,0.4
28,0.4
28.5,0.4
29,0.4
29.5,0.4
30,0.5
30.5,0.5
31,0.5
31.5,0.5
32,0.4
32.5,0.4
33,0.4
33.5,0.4
34,0.4
34.5,0.333333
35,0.333333
35.5,0.333333
36,0.333333
36.5,0.333333
37,0.333333
37.5,0.333333
38,0.333333
38.5,0.333333
39,0.333333
39.5,0.333333
40,0.333333
40.5,0.5
41,0.5
41.5,0.5
42,0.5
42.5,0.333333
43,0.333333
43.5,0.333333
44,0.333333
44.5,0.333333
45,0.333333
45.5,0.333333
46,0.333333
46.5,0.333333
47,0.333333
47.5,0.333333
48,0.333333
48.5,0.333333
49,0.333333
49.5,0.333333
50,0.333333
50.5,0.333333
51,0.333333
51.5,0.333333
52,0.333333
52.5,0.333333
53,0.333333
53.5,0.333333
54,0.333333
54.5,0.285714
55,0.285714
55.5,0.285714
56,0.285714
56.5,0.285714
57,0.285714
57.5,0.285714
58,0.25
58.5,0.25
59,0.25
59.5,0.25
60,0.25
60.5,0.25
61,0.25
61.5,0.25
62,0.285714
62.5,0.285714
63,0.285714
63.5,0.285714
64,0.285714
64.5,0.285714
65,0.285714
65.5,0
66,0
66.5,0.333333
67,0.333333
67.5,0.333333
68,0.333333
68.5,0.333333
69,0.333333
69.5,0.2
70,0.2
70.5,0.2
71,0.2
71.5,0.2
72,0.2
72.5,0.2
73,0.2
73.5,0.2
74,0.2
74.5,0.222222
75,0.222222
75.5,0.222222
76,0.222222
76.5,0.222222
77,0.222222
77.5,0.222222
78,0.222222
78.5,0.222222
79,0
79.5,0
80,0.153846
80.5,0.153846
81,0.153846
81.5,0.153846
82,0.153846
82.5,0.153846
83,0.153846
83.5,0.153846
84,0.153846
84.5,0.153846
85,0.153846
85.5,0.153846
86,0.153846
86.5,0.125
87,0.125
87.5,0.125
88,0.125
88.5,0.125
89,0.125
89.5,0.125
90,0.125
90.5,0.125
91,0.125
91.5,0.125
92,0.125
92.5,0.125
93,0.125
93.5,0.125
94,0.125
94.5,0.105263
95,0.105263
95.5,0.105263
96,0.105263
96.5,0.105263
97,0.105263
97.5,0.105263
98,0.105263
98.5,0.105263
99,0.105263
99.5,0.105263
100,0.105263
100.5,0.105263
101,0.105263
101.5,0.105263
102,0.105263
102.5,0.105263
103,0.105263
103.5,0.105263
104,0
104.5,0
105,0
105.5,0
106,0
106.5,0
107,0.105263
107.5,0.105263
108,0.105263
108.5,0.105263
109,0.105263
109.5,0.105263
110,0.105263
110.5,0.105263
111,0.105263
111.5,0.105263
112,0.105263
112.5,0.105263
113,0.105263
113.5,0.105263
114,0.105263
114.5,0.105263
115,0.105263
115.5,0.105263
116,0.105263
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,0
128.5,0
129,0
129.5,0
130,0
130.5,0
131,0
131.5,0
132,0
132.5,0
133,0
133.5,0
134,0
134.5,0
135,0
135.5,0
136,0
136.5,0
137,0
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,0
152.5,0
153,0
153.5,0
154,0
154.5,0
155,0
155.5,0
156,0
156.5,0
157,0
157.5,0
158,0
158.5,0
159,0
159.5,0
160,0
160.5,0
161,0
161.5,0
162,0
162.5,0
163,0
163.5,0
164,0
164.5,0
165,0
165.5,0
166,0
166.5,0
167,0
167.5,0
168,0
168.5,0
169,0
169.5,0
170,0
170.5,0
171,0
171.5,0
172,0
172.5,0
173,0
173.5,0
174,0
174.5,0
175,0
175.5,0
176,0
176.5,0
177,0
177.5,0
178,0
178.5,0
179,0
179.5,0
180,0
180.5,0
181,0
181.5,0
182,0
182.5,0
183,0
183.5,0
184,0
184.5,0
185,0
185.5,0
186,0
186.5,0
187,0
187.5,0
188,0
188.5,0
189,0
189.5,0
190,0
190.5,0
191,0
191.5,0
192,0
192.5,0
193,0
193.5,0
194,0
194.5,0
195,0
195.5,0
196,0
196.5,0
197,0
197.5,0
198,0
198.5,0
199,0
199.5,0
200,0
200.5,0
201,0
201.5,0
202,0
202.5,0
203,0
203.5,0
204,0
204.5,0
205,0
205.5,0
206,0
206.5,0
207,0
207.5,0
208,0
208.5,0
209,0
209.5,0
210,0
210.5,0
211,0
211.5,0
212,0
212.5,0
213,0
213.5,0
214,0
214.5,0
215,0
215.5,0
216,0
216.5,0
217,0
217.5,0
218,0
218.5,0
219,0
219.5,0
220,0
220.5,0
221,0
221.5,0
222,0
222.5,0
223,0
223.5,0
224,0
224.5,0
225,0
225.5,0
226,0
226.5,0
227,0
227.5,0
228,0
228.5,0
229,0
229.5,0
230,0
230.5,0
231,0
231.5,0
