Time,Rate
-2,0.5
-1.5,0.5
-1,0.5
-0.5,0.5
0,12
0.5,1
1,1
1.5,2
2,0.666667
2.5,0.666667
3,0.666667
3.5,0.666667
4,0.666667
4.5,0.666667
5,0.666667
5.5,0.666667
6,0.666667
6.5,0.5
7,0.5
7.5,0.5
8,0.5
8.5,0.5
9,0.5
9.5,0.5
10,0.5
10.5,0.5
11,0.5
11.5,0.5
12,0.5
12.5,0.666667
13,0.666667
13.5,0.666667
14,0.4
14.5,0.4
15,0.4
15.5,0.4
16,0.4
16.5,0.5
17,0.5
17.5,0.5
18,0.5
18.5,0.4
19,0.4
19.5,0.4
20,0.4
20.5,0.4
21,0.5
21.5,0.5
22,0.5
22.5,0.5
23,0.4
23.5,0.4
24,0.4
24.5,0.4
25,0.4
25.5,0.4
26,0.4
26.5,0.4
27,0.4
27.5,0.4
28,0.5
28.5,0.5
29,0.5
29.5,0.5
30,0.4
30.5,0.4
31,0.4
31.5,0.4
32,0.4
32.5,0.333333
33,0.333333
33.5,0.333333
34,0.333333
34.5,0.333333
35,0.333333
35.5,0.4
36,0.4
36.5,0.4
37,0.4
37.5,0.4
38,0.4
38.5,0.4
39,0.4
39.5,0.4
40,0.4
40.5,0.5
41,0.5
41.5,0.5
42,0.5
42.5,0
43,0
43.5,0.5
44,0.5
44.5,0.5
45,0.5
45.5,0.285714
46,0.285714
46.5,0.285714
47,0.285714
47.5,0.285714
48,0.285714
48.5,0.285714
49,0.285714
49.5,0.285714
50,0.285714
50.5,0.285714
51,0.285714
51.5,0.285714
52,0.285714
52.5,0.4
53,0.4
53.5,0.4
54,0.4
54.5,0.4
55,0
55.5,0
56,0.285714
56.5,0.285714
57,0.285714
57.5,0.285714
58,0.285714
58.5,0.285714
59,0.285714
59.5,0.25
60,0.25
60.5,0.25
61,0.25
61.5,0.25
62,0.25
62.5,0.25
63,0.25
63.5,0.25
64,0.25
64.5,0.25
65,0.25
65.5,0.25
66,0.25
66.5,0.25
67,0.25
67.5,0.222222
68,0.222222
68.5,0.222222
69,0.222222
69.5,0.222222
70,0.222222
70.5,0.222222
71,0.222222
71.5,0.222222
72,0.2
72.5,0.2
73,0.2
73.5,0.2
74,0.2
74.5,0.2
75,0.2
75.5,0.2
76,0.2
76.5,0.2
77,0.181818
77.5,0.181818
78,0.181818
78.5,0.181818
79,0.181818
79.5,0.181818
80,0.181818
80.5,0.181818
81,0.181818
81.5,0.181818
82,0.181818
82.5,0.181818
83,0.181818
83.5,0.181818
84,0.181818
84.5,0.181818
85,0.181818
85.5,0.181818
86,0.181818
86.5,0.181818
87,0.181818
87.5,0.181818
88,0.105263
88.5,0.105263
89,0.105263
89.5,0.105263
90,0.105263
90.5,0.105263
91,0.105263
91.5,0.105263
92,0.105263
92.5,0.105263
93,0.105263
93.5,0.105263
94,0.105263
94.5,0.105263
95,0.105263
95.5,0.105263
96,0.105263
96.5,0.105263
97,0.105263
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0.0952381
100.5,0.0952381
101,0.0952381
101.5,0.0952381
102,0.0952381
102.5,0.0952381
103,0.0952381
103.5,0.0952381
104,0.0952381
104.5,0.0952381
105,0.0952381
105.5,0.0952381
106,0.0952381
106.5,0.0952381
107,0.0952381
107.5,0.0952381
108,0.0952381
108.5,0.0952381
109,0.0952381
109.5,0.0952381
110,0.0952381
110.5,0
111,0
111.5,0.105263
112,0.105263
112.5,0.105263
113,0.105263
113.5,0.105263
114,0.105263
114.5,0.105263
115,0.105263
115.5,0.105263
116,0.105263
116.5,0.105263
117,0.105263
117.5,0.105263
118,0.105263
118.5,0.105263
119,0.105263
119.5,0.105263
120,0.105263
120.5,0.105263
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,0
128.5,0
129,0
129.5,0
130,0
130.5,0
131,0
131.5,0
132,0
132.5,0
133,0
133.5,0
134,0
134.5,0
135,0
135.5,0
136,0
136.5,0
137,0
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,0
152.5,0
153,0
153.5,0
154,0
154.5,0
155,0
155.5,0
156,0
156.5,0
157,0
157.5,0
158,0
158.5,0
159,0
159.5,0
160,0
160.5,0
161,0
161.5,0
162,0
162.5,0
163,0
163.5,0
164,0
164.5,0
165,0
165.5,0
166,0
166.5,0
167,0
167.5,0
168,0
168.5,0
169,0
169.5,0
170,0
170.5,0
171,0
171.5,0
172,0
172.5,0
173,0
173.5,0
174,0
174.5,0
175,0
175.5,0
176,0
176.5,0
177,0
177.5,0
178,0
178.5,0
179,0
179.5,0
180,0
180.5,0
181,0
181.5,0
182,0
182.5,0
183,0
183.5,0
184,0
184.5,0
185,0
185.5,0
186,0
186.5,0
187,0
187.5,0
188,0
188.5,0
189,0
189.5,0
190,0
190.5,0
191,0
191.5,0
192,0
192.5,0
193,0
193.5,0
194,0
194.5,0
195,0
195.5,0
196,0
196.5,0
197,0
197.5,0
198,0
198.5,0
199,0
199.5,0
200,0
200.5,0
201,0
201.5,0
202,0
202.5,0
203,0
203.5,0
204,0
204.5,0
205,0
205.5,0
206,0
206.5,0
207,0
207.5,0
208,0
208.5,0
209,0
209.5,0
210,0
210.5,0
211,0
211.5,0
212,0
212.5,0
213,0
213.5,0
214,0
214.5,0
215,0
215.5,0
216,0
216.5,0
217,0
217.5,0
218,0
218.5,0
219,0
219.5,0
220,0
220.5,0
221,0
221.5,0
222,0
222.5,0
223,0
223.5,0
224,0
224.5,0
225,0
225.5,0
226,0
