Time,Rate
-2,0.5
-1.5,0.5
-1,0.5
-0.5,0.5
0,18
0.5,1
1,1
1.5,0.181818
2,0.181818
2.5,0.181818
3,0.181818
3.5,0.181818
4,0.181818
4.5,0.181818
5,0.181818
5.5,0.181818
6,0.181818
6.5,0.181818
7,0
7.5,0
8,0.08
8.5,0.08
9,0.08
9.5,0.08
10,0.08
10.5,0.08
11,0.08
11.5,0.08
12,0.08
12.5,0.08
13,0.08
13.5,0.08
14,0.08
14.5,0.08
15,0.08
15.5,0.08
16,0.08
16.5,0.08
17,0.08
17.5,0.08
18,0.08
18.5,0.08
19,0.08
19.5,0.08
20,0.08
20.5,0
21,0
21.5,0
22,0
22.5,0
23,0.0666667
23.5,0.0666667
24,0.0666667
24.5,0.0666667
25,0.0666667
25.5,0.0666667
26,0.0666667
26.5,0.0666667
27,0.0666667
27.5,0.0666667
28,0.0666667
28.5,0.0666667
29,0.0666667
29.5,0.0666667
30,0.0666667
30.5,0.0666667
31,0.0666667
31.5,0.0666667
32,0.0666667
32.5,0.0666667
33,0.0666667
33.5,0.0666667
34,0.0666667
34.5,0.0666667
35,0.0666667
35.5,0.0666667
36,0.0666667
36.5,0.0666667
37,0.0666667
37.5,0.0666667
38,0
38.5,0
39,0
39.5,0
40,0
40.5,0
41,0.0645161
41.5,0.0645161
42,0.0645161
42.5,0.0645161
43,0.0645161
43.5,0.0645161
44,0.0645161
44.5,0.0645161
45,0.0645161
45.5,0.0645161
46,0.0645161
46.5,0.0645161
47,0.0645161
47.5,0.0645161
48,0.0645161
48.5,0.0645161
49,0.0645161
49.5,0.0645161
50,0.0645161
50.5,0.0645161
51,0.0645161
51.5,0.0645161
52,0.0645161
52.5,0.0645161
53,0.0645161
53.5,0.0645161
54,0.0645161
54.5,0.0645161
55,0.0645161
55.5,0.0645161
56,0.0645161
56.5,0
57,0
57.5,0
58,0
58.5,0
59,0
59.5,0
60,0
60.5,0.0444444
61,0.0444444
61.5,0.0444444
62,0.0444444
62.5,0.0444444
63,0.0444444
63.5,0.0444444
64,0.0444444
64.5,0.0444444
65,0.0444444
65.5,0.0444444
66,0.0444444
66.5,0.0444444
67,0.0444444
67.5,0.0444444
68,0.0444444
68.5,0.0444444
69,0.0444444
69.5,0.0444444
70,0.0444444
70.5,0.0444444
71,0.0444444
71.5,0.0444444
72,0.0444444
72.5,0.0444444
73,0.0444444
73.5,0.0444444
74,0.0444444
74.5,0.0444444
75,0.0444444
75.5,0.0444444
76,0.0444444
76.5,0.0444444
77,0.0444444
77.5,0.0444444
78,0.0444444
78.5,0.0444444
79,0.0444444
79.5,0.0444444
80,0.0444444
80.5,0.0444444
81,0.0444444
81.5,0.0444444
82,0.0444444
82.5,0.0444444
83,0
83.5,0
84,0
84.5,0
85,0
85.5,0
86,0
86.5,0
87,0.0363636
87.5,0.0363636
88,0.0363636
88.5,0.0363636
89,0.0363636
89.5,0.0363636
90,0.0363636
90.5,0.0363636
91,0.0363636
91.5,0.0363636
92,0.0363636
92.5,0.0363636
93,0.0363636
93.5,0.0363636
94,0.0363636
94.5,0.0363636
95,0.0363636
95.5,0.0363636
96,0.0363636
96.5,0.0363636
97,0.0363636
97.5,0.0363636
98,0.0363636
98.5,0.0363636
99,0.0363636
99.5,0.0363636
100,0.0363636
100.5,0.0363636
101,0.0363636
101.5,0.0363636
102,0.0363636
102.5,0.0363636
103,0.0363636
103.5,0.0363636
104,0.0363636
104.5,0.0363636
105,0.0363636
105.5,0.0363636
106,0.0363636
106.5,0.0363636
107,0.0363636
107.5,0.0363636
108,0.0363636
108.5,0.0363636
109,0.0363636
109.5,0.0363636
110,0.0363636
110.5,0.0363636
111,0.0363636
111.5,0.0363636
112,0.0363636
112.5,0.0363636
113,0.0363636
113.5,0.0363636
114,0.0363636
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0.0273973
119,0.0273973
119.5,0.0273973
120,0.0273973
120.5,0.0273973
121,0.0273973
121.5,0.0273973
122,0.0273973
122.5,0.0273973
123,0.0273973
123.5,0.0273973
124,0.0273973
124.5,0.0273973
125,0.0273973
125.5,0.0273973
126,0.0273973
126.5,0.0273973
127,0.0273973
127.5,0.0273973
128,0.0273973
128.5,0.0273973
129,0.0273973
129.5,0.0273973
130,0.0273973
130.5,0.0273973
131,0.0273973
131.5,0.0273973
132,0.0273973
132.5,0.0273973
133,0.0273973
133.5,0.0273973
134,0.0273973
134.5,0.0273973
135,0.0273973
135.5,0.0273973
136,0.0273973
136.5,0.0273973
137,0.0273973
137.5,0.0273973
138,0.0273973
138.5,0.0273973
139,0.0273973
139.5,0.0273973
140,0.0273973
140.5,0.0273973
141,0.0273973
141.5,0.0273973
142,0.0273973
142.5,0.0273973
143,0.0273973
143.5,0.0273973
144,0.0273973
144.5,0.0273973
145,0.0273973
145.5,0.0273973
146,0.0273973
146.5,0.0273973
147,0.0273973
147.5,0.0273973
148,0.0273973
148.5,0.0273973
149,0.0273973
149.5,0.0273973
150,0.0273973
150.5,0.0273973
151,0.0273973
151.5,0.0273973
152,0.0273973
152.5,0.0273973
153,0.0273973
153.5,0.0273973
154,0.0273973
154.5,0.0273973
155,0
155.5,0
156,0
156.5,0
157,0
157.5,0
158,0
158.5,0
159,0
159.5,0
160,0
160.5,0
161,0
161.5,0
162,0
162.5,0
163,0
163.5,0
164,0
164.5,0
165,0
165.5,0
166,0
166.5,0
167,0
167.5,0.0253165
168,0.0253165
168.5,0.0253165
169,0.0253165
169.5,0.0253165
170,0.0253165
170.5,0.0253165
171,0.0253165
171.5,0.0253165
172,0.0253165
172.5,0.0253165
173,0.0253165
173.5,0.0253165
174,0.0253165
174.5,0.0253165
175,0.0253165
175.5,0.0253165
176,0.0253165
176.5,0.0253165
177,0.0253165
