Time,Rate
-2,0.5
-1.5,0.5
-1,0.5
-0.5,0.5
0,16
0.5,2
1,0.5
1.5,0.5
2,0.5
2.5,0.5
3,0.1
3.5,0.1
4,0.1
4.5,0.1
5,0.1
5.5,0.1
6,0.1
6.5,0.1
7,0.1
7.5,0.1
8,0.1
8.5,0.1
9,0.1
9.5,0.1
10,0.1
10.5,0.1
11,0.1
11.5,0.1
12,0.1
12.5,0.1
13,0
13.5,0
14,0.0909091
14.5,0.0909091
15,0.0909091
15.5,0.0909091
16,0.0909091
16.5,0.0909091
17,0.0909091
17.5,0.0909091
18,0.0909091
18.5,0.0909091
19,0.0909091
19.5,0.0909091
20,0.0909091
20.5,0.0909091
21,0.0909091
21.5,0.0909091
22,0.0909091
22.5,0.0909091
23,0.0909091
23.5,0.0909091
24,0.0909091
24.5,0.0909091
25,0
25.5,0
26,0
26.5,0
27,0
27.5,0
28,0
28.5,0
29,0.0740741
29.5,0.0740741
30,0.0740741
30.5,0.0740741
31,0.0740741
31.5,0.0740741
32,0.0740741
32.5,0.0740741
33,0.0740741
33.5,0.0740741
34,0.0740741
34.5,0.0740741
35,0.0740741
35.5,0.0740741
36,0.0740741
36.5,0.0740741
37,0.0740741
37.5,0.0740741
38,0.0740741
38.5,0.0740741
39,0.0740741
39.5,0.0740741
40,0.0740741
40.5,0.0740741
41,0.0740741
41.5,0.0740741
42,0.0740741
42.5,0
43,0
43.5,0
44,0
44.5,0
45,0
45.5,0
46,0
46.5,0
47,0
47.5,0
48,0
48.5,0.0645161
49,0.0645161
49.5,0.0645161
50,0.0645161
50.5,0.0645161
51,0.0645161
51.5,0.0645161
52,0.0645161
52.5,0.0645161
53,0.0645161
53.5,0.0645161
54,0.0645161
54.5,0.0645161
55,0.0645161
55.5,0.0645161
56,0.0645161
56.5,0.0645161
57,0.0645161
57.5,0.0645161
58,0.0645161
58.5,0.0645161
59,0.0645161
59.5,0.0645161
60,0.0645161
60.5,0.0645161
61,0.0645161
61.5,0.0645161
62,0.0645161
62.5,0.0645161
63,0.0645161
63.5,0.0645161
64,0
64.5,0
65,0
65.5,0
66,0.0454545
66.5,0.0454545
67,0.0454545
67.5,0.0454545
68,0.0454545
68.5,0.0454545
69,0.0454545
69.5,0.0454545
70,0.0454545
70.5,0.0454545
71,0.0454545
71.5,0.0454545
72,0.0454545
72.5,0.0454545
73,0.0454545
73.5,0.0454545
74,0.0454545
74.5,0.0454545
75,0.0454545
75.5,0.0454545
76,0.0454545
76.5,0.0454545
77,0.0454545
77.5,0.0454545
78,0.0454545
78.5,0.0454545
79,0.0454545
79.5,0.0454545
80,0.0454545
80.5,0.0454545
81,0.0454545
81.5,0.0454545
82,0.0454545
82.5,0.0454545
83,0.0454545
83.5,0.0454545
84,0.0454545
84.5,0.0454545
85,0.0454545
85.5,0.0454545
86,0.0454545
86.5,0.0454545
87,0.0454545
87.5,0.0454545
88,0
88.5,0
89,0
89.5,0
90,0
90.5,0
91,0
91.5,0
92,0.0344828
92.5,0.0344828
93,0.0344828
93.5,0.0344828
94,0.0344828
94.5,0.0344828
95,0.0344828
95.5,0.0344828
96,0.0344828
96.5,0.0344828
97,0.0344828
97.5,0.0344828
98,0.0344828
98.5,0.0344828
99,0.0344828
99.5,0.0344828
100,0.0344828
100.5,0.0344828
101,0.0344828
101.5,0.0344828
102,0.0344828
102.5,0.0344828
103,0.0344828
103.5,0.0344828
104,0.0344828
104.5,0.0344828
105,0.0344828
105.5,0.0344828
106,0.0344828
106.5,0.0344828
107,0.0344828
107.5,0.0344828
108,0.0344828
108.5,0.0344828
109,0.0344828
109.5,0.0344828
110,0.0344828
110.5,0.0344828
111,0.0344828
111.5,0.0344828
112,0.0344828
112.5,0.0344828
113,0.0344828
113.5,0.0344828
114,0.0344828
114.5,0.0344828
115,0.0344828
115.5,0.0344828
116,0.0344828
116.5,0.0344828
117,0.0344828
117.5,0.0344828
118,0.0344828
118.5,0.0344828
119,0.0344828
119.5,0.0344828
120,0.0344828
120.5,0.0344828
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0.031746
126.5,0.031746
127,0.031746
127.5,0.031746
128,0.031746
128.5,0.031746
129,0.031746
129.5,0.031746
130,0.031746
130.5,0.031746
131,0.031746
131.5,0.031746
132,0.031746
132.5,0.031746
133,0.031746
133.5,0.031746
134,0.031746
134.5,0.031746
135,0.031746
135.5,0.031746
136,0.031746
136.5,0.031746
137,0.031746
137.5,0.031746
138,0.031746
138.5,0.031746
139,0.031746
139.5,0.031746
140,0.031746
140.5,0.031746
141,0.031746
141.5,0.031746
142,0.031746
142.5,0.031746
143,0.031746
143.5,0.031746
144,0.031746
144.5,0.031746
145,0.031746
145.5,0.031746
146,0.031746
146.5,0.031746
147,0.031746
147.5,0.031746
148,0.031746
148.5,0.031746
149,0.031746
149.5,0.031746
150,0.031746
150.5,0.031746
151,0.031746
151.5,0.031746
152,0.031746
152.5,0.031746
153,0.031746
153.5,0.031746
154,0.031746
154.5,0.031746
155,0.031746
155.5,0.031746
156,0.031746
156.5,0.031746
157,0.031746
157.5,0
158,0
158.5,0
159,0
159.5,0
160,0
160.5,0
161,0
161.5,0
162,0
162.5,0
163,0
163.5,0
164,0
164.5,0
165,0
165.5,0
166,0
166.5,0
167,0
167.5,0
168,0
168.5,0
169,0
169.5,0
170,0
170.5,0
171,0
171.5,0
172,0
172.5,0
173,0
173.5,0
174,0
174.5,0
175,0
175.5,0
176,0
176.5,0.0298507
177,0.0298507
177.5,0.0298507
178,0.0298507
178.5,0.0298507
179,0.0298507
179.5,0.0298507
180,0.0298507
180.5,0.0298507
181,0.0298507
181.5,0.0298507
182,0.0298507
182.5,0.0298507
183,0.0298507
183.5,0.0298507
184,0.0298507
