Time,Rate
-2,0.5
-1.5,0.5
-1,0.5
-0.5,0.5
0,24
0.5,1
1,1
1.5,0.333333
2,0.333333
2.5,0.333333
3,0.333333
3.5,0.333333
4,0.333333
4.5,0
5,0
5.5,0.125
6,0.125
6.5,0.125
7,0.125
7.5,0.125
8,0.125
8.5,0.125
9,0.125
9.5,0.125
10,0.125
10.5,0.125
11,0.125
11.5,0.125
12,0.125
12.5,0.125
13,0.125
13.5,0.117647
14,0.117647
14.5,0.117647
15,0.117647
15.5,0.117647
16,0.117647
16.5,0.117647
17,0.117647
17.5,0.117647
18,0.117647
18.5,0.117647
19,0.117647
19.5,0.117647
20,0.117647
20.5,0.117647
21,0.117647
21.5,0.117647
22,0
22.5,0
23,0
23.5,0
24,0
24.5,0.117647
25,0.117647
25.5,0.117647
26,0.117647
26.5,0.117647
27,0.117647
27.5,0.117647
28,0.117647
28.5,0.117647
29,0.117647
29.5,0.117647
30,0.117647
30.5,0.117647
31,0.117647
31.5,0.117647
32,0.117647
32.5,0.117647
33,0
33.5,0
34,0
34.5,0
35,0.0740741
35.5,0.0740741
36,0.0740741
36.5,0.0740741
37,0.0740741
37.5,0.0740741
38,0.0740741
38.5,0.0740741
39,0.0740741
39.5,0.0740741
40,0.0740741
40.5,0.0740741
41,0.0740741
41.5,0.0740741
42,0.0740741
42.5,0.0740741
43,0.0740741
43.5,0.0740741
44,0.0740741
44.5,0.0740741
45,0.0740741
45.5,0.0740741
46,0.0740741
46.5,0.0740741
47,0.0740741
47.5,0.0740741
48,0.0740741
48.5,0.0869565
49,0.0869565
49.5,0.0869565
50,0.0869565
50.5,0.0869565
51,0.0869565
51.5,0.0869565
52,0.0869565
52.5,0.0869565
53,0.0869565
53.5,0.0869565
54,0.0869565
54.5,0.0869565
55,0.0869565
55.5,0.0869565
56,0.0869565
56.5,0.0869565
57,0.0869565
57.5,0.0869565
58,0.0869565
58.5,0.0869565
59,0.0869565
59.5,0.0869565
60,0
60.5,0
61,0
61.5,0
62,0
62.5,0
63,0
63.5,0.0714286
64,0.0714286
64.5,0.0714286
65,0.0714286
65.5,0.0714286
66,0.0714286
66.5,0.0714286
67,0.0714286
67.5,0.0714286
68,0.0714286
68.5,0.0714286
69,0.0714286
69.5,0.0714286
70,0.0714286
70.5,0.0714286
71,0.0714286
71.5,0.0714286
72,0.0714286
72.5,0.0714286
73,0.0714286
73.5,0.0714286
74,0.0714286
74.5,0.0714286
75,0.0714286
75.5,0.0714286
76,0.0714286
76.5,0.0714286
77,0.0714286
77.5,0
78,0
78.5,0
79,0
79.5,0.0666667
80,0.0666667
80.5,0.0666667
81,0.0666667
81.5,0.0666667
82,0.0666667
82.5,0.0666667
83,0.0666667
83.5,0.0666667
84,0.0666667
84.5,0.0666667
85,0.0666667
85.5,0.0666667
86,0.0666667
86.5,0.0666667
87,0.0666667
87.5,0.0666667
88,0.0666667
88.5,0.0666667
89,0.0666667
89.5,0.0666667
90,0.0666667
90.5,0.0666667
91,0.0666667
91.5,0.0666667
92,0.0666667
92.5,0.0666667
93,0.0666667
93.5,0.0666667
94,0.0666667
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0.0588235
102,0.0588235
102.5,0.0588235
103,0.0588235
103.5,0.0588235
104,0.0588235
104.5,0.0588235
105,0.0588235
105.5,0.0588235
106,0.0588235
106.5,0.0588235
107,0.0588235
107.5,0.0588235
108,0.0588235
108.5,0.0588235
109,0.0588235
109.5,0.0588235
110,0.0588235
110.5,0.0588235
111,0.0588235
111.5,0.0588235
112,0.0588235
112.5,0.0588235
113,0.0588235
113.5,0.0588235
114,0.0588235
114.5,0.0588235
115,0.0588235
115.5,0.0588235
116,0.0588235
116.5,0.0588235
117,0.0588235
117.5,0.0588235
118,0.0588235
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0.037037
123.5,0.037037
124,0.037037
124.5,0.037037
125,0.037037
125.5,0.037037
126,0.037037
126.5,0.037037
127,0.037037
127.5,0.037037
128,0.037037
128.5,0.037037
129,0.037037
129.5,0.037037
130,0.037037
130.5,0.037037
131,0.037037
131.5,0.037037
132,0.037037
132.5,0.037037
133,0.037037
133.5,0.037037
134,0.037037
134.5,0.037037
135,0.037037
135.5,0.037037
136,0.037037
136.5,0.037037
137,0.037037
137.5,0.037037
138,0.037037
138.5,0.037037
139,0.037037
139.5,0.037037
140,0.037037
140.5,0.037037
141,0.037037
141.5,0.037037
142,0.037037
142.5,0.037037
143,0.037037
143.5,0.037037
144,0.037037
144.5,0.037037
145,0.037037
145.5,0.037037
146,0.037037
146.5,0.037037
147,0.037037
147.5,0.037037
148,0.037037
148.5,0.037037
149,0.037037
149.5,0.037037
150,0
150.5,0
151,0
151.5,0
152,0
152.5,0
153,0
153.5,0
154,0
154.5,0
155,0
155.5,0.0408163
156,0.0408163
156.5,0.0408163
157,0.0408163
157.5,0.0408163
158,0.0408163
158.5,0.0408163
159,0.0408163
159.5,0.0408163
160,0.0408163
160.5,0.0408163
161,0.0408163
161.5,0.0408163
162,0.0408163
162.5,0.0408163
163,0.0408163
163.5,0.0408163
164,0.0408163
164.5,0.0408163
165,0.0408163
165.5,0.0408163
166,0.0408163
166.5,0.0408163
167,0.0408163
167.5,0.0408163
168,0.0408163
168.5,0.0408163
169,0.0408163
169.5,0.0408163
170,0.0408163
170.5,0.0408163
171,0.0408163
171.5,0.0408163
172,0.0408163
172.5,0.0408163
173,0.0408163
173.5,0.0408163
174,0.0408163
174.5,0.0408163
175,0.0408163
175.5,0.0408163
176,0.0408163
176.5,0.0408163
177,0.0408163
177.5,0.0408163
178,0.0408163
178.5,0.0408163
179,0.0408163
