Time,Temperature_HBM,Temperature_FPGA
-2,0,-27.5478
-1.5,0,-25.9935
-1,0,-27.8587
-0.5,0,-27.4701
0,0,-27.2525
0.5,0,-26.5531
1,0,-28.1229
1.5,0,-26.1801
2,0,-26.6463
2.5,0,-26.3821
3,0,-26.5531
3.5,0,-26.6619
4,0,-26.1645
4.5,0,-25.8381
5,0,-27.1437
5.5,0,-26.8018
6,0,-25.8226
6.5,0,-26.1645
7,0,-25.5739
7.5,0,-26.4909
8,0,-25.6827
8.5,0,-27.3613
9,0,-26.0091
9.5,0,-27.0971
10,0,-25.1542
10.5,0,-26.1334
11,0,-26.2733
11.5,0,-26.1801
12,0,-25.6827
12.5,0,-26.1179
13,0,-25.4184
13.5,0,-25.9158
14,0,-25.6982
14.5,0,-26.1801
15,0,-26.0868
15.5,0,-25.5739
16,0,-25.4806
16.5,0,-25.8692
17,0,-25.7138
17.5,0,-25.3718
18,0,-25.6516
18.5,0,-25.5739
19,0,-24.5169
19.5,0,-26.2889
20,0,-25.434
20.5,0,-25.4806
21,0,-24.0973
21.5,0,-26.1023
22,0,-25.5583
22.5,0,-26.4132
23,0,-24.6258
23.5,0,-25.6671
24,0,-24.6724
24.5,0,-25.5272
25,0,-25.2475
25.5,0,-24.2061
26,0,-26.2111
26.5,0,-24.6879
27,0,-26.1334
27.5,0,-24.7346
28,0,-25.4651
28.5,0,-24.4703
29,0,-25.4806
29.5,0,-24.7656
30,0,-24.5169
30.5,0,-25.061
31,0,-25.1076
31.5,0,-25.5739
32,0,-25.4651
32.5,0,-24.5325
33,0,-24.7035
33.5,0,-24.2372
34,0,-25.6205
34.5,0,-24.6879
35,0,-24.9211
35.5,0,-25.5117
36,0,-24.7035
36.5,0,-24.5169
37,0,-24.7656
37.5,0,-24.6258
38,0,-24.5325
38.5,0,-23.0093
39,0,-24.7812
39.5,0,-23.1181
40,0,-24.8589
40.5,0,-23.9263
41,0,-25.1698
41.5,0,-25.1542
42,0,-25.1542
42.5,0,-24.1905
43,0,-24.4548
43.5,0,-23.3512
44,0,-24.3149
44.5,0,-23.1181
45,0,-24.6879
45.5,0,-24.1284
46,0,-24.5636
46.5,0,-24.1128
47,0,-22.745
47.5,0,-23.5844
48,0,-24.2061
48.5,0,-24.4548
49,0,-23.7709
49.5,0,-24.548
50,0,-23.8641
50.5,0,-24.5636
51,0,-23.3201
51.5,0,-23.5844
52,0,-24.0973
52.5,0,-23.8331
53,0,-23.46
53.5,0,-23.8175
54,0,-23.2735
54.5,0,-24.7967
55,0,-23.3046
55.5,0,-22.9937
56,0,-22.4653
56.5,0,-24.1128
57,0,-23.4756
57.5,0,-23.46
58,0,-22.8538
58.5,0,-23.8641
59,0,-22.745
59.5,0,-24.346
60,0,-23.7709
60.5,0,-23.9419
61,0,-24.3304
61.5,0,-23.7087
62,0,-22.6829
62.5,0,-23.5067
63,0,-22.5274
63.5,0,-24.1128
64,0,-21.7192
64.5,0,-23.1181
65,0,-22.1544
65.5,0,-22.714
66,0,-22.8538
66.5,0,-22.9316
67,0,-23.1336
67.5,0,-22.7917
68,0,-24.0973
68.5,0,-22.17
69,0,-23.0093
69.5,0,-23.0714
70,0,-23.6776
70.5,0,-22.3254
71,0,-23.0559
71.5,0,-22.5741
72,0,-23.087
72.5,0,-21.5327
73,0,-22.8694
73.5,0,-22.745
74,0,-23.3512
74.5,0,-22.7761
75,0,-22.3565
75.5,0,-22.3565
76,0,-23.087
76.5,0,-22.5896
77,0,-22.8538
77.5,0,-22.0145
78,0,-22.745
78.5,0,-22.7761
79,0,-22.8694
79.5,0,-21.284
80,0,-22.8228
80.5,0,-22.6362
81,0,-23.2269
81.5,0,-22.2321
82,0,-23.0404
82.5,0,-22.5896
83,0,-21.9057
83.5,0,-22.3409
84,0,-21.7814
84.5,0,-22.1855
85,0,-21.5327
85.5,0,-22.6673
86,0,-21.4705
86.5,0,-21.8435
87,0,-21.9213
87.5,0,-21.828
88,0,-21.9368
88.5,0,-22.9471
89,0,-22.0145
89.5,0,-22.17
90,0,-21.2995
90.5,0,-23.3979
91,0,-21.3151
91.5,0,-22.3254
92,0,-21.2995
92.5,0,-22.0456
93,0,-22.1389
93.5,0,-22.201
94,0,-21.0975
94.5,0,-21.6726
95,0,-21.2529
95.5,0,-23.1181
96,0,-21.6726
96.5,0,-21.9057
97,0,-21.3306
97.5,0,-21.6104
98,0,-21.3617
98.5,0,-21.6726
99,0,-21.6415
99.5,0,-21.4705
100,0,-20.911
100.5,0,-21.8902
101,0,-20.398
101.5,0,-22.0767
102,0,-21.3306
102.5,0,-21.999
103,0,-22.5274
103.5,0,-21.5327
104,0,-21.5638
104.5,0,-21.2685
105,0,-20.7866
105.5,0,-21.7814
106,0,-21.657
106.5,0,-20.9421
107,0,-20.8333
107.5,0,-21.4394
108,0,-22.0145
108.5,0,-21.7814
109,0,-21.7192
109.5,0,-20.74
110,0,-21.5482
110.5,0,-20.1649
111,0,-21.9057
111.5,0,-19.6054
112,0,-21.3773
112.5,0,-21.7503
113,0,-21.6726
113.5,0,-20.911
114,0,-22.1078
114.5,0,-20.7555
115,0,-20.911
115.5,0,-20.5846
116,0,-21.3773
116.5,0,-20.6623
117,0,-21.0198
117.5,0,-20.0872
118,0,-20.6778
118.5,0,-20.9887
119,0,-21.0975
119.5,0,-20.398
120,0,-20.6467
120.5,0,-20.8177
121,0,-20.8333
121.5,0,-20.6156
122,0,-21.9213
122.5,0,-20.2426
123,0,-20.5535
123.5,0,-20.0095
124,0,-20.0872
124.5,0,-20.0406
125,0,-19.5898
125.5,0,-20.1027
126,0,-20.5068
126.5,0,-21.8902
127,0,-20.1649
127.5,0,-21.1441
128,0,-20.5846
128.5,0,-21.2218
129,0,-20.196
129.5,0,-21.2374
130,0,-20.0095
130.5,0,-19.6054
131,0,-20.025
131.5,0,-21.1752
132,0,-20.7245
132.5,0,-19.854
133,0,-20.2271
133.5,0,-21.284
134,0,-19.8385
134.5,0,-21.1597
135,0,-20.398
135.5,0,-20.2115
136,0,-19.3567
136.5,0,-19.7763
137,0,-19.9784
137.5,0,-20.5535
138,0,-20.2426
138.5,0,-20.8333
139,0,-20.0872
139.5,0,-19.4188
140,0,-19.7297
140.5,0,-19.6364
141,0,-20.3359
141.5,0,-20.1183
142,0,-21.1286
142.5,0,-20.367
143,0,-21.2218
143.5,0,-19.9939
144,0,-20.3825
144.5,0,-20.3514
145,0,-20.4136
145.5,0,-19.1857
146,0,-20.1804
146.5,0,-19.6986
147,0,-20.7089
147.5,0,-19.3722
148,0,-19.7452
148.5,0,-19.9784
149,0,-20.025
149.5,0,-19.7608
150,0,-19.1546
150.5,0,-19.5121
151,0,-20.1494
151.5,0,-18.6106
152,0,-20.1804
152.5,0,-18.4863
153,0,-19.5587
153.5,0,-18.6883
154,0,-18.9059
154.5,0,-19.8074
155,0,-19.9162
155.5,0,-18.4552
156,0,-19.7608
156.5,0,-19.6054
157,0,-19.9162
157.5,0,-19.0147
158,0,-20.0716
158.5,0,-18.6106
159,0,-18.5795
159.5,0,-19.1235
160,0,-19.7608
160.5,0,-19.2168
161,0,-20.367
161.5,0,-19.5276
162,0,-19.0924
162.5,0,-19.652
163,0,-18.1599
163.5,0,-19.9628
164,0,-19.4499
164.5,0,-19.7608
165,0,-18.4552
