Time,Temperature_HBM,Temperature_FPGA
-2,0,-36.3452
-1.5,0,-36.5317
-1,0,-34.9774
-0.5,0,-36.0343
0,0,-34.8531
0.5,0,-32.2263
1,0,-31.9776
1.5,0,-31.4647
2,0,-29.9259
2.5,0,-31.0917
3,0,-30.4544
3.5,0,-30.3767
4,0,-29.2731
4.5,0,-29.2887
5,0,-28.5581
5.5,0,-28.7447
6,0,-28.2939
6.5,0,-29.1643
7,0,-28.3094
7.5,0,-27.8276
8,0,-27.3924
8.5,0,-27.0038
9,0,-26.8329
9.5,0,-25.8692
10,0,-26.8484
10.5,0,-25.6516
11,0,-26.2578
11.5,0,-25.636
12,0,-25.7759
12.5,0,-25.1076
13,0,-25.7448
13.5,0,-25.6827
14,0,-25.263
14.5,0,-24.8434
15,0,-24.8123
15.5,0,-25.0143
16,0,-24.1595
16.5,0,-23.5222
17,0,-24.1128
17.5,0,-23.258
18,0,-23.9263
18.5,0,-23.3668
19,0,-24.6413
19.5,0,-23.1647
20,0,-23.6621
20.5,0,-22.4964
21,0,-23.0559
21.5,0,-21.8125
22,0,-21.999
22.5,0,-22.4808
23,0,-22.543
23.5,0,-21.5949
24,0,-22.7761
24.5,0,-22.0612
25,0,-22.0456
25.5,0,-21.4705
26,0,-21.8435
26.5,0,-21.1907
27,0,-22.2788
27.5,0,-20.6467
28,0,-21.2218
28.5,0,-20.6467
29,0,-21.6104
29.5,0,-20.5224
30,0,-20.4291
30.5,0,-18.9992
31,0,-20.4136
31.5,0,-20.3514
32,0,-20.4602
32.5,0,-20.4291
33,0,-19.7142
33.5,0,-18.8593
34,0,-19.31
34.5,0,-19.4033
35,0,-19.6209
35.5,0,-20.0406
36,0,-18.0977
36.5,0,-18.6883
37,0,-18.8904
37.5,0,-19.1857
38,0,-18.1288
38.5,0,-18.2842
39,0,-17.8024
39.5,0,-18.5951
40,0,-17.6003
40.5,0,-17.9733
41,0,-17.305
41.5,0,-17.4915
42,0,-17.3516
42.5,0,-18.1288
43,0,-17.5848
43.5,0,-17.9578
44,0,-17.2894
44.5,0,-17.1185
45,0,-17.2428
45.5,0,-17.5226
46,0,-16.2325
46.5,0,-16.963
47,0,-15.4554
47.5,0,-16.6055
48,0,-15.7818
48.5,0,-16.2325
49,0,-15.9838
49.5,0,-15.6885
50,0,-16.1703
50.5,0,-16.4346
51,0,-15.1134
51.5,0,-16.046
52,0,-14.3363
52.5,0,-15.6885
53,0,-16.1859
53.5,0,-15.0979
54,0,-14.7715
54.5,0,-16.217
55,0,-14.6938
55.5,0,-14.8181
56,0,-15.0046
56.5,0,-14.0876
57,0,-15.0668
57.5,0,-13.8855
58,0,-15.5486
58.5,0,-13.87
59,0,-14.0254
59.5,0,-13.7145
60,0,-14.0876
60.5,0,-13.7923
61,0,-13.9321
61.5,0,-13.4969
62,0,-13.3415
62.5,0,-12.9996
63,0,-13.4037
63.5,0,-13.8233
64,0,-13.8544
64.5,0,-11.9582
65,0,-12.8908
65.5,0,-13.0617
66,0,-12.984
66.5,0,-12.0514
67,0,-13.8544
67.5,0,-12.1292
68,0,-12.9218
68.5,0,-12.0204
69,0,-11.8649
69.5,0,-12.1447
70,0,-12.4866
70.5,0,-11.352
71,0,-11.6939
71.5,0,-11.1344
72,0,-12.3934
72.5,0,-11.2121
73,0,-11.181
73.5,0,-10.7147
74,0,-12.3623
74.5,0,-12.3623
75,0,-11.4297
75.5,0,-11.9116
76,0,-11.0567
76.5,0,-11.1966
77,0,-10.0775
77.5,0,-11.7095
78,0,-10.2484
78.5,0,-11.6318
79,0,-9.14489
79.5,0,-11.6162
80,0,-10.4194
80.5,0,-10.7303
81,0,-9.89096
81.5,0,-10.5593
82,0,-10.0153
82.5,0,-10.0308
83,0,-9.14489
83.5,0,-10.4661
84,0,-9.92204
84.5,0,-9.76661
85,0,-9.34695
85.5,0,-10.4971
86,0,-8.74077
86.5,0,-9.81324
87,0,-9.40912
87.5,0,-8.63197
88,0,-8.44546
88.5,0,-9.26924
89,0,-8.41437
89.5,0,-9.00501
90,0,-8.02579
90.5,0,-9.16044
91,0,-8.75632
91.5,0,-8.72523
92,0,-8.08797
92.5,0,-8.5698
93,0,-8.33666
93.5,0,-6.78235
94,0,-8.98946
94.5,0,-7.18647
95,0,-7.94808
95.5,0,-8.10351
96,0,-8.04134
96.5,0,-7.0155
97,0,-7.62168
97.5,0,-7.74602
98,0,-7.5595
98.5,0,-7.31082
99,0,-6.68909
99.5,0,-6.98441
100,0,-7.49733
100.5,0,-6.59584
101,0,-6.54921
101.5,0,-6.114
102,0,-6.87561
102.5,0,-7.37299
103,0,-6.76681
103.5,0,-5.94303
104,0,-6.19172
104.5,0,-6.17617
105,0,-5.97411
105.5,0,-4.79284
106,0,-6.72018
106.5,0,-5.49228
107,0,-6.26943
107.5,0,-5.21251
108,0,-6.76681
108.5,0,-6.20726
109,0,-5.60108
109.5,0,-5.91194
110,0,-5.01045
110.5,0,-6.19172
111,0,-5.05708
111.5,0,-5.55445
112,0,-4.82393
112.5,0,-5.63217
113,0,-4.85502
113.5,0,-5.16588
114,0,-4.74622
114.5,0,-5.75651
115,0,-5.18142
115.5,0,-4.90165
116,0,-4.00015
116.5,0,-4.87056
117,0,-2.94322
117.5,0,-4.12449
118,0,-3.98461
118.5,0,-5.22805
119,0,-3.48723
119.5,0,-3.56495
120,0,-3.61157
120.5,0,-4.10895
121,0,-2.94322
121.5,0,-3.5494
122,0,-3.06757
122.5,0,-2.86551
123,0,-2.44585
123.5,0,-3.4406
124,0,-3.86026
124.5,0,-3.4406
125,0,-3.37843
125.5,0,-2.4303
126,0,-3.31626
126.5,0,-3.16083
127,0,-3.78255
127.5,0,-1.60652
128,0,-1.8863
128.5,0,-2.15053
129,0,-2.41476
129.5,0,-2.84997
130,0,-3.56495
130.5,0,-2.25933
131,0,-2.86551
131.5,0,-0.969259
132,0,-3.4406
132.5,1,-2.07281
133,1,-1.31121
133.5,0,-0.596226
134,1,-1.63761
134.5,1,-0.440796
135,1,-1.0936
135.5,1,-1.14023
136,1,-1.80858
136.5,1,-1.60652
137,1,-0.627312
137.5,1,-0.394167
138,1,-1.32675
138.5,1,-0.798286
139,1,-0.92263
139.5,2,-0.736114
140,2,-0.673941
140.5,2,-0.129935
141,2,0.165382
141.5,2,-0.782743
142,2,0.553958
142.5,2,-0.596226
143,2,-0.440796
143.5,2,-0.0366772
144,2,0.149839
144.5,2,-0.611769
145,3,0.196468
145.5,2,0.569501
146,3,0.522872
146.5,3,0.678302
147,3,1.09796
147.5,3,0.0410379
148,3,1.95283
148.5,3,0.569501
149,3,0.305269
149.5,3,1.61088
150,3,1.31557
150.5,3,0.693845
151,3,1.31557
151.5,3,0.414071
152,3,1.19122
152.5,3,1.09796
153,4,0.709388
153.5,4,1.73523
154,4,1.61088
154.5,4,1.28448
155,4,0.818189
155.5,4,2.46575
156,4,1.99946
156.5,4,1.96837
157,4,1.54871
157.5,4,2.85433
158,4,1.53317
158.5,4,2.76107
159,4,2.34141
159.5,5,1.98392
160,5,1.75077
160.5,5,2.6989
161,5,2.34141
161.5,5,2.49684
162,5,3.10301
162.5,5,3.53822
163,5,3.19627
163.5,5,3.2429
164,5,3.16519
164.5,5,3.52268
165,6,3.3517
165.5,5,3.67811
166,5,2.93204
166.5,6,4.22211
167,6,3.25845
167.5,6,4.82829
168,6,3.30507
168.5,6,3.41388
169,6,4.76612
169.5,6,3.58485
170,6,4.5796
170.5,6,4.06668
171,7,3.98897
171.5,7,4.00451
172,7,4.12885
172.5,7,3.70919
173,7,5.93185
173.5,7,4.87492
174,7,5.24795
174.5,7,4.62623
175,7,5.07698
175.5,7,5.01481
176,7,5.29458
176.5,7,4.82829
177,7,4.85938
177.5,7,4.28429
178,7,4.67286
178.5,8,4.90601
179,8,4.28429
179.5,8,5.04589
180,8,4.98372
180.5,8,4.48634
181,8,5.3723
181.5,8,5.04589
182,8,6.33597
182.5,8,5.5899
183,8,6.14945
183.5,8,4.99926
184,8,5.04589
184.5,8,6.04065
185,8,4.84383
185.5,8,5.46556
186,8,5.77642
186.5,8,5.9163
187,8,5.12361
187.5,8,5.65207
188,8,5.77642
188.5,8,6.16499
189,8,5.12361
189.5,8,6.13391
190,9,4.93709
190.5,9,6.32042
191,9,5.8075
191.5,9,6.27379
192,9,5.76087
192.5,9,6.13391
193,9,5.93185
193.5,9,6.77117
194,9,5.57436
194.5,9,6.47585
195,9,6.04065
195.5,9,7.253
196,9,5.97848
196.5,9,6.97323
197,9,5.97848
197.5,9,5.04589
198,9,7.1442
198.5,9,5.9163
199,9,6.58465
199.5,9,6.30488
200,9,6.53802
200.5,9,6.61574
201,9,6.66237
201.5,9,5.85413
202,9,7.05094
202.5,9,6.44477
203,9,7.8281
203.5,9,6.52248
204,9,6.10282
204.5,9,6.77117
205,9,7.64158
205.5,10,6.61574
206,9,7.78147
206.5,9,6.16499
207,9,7.33072
207.5,10,6.77117
208,10,8.18559
208.5,10,6.95769
209,10,8.38765
209.5,10,6.35151
210,10,7.47061
210.5,10,6.42922
211,10,7.61049
211.5,10,7.26855
212,10,7.19083
212.5,10,7.61049
213,10,7.33072
213.5,10,8.44982
214,10,6.97323
214.5,10,8.66742
215,10,7.56386
215.5,10,7.64158
216,10,7.67267
216.5,11,8.66742
217,11,7.62604
217.5,11,8.21667
218,11,7.89027
218.5,11,9.3824
219,11,7.78147
219.5,11,8.57416
220,11,9.10262
220.5,11,8.66742
221,11,8.18559
221.5,11,8.80731
222,11,8.27884
222.5,11,8.97828
223,11,8.40319
223.5,11,8.90056
224,11,8.21667
224.5,11,8.51199
225,11,9.72435
225.5,11,8.35656
226,11,9.84869
226.5,11,9.35131
227,11,9.39794
227.5,11,8.43427
228,11,9.72435
228.5,11,9.47566
229,11,9.7088
229.5,11,9.08708
230,11,9.02491
230.5,11,9.14925
231,11,9.64663
231.5,11,8.74513
232,12,9.75543
232.5,12,8.3721
233,11,10.5015
233.5,12,8.68296
234,12,9.58446
234.5,12,8.57416
235,12,8.76068
235.5,12,9.4912
236,12,9.66217
236.5,12,9.21143
237,12,8.60525
237.5,12,9.32023
238,12,9.66217
238.5,12,10.144
239,12,8.94719
239.5,12,9.86423
240,12,8.77622
240.5,12,10.688
241,12,10.0818
241.5,12,10.4082
242,12,9.55337
242.5,12,11.1543
243,12,10.486
243.5,12,10.2062
244,12,9.56892
244.5,10,10.6569
245,10,9.69326
245.5,12,10.5792
246,10,10.5326
246.5,10,10.6258
247,10,9.75543
247.5,10,11.3874
248,10,9.98858
248.5,10,10.0352
249,10,10.6258
249.5,10,10.9833
250,10,11.2631
250.5,10,10.8745
251,10,10.7657
251.5,10,10.4393
252,10,11.3564
252.5,10,9.86423
253,10,11.3097
253.5,10,10.8279
254,10,11.574
254.5,10,10.5326
255,10,11.4496
255.5,10,10.9678
256,10,12.3977
256.5,10,11.776
257,14,11.0766
257.5,10,11.4341
258,14,11.7449
258.5,14,11.2631
259,14,11.6206
259.5,14,11.9004
260,14,12.2889
260.5,14,11.3097
261,14,12.2889
261.5,14,12.4755
262,14,11.9936
262.5,14,11.8071
263,14,12.5532
263.5,14,12.0869
264,14,11.9004
264.5,14,12.0713
265,14,12.2112
265.5,14,11.6051
266,14,13.0972
266.5,14,12.4288
267,14,11.9781
267.5,14,11.4341
268,14,12.2889
268.5,15,12.8019
269,14,12.2268
269.5,14,13.5168
270,14,12.491
270.5,15,13.5324
271,15,12.118
271.5,15,12.9884
272,15,12.1957
272.5,15,12.9884
273,15,12.1335
273.5,15,12.5376
274,15,12.662
274.5,15,12.6464
275,15,12.4755
275.5,15,13.1749
276,16,13.1904
276.5,15,13.5635
277,15,12.9107
277.5,15,14.0764
278,15,13.8588
278.5,15,14.2785
279,16,13.2837
279.5,16,13.377
280,16,14.2163
280.5,16,13.8743
281,16,14.5738
281.5,16,13.1594
282,16,15.1799
282.5,16,12.9728
283,16,14.4961
283.5,16,14.1075
284,16,14.1075
284.5,16,14.5582
285,16,14.667
285.5,16,14.9779
286,16,14.8225
286.5,17,13.7344
287,16,15.724
287.5,16,15.1799
288,16,15.724
288.5,16,14.6049
289,17,15.4286
289.5,17,15.1178
290,17,15.2577
290.5,16,15.1178
291,16,15.1333
291.5,17,15.2577
292,17,15.6929
292.5,17,14.9468
293,17,15.6462
293.5,17,14.5427
294,17,14.5582
294.5,17,15.0711
295,17,15.6618
295.5,17,15.926
296,17,14.9002
296.5,17,15.9726
297,17,15.1644
297.5,17,16.1902
298,17,15.1178
298.5,17,15.8949
299,17,14.9313
299.5,17,16.0193
300,17,15.1489
300.5,17,16.2369
301,17,15.8017
301.5,17,15.7706
302,17,15.8172
302.5,18,16.4389
303,18,16.4545
303.5,17,16.0659
304,17,16.1436
304.5,18,15.7861
305,18,16.0193
305.5,18,16.8586
306,18,16.3612
306.5,18,16.7964
307,18,15.6929
307.5,18,15.9571
308,18,17.4181
308.5,18,15.382
309,18,16.7343
309.5,18,15.0711
310,18,17.7912
310.5,18,16.4856
311,18,16.7343
311.5,18,16.8431
312,18,17.3404
312.5,19,16.6876
313,19,16.9674
313.5,19,17.4803
314,19,18.6305
314.5,19,17.4492
315,19,17.7445
315.5,19,17.2783
316,19,17.558
316.5,19,17.0762
317,19,17.3249
317.5,19,17.2316
318,19,18.0243
318.5,19,17.356
319,19,18.7238
319.5,19,18.4595
320,20,18.3818
320.5,19,18.0243
321,20,18.102
321.5,20,18.1176
322,20,18.4751
322.5,20,18.9258
323,20,18.5372
323.5,20,18.9414
324,20,18.3041
324.5,20,18.7238
325,20,18.3663
325.5,20,18.5528
326,20,17.8689
326.5,20,18.0243
327,20,17.9466
327.5,20,19.3144
328,20,17.5114
328.5,20,19.5009
329,20,18.5528
329.5,20,19.0968
330,21,18.3041
330.5,21,19.9672
331,21,19.5165
331.5,21,19.2989
332,21,19.0191
332.5,21,20.7599
333,21,18.1176
333.5,21,19.1123
334,21,19.2833
334.5,21,20.0449
335,21,19.5786
335.5,21,18.8326
336,21,18.9258
336.5,21,18.6927
337,22,20.3869
337.5,22,20.3091
338,22,20.8842
338.5,22,20.1382
339,22,20.449
339.5,22,19.9361
340,22,21.0241
340.5,22,19.6253
341,22,20.4335
341.5,22,20.1226
342,22,20.1537
342.5,22,20.1693
343,22,21.4282
343.5,22,20.2314
344,23,21.1485
344.5,23,20.4957
345,22,21.8945
345.5,23,20.3247
346,23,21.8168
346.5,23,20.8532
347,23,20.9464
347.5,23,21.6614
348,23,21.4282
348.5,23,21.879
349,23,21.7857
349.5,23,21.0397
350,23,20.3558
350.5,23,21.5837
351,23,20.3247
351.5,23,21.4749
352,23,21.8945
352.5,24,21.5992
353,23,21.4127
353.5,23,23.5266
354,24,22.0189
354.5,24,22.05
355,24,21.6769
355.5,24,23.3245
356,24,22.252
356.5,24,22.6561
357,24,21.6614
357.5,24,22.5784
358,24,22.3919
358.5,24,22.0033
359,24,22.0189
359.5,24,22.7649
360,24,22.6561
360.5,24,23.4955
361,24,22.3142
361.5,25,22.7339
362,24,23.1846
362.5,25,23.0758
363,25,22.0655
363.5,25,22.7339
364,25,22.9048
364.5,25,23.4178
365,25,23.7286
365.5,25,23.2002
366,25,23.511
366.5,25,22.3608
367,25,24.0706
367.5,25,22.2209
368,25,23.5732
368.5,25,23.0914
369,25,24.3193
369.5,25,24.1483
370,26,24.0706
370.5,25,23.5887
371,26,24.3193
371.5,25,23.5887
372,26,24.1949
372.5,26,23.8063
373,26,24.2571
373.5,26,24.6767
374,26,24.1016
374.5,26,24.4747
375,26,24.055
375.5,26,24.0084
376,26,23.4022
376.5,26,24.5679
377,26,25.0342
377.5,26,24.3814
378,26,25.4539
378.5,26,24.4436
379,27,24.3659
379.5,27,25.5161
380,26,23.7752
380.5,27,25.3762
381,27,24.4436
381.5,27,25.2829
382,27,24.5213
382.5,27,25.687
383,27,25.2207
383.5,27,26.3088
384,27,25.4073
384.5,27,25.7958
385,27,25.2363
385.5,27,24.8011
386,27,24.5369
386.5,27,26.8372
387,27,25.2518
387.5,27,26.4953
388,27,25.7492
388.5,28,26.744
389,28,25.8891
389.5,28,26.0912
390,28,26.1378
390.5,28,26.7906
391,28,24.9876
391.5,28,25.8269
392,28,25.6404
392.5,28,26.0756
393,28,26.775
393.5,28,26.6507
394,28,27.6299
394.5,28,26.5419
395,28,27.3501
395.5,28,26.4642
396,28,26.4176
396.5,28,25.6404
397,29,27.0548
397.5,29,27.1015
398,29,27.7543
398.5,29,27.6455
399,29,27.5677
399.5,29,26.5574
400,29,27.0548
400.5,29,26.4486
401,29,28.0651
401.5,29,26.9771
402,29,28.0651
402.5,29,26.402
403,29,26.9771
403.5,29,27.3191
404,29,27.6765
404.5,29,27.0548
405,29,27.6299
405.5,29,27.9097
406,30,27.1792
406.5,30,28.2827
407,29,28.2672
407.5,30,27.3968
408,30,27.9252
408.5,30,28.3449
409,30,28.7179
409.5,30,27.9719
410,30,27.9097
410.5,30,28.3449
411,30,29.0599
411.5,30,28.3449
412,30,27.6765
412.5,30,29.4951
413,30,28.6558
413.5,30,28.7335
414,30,29.1842
414.5,30,29.293
415,30,28.5625
415.5,30,29.4485
416,31,28.7335
416.5,31,28.8889
417,31,29.7593
417.5,31,30.008
418,31,27.5833
418.5,31,29.9147
419,31,29.4018
419.5,31,29.9769
420,31,29.3086
420.5,31,29.6971
421,31,28.8734
421.5,31,29.5883
422,31,30.008
422.5,31,28.4071
423,31,30.2567
423.5,31,29.3086
424,31,29.9614
424.5,32,29.7904
425,31,30.5209
425.5,31,29.8681
426,32,30.552
426.5,31,29.5573
427,32,30.5209
427.5,32,29.9147
428,32,30.7074
428.5,32,29.5728
429,32,30.1479
429.5,32,29.6505
430,32,31.267
430.5,32,29.2153
431,32,31.6556
431.5,32,30.1323
432,32,31.4224
432.5,32,30.723
433,32,30.7696
433.5,32,30.3033
434,32,31.3292
434.5,32,31.1426
435,32,31.096
435.5,33,30.3499
436,33,31.2048
436.5,33,31.4224
437,33,30.925
437.5,33,30.4743
438,33,31.1426
438.5,33,31.8732
439,33,31.2204
439.5,33,31.4224
440,33,31.3136
440.5,33,31.9042
441,33,31.4224
441.5,33,32.5881
442,33,31.3602
442.5,33,32.1219
443,33,30.0391
443.5,34,32.1063
444,34,30.2878
444.5,33,32.526
445,34,31.7333
445.5,34,32.1529
446,34,31.6556
446.5,34,31.8732
447,34,30.5986
447.5,34,32.2462
448,34,31.5468
448.5,34,32.9301
449,34,32.8835
449.5,34,32.1219
450,34,32.3395
450.5,34,32.6814
451,34,32.4016
451.5,34,31.8887
452,34,32.9923
452.5,34,31.5934
453,34,32.5881
453.5,35,32.4483
454,34,33.0078
454.5,34,31.2359
455,35,33.5674
455.5,35,33.1788
456,35,34.2046
456.5,35,32.4638
457,35,33.2409
457.5,35,32.5726
458,35,34.2512
