Time,Temperature_HBM,Temperature_FPGA
-2,0,-25.8847
-1.5,0,-26.3355
-1,0,-25.3407
-0.5,0,-26.3666
0,0,-24.5014
0.5,0,-8.92729
1,0,-3.06757
1.5,0,2.77661
2,3,5.97848
2.5,8,9.41348
3,10,11.2786
3.5,12,13.4391
4,14,14.3095
4.5,16,17.558
5,18,18.6927
5.5,19,21.506
6,21,21.6303
6.5,22,23.3711
7,23,23.4333
7.5,24,24.941
8,25,26.029
8.5,26,26.6818
9,27,26.4953
9.5,27,29.1842
10,28,29.4174
10.5,29,29.6194
11,30,30.5986
11.5,31,31.5468
12,31,32.4327
12.5,32,33.7228
13,32,33.5363
13.5,33,32.9612
14,34,34.5155
14.5,34,35.4947
15,35,36.8003
15.5,35,37.3909
16,36,37.7484
16.5,36,37.422
17,37,38.5256
17.5,37,37.8572
18,38,39.7846
18.5,38,39.8157
19,39,39.567
19.5,39,40.8415
20,40,41.5565
20.5,40,41.028
21,40,41.945
21.5,41,42.4113
22,41,43.0175
22.5,42,42.5668
23,42,43.6548
23.5,42,44.0744
24,43,45.6598
24.5,43,43.7014
25,44,45.5977
25.5,44,45.6287
26,44,45.349
26.5,45,46.5613
27,45,46.6701
27.5,45,47.0121
28,46,46.8256
28.5,46,47.2297
29,47,48.0068
29.5,47,48.1156
30,48,49.2036
30.5,48,48.2711
31,48,50.3227
31.5,49,49.2347
32,49,51.0377
32.5,49,50.5559
33,49,51.9081
33.5,50,51.3952
34,50,51.877
34.5,51,51.3641
35,50,52.4832
35.5,51,53.9132
36,52,52.2501
36.5,52,53.1049
37,52,53.4935
37.5,53,54.6282
38,53,53.4158
38.5,53,54.6903
39,53,54.022
39.5,54,54.5349
40,54,54.0686
40.5,54,56.3223
41,54,54.8458
41.5,55,56.3379
42,55,55.7939
42.5,55,56.2602
43,56,56.2602
43.5,56,57.83
44,56,57.1772
44.5,57,58.3429
45,57,57.4104
45.5,57,59.633
46,57,57.5036
46.5,58,59.5242
47,58,58.8559
47.5,58,60.0993
48,59,59.1823
48.5,59,59.8662
49,59,60.006
49.5,59,60.3014
50,60,61.2806
50.5,60,61.0474
51,60,61.2961
51.5,60,61.0163
52,61,60.8454
52.5,61,61.9178
53,61,62.4618
53.5,62,61.5448
54,62,63.5654
54.5,62,62.4774
55,62,65.2751
55.5,63,63.8296
56,63,63.9695
56.5,63,63.2545
57,64,64.2493
57.5,64,64.9954
58,64,65.6948
58.5,64,64.5291
59,65,65.9279
59.5,65,64.7778
60,65,65.5705
