Time,Temperature_HBM,Temperature_FPGA
-2,0,-38.8476
-1.5,0,-37.7907
-1,0,-38.1637
-0.5,0,-37.5731
0,0,-37.9928
0.5,0,-37.8373
1,0,-37.1223
1.5,0,-37.8218
2,0,-37.8684
2.5,0,-37.7752
3,0,-36.5162
3.5,0,-38.2725
4,0,-36.4695
4.5,0,-37.8218
5,0,-36.3607
5.5,0,-37.9617
6,0,-37.1534
6.5,0,-37.6508
7,0,-37.0913
7.5,0,-36.7959
8,0,-36.2986
8.5,0,-37.0135
9,0,-36.1431
9.5,0,-36.827
10,0,-36.2053
10.5,0,-37.1223
11,0,-36.3297
11.5,0,-36.2364
12,0,-37.1068
12.5,0,-36.454
13,0,-36.5006
13.5,0,-36.0965
14,0,-36.625
14.5,0,-36.0965
15,0,-36.6561
15.5,0,-36.5628
16,0,-36.1276
16.5,0,-35.3194
17,0,-37.2311
17.5,0,-37.3866
18,0,-36.283
18.5,0,-35.91
19,0,-35.8944
19.5,0,-35.7235
20,0,-36.2675
20.5,0,-36.2519
21,0,-36.4851
21.5,0,-35.9411
22,0,-35.9877
22.5,0,-35.537
23,0,-35.8167
23.5,0,-35.3504
24,0,-35.8012
24.5,0,-35.8167
25,0,-35.4748
25.5,0,-35.2261
26,0,-35.9255
26.5,0,-35.1018
27,0,-34.9308
27.5,0,-34.822
28,0,-35.4592
28.5,0,-34.993
29,0,-35.2727
29.5,0,-35.3504
30,0,-35.1173
30.5,0,-35.6147
31,0,-36.081
31.5,0,-35.1018
32,0,-35.5525
32.5,0,-34.2624
33,0,-34.9619
33.5,0,-34.2313
34,0,-35.1795
34.5,0,-35.0551
35,0,-35.6147
35.5,0,-34.8531
36,0,-35.0551
36.5,0,-34.3868
37,0,-35.0862
37.5,0,-34.5733
38,0,-35.3194
38.5,0,-35.2106
39,0,-35.0396
39.5,0,-34.5577
40,0,-35.3349
40.5,0,-34.822
41,0,-34.4179
41.5,0,-34.5111
42,0,-34.0448
42.5,0,-34.2158
43,0,-35.0862
43.5,0,-34.0915
44,0,-34.1381
44.5,0,-34.2935
45,0,-34.8686
45.5,0,-34.6044
46,0,-33.6252
46.5,0,-33.936
47,0,-34.4334
47.5,0,-33.8894
48,0,-33.7029
48.5,0,-34.2935
49,0,-33.8117
49.5,0,-34.1847
50,0,-34.0448
50.5,0,-34.8375
51,0,-33.8272
51.5,0,-34.1692
52,0,-33.6563
52.5,0,-34.651
53,0,-34.0137
53.5,0,-34.8375
54,0,-34.0448
54.5,0,-34.6355
55,0,-33.6873
55.5,0,-34.1692
56,0,-33.6407
56.5,0,-33.7961
57,0,-34.4179
57.5,0,-34.2158
58,0,-32.7548
58.5,0,-34.6044
59,0,-33.7029
59.5,0,-33.9516
60,0,-33.5319
60.5,0,-34.2469
61,0,-33.2677
61.5,0,-34.0448
62,0,-33.1589
62.5,0,-33.9516
63,0,-33.8739
63.5,0,-34.3091
64,0,-32.677
64.5,0,-34.2935
65,0,-33.4697
65.5,0,-33.4231
66,0,-33.6096
66.5,0,-34.1225
67,0,-33.3609
67.5,0,-33.734
68,0,-33.2832
68.5,0,-33.2988
69,0,-33.4076
69.5,0,-34.0448
