Time,Temperature_HBM,Temperature_FPGA
-2,0,-39.2362
-1.5,0,-38.257
-1,0,-39.0186
-0.5,0,-38.1326
0,0,-38.086
0.5,0,-38.6145
1,0,-38.1637
1.5,0,-39.7647
2,0,-37.4643
2.5,0,-38.6456
3,0,-38.0549
3.5,0,-37.8995
4,0,-37.2311
4.5,0,-38.3192
5,0,-37.3399
5.5,0,-38.0705
6,0,-36.1431
6.5,0,-36.827
7,0,-37.1379
7.5,0,-37.3089
8,0,-36.6094
8.5,0,-37.5576
9,0,-36.8737
9.5,0,-37.4954
10,0,-37.169
10.5,0,-37.371
11,0,-36.3297
11.5,0,-37.4954
12,0,-36.1587
12.5,0,-36.5162
13,0,-36.112
13.5,0,-36.6871
14,0,-36.3297
14.5,0,-36.7338
15,0,-35.8789
15.5,0,-36.1431
16,0,-37.3555
16.5,0,-36.5317
17,0,-36.7804
17.5,0,-36.8115
18,0,-36.2675
18.5,0,-36.3763
19,0,-36.7338
19.5,0,-35.8323
20,0,-36.081
20.5,0,-36.112
21,0,-36.0188
21.5,0,-35.5991
22,0,-35.8634
22.5,0,-36.0499
23,0,-36.3607
23.5,0,-35.4903
24,0,-35.195
24.5,0,-35.3194
25,0,-35.5525
25.5,0,-35.6768
26,0,-35.8478
26.5,0,-35.4903
27,0,-35.8012
27.5,0,-34.9463
28,0,-34.9152
28.5,0,-34.651
29,0,-35.6302
29.5,0,-34.0604
30,0,-35.2883
30.5,0,-34.5111
31,0,-35.0551
31.5,0,-33.4697
32,0,-35.568
32.5,0,-35.6613
33,0,-34.9619
33.5,0,-34.9463
34,0,-34.3868
34.5,0,-34.3091
35,0,-34.8064
35.5,0,-34.0137
36,0,-35.5525
36.5,0,-34.5888
37,0,-34.2469
37.5,0,-33.8272
38,0,-33.8428
38.5,0,-34.3091
39,0,-34.6199
39.5,0,-34.5888
40,0,-34.2313
40.5,0,-33.4853
41,0,-34.2158
41.5,0,-34.6821
42,0,-34.7287
42.5,0,-33.1744
43,0,-34.107
43.5,0,-33.7806
44,0,-33.8739
44.5,0,-33.221
45,0,-34.6355
45.5,0,-33.3143
46,0,-34.3246
46.5,0,-33.4853
47,0,-33.5941
47.5,0,-33.3765
48,0,-33.9827
48.5,0,-33.6096
49,0,-33.1589
49.5,0,-34.1536
50,0,-33.5319
50.5,0,-33.8583
51,0,-33.6718
51.5,0,-32.7392
52,0,-32.3351
52.5,0,-34.0759
53,0,-33.4542
53.5,0,-33.1278
54,0,-32.8169
54.5,0,-33.6718
55,0,-33.4542
55.5,0,-33.4697
56,0,-32.2729
56.5,0,-33.9516
57,0,-33.3609
57.5,0,-33.4697
58,0,-32.2574
58.5,0,-33.4697
59,0,-32.304
59.5,0,-33.0812
60,0,-32.5216
60.5,0,-33.1589
61,0,-31.9154
61.5,0,-32.3662
62,0,-33.4076
62.5,0,-33.6407
63,0,-33.0501
63.5,0,-33.0345
64,0,-31.8688
64.5,0,-32.0709
65,0,-32.8946
65.5,0,-32.4439
66,0,-31.8377
66.5,0,-32.9879
67,0,-31.589
67.5,0,-32.3351
68,0,-32.4439
68.5,0,-32.4284
69,0,-31.4336
69.5,0,-32.9413
70,0,-32.2574
70.5,0,-33.0967
71,0,-31.7911
71.5,0,-32.4439
72,0,-32.2729
72.5,0,-31.6357
73,0,-32.2263
73.5,0,-32.3973
74,0,-32.8946
74.5,0,-33.4231
75,0,-31.5269
75.5,0,-32.6304
76,0,-32.0087
76.5,0,-32.9568
77,0,-32.8169
77.5,0,-31.1694
78,0,-32.6304
78.5,0,-32.5061
79,0,-32.2263
79.5,0,-32.1175
80,0,-32.4439
80.5,0,-31.216
81,0,-32.0398
81.5,0,-32.3196
82,0,-32.3351
82.5,0,-31.8843
83,0,-31.7911
83.5,0,-31.6046
84,0,-32.1797
84.5,0,-31.6667
85,0,-32.0553
85.5,0,-31.7755
86,0,-31.6667
86.5,0,-30.4544
87,0,-31.5269
87.5,0,-31.6667
88,0,-31.5113
88.5,0,-30.1435
89,0,-31.76
89.5,0,-31.0606
90,0,-32.0553
90.5,0,-31.4181
91,0,-32.4128
91.5,0,-30.6098
92,0,-30.7497
92.5,0,-30.6564
93,0,-31.8688
93.5,0,-30.7808
94,0,-31.387
94.5,0,-30.4544
95,0,-31.6201
95.5,0,-31.1383
96,0,-31.6823
96.5,0,-30.3456
97,0,-31.216
97.5,0,-30.7497
98,0,-30.1124
98.5,0,-31.1849
99,0,-30.7652
99.5,0,-30.9207
100,0,-30.5476
100.5,0,-31.0606
101,0,-30.9984
101.5,0,-31.0139
102,0,-31.1849
102.5,0,-31.2471
103,0,-29.8327
103.5,0,-30.9362
104,0,-30.0503
104.5,0,-30.128
105,0,-31.1072
105.5,0,-30.5632
106,0,-29.8793
106.5,0,-31.5113
107,0,-30.7497
107.5,0,-30.9518
108,0,-30.7342
108.5,0,-30.2523
109,0,-29.5995
109.5,0,-30.5787
110,0,-29.9415
110.5,0,-31.387
111,0,-29.9726
111.5,0,-30.4544
112,0,-29.6151
112.5,0,-31.1227
113,0,-29.3975
113.5,0,-30.3922
114,0,-30.3767
114.5,0,-30.1902
115,0,-29.2731
115.5,0,-31.1694
116,0,-30.2057
116.5,0,-30.1435
117,0,-29.755
117.5,0,-30.6098
118,0,-29.4907
118.5,0,-29.584
119,0,-28.869
119.5,0,-30.0814
120,0,-29.2265
120.5,0,-30.6564
121,0,-30.1902
121.5,0,-29.7083
122,0,-28.9623
122.5,0,-29.6151
123,0,-30.299
123.5,0,-30.33
124,0,-30.128
124.5,0,-28.9467
125,0,-29.957
125.5,0,-29.4441
126,0,-29.8016
126.5,0,-30.299
127,0,-29.4285
127.5,0,-28.9933
128,0,-30.7186
128.5,0,-28.7291
129,0,-29.242
129.5,0,-29.0244
130,0,-28.8845
