Time,Temperature_HBM,Temperature_FPGA
-2,0,-29.8948
-1.5,0,-29.6306
-1,0,-29.6461
-0.5,0,-29.6461
0,0,-28.496
0.5,0,-29.3197
1,0,-27.9053
1.5,0,-27.3302
2,0,-26.6308
2.5,0,-27.5478
3,0,-25.3718
3.5,0,-25.2475
4,0,-25.092
4.5,0,-24.8744
5,0,-23.631
5.5,0,-24.5325
6,0,-23.5688
6.5,0,-22.9316
7,0,-23.7243
7.5,0,-22.8383
8,0,-22.745
8.5,0,-21.3151
9,0,-21.6415
9.5,0,-21.6726
10,0,-21.3462
10.5,0,-21.1597
11,0,-21.2218
11.5,0,-20.6156
12,0,-19.9318
12.5,0,-20.8643
13,0,-20.3514
13.5,0,-20.8488
14,0,-19.4499
14.5,0,-19.8696
15,0,-19.9318
15.5,0,-19.1857
16,0,-18.8282
16.5,0,-19.0613
17,0,-18.6417
17.5,0,-19.6675
18,0,-18.222
18.5,0,-18.5484
19,0,-18.0977
19.5,0,-18.7971
20,0,-17.8334
20.5,0,-19.5432
21,0,-17.134
21.5,0,-17.6936
22,0,-18.937
22.5,0,-18.2065
23,0,-17.8645
23.5,0,-17.7402
24,0,-18.02
24.5,0,-17.3205
25,0,-16.8698
25.5,0,-16.3413
26,1,-17.476
26.5,1,-15.8284
27,1,-17.0718
27.5,1,-16.8698
28,1,-16.7765
28.5,1,-15.5642
29,1,-17.0408
29.5,1,-16.3569
30,2,-16.2947
30.5,2,-15.4554
31,2,-16.0926
31.5,2,-16.0615
32,2,-16.3102
32.5,2,-14.7715
33,2,-15.875
33.5,2,-15.9217
34,2,-15.6419
34.5,2,-14.7248
35,2,-15.6885
35.5,3,-14.5228
36,3,-15.331
36.5,3,-14.958
37,3,-15.0512
37.5,3,-13.9011
38,3,-14.8181
38.5,3,-15.2688
39,3,-15.129
39.5,3,-13.2016
40,3,-13.699
40.5,3,-13.2793
41,4,-14.5539
41.5,4,-14.0565
42,4,-13.5591
42.5,4,-13.1861
43,3,-14.2585
43.5,4,-13.5125
44,4,-13.9477
44.5,4,-13.9632
45,4,-13.6057
45.5,4,-13.0928
46,4,-12.7509
46.5,4,-13.4814
47,4,-13.8389
47.5,5,-13.2793
48,5,-12.4245
48.5,5,-13.1239
49,5,-11.9116
49.5,5,-12.4245
50,5,-11.7095
50.5,5,-12.0825
51,5,-12.4556
51.5,6,-12.3934
52,6,-12.1292
52.5,5,-12.3778
53,6,-12.3934
53.5,5,-12.2846
54,6,-11.3831
54.5,7,-12.3623
55,6,-11.896
55.5,6,-11.3831
56,6,-11.6784
56.5,7,-11.3209
57,7,-11.0101
57.5,7,-11.2121
58,7,-10.1552
58.5,7,-11.7872
59,7,-11.725
59.5,7,-10.808
60,7,-10.9323
60.5,7,-11.4763
61,7,-9.6889
61.5,8,-11.2121
62,8,-8.98946
62.5,8,-10.9013
63,8,-9.53347
63.5,8,-11.0878
64,8,-10.7769
64.5,8,-9.7977
65,8,-11.0722
65.5,8,-11.1966
66,8,-8.53871
66.5,8,-10.435
67,8,-10.1707
67.5,8,-8.72523
68,9,-8.86512
68.5,9,-9.26924
69,9,-9.31587
69.5,9,-9.93759
70,9,-9.78216
70.5,9,-9.14489
71,9,-9.76661
71.5,9,-8.97392
72,9,-8.92729
72.5,9,-8.6786
73,9,-8.92729
73.5,9,-8.3522
74,9,-9.59564
74.5,10,-8.02579
75,10,-9.06718
75.5,10,-7.37299
76,10,-8.21231
76.5,10,-7.07767
77,10,-9.03609
77.5,10,-8.74077
78,10,-8.97392
78.5,10,-8.41437
79,10,-8.77186
79.5,10,-7.13984
80,10,-8.39883
80.5,10,-7.17093
81,10,-7.91699
81.5,11,-6.95333
82,10,-7.59059
82.5,10,-8.07242
83,11,-7.5595
83.5,11,-8.33666
84,11,-8.1346
84.5,11,-8.29003
85,11,-7.40407
85.5,11,-6.62692
86,11,-7.93254
86.5,11,-7.69939
87,11,-6.59584
87.5,11,-7.46625
88,11,-6.44041
88.5,11,-7.38853
89,12,-6.28498
89.5,11,-6.87561
90,12,-6.75127
90.5,12,-7.79265
91,12,-6.14509
91.5,12,-6.23835
92,12,-6.39378
92.5,12,-5.58554
93,12,-4.69959
93.5,12,-6.26943
94,12,-5.38348
94.5,12,-6.50258
95,10,-5.74097
95.5,10,-6.81344
96,12,-6.09846
96.5,10,-5.83423
97,10,-5.24359
97.5,10,-5.70988
98,10,-4.71513
98.5,10,-5.80314
99,10,-4.71513
99.5,10,-5.18142
100,10,-5.15033
100.5,10,-5.77206
101,10,-5.53891
101.5,10,-5.66325
102,10,-5.16588
102.5,10,-4.5597
103,10,-5.18142
103.5,14,-5.15033
104,10,-4.5597
104.5,14,-4.35764
105,14,-4.32655
105.5,14,-3.78255
106,14,-5.13479
106.5,14,-4.20221
107,14,-5.27468
107.5,14,-4.76176
108,14,-4.71513
108.5,14,-3.68929
109,14,-4.07787
109.5,14,-3.42506
110,14,-4.24884
110.5,15,-3.42506
111,15,-4.38873
111.5,15,-1.69978
112,15,-4.00015
112.5,15,-3.6582
113,15,-3.53386
113.5,15,-3.36289
114,15,-3.6582
114.5,15,-3.767
115,15,-2.67899
115.5,15,-3.37843
116,15,-3.45614
116.5,15,-3.89135
117,15,-3.05203
117.5,15,-3.53386
118,16,-2.98985
118.5,15,-3.70483
119,16,-3.36289
119.5,15,-3.31626
120,16,-1.46664
