Time,Temperature
-2,34
-1.5,34
-1,34
-0.5,34
0,35
0.5,43
1,44
1.5,45
2,45
2.5,46
3,46
3.5,47
4,47
4.5,47
5,47
5.5,48
6,48
6.5,48
7,49
7.5,49
8,49
8.5,50
9,50
9.5,50
10,50
10.5,51
11,51
11.5,51
12,51
12.5,52
13,52
13.5,52
14,52
14.5,53
15,53
15.5,53
16,54
16.5,54
17,54
17.5,54
18,55
18.5,55
19,55
19.5,55
20,55
20.5,56
21,56
21.5,56
22,56
22.5,56
23,57
23.5,57
24,57
24.5,57
25,58
25.5,58
26,58
26.5,58
27,59
27.5,59
28,59
28.5,59
29,59
29.5,60
30,60
30.5,60
31,60
31.5,61
32,61
32.5,61
33,61
33.5,61
34,61
34.5,62
35,62
35.5,62
36,62
36.5,62
37,63
37.5,63
38,63
38.5,63
39,64
39.5,64
40,64
40.5,64
41,64
41.5,65
42,65
42.5,65
43,65
43.5,65
44,66
44.5,66
45,66
45.5,66
46,66
46.5,66
47,67
47.5,67
48,67
48.5,67
49,67
49.5,67
50,67
50.5,68
51,68
51.5,68
52,68
52.5,68
53,68
53.5,69
54,69
54.5,69
55,69
55.5,69
56,69
56.5,70
57,70
57.5,70
58,70
58.5,70
59,70
59.5,71
60,71
60.5,71
61,71
61.5,71
62,71
62.5,71
63,71
63.5,71
64,72
64.5,72
65,72
65.5,72
66,72
66.5,72
67,72
67.5,72
68,72
68.5,73
69,73
69.5,73
70,73
70.5,73
71,73
71.5,73
72,73
72.5,73
73,73
73.5,74
74,74
74.5,74
75,74
75.5,74
76,74
76.5,74
77,74
77.5,74
78,75
78.5,75
79,75
79.5,75
80,75
80.5,75
81,75
81.5,75
82,75
82.5,75
83,75
83.5,76
84,76
84.5,76
85,76
85.5,76
86,76
86.5,76
87,76
87.5,76
88,76
88.5,76
89,76
89.5,76
90,76
90.5,76
91,76
91.5,76
92,76
92.5,77
93,77
93.5,77
94,77
94.5,77
95,77
95.5,77
96,77
96.5,77
97,77
97.5,77
98,77
98.5,77
99,77
99.5,77
100,77
100.5,77
101,77
101.5,77
102,78
102.5,78
103,77
103.5,77
104,78
104.5,78
105,78
105.5,78
106,78
106.5,78
107,78
107.5,78
108,78
108.5,78
109,78
109.5,78
110,78
110.5,78
111,78
111.5,79
112,78
112.5,79
113,79
113.5,79
114,79
114.5,79
115,79
115.5,79
116,79
116.5,79
117,79
117.5,79
118,79
118.5,78
119,79
119.5,79
120,78
120.5,79
121,79
121.5,79
122,79
122.5,78
123,78
123.5,78
124,78
124.5,78
125,78
125.5,78
126,78
126.5,78
127,78
127.5,78
128,78
128.5,78
129,78
129.5,78
130,78
130.5,78
131,78
131.5,78
132,78
132.5,78
133,78
133.5,78
134,78
134.5,78
135,78
135.5,78
136,78
136.5,78
137,78
137.5,78
138,78
138.5,78
139,78
139.5,78
140,78
140.5,78
141,78
141.5,78
142,78
142.5,78
143,78
143.5,78
144,78
144.5,78
145,78
145.5,78
146,78
146.5,78
147,78
147.5,78
148,78
148.5,78
149,78
149.5,78
150,78
150.5,78
151,78
151.5,78
152,78
152.5,78
153,78
153.5,78
154,78
154.5,78
155,78
155.5,78
156,79
156.5,78
157,78
157.5,78
158,78
158.5,78
159,78
159.5,78
160,78
160.5,78
161,78
161.5,78
162,78
162.5,78
163,78
163.5,78
164,78
164.5,78
165,78
165.5,78
166,78
166.5,78
167,78
167.5,78
168,78
168.5,78
169,78
169.5,78
170,78
170.5,78
171,78
171.5,78
172,78
172.5,78
173,78
173.5,78
174,78
174.5,79
175,79
175.5,79
176,78
176.5,78
177,78
177.5,78
178,78
178.5,78
179,78
179.5,79
180,78
180.5,78
181,78
181.5,78
182,78
182.5,78
183,79
183.5,78
184,78
184.5,78
185,78
185.5,78
186,78
186.5,78
187,79
187.5,78
188,78
188.5,78
189,78
189.5,79
190,78
190.5,78
191,79
191.5,79
192,78
192.5,78
193,78
193.5,79
194,79
194.5,79
195,79
195.5,79
196,79
196.5,79
197,79
197.5,78
198,79
198.5,79
199,79
199.5,79
200,79
200.5,79
201,79
201.5,79
202,79
202.5,79
203,79
203.5,79
204,79
204.5,79
205,79
205.5,79
206,79
206.5,79
207,79
207.5,79
208,79
208.5,79
209,79
209.5,79
210,79
210.5,79
211,79
211.5,79
212,79
212.5,79
213,79
213.5,79
214,79
214.5,79
215,79
215.5,79
216,79
216.5,79
217,79
217.5,79
218,79
218.5,79
219,79
219.5,79
220,79
220.5,79
221,79
221.5,79
222,79
222.5,79
223,79
223.5,79
224,79
224.5,79
225,79
225.5,79
226,79
226.5,79
227,79
227.5,79
228,79
228.5,79
229,79
229.5,79
230,79
230.5,79
231,79
231.5,79
232,79
232.5,79
233,79
233.5,79
234,79
234.5,79
235,79
235.5,79
236,79
236.5,79
237,79
237.5,79
238,79
238.5,79
239,79
239.5,79
240,79
240.5,79
241,79
241.5,79
242,79
242.5,79
243,79
243.5,79
244,79
244.5,79
245,79
245.5,79
246,79
246.5,80
247,80
247.5,79
248,79
248.5,79
249,79
249.5,80
250,79
250.5,79
251,80
251.5,80
252,80
252.5,80
253,80
253.5,80
254,80
254.5,80
255,80
255.5,80
256,80
256.5,80
257,80
257.5,80
258,79
258.5,80
259,80
259.5,80
260,80
260.5,80
261,80
261.5,80
262,80
262.5,80
263,80
263.5,80
264,80
264.5,80
265,80
265.5,80
266,80
266.5,80
267,80
267.5,80
268,80
268.5,80
269,80
269.5,80
270,80
270.5,80
271,80
271.5,80
272,80
272.5,80
273,80
273.5,80
274,80
274.5,80
275,80
275.5,80
276,80
276.5,80
277,80
277.5,80
278,80
278.5,80
279,80
279.5,80
280,80
280.5,80
281,80
281.5,80
282,80
282.5,80
283,80
283.5,80
284,80
284.5,80
285,80
285.5,80
286,80
286.5,80
287,80
287.5,80
288,80
288.5,80
289,80
289.5,80
290,80
290.5,80
291,80
291.5,80
292,80
292.5,80
293,80
293.5,80
294,80
294.5,80
295,80
295.5,80
296,80
296.5,80
297,80
297.5,80
298,80
298.5,80
299,80
299.5,80
300,80
