Time,Temperature
-2,34
-1.5,34.25
-1,34.5
-0.5,34.75
0,35
0.5,43
1,44
1.5,45
2,45.5
2.5,46
3,46.5
3.5,47
4,47.25
4.5,47.5
5,47.75
5.5,48
6,48.3333
6.5,48.6667
7,49
7.5,49.3333
8,49.6667
8.5,50
9,50.25
9.5,50.5
10,50.75
10.5,51
11,51.25
11.5,51.5
12,51.75
12.5,52
13,52.25
13.5,52.5
14,52.75
14.5,53
15,53.3333
15.5,53.6667
16,54
16.5,54.25
17,54.5
17.5,54.75
18,55
18.5,55.2
19,55.4
19.5,55.6
20,55.8
20.5,56
21,56.2
21.5,56.4
22,56.6
22.5,56.8
23,57
23.5,57.25
24,57.5
24.5,57.75
25,58
25.5,58.25
26,58.5
26.5,58.75
27,59
27.5,59.2
28,59.4
28.5,59.6
29,59.8
29.5,60
30,60.25
30.5,60.5
31,60.75
31.5,61
32,61.1667
32.5,61.3333
33,61.5
33.5,61.6667
34,61.8333
34.5,62
35,62.2
35.5,62.4
36,62.6
36.5,62.8
37,63
37.5,63.25
38,63.5
38.5,63.75
39,64
39.5,64.2
40,64.4
40.5,64.6
41,64.8
41.5,65
42,65.2
42.5,65.4
43,65.6
43.5,65.8
44,66
44.5,66.1667
45,66.3333
45.5,66.5
46,66.6667
46.5,66.8333
47,67
47.5,67.1429
48,67.2857
48.5,67.4286
49,67.5714
49.5,67.7143
50,67.8571
50.5,68
51,68.1667
51.5,68.3333
52,68.5
52.5,68.6667
53,68.8333
53.5,69
54,69.1667
54.5,69.3333
55,69.5
55.5,69.6667
56,69.8333
56.5,70
57,70.1667
57.5,70.3333
58,70.5
58.5,70.6667
59,70.8333
59.5,71
60,71.1111
60.5,71.2222
61,71.3333
61.5,71.4444
62,71.5556
62.5,71.6667
63,71.7778
63.5,71.8889
64,72
64.5,72.1111
65,72.2222
65.5,72.3333
66,72.4444
66.5,72.5556
67,72.6667
67.5,72.7778
68,72.8889
68.5,73
69,73.1
69.5,73.2
70,73.3
70.5,73.4
71,73.5
71.5,73.6
72,73.7
72.5,73.8
73,73.9
73.5,74
74,74.1111
74.5,74.2222
75,74.3333
75.5,74.4444
76,74.5556
76.5,74.6667
77,74.7778
77.5,74.8889
78,75
78.5,75.0909
79,75.1818
79.5,75.2727
80,75.3636
80.5,75.4545
81,75.5455
81.5,75.6364
82,75.7273
82.5,75.8182
83,75.9091
83.5,76
84,76.0556
84.5,76.1111
85,76.1667
85.5,76.2222
86,76.2778
86.5,76.3333
87,76.3889
87.5,76.4444
88,76.5
88.5,76.5556
89,76.6111
89.5,76.6667
90,76.7222
90.5,76.7778
91,76.8333
91.5,76.8889
92,76.9444
92.5,77
93,77.0526
93.5,77.1053
94,77.1579
94.5,77.2105
95,77.2632
95.5,77.3158
96,77.3684
96.5,77.4211
97,77.4737
97.5,77.5263
98,77.5789
98.5,77.6316
99,77.6842
99.5,77.7368
100,77.7895
100.5,77.8421
101,77.8947
101.5,77.9474
102,78
102.5,78
103,78
103.5,78
104,78
104.5,78.0667
105,78.1333
105.5,78.2
106,78.2667
106.5,78.3333
107,78.4
107.5,78.4667
108,78.5333
108.5,78.6
109,78.6667
109.5,78.7333
110,78.8
110.5,78.8667
111,78.9333
111.5,79
112,79
112.5,79
113,79
113.5,79
114,79
114.5,79
115,79
115.5,79
116,79
116.5,79
117,79
