Time,Temperature
-2,34
-1.5,34.25
-1,34.5
-0.5,34.75
0,35
0.5,44
1,45
1.5,46
2,46.5
2.5,47
3,47.5
3.5,48
4,48.25
4.5,48.5
5,48.75
5.5,49
6,49.3333
6.5,49.6667
7,50
7.5,50.5
8,51
8.5,51.2
9,51.4
9.5,51.6
10,51.8
10.5,52
11,52.25
11.5,52.5
12,52.75
12.5,53
13,53.25
13.5,53.5
14,53.75
14.5,54
15,54.25
15.5,54.5
16,54.75
16.5,55
17,55.3333
17.5,55.6667
18,56
18.5,56.2
19,56.4
19.5,56.6
20,56.8
20.5,57
21,57.25
21.5,57.5
22,57.75
22.5,58
23,58.25
23.5,58.5
24,58.75
24.5,59
25,59.2
25.5,59.4
26,59.6
26.5,59.8
27,60
27.5,60.25
28,60.5
28.5,60.75
29,61
29.5,61.2
30,61.4
30.5,61.6
31,61.8
31.5,62
32,62.25
32.5,62.5
33,62.75
33.5,63
34,63.2
34.5,63.4
35,63.6
35.5,63.8
36,64
36.5,64.1667
37,64.3333
37.5,64.5
38,64.6667
38.5,64.8333
39,65
39.5,65.2
40,65.4
40.5,65.6
41,65.8
41.5,66
42,66.25
42.5,66.5
43,66.75
43.5,67
44,67.1667
44.5,67.3333
45,67.5
45.5,67.6667
46,67.8333
46.5,68
47,68.1429
47.5,68.2857
48,68.4286
48.5,68.5714
49,68.7143
49.5,68.8571
50,69
50.5,69.1667
51,69.3333
51.5,69.5
52,69.6667
52.5,69.8333
53,70
53.5,70.2
54,70.4
54.5,70.6
55,70.8
55.5,71
56,71.125
56.5,71.25
57,71.375
57.5,71.5
58,71.625
58.5,71.75
59,71.875
59.5,72
60,72.1429
60.5,72.2857
61,72.4286
61.5,72.5714
62,72.7143
62.5,72.8571
63,73
63.5,73.125
64,73.25
64.5,73.375
65,73.5
65.5,73.625
66,73.75
66.5,73.875
67,74
67.5,74.125
68,74.25
68.5,74.375
69,74.5
69.5,74.625
70,74.75
70.5,74.875
71,75
71.5,75
72,75
72.5,75
73,75
73.5,75.125
74,75.25
74.5,75.375
75,75.5
75.5,75.625
76,75.75
76.5,75.875
77,76
77.5,76.0909
78,76.1818
78.5,76.2727
79,76.3636
79.5,76.4545
80,76.5455
80.5,76.6364
81,76.7273
81.5,76.8182
82,76.9091
82.5,77
83,77.0714
83.5,77.1429
84,77.2143
84.5,77.2857
85,77.3571
85.5,77.4286
86,77.5
86.5,77.5714
87,77.6429
87.5,77.7143
88,77.7857
88.5,77.8571
89,77.9286
89.5,78
90,78.0556
90.5,78.1111
91,78.1667
91.5,78.2222
92,78.2778
92.5,78.3333
93,78.3889
93.5,78.4444
94,78.5
94.5,78.5556
95,78.6111
95.5,78.6667
96,78.7222
96.5,78.7778
97,78.8333
97.5,78.8889
98,78.9444
98.5,79
99,79
99.5,79
100,79
100.5,79
101,79
101.5,79
102,79.0556
102.5,79.1111
103,79.1667
103.5,79.2222
104,79.2778
104.5,79.3333
105,79.3889
105.5,79.4444
106,79.5
106.5,79.5556
107,79.6111
107.5,79.6667
108,79.7222
108.5,79.7778
109,79.8333
109.5,79.8889
110,79.9444
110.5,80
111,80
111.5,80
112,80
112.5,80
113,80
113.5,80
114,80
114.5,80
115,80
115.5,80
116,80
116.5,80
117,80
117.5,80
118,80
118.5,80
119,80
119.5,80
120,80
120.5,80
121,80
121.5,80
