Time,Rate
-2,0.5
-1.5,0.5
-1,0.5
-0.5,0.5
0,24
0.5,2
1,2
1.5,1
2,1
2.5,1
3,1
3.5,0.666667
4,0.666667
4.5,0.666667
5,0.666667
5.5,0.666667
6,0.666667
6.5,0.5
7,0.5
7.5,0.5
8,0.5
8.5,0.5
9,0.5
9.5,0.5
10,0.5
10.5,0.666667
11,0.666667
11.5,0.666667
12,0.666667
12.5,0.666667
13,0.666667
13.5,0.5
14,0.5
14.5,0.5
15,0.5
15.5,0.5
16,0.5
16.5,0.5
17,0.5
17.5,0.5
18,0.5
18.5,0.5
19,0.5
19.5,0.666667
20,0.666667
20.5,0.666667
21,0.4
21.5,0.4
22,0.4
22.5,0.4
23,0.4
23.5,0.4
24,0.4
24.5,0.4
25,0.4
25.5,0.4
26,0.666667
26.5,0.666667
27,0.666667
27.5,0.4
28,0.4
28.5,0.4
29,0.4
29.5,0.4
30,0.5
30.5,0.5
31,0.5
31.5,0.5
32,0.5
32.5,0.5
33,0.5
33.5,0.5
34,0.4
34.5,0.4
35,0.4
35.5,0.4
36,0.4
36.5,0.4
37,0.4
37.5,0.4
38,0.4
38.5,0.4
39,0.4
39.5,0.4
40,0.4
40.5,0.4
41,0.4
41.5,0.4
42,0.4
42.5,0.4
43,0.4
43.5,0.4
44,0.333333
44.5,0.333333
45,0.333333
45.5,0.333333
46,0.333333
46.5,0.333333
47,0.5
47.5,0.5
48,0.5
48.5,0.5
49,0.4
49.5,0.4
50,0.4
50.5,0.4
51,0.4
51.5,0
52,0
52.5,0.5
53,0.5
53.5,0.5
54,0.5
54.5,0.333333
55,0.333333
55.5,0.333333
56,0.333333
56.5,0.333333
57,0.333333
57.5,0.285714
58,0.285714
58.5,0.285714
59,0.285714
59.5,0.285714
60,0.285714
60.5,0.285714
61,0.333333
61.5,0.333333
62,0.333333
62.5,0.333333
63,0.333333
63.5,0.333333
64,0
64.5,0
65,0.285714
65.5,0.285714
66,0.285714
66.5,0.285714
67,0.285714
67.5,0.285714
68,0.285714
68.5,0.222222
69,0.222222
69.5,0.222222
70,0.222222
70.5,0.222222
71,0.222222
71.5,0.222222
72,0.222222
72.5,0.222222
73,0.222222
73.5,0.222222
74,0.222222
74.5,0.222222
75,0.222222
75.5,0.222222
76,0.222222
76.5,0.222222
77,0.222222
77.5,0.153846
78,0.153846
78.5,0.153846
79,0.153846
79.5,0.153846
80,0.153846
80.5,0.153846
81,0.153846
81.5,0.153846
82,0.153846
82.5,0.153846
83,0.153846
83.5,0.153846
84,0.153846
84.5,0.153846
85,0.153846
85.5,0.153846
86,0.153846
86.5,0.153846
87,0.153846
87.5,0.153846
88,0.153846
88.5,0.153846
89,0.153846
89.5,0.153846
90,0.153846
90.5,0
91,0
91.5,0
92,0
92.5,0
93,0
93.5,0
94,0
94.5,0
95,0
95.5,0
96,0
96.5,0
97,0
97.5,0
98,0
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0
102,0
102.5,0
103,0
103.5,0
104,0
104.5,0
105,0
105.5,0
106,0
106.5,0
107,0
107.5,0.0217391
108,0.0217391
108.5,0.0217391
109,0.0217391
109.5,0.0217391
110,0.0217391
110.5,0.0217391
111,0.0217391
111.5,0.0217391
112,0.0217391
112.5,0.0217391
113,0.0217391
113.5,0.0217391
114,0.0217391
114.5,0.0217391
115,0.0217391
115.5,0.0217391
116,0.0217391
116.5,0.0217391
117,0.0217391
117.5,0.0217391
118,0.0217391
118.5,0.0217391
119,0.0217391
119.5,0.0217391
120,0.0217391
120.5,0.0217391
121,0.0217391
121.5,0.0217391
122,0.0217391
122.5,0.0217391
123,0.0217391
123.5,0.0217391
124,0.0217391
124.5,0.0217391
125,0.0217391
125.5,0.0217391
126,0.0217391
126.5,0.0217391
127,0.0217391
127.5,0.0217391
128,0.0217391
128.5,0.0217391
129,0.0217391
129.5,0.0217391
130,0.0217391
130.5,0.0217391
131,0.0217391
131.5,0.0217391
132,0.0217391
132.5,0.0217391
133,0.0217391
133.5,0.0217391
134,0.0217391
134.5,0.0217391
135,0.0217391
135.5,0.0217391
136,0.0217391
136.5,0.0217391
137,0.0217391
137.5,0.0217391
138,0.0217391
138.5,0.0217391
139,0.0217391
139.5,0.0217391
140,0.0217391
140.5,0.0217391
141,0.0217391
141.5,0.0217391
142,0.0217391
142.5,0.0217391
143,0.0217391
143.5,0.0217391
144,0.0217391
144.5,0.0217391
145,0.0217391
145.5,0.0217391
146,0.0217391
146.5,0.0217391
147,0.0217391
147.5,0.0217391
148,0.0217391
148.5,0.0217391
149,0.0217391
149.5,0.0217391
150,0.0217391
150.5,0.0217391
151,0.0217391
151.5,0.0217391
152,0.0217391
152.5,0.0217391
153,0.0217391
153.5,0
154,0
154.5,0
155,0
155.5,0
156,0
156.5,0
157,0
157.5,0.0263158
158,0.0263158
158.5,0.0263158
159,0.0263158
159.5,0.0263158
160,0.0263158
160.5,0.0263158
161,0.0263158
161.5,0.0263158
162,0.0263158
162.5,0.0263158
163,0.0263158
163.5,0.0263158
164,0.0263158
164.5,0.0263158
165,0.0263158
165.5,0.0263158
166,0.0263158
166.5,0.0263158
167,0.0263158
167.5,0.0263158
168,0.0263158
168.5,0.0263158
169,0.0263158
169.5,0.0263158
170,0.0263158
170.5,0.0263158
171,0.0263158
171.5,0.0263158
172,0.0263158
172.5,0.0263158
173,0.0263158
173.5,0.0263158
174,0.0263158
174.5,0.0263158
175,0.0263158
175.5,0.0263158
176,0.0263158
176.5,0.0263158
177,0.0263158
177.5,0.0263158
178,0.0263158
178.5,0.0263158
179,0.0263158
179.5,0.0263158
180,0.0263158
180.5,0.0263158
181,0.0263158
181.5,0.0263158
182,0.0263158
182.5,0.0263158
183,0.0263158
183.5,0.0263158
184,0.0263158
184.5,0.0263158
