Time,Temperature_HBM,Temperature_FPGA
-2,31,30.4898
-1.5,32,31.096
-1,32,32.5571
-0.5,32,32.1374
0,32,31.2204
0.5,37,31.6556
1,38,30.9872
1.5,38,32.1996
2,38,31.7177
2.5,38,31.982
3,38,31.3602
3.5,38,31.9975
4,38,30.9872
4.5,38,32.2151
5,38,32.2928
5.5,38,31.4224
6,39,31.9042
6.5,38,30.5986
7,38,31.1271
7.5,38,31.0028
8,38,32.2307
8.5,38,32.0441
9,38,32.4016
9.5,39,31.6089
10,38,33.07
10.5,38,32.2928
11,38,32.7125
11.5,38,31.7022
12,39,32.7747
12.5,38,32.3239
13,38,32.6503
13.5,38,31.7333
14,38,32.9456
14.5,39,31.2359
15,39,32.5104
15.5,39,31.9664
16,39,32.9923
16.5,38,31.7644
17,39,32.1374
17.5,39,32.4172
18,39,31.7333
18.5,39,32.4327
19,39,32.9923
19.5,39,32.0131
20,39,32.2462
20.5,39,32.7591
21,39,32.8835
21.5,39,32.4327
22,39,31.7488
22.5,39,31.4846
23,39,31.9198
23.5,39,32.2617
24,39,32.728
24.5,39,32.4949
25,39,32.5104
25.5,39,32.5571
26,39,32.5104
26.5,39,32.8368
27,39,31.811
27.5,39,32.8368
28,39,31.2204
28.5,39,33.0233
29,39,32.2151
29.5,39,32.4793
30,39,32.6503
30.5,39,33.2409
31,39,33.4119
31.5,39,33.3808
32,39,32.6659
32.5,39,32.8524
33,39,33.0389
33.5,39,32.3861
34,39,31.7488
34.5,39,33.2565
35,39,33.0855
35.5,39,33.8782
36,39,32.8679
36.5,39,32.728
37,39,32.2462
37.5,39,33.1788
38,39,31.811
38.5,39,33.6295
39,39,32.7125
39.5,39,32.1063
40,39,32.5881
40.5,39,33.2254
41,39,33.5674
41.5,39,32.6192
42,39,32.3395
42.5,39,32.9767
43,39,32.8679
43.5,39,33.7694
44,39,32.1529
44.5,39,33.4119
45,39,32.2151
45.5,39,31.469
46,39,32.728
46.5,39,32.3084
47,39,33.2409
47.5,39,32.4638
48,39,32.8835
48.5,39,31.7022
49,39,33.5674
49.5,39,32.1063
50,39,33.2099
50.5,39,32.4638
51,39,34.0803
51.5,39,33.0233
52,39,33.3653
52.5,39,32.1219
53,39,31.6245
53.5,39,31.9353
54,39,33.2565
54.5,39,31.6089
55,39,33.8782
55.5,39,30.9872
56,39,33.0078
56.5,39,32.3705
57,39,33.1788
57.5,39,33.1477
58,39,33.5363
58.5,39,32.3239
59,39,32.9456
59.5,39,32.3084
60,39,33.4275
60.5,39,31.9198
61,39,33.3653
61.5,39,32.899
62,39,32.7902
62.5,39,32.4172
63,39,33.3498
63.5,39,31.7488
64,39,33.987
64.5,39,32.6969
65,39,31.9042
65.5,39,32.0441
66,39,33.3653
66.5,39,32.8213
67,39,31.9975
67.5,39,33.3187
68,39,32.4483
68.5,39,32.3395
69,39,32.184
69.5,39,33.3187
70,39,32.9923
70.5,39,33.4275
71,39,33.7694
71.5,39,32.3705
72,39,32.9456
72.5,39,32.6814
73,39,32.0286
73.5,39,32.7747
74,39,32.0131
74.5,39,33.1943
75,39,32.9767
75.5,39,33.2099
76,39,32.5571
76.5,39,33.1477
77,39,32.1685
77.5,39,32.4949
78,39,32.2151
78.5,39,32.4016
79,39,32.0752
79.5,39,33.1632
80,39,32.8524
80.5,39,33.4275
81,39,32.0131
81.5,39,32.5104
82,39,32.3861
82.5,39,32.9612
83,39,32.5881
83.5,40,33.2254
84,39,32.1063
84.5,39,32.1219
85,39,33.3342
85.5,39,32.0286
86,39,33.0078
86.5,39,32.7591
87,39,32.9456
87.5,39,32.4793
88,39,33.5674
88.5,39,32.1996
89,39,33.987
89.5,40,31.9664
90,39,32.8213
90.5,39,33.0855
91,39,34.6087
91.5,39,32.8057
92,39,33.3653
92.5,40,32.8835
93,39,33.0233
93.5,39,31.7022
94,39,32.9301
94.5,39,32.1996
95,39,33.2565
95.5,39,32.6037
96,39,33.785
96.5,39,32.6503
97,39,33.5674
97.5,39,32.9145
98,39,33.0389
98.5,39,32.8679
99,39,34.0958
99.5,39,31.7177
100,40,34.158
100.5,39,32.3861
101,39,33.0389
101.5,40,33.2254
102,39,33.614
102.5,39,32.5415
103,39,34.0336
103.5,39,32.6969
104,39,33.0233
104.5,40,33.2254
105,40,33.272
105.5,40,32.6503
106,40,32.0597
106.5,39,33.3342
107,40,32.9301
107.5,39,32.8057
108,40,34.0336
108.5,39,32.9301
109,39,32.9301
109.5,40,32.2617
110,39,32.526
110.5,40,32.9612
111,40,31.8421
111.5,39,32.3861
112,40,33.0389
112.5,39,33.5518
113,39,33.2409
113.5,40,32.1063
114,39,32.8524
114.5,39,32.6192
115,39,32.4483
115.5,40,33.614
116,39,32.9767
116.5,40,34.2046
117,39,32.4016
117.5,40,33.9715
118,39,32.6037
118.5,39,33.2565
119,40,32.4483
119.5,40,33.9404
120,40,32.4172
120.5,40,33.7383
121,40,33.3964
121.5,40,33.4275
122,40,33.7228
122.5,40,32.7747
123,40,32.9767
123.5,39,33.4119
124,39,33.0389
124.5,40,32.7747
125,40,33.5518
125.5,39,34.2046
126,40,34.1269
126.5,40,33.3498
127,40,33.614
127.5,40,32.0752
128,39,33.7383
128.5,40,31.9042
129,40,33.5984
129.5,39,33.3187
130,40,33.5674
130.5,39,32.355
131,40,32.8368
131.5,40,33.3342
132,39,33.4896
132.5,40,31.3913
133,39,33.9559
133.5,40,32.8679
134,40,33.0233
134.5,40,32.8057
135,40,33.9559
135.5,39,32.5415
136,40,33.5207
136.5,40,32.5104
137,40,33.443
137.5,40,32.5415
138,39,33.5363
138.5,40,32.3395
139,39,33.2409
139.5,40,31.5157
140,40,33.6451
140.5,40,32.5881
141,40,33.0078
141.5,40,32.8213
142,40,33.6606
142.5,40,32.2307
143,40,34.36
143.5,40,32.526
144,40,33.3808
144.5,40,31.9509
145,40,33.5984
145.5,40,33.272
146,40,33.3342
146.5,40,33.7694
147,40,32.8524
147.5,40,33.5052
148,40,32.6814
148.5,40,33.3031
149,39,32.9301
149.5,39,33.2254
150,40,32.5726
150.5,40,33.0078
151,40,32.8057
151.5,39,34.2202
152,40,32.526
152.5,40,33.2409
153,40,33.3808
153.5,40,32.8213
154,40,32.7902
154.5,40,34.0026
155,40,32.9923
155.5,40,34.0647
156,40,32.6969
156.5,40,33.5207
157,40,33.5674
157.5,40,34.531
158,40,32.2617
158.5,40,33.3498
159,40,32.1374
159.5,40,34.6087
160,40,32.1685
160.5,40,33.1788
161,40,33.6762
161.5,40,34.1269
162,39,32.9612
162.5,39,33.1477
163,40,32.7125
163.5,40,34.0492
164,40,32.4016
164.5,40,34.1424
165,40,33.3964
165.5,40,33.4586
166,40,32.4172
166.5,40,33.1011
167,40,33.3187
167.5,40,32.9767
168,40,33.443
168.5,40,32.5726
169,40,32.4793
169.5,40,32.7591
170,40,34.1269
170.5,40,32.5104
171,40,33.7072
171.5,39,33.3964
172,40,34.2979
172.5,40,33.4119
173,40,33.5363
173.5,40,32.8524
174,40,33.1011
174.5,40,32.3395
175,40,34.0958
175.5,40,33.07
176,39,33.272
176.5,39,33.0544
177,40,32.8679
177.5,40,32.4327
178,40,33.0078
178.5,40,32.6814
179,40,34.0336
179.5,40,32.9301
180,40,33.5363
180.5,40,32.728
181,40,33.0389
181.5,40,33.1632
182,40,33.2876
182.5,40,33.0078
183,40,33.4896
183.5,40,32.526
184,40,33.1166
184.5,40,33.1321
185,40,34.2046
185.5,40,33.9248
186,39,34.0336
186.5,40,32.8213
187,40,34.1735
187.5,40,32.2617
188,40,34.4067
188.5,40,32.6969
189,40,32.4016
189.5,40,33.4119
190,40,32.4793
190.5,40,33.5363
191,40,32.9145
191.5,40,33.0855
192,40,32.0441
192.5,40,33.6606
193,40,33.0855
193.5,40,33.3342
194,40,32.184
194.5,40,33.3187
195,40,32.7125
195.5,40,33.4275
196,40,32.8057
196.5,40,33.3031
197,40,32.6659
197.5,40,33.2565
198,40,32.6969
198.5,40,33.785
199,40,31.9975
199.5,40,33.6917
200,40,33.2409
200.5,40,35.2305
201,40,32.9612
201.5,40,33.8782
202,40,32.5881
202.5,40,33.7072
203,40,33.4896
203.5,40,32.5726
204,40,33.0855
204.5,40,33.5052
205,40,33.7539
205.5,40,32.9456
206,40,33.0078
206.5,40,33.9093
207,39,33.0078
207.5,40,33.1943
208,40,33.272
208.5,40,33.9715
209,40,33.0233
209.5,40,32.5104
210,40,33.5207
210.5,40,33.3498
211,40,32.9145
211.5,40,32.0752
212,40,33.785
212.5,40,33.3342
213,40,33.6917
213.5,40,33.1632
214,40,33.785
214.5,40,32.6348
215,40,33.0233
215.5,40,32.6192
216,40,32.3705
216.5,40,32.7747
217,40,33.3187
217.5,40,32.7436
218,40,32.7591
218.5,40,33.1321
219,40,33.0544
219.5,40,31.9509
220,40,33.9404
220.5,40,32.728
221,40,32.9612
221.5,40,32.9612
222,40,33.614
222.5,40,32.0131
223,40,33.0389
223.5,40,33.0544
224,40,34.0958
224.5,39,32.7747
225,40,34.1269
225.5,39,33.3653
226,40,32.8524
226.5,40,32.728
227,40,33.8005
227.5,40,33.3498
228,40,33.443
228.5,39,33.8471
229,40,32.9612
229.5,40,32.899
230,40,32.6659
230.5,40,32.899
231,40,32.728
231.5,40,33.5207
232,40,32.7902
232.5,40,33.4275
233,40,32.1063
233.5,40,33.9404
234,40,32.8524
234.5,40,33.1632
235,40,32.7436
235.5,40,33.7539
236,40,33.07
236.5,40,32.7747
237,40,32.1685
237.5,40,33.5518
238,40,32.7902
238.5,40,32.9456
239,40,33.5207
239.5,40,33.7228
240,39,33.7072
240.5,40,33.9248
241,40,32.5571
241.5,40,33.3187
242,40,33.2254
242.5,40,33.3031
243,40,32.8368
243.5,40,34.0026
244,40,32.6503
244.5,40,34.0336
245,40,32.5415
245.5,40,33.1011
246,40,33.5984
246.5,40,33.5363
247,40,32.7747
247.5,40,33.5207
248,40,33.8005
248.5,40,32.4638
249,40,33.6762
249.5,40,33.5829
250,40,32.5104
250.5,40,32.7436
251,40,33.07
251.5,40,32.6037
252,40,33.8627
252.5,40,33.4275
253,40,33.4896
253.5,40,32.6659
254,40,33.07
254.5,40,32.0752
255,40,34.0958
255.5,40,33.4586
256,40,33.9248
256.5,40,32.4638
257,40,33.4586
257.5,40,31.9664
258,40,33.5829
258.5,40,33.4896
259,40,33.4741
259.5,40,34.0181
260,40,33.3964
260.5,40,33.8782
261,40,33.3653
261.5,40,32.4327
262,40,33.8938
262.5,40,33.6606
263,40,34.0492
263.5,40,32.7747
264,40,33.3498
264.5,39,32.7902
265,40,33.0855
265.5,40,33.3031
266,40,33.07
266.5,40,33.5984
267,40,33.6451
267.5,40,32.4638
268,40,33.0389
268.5,40,32.9145
269,40,33.7694
269.5,40,32.7125
270,40,32.7902
270.5,40,33.1011
271,40,32.4172
271.5,40,34.4222
272,40,33.272
272.5,40,32.9923
273,40,32.899
273.5,40,33.2254
274,40,32.8835
274.5,40,33.7383
275,40,32.7125
275.5,40,34.4999
276,40,32.8524
276.5,40,33.1632
277,40,33.1321
277.5,40,33.4586
278,40,32.184
278.5,40,33.3964
279,40,32.0441
279.5,40,33.8471
280,40,32.8213
280.5,40,33.1788
281,40,33.6917
281.5,40,33.3653
282,40,32.1685
282.5,40,32.526
283,40,33.5518
283.5,40,33.3808
284,40,32.9767
284.5,40,33.3498
285,40,32.7747
285.5,40,33.1011
286,40,32.5881
286.5,40,34.5777
287,40,33.443
287.5,40,33.1943
288,40,32.5726
288.5,40,33.9093
289,40,32.5571
289.5,40,32.8679
290,40,33.7539
290.5,40,33.8005
291,40,32.4016
291.5,40,32.1219
292,40,33.1632
292.5,40,32.3861
293,40,33.8005
293.5,40,32.9767
294,40,33.5674
294.5,40,33.7539
295,40,32.7125
295.5,40,32.4793
296,40,33.5674
296.5,40,32.7747
297,40,34.1114
297.5,40,32.4483
298,40,33.8005
298.5,40,33.8005
299,40,34.2979
299.5,40,32.0441
300,40,34.0026
