Time,Temperature(HBM),Temperature(FPGA)
-2,31,30.4898
-1.5,31.25,30.6725
-1,31.5,30.8551
-0.5,31.75,31.0377
0,32,31.2204
0.5,37,31.6556
1,38,31.9276
1.5,38.1,32.1996
2,38.2,32.0908
2.5,38.3,31.982
3,38.4,31.9897
3.5,38.5,31.9975
4,38.6,32.1063
4.5,38.7,32.2151
5,38.8,32.2928
5.5,38.9,32.0985
6,39,31.9042
6.5,39,31.5157
7,39,31.1271
7.5,39,31.6789
8,39,32.2307
8.5,39,32.3161
9,39,32.4016
9.5,39,32.7358
10,39,33.07
10.5,39,32.8912
11,39,32.7125
11.5,39,32.7436
12,39,32.7747
12.5,39,32.7125
13,39,32.6503
13.5,39,32.798
14,39,32.9456
14.5,39,32.728
15,39,32.5104
15.5,39,32.7513
16,39,32.9923
16.5,39,32.5648
17,39,32.1374
17.5,39.0075,32.4172
18,39.015,32.4249
18.5,39.0226,32.4327
19,39.0301,32.9923
19.5,39.0376,32.6192
20,39.0451,32.2462
20.5,39.0526,32.7591
21,39.0602,32.8835
21.5,39.0677,32.6425
22,39.0752,32.4016
22.5,39.0827,32.1607
23,39.0902,31.9198
23.5,39.0977,32.2617
24,39.1053,32.728
24.5,39.1128,32.6192
25,39.1203,32.5104
25.5,39.1278,32.5571
26,39.1353,32.6969
26.5,39.1429,32.8368
27,39.1504,32.8368
27.5,39.1579,32.8368
28,39.1654,32.9301
28.5,39.1729,33.0233
29,39.1805,32.7513
29.5,39.188,32.4793
30,39.1955,32.6503
30.5,39.203,33.2409
31,39.2105,33.4119
31.5,39.218,33.2254
32,39.2256,33.0389
32.5,39.2331,32.8524
33,39.2406,33.0389
33.5,39.2481,33.1114
34,39.2556,33.184
34.5,39.2632,33.2565
35,39.2707,33.5674
35.5,39.2782,33.8782
36,39.2857,33.7034
36.5,39.2932,33.5285
37,39.3008,33.3536
37.5,39.3083,33.1788
38,39.3158,33.4042
38.5,39.3233,33.6295
39,39.3308,33.2824
39.5,39.3383,32.9353
40,39.3459,32.5881
40.5,39.3534,33.2254
41,39.3609,33.5674
41.5,39.3684,33.3705
42,39.3759,33.1736
42.5,39.3835,32.9767
43,39.391,33.3731
43.5,39.3985,33.7694
44,39.406,33.5907
44.5,39.4135,33.4119
45,39.4211,33.184
45.5,39.4286,32.956
46,39.4361,32.728
46.5,39.4436,32.9845
47,39.4511,33.2409
47.5,39.4586,33.0622
48,39.4662,32.8835
48.5,39.4737,33.2254
49,39.4812,33.5674
49.5,39.4887,33.3886
50,39.4962,33.2099
50.5,39.5038,33.6451
51,39.5113,34.0803
51.5,39.5188,33.7228
52,39.5263,33.3653
52.5,39.5338,32.8886
53,39.5414,32.412
53.5,39.5489,31.9353
54,39.5564,33.2565
54.5,39.5639,33.5674
55,39.5714,33.8782
55.5,39.5789,33.443
56,39.5865,33.0078
56.5,39.594,33.0933
57,39.6015,33.1788
57.5,39.609,33.3575
58,39.6165,33.5363
58.5,39.6241,33.2409
59,39.6316,32.9456
59.5,39.6391,33.1865
60,39.6466,33.4275
60.5,39.6541,33.3964
61,39.6617,33.3653
61.5,39.6692,33.3614
62,39.6767,33.3575
62.5,39.6842,33.3536
63,39.6917,33.3498
63.5,39.6992,33.6684
64,39.7068,33.987
64.5,39.7143,33.3394
65,39.7218,32.6918
65.5,39.7293,32.0441
66,39.7368,33.3653
66.5,39.7444,33.3498
67,39.7519,33.3342
67.5,39.7594,33.3187
68,39.7669,33.3187
68.5,39.7744,33.3187
69,39.782,33.3187
69.5,39.7895,33.3187
70,39.797,33.3731
70.5,39.8045,33.4275
71,39.812,33.7694
71.5,39.8195,33.3575
72,39.8271,32.9456
72.5,39.8346,32.8886
73,39.8421,32.8317
73.5,39.8496,32.7747
74,39.8571,32.9845
74.5,39.8647,33.1943
75,39.8722,33.2021
75.5,39.8797,33.2099
76,39.8872,33.1788
76.5,39.8947,33.1477
77,39.9023,32.8213
77.5,39.9098,32.4949
78,39.9173,32.4483
78.5,39.9248,32.4016
79,39.9323,32.7824
79.5,39.9398,33.1632
80,39.9474,33.2954
80.5,39.9549,33.4275
81,39.9624,32.9689
81.5,39.9699,32.5104
82,39.9774,32.7358
82.5,39.985,32.9612
83,39.9925,33.0933
83.5,40,33.2254
84,40,32.6736
84.5,40,32.1219
85,40,33.3342
85.5,40,33.171
86,40,33.0078
86.5,40,32.9767
87,40,32.9456
87.5,40,33.2565
88,40,33.5674
88.5,40,33.7772
89,40,33.987
89.5,40,33.4042
90,40,32.8213
90.5,40,33.0855
91,40,34.6087
91.5,40,33.987
92,40,33.3653
92.5,40,33.1943
93,40,33.0233
93.5,40,32.9767
94,40,32.9301
94.5,40,33.0933
95,40,33.2565
95.5,40,33.5207
96,40,33.785
96.5,40,33.6762
97,40,33.5674
97.5,40,33.3031
98,40,33.0389
98.5,40,33.5674
99,40,34.0958
99.5,40,34.1269
100,40,34.158
100.5,40,33.5984
101,40,33.0389
101.5,40,33.2254
102,40,33.614
102.5,40,33.8238
103,40,34.0336
103.5,40,33.5285
104,40,33.0233
104.5,40,33.2254
105,40,33.272
105.5,40,33.2928
106,40,33.3135
106.5,40,33.3342
107,40,33.5674
107.5,40,33.8005
108,40,34.0336
108.5,40,33.6567
109,40,33.2798
109.5,40,32.9029
110,40,32.526
110.5,40,32.9612
111,40,32.6736
111.5,40,32.3861
112,40,33.0389
112.5,40,33.5518
113,40,33.3187
113.5,40,33.0855
114,40,32.8524
114.5,40,33.1062
115,40,33.3601
115.5,40,33.614
116,40,33.9093
116.5,40,34.2046
117,40,34.088
117.5,40,33.9715
118,40,33.614
118.5,40,33.2565
119,40,33.5984
119.5,40,33.9404
120,40,33.8394
120.5,40,33.7383
121,40,33.5829
121.5,40,33.4275
122,40,33.7228
122.5,40,33.3498
123,40,32.9767
123.5,40,33.4119
124,40,33.4586
124.5,40,33.5052
125,40,33.5518
125.5,40,34.2046
126,40,34.0077
126.5,40,33.8109
127,40,33.614
127.5,40,33.6762
128,40,33.7383
128.5,40,33.6684
129,40,33.5984
129.5,40,33.5829
130,40,33.5674
130.5,40,33.2021
131,40,32.8368
131.5,40,33.3342
132,40,33.4896
132.5,40,33.7228
133,40,33.9559
133.5,40,33.4896
134,40,33.0233
134.5,40,33.4896
135,40,33.9559
135.5,40,33.7383
136,40,33.5207
136.5,40,33.4819
137,40,33.443
