Time,Temperature_HBM,Temperature_FPGA
-2,0,-29.5684
-1.5,0,-29.584
-1,0,-29.8948
-0.5,0,-30.8119
0,0,-29.6617
0.5,0,-29.8171
1,0,-30.0036
1.5,0,-29.8482
2,0,-30.0814
2.5,0,-30.5476
3,0,-28.7136
3.5,0,-29.2265
4,0,-28.5426
4.5,0,-28.4649
5,0,-29.1332
5.5,0,-28.3405
6,0,-28.2784
6.5,0,-29.1488
7,0,-29.5373
7.5,0,-28.869
8,0,-29.786
8.5,0,-28.496
9,0,-29.3819
9.5,0,-28.7757
10,0,-29.1954
10.5,0,-28.9001
11,0,-29.4752
11.5,0,-28.7757
12,0,-29.8482
12.5,0,-28.4649
13,0,-29.4596
13.5,0,-28.496
14,0,-29.0555
14.5,0,-29.1954
15,0,-28.8224
15.5,0,-27.9053
16,0,-28.8068
16.5,0,-28.2473
17,0,-28.9001
17.5,0,-28.3561
18,0,-29.7705
18.5,0,-27.8898
19,0,-29.1643
19.5,0,-28.6669
20,0,-29.0244
20.5,0,-28.4027
21,0,-29.5218
21.5,0,-28.4182
22,0,-28.6048
22.5,0,-27.5012
23,0,-28.8379
23.5,0,-27.952
24,0,-28.8379
24.5,0,-27.9986
25,0,-28.0141
25.5,0,-28.3872
26,0,-27.3613
26.5,0,-29.2109
27,0,-28.3561
27.5,0,-29.3975
28,0,-28.2006
28.5,0,-28.5426
29,0,-27.5634
29.5,0,-28.3872
30,0,-28.3561
30.5,0,-29.1488
31,0,-28.2317
31.5,0,-28.9001
32,0,-28.3094
32.5,0,-28.5737
33,0,-27.983
33.5,0,-28.7602
34,0,-27.8898
34.5,0,-28.6514
35,0,-28.0763
35.5,0,-28.1696
36,0,-28.6825
36.5,0,-28.7136
37,0,-28.3405
37.5,0,-27.61
38,0,-27.7033
38.5,0,-28.6359
39,0,-28.8379
39.5,0,-28.1385
40,0,-27.952
40.5,0,-28.3872
41,0,-28.5426
41.5,0,-28.4493
42,0,-28.3561
42.5,0,-28.7136
43,0,-27.3924
43.5,0,-28.6825
44,0,-27.5945
