Time,Temperature_HBM,Temperature_FPGA
-2,0,-30.1124
-1.5,0,-29.8638
-1,0,-30.128
-0.5,0,-29.4907
0,0,-29.1021
0.5,0,-30.4233
1,0,-29.6151
1.5,0,-29.9259
2,0,-29.2887
2.5,0,-30.1902
3,0,-30.0036
3.5,0,-30.2057
4,0,-29.1643
4.5,0,-29.4285
5,0,-28.9623
5.5,0,-30.33
6,0,-27.6566
6.5,0,-29.4907
7,0,-27.6566
7.5,0,-28.869
8,0,-28.698
8.5,0,-29.8171
9,0,-28.6048
9.5,0,-29.2576
10,0,-28.4338
10.5,0,-28.9001
11,0,-28.7447
11.5,0,-28.8379
12,0,-28.6514
12.5,0,-28.9778
13,0,-28.6048
13.5,0,-29.0866
14,0,-27.237
14.5,0,-28.9933
15,0,-28.1229
15.5,0,-28.0763
16,0,-27.1126
16.5,0,-27.3613
17,0,-28.9001
17.5,0,-27.8587
18,0,-28.4649
18.5,0,-28.1074
19,0,-29.2265
19.5,0,-28.2628
20,0,-28.9778
20.5,0,-27.7499
21,0,-28.2628
21.5,0,-27.8898
22,0,-29.9104
22.5,0,-27.5945
23,0,-28.1385
23.5,0,-27.0815
24,0,-28.4338
24.5,0,-28.1696
25,0,-28.154
25.5,0,-27.7965
26,0,-28.0452
26.5,0,-27.9209
27,0,-27.7654
27.5,0,-28.0918
28,0,-27.7188
28.5,0,-27.439
29,0,-28.0763
29.5,0,-28.0452
30,0,-28.6514
30.5,0,-27.8898
31,0,-27.5634
31.5,0,-27.2059
32,0,-28.6514
32.5,0,-27.4701
33,0,-27.7033
33.5,0,-26.5531
34,0,-27.2992
34.5,0,-27.4701
35,0,-27.5323
35.5,0,-28.7447
36,0,-27.2525
36.5,0,-28.1074
37,0,-27.6877
37.5,0,-27.3302
38,0,-27.5945
38.5,0,-28.1696
39,0,-27.3769
39.5,0,-26.693
40,0,-27.408
40.5,0,-27.6722
41,0,-27.0194
41.5,0,-27.7499
42,0,-27.5789
42.5,0,-27.4546
43,0,-27.5789
43.5,0,-28.2473
44,0,-26.2111
44.5,0,-27.781
45,0,-26.9727
45.5,0,-26.8795
46,0,-26.8639
46.5,0,-27.2214
47,0,-26.7707
