Time,Temperature_HBM,Temperature_FPGA
-2,0,-29.5684
-1.5,0,-29.5917
-1,0,-29.6151
-0.5,0,-29.6384
0,0,-29.6617
0.5,0,-29.7239
1,0,-29.786
1.5,0,-29.8482
2,0,-29.47
2.5,0,-29.0918
3,0,-28.7136
3.5,0,-28.6281
4,0,-28.5426
4.5,0,-28.4649
5,0,-28.4027
5.5,0,-28.3405
6,0,-28.2784
6.5,0,-28.4752
7,0,-28.6721
7.5,0,-28.869
8,0,-28.6825
8.5,0,-28.496
9,0,-28.6359
9.5,0,-28.7757
10,0,-28.8379
10.5,0,-28.9001
11,0,-28.8379
11.5,0,-28.7757
12,0,-28.6203
12.5,0,-28.4649
13,0,-28.4804
13.5,0,-28.496
14,0,-28.6048
14.5,0,-28.7136
15,0,-28.8224
15.5,0,-27.9053
16,0,-28.0763
16.5,0,-28.2473
17,0,-28.3017
17.5,0,-28.3561
18,0,-28.1229
18.5,0,-27.8898
19,0,-28.2784
19.5,0,-28.6669
20,0,-28.5348
20.5,0,-28.4027
21,0,-28.4105
21.5,0,-28.4182
22,0,-27.9597
22.5,0,-27.5012
23,0,-27.7266
23.5,0,-27.952
24,0,-27.9753
24.5,0,-27.9986
25,0,-27.7862
25.5,0,-27.5737
26,0,-27.3613
26.5,0,-27.8587
27,0,-28.3561
27.5,0,-28.2784
28,0,-28.2006
28.5,0,-27.882
29,0,-27.5634
29.5,0,-27.9597
30,0,-28.3561
30.5,0,-28.2939
31,0,-28.2317
31.5,0,-28.2706
32,0,-28.3094
32.5,0,-28.1462
33,0,-27.983
33.5,0,-27.9364
34,0,-27.8898
34.5,0,-27.983
35,0,-28.0763
35.5,0,-28.1424
36,0,-28.2084
36.5,0,-28.2745
37,0,-28.3405
37.5,0,-27.61
38,0,-27.7421
38.5,0,-27.8742
39,0,-28.0064
39.5,0,-28.1385
40,0,-27.952
40.5,0,-28.1178
41,0,-28.2835
41.5,0,-28.4493
42,0,-28.3561
42.5,0,-27.8742
43,0,-27.3924
43.5,0,-27.4934
44,0,-27.5945
44.5,0,-27.7965
45,0,-27.9986
45.5,0,-28.2006
46,0,-27.7888
46.5,0,-27.3769
47,0,-27.4779
47.5,0,-27.5789
48,0,-27.4546
48.5,0,-27.3302
49,0,-27.4157
49.5,0,-27.5012
50,0,-27.5219
50.5,0,-27.5427
51,0,-27.5634
51.5,0,-27.5737
52,0,-27.5841
52.5,0,-27.5945
53,0,-27.8665
53.5,0,-28.1385
54,0,-28.0918
54.5,0,-28.0452
55,0,-26.9106
55.5,0,-27.1023
56,0,-27.294
56.5,0,-27.4857
57,0,-26.9572
57.5,0,-27.3613
58,0,-27.7654
58.5,0,-27.7033
59,0,-27.6411
59.5,0,-27.6774
60,0,-27.7136
60.5,0,-27.7499
61,0,-27.2137
61.5,0,-26.6774
62,0,-27.1023
62.5,0,-27.5271
