Time,Temperature_HBM,Temperature_FPGA
-2,0,-28.9623
-1.5,0,-28.4338
-1,0,-29.3508
-0.5,0,-28.8845
0,0,-27.8587
0.5,0,-25.6827
1,0,-25.7138
1.5,0,-25.5428
2,0,-24.6879
2.5,0,-23.7864
3,0,-24.0351
3.5,0,-23.8952
4,0,-22.9471
4.5,0,-24.0196
5,0,-23.1492
5.5,0,-22.4964
6,0,-22.0922
6.5,0,-21.7969
7,0,-21.5327
7.5,0,-21.3928
8,0,-21.5327
8.5,0,-20.4447
9,0,-21.8902
9.5,0,-21.0509
10,0,-21.1752
10.5,0,-20.025
11,0,-19.8696
11.5,0,-18.8593
12,0,-19.9628
12.5,0,-20.0872
13,0,-19.6831
13.5,0,-18.9525
14,0,-19.6831
14.5,0,-18.8437
15,0,-18.393
15.5,0,-17.507
16,0,-19.1857
16.5,0,-18.3464
17,0,-18.8127
17.5,0,-17.9267
18,0,-17.9112
18.5,0,-16.932
19,0,-18.4085
19.5,0,-17.2894
20,0,-17.6003
20.5,0,-17.0718
21,0,-18.4552
21.5,0,-17.1651
22,0,-17.849
22.5,0,-17.0408
23,0,-17.9112
23.5,0,-16.1393
24,0,-17.134
24.5,0,-15.7041
25,0,-16.7765
25.5,0,-16.0305
26,0,-16.4657
26.5,0,-15.9527
27,0,-16.5589
27.5,0,-16.5278
28,0,-15.4398
28.5,0,-16.6366
29,0,-15.9061
29.5,0,-16.1393
30,0,-15.0823
30.5,0,-16.0615
31,0,-15.0823
31.5,0,-16.2481
32,0,-15.0668
32.5,0,-15.7041
33,0,-14.5694
33.5,0,-15.7662
34,0,-14.1497
34.5,0,-15.1911
35,0,-14.3518
35.5,0,-15.16
36,0,-14.616
36.5,0,-14.9269
37,0,-13.7612
37.5,0,-14.585
38,0,-14.2275
38.5,0,-15.3621
39,0,-13.9321
39.5,0,-13.6835
40,0,-12.8908
40.5,0,-14.072
41,0,-13.3881
41.5,0,-13.3415
42,0,-13.9632
42.5,0,-13.2949
43,0,-12.7664
43.5,0,-14.0565
44,0,-12.5799
44.5,0,-13.6524
45,0,-13.9632
45.5,0,-13.7145
46,0,-12.5488
46.5,0,-12.4245
47,0,-13.0462
47.5,0,-12.2224
48,0,-13.2949
48.5,0,-13.0773
49,0,-13.9943
49.5,0,-12.5644
50,0,-13.3881
50.5,0,-12.0514
51,0,-12.4711
