Time,Temperature_HBM,Temperature_FPGA
-2,0,-30.0192
-1.5,0,-28.4804
-1,0,-29.3819
-0.5,0,-28.8379
0,0,-27.5634
0.5,0,-25.7293
1,0,-24.9832
1.5,0,-25.0454
2,0,-22.9626
2.5,0,-24.4703
3,0,-21.9834
3.5,0,-23.1181
4,0,-23.2735
4.5,0,-22.5585
5,0,-21.9368
5.5,0,-22.1389
6,0,-21.4861
6.5,0,-21.2218
7,0,-20.1183
7.5,0,-22.0456
8,0,-20.4136
8.5,0,-21.3617
9,0,-20.6001
9.5,0,-20.9421
10,0,-20.7711
10.5,0,-19.481
11,0,-20.5224
11.5,0,-19.3877
12,0,-20.3514
12.5,0,-18.7816
13,0,-19.3411
13.5,0,-19.4188
14,0,-19.6675
14.5,0,-18.9215
15,0,-19.0769
15.5,0,-18.2687
16,0,-18.393
16.5,0,-17.6469
17,0,-19.1546
17.5,0,-16.8387
18,0,-18.1754
18.5,0,-17.4604
19,0,-17.4293
19.5,0,-16.4812
20,0,-17.8334
20.5,0,-16.4035
21,0,-16.7299
21.5,0,-16.0926
22,0,-17.9267
22.5,0,-16.6522
23,0,-16.8076
23.5,0,-16.1082
24,0,-17.0874
24.5,0,-16.4812
25,0,-16.1859
25.5,0,-15.3932
26,0,-15.8129
26.5,0,-15.6574
27,0,-17.0097
27.5,0,-16.2481
28,0,-14.9424
28.5,0,-16.0149
29,0,-15.4398
29.5,0,-15.8284
30,0,-14.7093
30.5,0,-15.0512
31,0,-14.958
31.5,0,-14.7715
32,0,-14.9735
32.5,0,-14.4762
33,0,-14.0254
33.5,0,-14.2275
34,0,-14.243
34.5,0,-14.0565
35,0,-14.616
35.5,0,-14.6316
36,0,-14.3052
36.5,0,-14.5539
37,0,-13.0928
37.5,0,-14.6471
38,0,-13.8855
38.5,0,-13.8855
39,0,-14.0254
39.5,0,-13.4348
40,0,-13.1861
40.5,0,-13.9477
41,0,-14.0565
41.5,0,-13.3415
42,0,-12.2535
42.5,0,-12.5644
43,0,-12.5177
43.5,0,-13.0462
44,0,-12.1913
44.5,0,-13.6057
45,0,-13.6213
45.5,0,-13.155
46,0,-12.611
46.5,0,-12.2846
47,0,-12.1447
47.5,0,-12.6265
48,0,-12.238
48.5,0,-11.7095
49,0,-12.4711
49.5,0,-11.725
50,0,-12.2069
50.5,0,-12.4556
51,0,-11.6784
51.5,0,-11.8649
52,0,-12.8286
52.5,0,-11.5851
53,0,-12.3623
53.5,0,-11.3986
54,0,-12.2846
54.5,0,-11.4142
55,0,-12.611
55.5,0,-10.3262
56,0,-11.8649
56.5,0,-10.4661
57,0,-11.4297
57.5,0,-10.8391
58,0,-11.3831
58.5,0,-10.5127
59,0,-10.979
59.5,0,-10.1707
60,0,-10.2174
60.5,0,-10.6215
61,0,-11.5696
61.5,0,-10.2484
62,0,-11.5074
62.5,0,-10.7147
63,0,-10.3883
63.5,0,-10.5749
64,0,-10.2018
64.5,0,-10.9479
65,0,-10.2795
65.5,0,-10.1241
66,0,-10.0464
66.5,0,-10.3728
67,0,-9.78216
67.5,0,-9.87542
68,0,-10.3728
68.5,0,-11.181
69,0,-9.14489
69.5,0,-10.2795
70,0,-10.0308
70.5,0,-9.76661
71,0,-9.06718
71.5,0,-9.9065
72,0,-9.39358
72.5,0,-9.89096
73,0,-8.61643
73.5,0,-9.09826
