Time,Temperature_HBM,Temperature_FPGA
-2,0,-33.4076
-1.5,0,-33.8739
-1,0,-33.0656
-0.5,0,-32.7237
0,0,-32.7703
0.5,0,-32.2885
1,0,-33.4697
1.5,0,-32.4284
2,0,-32.8636
2.5,0,-32.7237
3,0,-33.2677
3.5,0,-31.4181
4,0,-32.6926
4.5,0,-32.3506
5,0,-31.6667
5.5,0,-31.7134
6,0,-32.0242
6.5,0,-31.5269
7,0,-32.6615
7.5,0,-31.8999
8,0,-31.4491
8.5,0,-31.7289
9,0,-30.7652
9.5,0,-30.3456
10,0,-32.1486
10.5,0,-30.9518
11,0,-30.9828
11.5,0,-30.7652
12,0,-32.133
12.5,0,-30.5787
13,0,-31.2005
13.5,0,-30.6098
14,0,-31.4336
14.5,0,-30.0347
15,0,-30.2368
15.5,0,-30.843
16,0,-31.0139
16.5,0,-29.4285
17,0,-31.0917
17.5,0,-30.2212
18,0,-30.33
18.5,0,-29.8327
19,0,-29.242
19.5,0,-30.4544
20,0,-30.2834
20.5,0,-30.843
21,0,-29.5063
21.5,0,-30.3456
22,0,-29.4752
22.5,0,-30.2834
23,0,-30.0503
23.5,0,-30.5166
24,0,-28.5115
24.5,0,-29.5529
25,0,-28.4338
25.5,0,-30.5321
26,0,-28.698
26.5,0,-29.7239
27,0,-28.1385
27.5,0,-29.4752
28,0,-28.7913
28.5,0,-29.2731
29,0,-29.1021
29.5,0,-30.2057
30,0,-28.6825
30.5,0,-29.8016
31,0,-28.3405
31.5,0,-29.584
32,0,-29.0555
32.5,0,-29.2576
33,0,-28.8535
33.5,0,-28.8845
34,0,-27.9364
34.5,0,-29.2576
35,0,-27.6566
35.5,0,-28.7913
36,0,-28.496
36.5,0,-28.4027
37,0,-28.6669
37.5,0,-28.7602
38,0,-28.3405
38.5,0,-28.5115
39,0,-28.5426
39.5,0,-28.3094
40,0,-28.698
40.5,0,-27.3147
41,0,-27.952
41.5,0,-28.869
42,0,-28.3094
42.5,0,-28.1074
43,0,-27.7033
43.5,0,-27.7344
44,0,-27.9364
44.5,0,-27.8432
45,0,-27.5789
45.5,0,-27.2059
46,0,-27.7344
46.5,0,-26.9883
47,0,-27.8742
47.5,0,-27.2214
48,0,-27.3458
48.5,0,-27.9053
49,0,-28.2473
49.5,0,-26.4598
50,0,-27.7033
50.5,0,-26.3044
51,0,-27.2681
51.5,0,-27.1126
52,0,-27.2214
52.5,0,-26.8173
53,0,-27.6566
53.5,0,-27.2836
54,0,-26.8639
54.5,0,-26.4754
55,0,-27.3302
55.5,0,-27.0505
56,0,-27.5012
56.5,0,-26.5375
57,0,-25.5117
57.5,0,-26.7085
58,0,-26.8639
58.5,0,-26.6774
59,0,-27.0505
59.5,0,-27.5478
60,0,-25.9469
60.5,0,-27.2214
61,0,-26.0091
61.5,0,-27.4546
62,0,-26.693
62.5,0,-27.0038
63,0,-25.9003
63.5,0,-26.4754
64,0,-24.548
64.5,0,-27.4235
65,0,-26.5686
65.5,0,-26.4754
66,0,-26.5531
66.5,0,-25.978
67,0,-26.1023
67.5,0,-26.1334
68,0,-26.6774
68.5,0,-26.6774
69,0,-25.9314
69.5,0,-26.351
70,0,-24.3304
70.5,0,-26.2267
71,0,-24.9988
71.5,0,-25.092
72,0,-25.2319
72.5,0,-26.0402
73,0,-25.6827
73.5,0,-25.0765
74,0,-25.434
74.5,0,-24.8434
75,0,-25.807
75.5,0,-25.3096
76,0,-25.5428
76.5,0,-25.0454
77,0,-24.5947
77.5,0,-25.3874
78,0,-26.3355
78.5,0,-25.4184
79,0,-25.092
79.5,0,-24.6568
80,0,-25.4651
80.5,0,-25.092
81,0,-26.0557
81.5,0,-24.9677
82,0,-24.2372
82.5,0,-24.7967
83,0,-25.0143
83.5,0,-24.3304
84,0,-24.9522
84.5,0,-23.2269
85,0,-24.3149
85.5,0,-24.0507
86,0,-25.0765
86.5,0,-24.5014
87,0,-24.175
87.5,0,-24.9211
88,0,-23.6155
88.5,0,-23.8641
89,0,-24.0507
89.5,0,-23.9263
90,0,-23.9263
90.5,0,-23.9108
91,0,-24.5791
91.5,0,-24.5791
92,0,-23.5844
92.5,0,-25.4184
93,0,-24.1128
93.5,0,-24.175
94,0,-23.4445
94.5,0,-24.7967
95,0,-24.4081
95.5,0,-24.2216
96,0,-23.1181
96.5,0,-24.3771
97,0,-23.6155
97.5,0,-24.8123
98,0,-23.8641
98.5,0,-23.8952
99,0,-23.3046
99.5,0,-23.258
100,0,-22.8383
100.5,0,-24.1439
101,0,-23.631
101.5,0,-23.9729
102,0,-23.3979
102.5,0,-23.5533
103,0,-22.4031
103.5,0,-23.4289
104,0,-23.1492
104.5,0,-23.9729
105,0,-22.4342
105.5,0,-22.3876
106,0,-23.087
106.5,0,-23.6465
107,0,-23.7087
107.5,0,-22.8072
108,0,-23.4134
108.5,0,-22.7295
109,0,-22.9316
109.5,0,-22.543
110,0,-22.9626
110.5,0,-22.6673
111,0,-23.1492
111.5,0,-23.5844
112,0,-23.1181
112.5,0,-23.6621
113,0,-22.8849
113.5,0,-23.1336
114,0,-23.1647
114.5,0,-22.4653
115,0,-22.9782
115.5,0,-22.2943
116,0,-22.543
116.5,0,-22.17
117,0,-23.2891
117.5,0,-21.7814
118,0,-22.4964
118.5,0,-22.916
119,0,-22.6673
119.5,0,-23.3979
120,0,-22.4031
120.5,0,-21.9213
121,0,-22.5585
121.5,0,-21.2063
122,0,-22.9782
122.5,0,-21.9834
123,0,-22.745
123.5,0,-21.6259
124,0,-22.1855
124.5,0,-20.8643
125,0,-21.7192
125.5,0,-20.8022
126,0,-21.5949
126.5,0,-21.3928
127,0,-21.284
127.5,0,-22.372
128,0,-21.5171
128.5,0,-22.1233
129,0,-21.5482
129.5,0,-21.455
130,0,-21.2995
130.5,0,-21.7347
131,0,-20.2737
131.5,0,-21.8435
132,0,-21.7347
132.5,0,-21.0975
133,0,-21.0042
133.5,0,-20.9421
134,0,-21.0819
134.5,0,-20.9421
135,0,-21.284
135.5,0,-22.17
136,0,-21.284
136.5,0,-21.657
137,0,-20.4136
137.5,0,-21.113
138,0,-20.196
138.5,0,-20.5846
139,0,-20.8799
139.5,0,-21.3151
140,0,-21.2218
140.5,0,-22.0301
141,0,-21.0975
141.5,0,-20.1494
142,0,-21.4861
142.5,0,-21.0509
143,0,-21.0042
143.5,0,-20.2582
144,0,-21.2374
144.5,0,-21.2063
145,0,-19.823
145.5,0,-20.8954
146,0,-21.3617
146.5,0,-19.9784
147,0,-20.6623
147.5,0,-19.6986
148,0,-20.0406
148.5,0,-20.7089
149,0,-20.911
149.5,0,-19.7142
150,0,-20.3203
150.5,0,-19.4344
151,0,-20.1183
151.5,0,-20.7245
152,0,-19.4344
152.5,0,-19.1701
153,0,-20.0872
153.5,0,-19.3411
154,0,-20.7711
154.5,0,-18.9992
155,0,-20.0095
155.5,0,-20.569
156,0,-20.1649
156.5,0,-19.4033
157,0,-19.652
157.5,0,-20.3825
158,0,-18.6261
158.5,0,-20.5068
159,0,-19.5898
159.5,0,-20.0561
160,0,-19.3567
160.5,0,-20.1027
161,0,-18.9215
161.5,0,-19.6209
162,0,-19.9628
162.5,0,-19.7608
163,0,-19.652
163.5,0,-19.6675
164,0,-19.8074
164.5,0,-19.31
165,0,-18.8904
165.5,0,-19.7142
166,0,-18.6106
166.5,0,-19.823
167,0,-18.8748
167.5,0,-18.9992
168,0,-18.9059
168.5,0,-18.0977
169,0,-18.6883
169.5,0,-19.7297
170,0,-20.2271
170.5,0,-19.3877
171,0,-19.2634
171.5,0,-17.7402
172,0,-18.937
172.5,0,-19.3877
173,0,-19.4033
173.5,0,-18.5795
174,0,-19.1857
174.5,0,-17.8334
175,0,-19.0613
175.5,0,-17.8956
176,0,-19.5276
176.5,0,-18.4085
177,0,-19.31
177.5,0,-18.7039
178,0,-18.4863
178.5,0,-18.6728
179,0,-18.393
179.5,0,-18.5795
180,0,-19.4033
180.5,0,-17.6158
181,0,-17.8334
181.5,0,-18.4396
182,0,-18.3775
182.5,0,-17.8645
183,0,-18.6106
183.5,0,-18.766
184,0,-18.2997
184.5,0,-18.4552
185,0,-18.2687
185.5,0,-17.4138
186,0,-18.5951
186.5,0,-18.1443
187,0,-18.5484
187.5,0,-18.6417
188,0,-17.7713
188.5,0,-18.222
189,0,-18.4863
189.5,0,-18.3775
190,0,-17.3205
190.5,0,-18.2065
191,0,-17.7713
191.5,0,-18.4707
192,0,-17.7557
192.5,0,-18.6572
193,0,-17.0718
193.5,0,-18.02
194,0,-17.1962
194.5,0,-17.4915
195,0,-16.932
195.5,0,-17.7713
196,0,-16.932
196.5,0,-17.3516
197,0,-18.4707
197.5,0,-17.5381
198,0,-17.7246
198.5,0,-17.476
199,0,-16.9164
199.5,0,-16.5278
200,0,-16.9941
200.5,0,-17.9267
201,0,-17.2273
201.5,0,-17.3361
202,0,-17.2428
202.5,0,-16.9164
203,0,-18.393
203.5,0,-16.4035
204,0,-16.9475
204.5,0,-16.3413
205,0,-16.8853
205.5,0,-17.3516
206,0,-17.0097
206.5,0,-15.4864
207,0,-16.8698
207.5,0,-16.2636
208,0,-17.1806
208.5,0,-16.4346
209,0,-16.6988
209.5,0,-16.3724
210,0,-17.3672
210.5,0,-16.2481
211,0,-17.0252
211.5,0,-15.9061
212,0,-17.134
