Time,Temperature_HBM,Temperature_FPGA
-2,0,-35.8323
-1.5,0,-35.5525
-1,0,-34.8064
-0.5,0,-35.4903
0,0,-34.8531
0.5,0,-32.7858
1,0,-31.1694
1.5,0,-31.6201
2,0,-31.2315
2.5,0,-30.4855
3,0,-30.0969
3.5,0,-28.7291
4,0,-29.9259
4.5,0,-28.2628
5,0,-28.9312
5.5,0,-28.1074
6,0,-29.2731
6.5,0,-27.2059
7,0,-28.5737
7.5,0,-27.6722
8,0,-27.4857
8.5,0,-26.5842
9,0,-26.0713
9.5,0,-26.9572
10,0,-26.7085
10.5,0,-25.9003
11,0,-26.0246
11.5,0,-25.8537
12,0,-25.5739
12.5,0,-24.6724
13,0,-25.5739
13.5,0,-24.7501
14,0,-25.8537
14.5,0,-24.0662
15,0,-24.4859
15.5,0,-23.46
16,0,-24.5169
16.5,0,-23.5688
17,0,-23.5999
17.5,0,-23.3201
18,0,-23.4911
18.5,0,-23.6155
19,0,-23.1802
19.5,0,-22.3409
20,0,-23.2269
20.5,0,-22.5119
21,0,-22.7295
21.5,0,-21.9368
22,0,-22.1389
22.5,0,-22.2477
23,0,-22.8072
23.5,0,-22.2166
24,0,-22.6362
24.5,0,-22.2632
25,0,-21.3617
25.5,0,-22.17
26,0,-21.4083
26.5,0,-21.2374
27,0,-21.6104
27.5,0,-21.8125
28,0,-20.7866
28.5,0,-20.9576
29,0,-20.1494
29.5,0,-20.569
30,0,-19.7142
30.5,0,-20.2582
31,0,-19.8851
31.5,0,-20.2115
32,0,-18.9525
32.5,0,-19.0769
33,0,-19.1546
33.5,0,-19.2945
34,0,-18.6106
34.5,0,-19.0303
35,0,-18.9215
35.5,0,-19.3567
36,0,-18.2376
36.5,0,-19.6054
37,0,-18.1443
37.5,0,-19.0924
38,0,-17.476
38.5,0,-18.7039
39,0,-18.9059
39.5,0,-17.305
40,0,-18.6728
40.5,0,-17.8645
41,0,-16.8231
41.5,0,-18.2376
42,0,-17.3672
42.5,0,-17.8801
43,0,-17.9889
43.5,0,-16.1237
44,0,-16.9941
44.5,0,-17.507
45,0,-18.222
45.5,0,-17.3672
46,0,-17.4449
46.5,0,-15.9372
47,0,-16.761
47.5,0,-16.6366
48,0,-17.1496
48.5,0,-14.787
49,0,-16.0305
49.5,0,-15.5953
50,0,-15.8129
50.5,0,-15.2688
51,0,-15.3155
51.5,0,-15.0202
52,0,-15.5486
52.5,0,-14.6471
53,0,-14.8492
53.5,0,-14.9114
54,0,-15.16
54.5,0,-14.5383
55,0,-15.3621
55.5,0,-14.5072
56,0,-13.8389
56.5,0,-13.4659
57,0,-14.4606
57.5,0,-13.9788
58,0,-13.8233
58.5,0,-13.1084
59,0,-14.0409
59.5,0,-13.2172
60,0,-14.2119
60.5,0,-12.5644
61,0,-13.4503
61.5,0,-12.3001
62,0,-13.326
62.5,0,-13.4814
63,0,-12.8286
63.5,0,-12.9685
64,0,-12.44
64.5,0,-14.1808
65,0,-12.6887
65.5,0,-12.6265
66,0,-12.8286
66.5,0,-13.5591
67,0,-11.6473
67.5,0,-12.5644
68,0,-11.6162
68.5,0,-11.7717
69,0,-12.0981
69.5,0,-11.5696
70,0,-12.44
70.5,0,-12.3623
71,0,-10.9634
71.5,0,-11.8338
72,0,-11.2898
72.5,0,-11.4297
73,0,-11.0411
73.5,0,-11.2898
74,0,-9.62673
74.5,0,-10.8235
75,0,-10.3728
75.5,0,-11.7561
76,0,-9.65781
76.5,0,-9.78216
77,0,-8.63197
77.5,0,-10.9634
78,0,-10.2174
78.5,0,-10.6215
79,0,-10.0153
79.5,0,-10.3572
80,0,-10.1086
80.5,0,-9.51793
81,0,-10.5438
81.5,0,-8.42991
82,0,-9.53347
82.5,0,-9.85987
83,0,-9.31587
83.5,0,-8.5698
84,0,-9.06718
84.5,0,-9.22261
85,0,-9.40912
85.5,0,-9.05163
86,0,-9.64227
86.5,0,-8.58534
87,0,-8.81849
87.5,0,-7.71493
88,0,-8.42991
88.5,0,-7.31082
89,0,-8.41437
89.5,0,-8.47654
90,0,-8.19677
90.5,0,-7.6683
91,0,-8.2434
91.5,0,-7.40407
92,0,-8.49209
92.5,0,-6.96887
93,0,-8.32111
93.5,0,-7.32636
94,0,-6.67355
94.5,0,-6.81344
95,0,-7.65276
95.5,0,-5.94303
96,0,-7.68385
96.5,0,-6.31606
97,0,-6.56475
97.5,0,-6.50258
98,0,-6.65801
98.5,0,-7.27973
99,0,-5.47674
99.5,0,-7.06213
100,0,-5.57
100.5,0,-5.95857
101,0,-6.36269
101.5,0,-5.88086
102,0,-5.72543
102.5,0,-6.75127
103,0,-6.08292
103.5,0,-5.57
104,0,-5.61663
104.5,0,-5.21251
105,0,-6.06737
105.5,0,-5.77206
106,0,-5.33685
106.5,0,-5.08816
107,0,-5.33685
107.5,0,-5.63217
108,0,-4.09341
108.5,0,-5.01045
109,0,-4.79284
109.5,0,-4.46644
110,0,-4.63741
110.5,0,-4.3421
111,0,-3.90689
111.5,0,-4.26438
112,0,-3.39397
112.5,0,-3.87581
113,0,-4.20221
113.5,0,-2.98985
114,0,-3.51832
114.5,0,-3.64266
115,0,-3.56495
115.5,0,-3.68929
116,0,-3.96906
116.5,0,-3.1142
117,0,-3.09865
117.5,0,-2.39922
118,0,-3.1142
118.5,0,-2.78779
119,0,-3.37843
119.5,0,-2.84997
120,0,-3.0054
120.5,0,-2.47693
121,0,-2.52356
121.5,0,-2.49248
122,0,-1.94847
122.5,0,-2.27487
123,0,-2.33705
123.5,0,-1.73087
124,0,-2.52356
124.5,0,-0.720571
125,0,-1.76195
125.5,0,-1.51327
126,0,-1.87075
126.5,0,-1.46664
127,0,-2.05727
127.5,0,-2.25933
128,0,-1.15578
128.5,0,-1.59098
129,0,-1.00035
129.5,0,-1.26458
130,0,0.25864
130.5,0,-1.63761
131,0,-0.56514
131.5,0,-1.10915
132,1,-0.285366
132.5,0,-1.43555
133,1,-0.0988494
133.5,1,-1.03143
134,1,1.28448
134.5,1,-0.347538
135,1,-0.207651
135.5,1,0.367442
136,1,0.289726
136.5,1,-1.62207
137,1,-0.347538
137.5,2,-0.580683
138,1,0.818189
138.5,1,0.336355
139,1,-0.207651
139.5,2,-0.0522203
140,2,0.77156
140.5,2,0.787103
141,2,0.97362
141.5,2,0.320812
142,2,0.491786
142.5,2,-0.161021
143,2,1.30002
143.5,2,1.37774
144,2,0.864818
144.5,2,2.24815
145,2,0.212011
145.5,3,1.73523
146,3,1.28448
146.5,2,1.48654
147,3,1.51763
147.5,3,0.989163
148,3,2.15489
148.5,3,2.57455
149,3,1.84403
149.5,3,1.6886
150,3,1.61088
150.5,3,2.74553
151,3,1.9062
151.5,3,2.17043
152,3,1.95283
152.5,4,2.79215
153,4,2.27923
153.5,4,3.05639
154,4,1.87512
154.5,4,2.46575
155,4,1.82849
155.5,4,2.18598
156,4,3.07193
156.5,4,2.8077
157,4,3.18073
157.5,4,2.32586
158,4,3.61593
158.5,4,3.05639
159,4,3.2429
159.5,5,3.67811
160,5,3.64702
160.5,5,2.83878
161,5,3.4605
161.5,5,2.46575
162,5,3.60039
162.5,5,4.12885
163,5,3.69365
163.5,5,3.67811
164,5,4.71949
164.5,5,4.02005
165,5,4.82829
165.5,5,4.00451
166,5,5.43447
166.5,5,4.37754
167,7,3.81799
167.5,7,3.74028
168,7,4.5796
168.5,7,4.65732
169,7,5.06144
169.5,7,4.70395
170,8,4.2532
170.5,7,5.32567
171,7,5.52773
171.5,7,4.75058
172,8,5.10807
172.5,8,5.9163
173,8,5.29458
173.5,8,5.63653
174,8,4.64177
174.5,8,5.86967
175,8,5.17024
175.5,8,6.84889
176,8,5.13915
176.5,8,6.08728
177,8,5.15469
177.5,9,6.63128
178,8,5.2635
178.5,9,7.09757
179,9,6.77117
179.5,9,6.25825
180,9,6.74008
180.5,9,7.68821
181,9,5.40338
181.5,9,6.25825
182,9,7.42398
182.5,9,7.11312
183,9,7.76592
183.5,9,7.22192
184,9,7.08203
184.5,10,7.73484
185,10,7.96798
185.5,10,6.56911
186,10,7.67267
186.5,10,6.78671
187,10,8.35656
187.5,10,7.61049
188,10,7.47061
188.5,10,6.58465
189,10,8.5897
189.5,10,7.70375
190,10,8.69851
190.5,10,7.90581
191,10,8.51199
191.5,10,8.41873
192,10,8.4809
192.5,10,8.23221
193,10,8.94719
193.5,10,7.56386
194,10,8.5897
194.5,10,9.22697
195,11,9.42903
195.5,11,8.51199
196,11,8.03016
196.5,11,8.41873
197,11,8.03016
197.5,11,8.68296
198,11,9.00937
198.5,11,8.24776
199,11,8.46536
199.5,12,9.72435
200,11,8.69851
200.5,11,9.08708
201,11,8.76068
201.5,11,10.4549
202,12,9.28914
202.5,12,9.95749
203,12,8.99382
203.5,12,10.4704
204,12,10.0974
204.5,12,9.91086
205,12,9.75543
205.5,12,10.5326
206,12,10.1596
206.5,12,10.0352
207,12,9.98858
207.5,13,11.061
208,12,9.89532
208.5,12,10.2217
209,13,10.3772
209.5,13,10.2528
210,13,9.87978
210.5,13,10.486
211,13,10.1129
211.5,13,10.4549
212,13,12.2112
212.5,13,10.0197
213,13,10.8745
213.5,13,10.5481
214,13,10.5481
214.5,13,10.4549
215,14,11.9625
215.5,14,11.2009
216,14,11.4963
216.5,14,10.7657
217,14,12.4288
217.5,14,10.1906
218,14,11.2942
218.5,14,11.1698
219,14,12.4444
219.5,14,12.7708
220,14,12.5687
220.5,14,11.4963
221,14,12.5376
221.5,14,11.9625
222,14,12.1491
222.5,14,11.776
223,14,13.579
223.5,14,12.1335
224,14,11.2942
224.5,14,12.8951
225,15,11.4652
225.5,14,12.2889
226,15,12.6931
226.5,15,13.7811
227,15,11.9159
227.5,14,13.4858
228,15,12.833
228.5,15,13.0039
229,15,12.9884
229.5,15,13.6256
230,15,12.2112
230.5,15,14.0298
231,15,12.662
231.5,15,13.6412
232,15,12.8485
232.5,15,12.7397
233,15,13.4547
233.5,15,13.8743
234,15,12.1957
234.5,15,14.1852
235,15,12.9728
235.5,15,13.9365
236,15,12.9573
236.5,15,13.0661
237,15,12.7086
237.5,15,12.9107
238,15,13.3303
238.5,15,12.4288
239,15,13.6878
239.5,15,12.6931
240,15,13.6101
240.5,15,13.035
241,15,13.1127
241.5,15,12.9418
242,15,13.8277
242.5,15,12.7863
243,15,13.7966
243.5,15,13.408
244,15,13.0972
244.5,15,13.3459
245,15,13.6256
245.5,15,12.5843
246,15,13.1749
246.5,14,12.8019
247,14,13.1438
247.5,14,11.9315
248,14,13.4236
248.5,14,12.8485
249,14,13.0661
249.5,14,12.4599
250,14,13.2215
250.5,14,12.0558
251,14,13.3614
251.5,14,12.2112
252,14,12.1957
252.5,14,11.8537
253,14,11.403
253.5,14,12.5687
254,13,11.3253
254.5,13,12.0092
255,14,11.6206
255.5,13,12.5998
256,13,10.6725
256.5,13,12.1646
257,13,10.4238
257.5,13,10.9522
258,13,10.5948
258.5,13,11.3408
259,13,10.2994
259.5,13,11.4496
260,13,10.5326
260.5,13,12.6775
261,13,11.3097
261.5,13,11.2631
262,13,10.7346
262.5,13,11.8693
263,13,9.98858
263.5,13,12.2579
264,13,11.1698
264.5,13,10.1751
265,13,12.7863
265.5,14,10.8279
266,13,10.9056
266.5,13,10.1285
267,13,11.6206
267.5,13,11.6828
268,13,11.3253
268.5,13,10.7191
269,13,11.6828
269.5,13,11.3097
270,13,11.7449
270.5,13,11.5118
271,13,11.574
271.5,13,11.4963
272,13,11.5118
272.5,13,10.3927
273,13,12.1491
273.5,13,10.7036
274,13,11.6517
274.5,13,11.4652
275,13,11.403
275.5,13,11.3097
276,13,11.9625
276.5,13,10.688
277,13,11.4341
277.5,13,11.8227
278,13,10.6103
278.5,13,10.2217
279,13,10.8279
279.5,13,11.3719
280,13,10.315
280.5,13,11.5118
281,13,11.03
281.5,13,11.4341
282,13,11.2165
282.5,13,11.4341
283,13,10.9678
283.5,13,11.9781
284,13,10.3772
284.5,13,11.0921
285,14,11.2786
285.5,13,11.5429
286,14,11.4496
286.5,14,11.5895
287,14,10.5481
287.5,13,11.5895
288,14,11.2476
288.5,14,11.574
289,14,10.9522
289.5,14,11.3408
290,14,11.1388
290.5,14,11.403
291,14,11.3408
291.5,14,11.7916
292,14,12.2579
292.5,14,11.3097
293,14,13.0195
293.5,14,10.8901
294,14,12.7086
294.5,14,12.0247
295,14,12.5532
295.5,14,10.5481
296,14,12.4599
296.5,14,12.1801
297,14,12.5065
297.5,14,11.3874
298,15,12.3511
298.5,14,11.2786
299,15,11.7449
299.5,15,11.8537
300,15,12.7242
300.5,15,11.9004
301,15,13.2371
301.5,15,13.0661
302,15,13.2992
302.5,15,12.7552
303,15,13.4236
303.5,15,13.2215
304,15,12.491
304.5,15,12.32
305,15,12.5687
305.5,15,13.1749
306,16,13.7966
306.5,15,13.4702
307,15,12.9573
307.5,15,12.5998
308,15,13.1594
308.5,16,13.0039
309,16,13.3459
309.5,16,14.6826
310,16,14.2318
310.5,16,13.4858
311,16,13.6567
311.5,16,14.465
312,16,14.0919
312.5,16,14.2318
