Time,Temperature_HBM,Temperature_FPGA
-2,0,-35.6458
-1.5,0,-35.3388
-1,0,-35.0318
-0.5,0,-34.7248
0,0,-34.4179
0.5,0.00393701,-32.4905
1,0.00787402,-31.4491
1.5,0.011811,-31.0917
2,0.015748,-29.5529
2.5,0.019685,-29.6461
3,0.023622,-29.7394
3.5,0.0275591,-28.5115
4,0.0314961,-27.6566
4.5,0.0354331,-27.7344
5,0.0393701,-27.8121
5.5,0.0433071,-27.4779
6,0.0472441,-27.1437
6.5,0.0511811,-27.1049
7,0.0551181,-27.066
7.5,0.0590551,-27.0349
8,0.0629921,-26.6774
8.5,0.0669291,-25.4029
9,0.0708661,-25.4262
9.5,0.0748031,-25.4495
10,0.0787402,-25.6516
10.5,0.0826772,-25.8537
11,0.0866142,-25.7915
11.5,0.0905512,-25.5272
12,0.0944882,-25.2863
12.5,0.0984252,-25.0454
13,0.102362,-24.6802
13.5,0.106299,-24.3149
14,0.110236,-24.2683
14.5,0.114173,-24.2216
15,0.11811,-24.1595
15.5,0.122047,-23.9574
16,0.125984,-23.3201
16.5,0.129921,-23.1025
17,0.133858,-22.8849
17.5,0.137795,-22.6673
18,0.141732,-22.609
18.5,0.145669,-22.5508
19,0.149606,-22.4925
19.5,0.153543,-22.4342
20,0.15748,-22.201
20.5,0.161417,-21.9679
21,0.165354,-21.9601
21.5,0.169291,-21.9523
22,0.173228,-21.657
22.5,0.177165,-21.3617
23,0.181102,-21.5405
23.5,0.185039,-21.7192
24,0.188976,-21.2063
24.5,0.192913,-20.1804
25,0.19685,-20.2219
25.5,0.200787,-20.2633
26,0.204724,-20.3048
26.5,0.208661,-19.5587
27,0.212598,-19.6442
27.5,0.216535,-19.7297
28,0.220472,-19.854
28.5,0.224409,-19.9784
29,0.228346,-19.7142
29.5,0.232283,-19.4499
30,0.23622,-19.5121
30.5,0.240157,-19.5743
31,0.244094,-19.2168
31.5,0.248031,-19.1857
32,0.251969,-19.1546
32.5,0.255906,-18.9137
33,0.259843,-18.6728
33.5,0.26378,-18.2997
34,0.267717,-17.9267
34.5,0.271654,-18.0821
35,0.275591,-18.2376
35.5,0.279528,-18.2013
36,0.283465,-18.165
36.5,0.287402,-18.1288
37,0.291339,-17.6158
37.5,0.295276,-17.406
38,0.299213,-17.1962
38.5,0.30315,-17.5226
39,0.307087,-17.849
39.5,0.311024,-17.4449
40,0.314961,-16.8231
40.5,0.318898,-15.9994
41,0.322835,-15.1756
41.5,0.326772,-15.6186
42,0.330709,-16.0615
42.5,0.334646,-15.9372
43,0.338583,-15.8129
43.5,0.34252,-15.6652
44,0.346457,-15.5175
44.5,0.350394,-15.4864
45,0.354331,-15.4554
45.5,0.358268,-15.5408
46,0.362205,-15.6263
46.5,0.366142,-15.502
47,0.370079,-15.4813
47.5,0.374016,-15.4605
48,0.377953,-15.4398
48.5,0.38189,-14.9891
49,0.385827,-14.5383
49.5,0.389764,-14.8181
50,0.393701,-15.0979
50.5,0.397638,-14.6627
51,0.401575,-14.2275
51.5,0.405512,-14.1964
52,0.409449,-14.1653
52.5,0.413386,-14.2469
53,0.417323,-14.3285
53.5,0.42126,-14.4101
54,0.425197,-14.4917
54.5,0.429134,-14.1187
55,0.433071,-13.9865
55.5,0.437008,-13.8544
56,0.440945,-13.5436
56.5,0.444882,-13.2327
57,0.448819,-13.3104
57.5,0.452756,-13.3881
58,0.456693,-13.4659
58.5,0.46063,-13.3415
59,0.464567,-13.0151
59.5,0.468504,-12.6887
60,0.472441,-12.611
60.5,0.476378,-12.5333
61,0.480315,-12.3157
61.5,0.484252,-12.2224
62,0.488189,-12.3934
62.5,0.492126,-12.5644
63,0.496063,-12.4167
63.5,0.5,-12.269
64,0.503937,-11.8805
64.5,0.507874,-11.6629
65,0.511811,-11.6473
65.5,0.515748,-11.6318
66,0.519685,-11.4686
66.5,0.523622,-11.3054
67,0.527559,-11.3779
67.5,0.531496,-11.4504
68,0.535433,-11.523
68.5,0.53937,-9.59564
69,0.543307,-10.5826
69.5,0.547244,-11.5696
70,0.551181,-10.3106
70.5,0.555118,-10.3883
71,0.559055,-10.4661
71.5,0.562992,-10.4
72,0.566929,-10.3339
72.5,0.570866,-10.2679
73,0.574803,-10.2018
73.5,0.57874,-10.2096
74,0.582677,-10.2174
74.5,0.586614,-9.64227
75,0.590551,-9.84433
75.5,0.594488,-10.0464
76,0.598425,-10.2484
76.5,0.602362,-10.093
77,0.606299,-9.19152
77.5,0.610236,-9.30032
78,0.614173,-9.40912
78.5,0.61811,-9.22261
79,0.622047,-9.03609
79.5,0.625984,-8.74077
80,0.629921,-8.44546
80.5,0.633858,-8.6786
81,0.637795,-8.91175
81.5,0.641732,-8.76409
82,0.645669,-8.61643
82.5,0.649606,-8.42214
83,0.653543,-8.22785
83.5,0.65748,-8.20454
84,0.661417,-8.18122
84.5,0.665354,-8.22785
85,0.669291,-8.27448
85.5,0.673228,-7.70716
86,0.677165,-7.13984
86.5,0.681102,-7.52065
87,0.685039,-7.90145
87.5,0.688976,-7.1243
88,0.692913,-7.12041
88.5,0.69685,-7.11653
89,0.700787,-7.11264
89.5,0.704724,-7.10876
90,0.708661,-7.3419
90.5,0.712598,-7.57505
91,0.716535,-7.60613
91.5,0.720472,-7.63722
92,0.724409,-7.4507
92.5,0.728346,-7.03104
93,0.732283,-6.89892
93.5,0.73622,-6.76681
94,0.740157,-6.44041
94.5,0.744094,-6.114
95,0.748031,-6.40932
95.5,0.751969,-6.70464
96,0.755906,-6.58806
96.5,0.759843,-6.47149
97,0.76378,-5.93526
97.5,0.767717,-5.39902
98,0.771654,-5.36017
98.5,0.775591,-5.32131
99,0.779528,-5.18142
99.5,0.783465,-5.2954
100,0.787402,-5.40938
100.5,0.791339,-5.52337
101,0.795276,-4.9949
101.5,0.799213,-4.46644
102,0.80315,-4.27215
102.5,0.807087,-4.07787
103,0.811024,-4.24107
103.5,0.814961,-4.40427
104,0.818898,-4.34728
104.5,0.822835,-4.29029
105,0.826772,-4.2333
105.5,0.830709,-4.35764
106,0.834646,-4.48198
106.5,0.838583,-4.25661
107,0.84252,-4.03124
107.5,0.846457,-3.72038
108,0.850394,-3.40951
108.5,0.854331,-3.75923
109,0.858268,-4.10895
109.5,0.862205,-3.83695
110,0.866142,-3.56495
110.5,0.870079,-3.3862
111,0.874016,-3.20746
111.5,0.877953,-3.12197
112,0.88189,-3.03648
112.5,0.885827,-3.08311
113,0.889764,-3.12974
113.5,0.893701,-2.91214
114,0.897638,-2.69454
114.5,0.901575,-2.76448
115,0.905512,-2.83442
115.5,0.909449,-2.68676
116,0.913386,-2.53911
116.5,0.917323,-2.4303
117,0.92126,-1.40446
117.5,0.925197,-1.80081
118,0.929134,-2.19716
118.5,0.933071,-1.98733
119,0.937008,-1.7775
119.5,0.940945,-1.78527
120,0.944882,-1.79304
120.5,0.948819,-1.83967
121,0.952756,-1.8863
121.5,0.956693,-1.6687
122,0.96063,-1.48218
122.5,0.964567,-1.29566
123,0.968504,-1.36561
123.5,0.972441,-1.43555
124,0.976378,-1.55989
124.5,0.980315,-1.68424
125,0.984252,-1.24126
125.5,0.988189,-0.798286
126,0.992126,-0.943354
126.5,0.996063,-1.08842
127,1,-1.23349
127.5,1.09091,-0.798286
128,1.18182,-0.363081
128.5,1.27273,0.072124
129,1.36364,-0.456339
129.5,1.45455,-0.984802
130,1.54545,-0.534054
130.5,1.63636,-0.378624
131,1.72727,-0.0755348
131.5,1.81818,0.227554
132,1.90909,0.165382
132.5,2,0.10321
133,2.07692,0.577272
133.5,2.15385,1.05133
134,2.23077,0.756017
134.5,2.30769,0.4607
135,2.38462,1.14459
135.5,2.46154,0.996934
136,2.53846,0.849275
136.5,2.61538,1.02025
137,2.69231,1.19122
137.5,2.76923,0.693845
138,2.84615,0.196468
138.5,2.92308,0.888133
139,3,1.5798
139.5,3,1.78963
140,3,1.99946
140.5,3.09091,2.09272
141,3.18182,2.18598
141.5,3.27273,2.07717
142,3.36364,1.96837
142.5,3.45455,1.46323
143,3.54545,0.958077
143.5,3.63636,1.67306
144,3.72727,2.09272
144.5,3.81818,1.80517
145,3.90909,1.51763
145.5,4,2.27146
146,4,3.0253
146.5,4,3.34393
147,4,3.66256
147.5,4,3.34393
148,4,3.0253
148.5,4,3.04861
149,4.11111,3.07193
149.5,4.22222,3.56931
150,4.33333,3.33616
150.5,4.44444,3.10301
151,4.55556,3.22736
151.5,4.66667,3.86462
152,4.77778,3.57708
152.5,4.88889,3.28953
153,5,3.42942
153.5,5.08333,3.44496
154,5.16667,3.4605
154.5,5.25,3.47605
155,5.33333,3.81022
155.5,5.41667,4.1444
156,5.5,3.73251
156.5,5.58333,3.32062
157,5.66667,3.86462
157.5,5.75,5.23241
158,5.83333,4.81793
158.5,5.91667,4.40345
159,6,3.98897
159.5,6,5.27904
160,6,5.24018
160.5,6,5.20132
161,6.125,5.41893
161.5,6.25,5.63653
162,6.375,5.17801
162.5,6.5,4.71949
163,6.625,4.93191
163.5,6.75,5.14433
164,6.875,5.35675
164.5,7,5.13138
165,7,4.90601
165.5,7,5.10807
166,7,5.31013
166.5,7.09091,5.52773
167,7.18182,5.74533
167.5,7.27273,5.79196
168,7.36364,5.83859
168.5,7.45455,6.40591
169,7.54545,6.97323
169.5,7.63636,6.5458
170,7.72727,6.11836
170.5,7.81818,6.46031
171,7.90909,6.80226
171.5,8,6.25825
172,8,5.71424
172.5,8,6.04065
173,8.09091,7.12866
173.5,8.18182,7.13643
174,8.27273,7.1442
174.5,8.36364,7.08203
175,8.45455,7.01986
175.5,8.54545,7.15197
176,8.63636,7.28409
176.5,8.72727,7.0354
177,8.81818,6.78671
177.5,8.90909,7.65712
178,9,7.28409
178.5,9,6.91106
179,9,7.53278
179.5,9.0625,7.54832
180,9.125,7.57164
180.5,9.1875,7.59495
181,9.25,7.71929
181.5,9.3125,7.84364
182,9.375,8.10787
182.5,9.4375,8.3721
183,9.5,8.23221
183.5,9.5625,8.09233
184,9.625,7.95244
184.5,9.6875,8.33065
185,9.75,8.70887
185.5,9.8125,9.08708
186,9.875,8.7814
186.5,9.9375,8.47572
187,10,8.17004
187.5,10.0833,9.11817
188,10.1667,9.00937
188.5,10.25,8.90056
189,10.3333,8.79176
189.5,10.4167,8.68296
190,10.5,8.79176
190.5,10.5833,8.90056
191,10.6667,9.07154
191.5,10.75,9.28914
192,10.8333,10.1906
192.5,10.9167,10.0197
193,11,9.84869
193.5,11.0625,9.46011
194,11.125,9.07154
194.5,11.1875,9.77097
195,11.25,10.1129
195.5,11.3125,10.0741
196,11.375,10.0352
196.5,11.4375,10.0896
197,11.5,10.144
197.5,11.5625,9.872
198,11.625,9.6
198.5,11.6875,9.83315
199,11.75,10.0663
199.5,11.8125,10.5481
200,11.875,11.03
200.5,11.9375,11.1154
201,12,11.2009
201.5,12.0714,11.1698
202,12.1429,11.1388
202.5,12.2143,10.7113
203,12.2857,10.2839
203.5,12.3571,10.6258
204,12.4286,11.061
204.5,12.5,11.0377
205,12.5714,11.0144
205.5,12.6429,11.5895
206,12.7143,12.2268
206.5,12.7857,11.7967
207,12.8571,11.3667
207.5,12.9286,10.9367
208,13,11.3097
208.5,13.0476,11.0844
209,13.0952,10.859
209.5,13.1429,11.6051
210,13.1905,11.7993
210.5,13.2381,11.9936
211,13.2857,12.118
211.5,13.3333,12.6775
212,13.381,12.4755
212.5,13.4286,12.2734
213,13.4762,12.1724
213.5,13.5238,12.0713
214,13.5714,12.2268
214.5,13.619,12.864
215,13.6667,12.8485
215.5,13.7143,12.833
216,13.7619,12.8174
216.5,13.8095,12.8019
217,13.8571,12.5532
217.5,13.9048,12.3045
218,13.9524,12.8485
218.5,14,12.9495
219,14,13.0506
219.5,14,12.864
220,14,12.6775
220.5,14,12.491
221,14,12.6931
221.5,14,13.0195
222,14,12.9677
222.5,14,12.9158
223,14,12.864
223.5,14,12.7138
224,14,12.5635
224.5,14,12.4133
225,14,12.7397
225.5,14,13.0117
226,14,13.2837
226.5,14,13.3459
227,14,13.408
227.5,14,13.2448
228,14,13.0816
228.5,14,13.8432
229,14,14.6049
229.5,14,14.2979
230,14.037,13.9909
230.5,14.0741,13.6839
231,14.1111,13.377
231.5,14.1481,13.5402
232,14.1852,13.7034
232.5,14.2222,13.3536
233,14.2593,13.0039
233.5,14.2963,13.2293
234,14.3333,13.4547
234.5,14.3704,13.2448
235,14.4074,13.035
235.5,14.4444,13.2215
236,14.4815,13.408
236.5,14.5185,13.377
237,14.5556,13.3459
237.5,14.5926,13.2423
238,14.6296,13.1386
238.5,14.6667,13.035
239,14.7037,13.478
239.5,14.7407,13.921
240,14.7778,13.7552
240.5,14.8148,13.5894
241,14.8519,13.4236
241.5,14.8889,14.0764
242,14.9259,13.8743
242.5,14.963,13.6723
243,15,13.3925
243.5,15,13.1127
244,15,12.833
244.5,15,14.2007
245,15,13.8821
245.5,15,13.5635
246,15,13.5091
246.5,15,13.4547
247,15,13.3407
247.5,15,13.2267
248,15,13.1127
248.5,15,13.3303
249,15,13.522
249.5,15,13.7137
250,15,13.9054
250.5,15,14.6515
251,15,14.0971
251.5,15,13.5427
252,15,12.9884
252.5,15,13.0195
