Time,Temperature_HBM,Temperature_FPGA
-2,0,-29.1643
-1.5,0,-28.8068
-1,0,-28.4493
-0.5,0,-28.0918
0,0,-27.7344
0.5,0.00284091,-26.1334
1,0.00568182,-24.3771
1.5,0.00852273,-23.7165
2,0.0113636,-23.0559
2.5,0.0142045,-23.1569
3,0.0170455,-23.258
3.5,0.0198864,-22.9082
4,0.0227273,-22.5585
4.5,0.0255682,-22.3254
5,0.0284091,-22.0922
5.5,0.03125,-21.7347
6,0.0340909,-21.2529
6.5,0.0369318,-21.1208
7,0.0397727,-20.9887
7.5,0.0426136,-20.8255
8,0.0454545,-20.6623
8.5,0.0482955,-20.5612
9,0.0511364,-20.4602
9.5,0.0539773,-19.9007
10,0.0568182,-19.3411
10.5,0.0596591,-19.1779
11,0.0625,-19.0147
11.5,0.0653409,-18.9137
12,0.0681818,-18.8127
12.5,0.0710227,-18.5096
13,0.0738636,-18.2065
13.5,0.0767045,-18.5795
14,0.0795455,-18.9525
14.5,0.0823864,-18.7349
15,0.0852273,-18.5173
15.5,0.0880682,-18.1909
16,0.0909091,-17.507
16.5,0.09375,-16.8231
17,0.0965909,-17.0174
17.5,0.0994318,-17.2117
18,0.102273,-17.3749
18.5,0.105114,-17.5381
19,0.107955,-17.1029
19.5,0.110795,-16.6677
20,0.113636,-17.1185
20.5,0.116477,-17.5692
21,0.119318,-17.1496
21.5,0.122159,-16.3879
22,0.125,-15.9294
22.5,0.127841,-15.4709
23,0.130682,-15.7973
23.5,0.133523,-16.1237
24,0.136364,-16.1159
24.5,0.139205,-16.1082
25,0.142045,-15.673
25.5,0.144886,-15.7196
26,0.147727,-15.7662
26.5,0.150568,-14.585
27,0.153409,-14.9347
27.5,0.15625,-15.2844
28,0.159091,-14.9036
28.5,0.161932,-14.5228
29,0.164773,-14.5487
29.5,0.167614,-14.5746
30,0.170455,-14.6005
30.5,0.173295,-14.6264
31,0.176136,-14.6523
31.5,0.178977,-14.6782
32,0.181818,-14.5694
32.5,0.184659,-14.6627
33,0.1875,-14.7559
33.5,0.190341,-14.3984
34,0.193182,-14.0409
34.5,0.196023,-13.9943
35,0.198864,-13.4037
35.5,0.201705,-13.4659
36,0.204545,-13.528
36.5,0.207386,-13.6057
37,0.210227,-13.6835
37.5,0.213068,-13.5125
38,0.215909,-13.326
38.5,0.21875,-13.2793
39,0.221591,-13.2327
39.5,0.224432,-13.1006
40,0.227273,-12.9685
40.5,0.230114,-12.8985
41,0.232955,-12.8286
41.5,0.235795,-12.9296
42,0.238636,-13.0307
42.5,0.241477,-12.8985
43,0.244318,-12.7664
43.5,0.247159,-12.2535
44,0.25,-12.0773
44.5,0.252841,-11.9012
45,0.255682,-11.725
45.5,0.258523,-11.8261
46,0.261364,-11.9271
46.5,0.264205,-11.8028
47,0.267045,-11.7147
47.5,0.269886,-11.6266
48,0.272727,-11.5385
48.5,0.275568,-11.7458
49,0.278409,-11.953
49.5,0.28125,-12.1602
50,0.284091,-11.9038
50.5,0.286932,-11.6473
51,0.289773,-11.3442
51.5,0.292614,-11.0411
52,0.295455,-10.8702
52.5,0.298295,-10.6992
53,0.301136,-10.9323
53.5,0.303977,-11.1655
54,0.306818,-11.0256
54.5,0.309659,-11.2277
55,0.3125,-11.4297
55.5,0.315341,-11.3054
56,0.318182,-11.2354
56.5,0.321023,-11.1655
57,0.323864,-11.1966
57.5,0.326705,-11.2277
58,0.329545,-11.1448
58.5,0.332386,-11.0619
59,0.335227,-10.979
59.5,0.338068,-10.4039
60,0.340909,-10.3262
60.5,0.34375,-10.2484
61,0.346591,-10.264
61.5,0.349432,-10.2795
62,0.352273,-10.2951
62.5,0.355114,-10.3106
63,0.357955,-9.96867
63.5,0.360795,-9.62673
64,0.363636,-9.64227
64.5,0.366477,-9.65781
65,0.369318,-9.68501
65.5,0.372159,-9.71221
66,0.375,-9.73941
66.5,0.377841,-9.76661
67,0.380682,-9.606
67.5,0.383523,-9.44539
68,0.386364,-9.28478
68.5,0.389205,-9.17598
69,0.392045,-9.06718
69.5,0.394886,-8.95838
70,0.397727,-8.84958
70.5,0.400568,-8.99982
71,0.403409,-9.15007
71.5,0.40625,-9.30032
72,0.409091,-9.00501
72.5,0.411932,-8.8962
73,0.414773,-9.04127
73.5,0.417614,-9.18634
74,0.420455,-9.33141
74.5,0.423295,-8.88843
75,0.426136,-8.44546
75.5,0.428977,-8.35997
76,0.431818,-8.27448
76.5,0.434659,-8.39883
77,0.4375,-8.52317
77.5,0.440341,-8.64752
78,0.443182,-8.77186
78.5,0.446023,-8.79777
79,0.448864,-8.82367
79.5,0.451705,-8.84958
80,0.454545,-8.18122
80.5,0.457386,-8.11905
81,0.460227,-8.08797
81.5,0.463068,-8.19159
82,0.465909,-8.29521
82.5,0.46875,-8.39883
83,0.471591,-8.27448
83.5,0.474432,-7.90145
84,0.477273,-8.05688
84.5,0.480114,-8.21231
85,0.482955,-8.06465
85.5,0.485795,-7.91699
86,0.488636,-8.0802
86.5,0.491477,-8.2434
87,0.494318,-8.27448
87.5,0.497159,-8.30557
88,0.5,-8.01802
88.5,0.502841,-7.73048
89,0.505682,-7.74602
89.5,0.508523,-7.76156
90,0.511364,-7.60613
90.5,0.514205,-7.4507
91,0.517045,-7.17093
91.5,0.519886,-6.89115
92,0.522727,-6.92224
92.5,0.525568,-6.95333
93,0.528409,-7.19683
93.5,0.53125,-7.44034
94,0.534091,-7.68385
94.5,0.536932,-5.91194
95,0.539773,-6.16063
95.5,0.542614,-6.40932
96,0.545455,-6.40414
96.5,0.548295,-6.39896
97,0.551136,-6.39378
97.5,0.553977,-6.67355
98,0.556818,-6.95333
98.5,0.559659,-7.02327
99,0.5625,-7.09321
99.5,0.565341,-6.86007
100,0.568182,-6.62692
100.5,0.571023,-6.86784
101,0.573864,-7.10876
101.5,0.576705,-6.86007
102,0.579545,-5.94303
102.5,0.582386,-6.35492
103,0.585227,-6.76681
103.5,0.588068,-6.44041
104,0.590909,-6.36269
104.5,0.59375,-6.28498
105,0.596591,-6.20726
105.5,0.599432,-6.19172
106,0.602273,-6.17617
106.5,0.605114,-6.26166
107,0.607955,-6.34715
107.5,0.610795,-5.49228
108,0.613636,-5.52855
108.5,0.616477,-5.56481
109,0.619318,-5.60108
109.5,0.622159,-5.86531
110,0.625,-6.12954
110.5,0.627841,-6.0052
111,0.630682,-6.15286
111.5,0.633523,-6.30052
112,0.636364,-6.28498
112.5,0.639205,-6.26943
113,0.642045,-6.03629
113.5,0.644886,-5.58554
114,0.647727,-5.13479
114.5,0.650568,-4.68404
115,0.653409,-4.87056
115.5,0.65625,-5.05708
116,0.659091,-5.24359
116.5,0.661932,-5.43011
117,0.664773,-5.49228
117.5,0.667614,-5.55445
118,0.670455,-5.61663
118.5,0.673295,-5.6788
119,0.676136,-5.26691
119.5,0.678977,-4.85502
120,0.681818,-4.9949
120.5,0.684659,-5.13479
121,0.6875,-5.13479
121.5,0.690341,-5.13479
122,0.693182,-4.69181
122.5,0.696023,-4.24884
123,0.698864,-4.55193
123.5,0.701705,-4.85502
124,0.704545,-5.14256
124.5,0.707386,-5.43011
125,0.710227,-5.43788
125.5,0.713068,-5.44565
126,0.715909,-4.80839
126.5,0.71875,-4.60633
127,0.721591,-4.40427
127.5,0.724432,-4.03124
128,0.727273,-4.01051
128.5,0.730114,-3.98979
129,0.732955,-3.96906
129.5,0.735795,-4.5597
130,0.738636,-5.15033
130.5,0.741477,-4.96382
131,0.744318,-4.51307
131.5,0.747159,-4.36541
132,0.75,-4.21775
132.5,0.752841,-4.18667
133,0.755682,-4.15558
133.5,0.758523,-4.29547
134,0.761364,-4.43535
134.5,0.764205,-4.57524
135,0.767045,-4.71513
135.5,0.769886,-4.52084
136,0.772727,-4.32655
136.5,0.775568,-4.12449
137,0.778409,-3.92243
137.5,0.78125,-3.69706
138,0.784091,-3.47169
138.5,0.786932,-3.61157
139,0.789773,-3.75146
139.5,0.792614,-3.7126
140,0.795455,-3.67375
140.5,0.798295,-3.83436
141,0.801136,-3.99497
141.5,0.803977,-4.15558
142,0.806818,-4.00792
142.5,0.809659,-3.86026
143,0.8125,-3.7126
143.5,0.815341,-3.56495
144,0.818182,-3.70483
144.5,0.821023,-3.84472
145,0.823864,-3.98461
145.5,0.826705,-3.58049
146,0.829545,-3.47169
146.5,0.832386,-3.44837
147,0.835227,-3.42506
147.5,0.838068,-3.32403
148,0.840909,-3.223
148.5,0.84375,-3.09865
149,0.846591,-2.97431
149.5,0.849432,-2.84997
150,0.852273,-2.78779
150.5,0.855114,-2.72562
151,0.857955,-2.71008
151.5,0.860795,-2.66345
152,0.863636,-2.61682
152.5,0.866477,-2.59351
153,0.869318,-2.57019
153.5,0.872159,-2.85515
154,0.875,-3.1401
154.5,0.877841,-3.42506
155,0.880682,-2.95877
155.5,0.883523,-2.96654
156,0.886364,-2.97431
156.5,0.889205,-2.70231
157,0.892045,-2.4303
157.5,0.894886,-2.34482
158,0.897727,-2.25933
158.5,0.900568,-2.20882
159,0.903409,-2.1583
159.5,0.90625,-2.10779
160,0.909091,-2.05727
160.5,0.911932,-2.06504
161,0.914773,-2.07281
161.5,0.917614,-2.01841
162,0.920455,-1.96401
162.5,0.923295,-2.31114
163,0.926136,-2.65827
163.5,0.928977,-3.0054
164,0.931818,-2.78002
164.5,0.934659,-2.55465
165,0.9375,-1.9951
165.5,0.940341,-2.15442
166,0.943182,-2.31373
166.5,0.946023,-2.47305
167,0.948864,-2.63236
167.5,0.951705,-2.05727
168,0.954545,-2.15571
168.5,0.957386,-2.25415
169,0.960227,-2.35259
169.5,0.963068,-2.3215
170,0.965909,-2.53392
170.5,0.96875,-2.74635
171,0.971591,-2.95877
171.5,0.974432,-2.44067
172,0.977273,-1.92256
172.5,0.980114,-1.40446
173,0.982955,-1.87853
173.5,0.985795,-2.35259
174,0.988636,-2.16607
174.5,0.991477,-2.22047
175,0.994318,-2.27487
175.5,0.997159,-1.58321
176,1,-0.891544
176.5,1,-1.11692
177,1,-1.34229
177.5,1,-1.42519
178,1,-1.50808
178.5,1.0303,-1.59098
179,1.06061,-1.75418
179.5,1.09091,-1.91738
180,1.12121,-1.51327
180.5,1.15152,-1.10915
181,1.18182,-1.45109
181.5,1.21212,-1.79304
182,1.24242,-1.78268
182.5,1.27273,-1.77232
183,1.30303,-1.76195
183.5,1.33333,-1.55471
184,1.36364,-1.34747
184.5,1.39394,-1.14023
185,1.42424,-1.57544
185.5,1.45455,-2.01064
186,1.48485,-1.55989
186.5,1.51515,-1.02366
187,1.54545,-0.487425
187.5,1.57576,-0.607884
188,1.60606,-0.728342
188.5,1.63636,-0.848801
189,1.66667,-0.969259
189.5,1.69697,-0.743885
190,1.72727,-0.518511
190.5,1.75758,-0.642855
191,1.78788,-0.7672
191.5,1.81818,-0.945944
192,1.84848,-1.12469
192.5,1.87879,-1.11692
193,1.90909,-1.10915
193.5,1.93939,-0.969259
194,1.9697,-0.829372
194.5,2,-1.0392
195,2,-1.24903
195.5,2,-1.10915
196,2,-0.969259
