Time,Temperature_HBM,Temperature_FPGA
-2,0,-28.6825
-1.5,0,-28.4532
-1,0,-28.224
-0.5,0,-27.9947
0,0,-27.7654
0.5,0.00277008,-26.0246
1,0.00554017,-25.0143
1.5,0.00831025,-24.5636
2,0.0110803,-23.4911
2.5,0.0138504,-23.2657
3,0.0166205,-23.0404
3.5,0.0193906,-22.714
4,0.0221607,-22.4497
4.5,0.0249307,-21.8591
5,0.0277008,-21.512
5.5,0.0304709,-21.1648
6,0.033241,-20.8177
6.5,0.0360111,-20.8488
7,0.0387812,-20.8799
7.5,0.0415512,-20.3203
8,0.0443213,-19.9421
8.5,0.0470914,-19.5639
9,0.0498615,-19.1857
9.5,0.0526316,-19.3489
10,0.0554017,-19.5121
10.5,0.0581717,-19.222
11,0.0609418,-18.9318
11.5,0.0637119,-18.6417
12,0.066482,-18.6922
12.5,0.0692521,-18.7427
13,0.0720222,-18.7932
13.5,0.0747922,-18.8437
14,0.0775623,-18.4785
14.5,0.0803324,-18.1132
15,0.0831025,-17.9966
15.5,0.0858726,-17.8801
16,0.0886427,-18.0588
16.5,0.0914127,-18.2376
17,0.0941828,-17.7713
17.5,0.0969529,-17.305
18,0.099723,-17.3205
18.5,0.102493,-17.3361
19,0.105263,-17.235
19.5,0.108033,-17.134
20,0.110803,-16.9941
20.5,0.113573,-16.2947
21,0.116343,-16.5434
21.5,0.119114,-16.7921
22,0.121884,-16.489
22.5,0.124654,-16.1859
23,0.127424,-16.4812
23.5,0.130194,-16.7765
24,0.132964,-16.4657
24.5,0.135734,-16.1548
25,0.138504,-16.1444
25.5,0.141274,-16.1341
26,0.144044,-16.1237
26.5,0.146814,-15.1756
27,0.149584,-15.1756
27.5,0.152355,-15.1756
28,0.155125,-14.8336
28.5,0.157895,-14.8026
29,0.160665,-14.7715
29.5,0.163435,-14.7404
30,0.166205,-14.8906
30.5,0.168975,-15.0409
31,0.171745,-15.1911
31.5,0.174515,-15.1134
32,0.177285,-15.0357
32.5,0.180055,-14.8181
33,0.182825,-14.0099
33.5,0.185596,-14.072
34,0.188366,-14.1342
34.5,0.191136,-14.0876
35,0.193906,-14.0409
35.5,0.196676,-13.6213
36,0.199446,-13.3881
36.5,0.202216,-13.1783
37,0.204986,-12.9685
37.5,0.207756,-13.1472
38,0.210526,-13.326
38.5,0.213296,-13.4037
39,0.216066,-13.4814
39.5,0.218837,-13.5591
40,0.221607,-13.6368
40.5,0.224377,-13.0307
41,0.227147,-12.4245
41.5,0.229917,-12.6421
42,0.232687,-12.8597
42.5,0.235457,-13.0773
43,0.238227,-12.6421
43.5,0.240997,-12.6809
44,0.243767,-12.7198
44.5,0.246537,-12.813
45,0.249307,-12.9063
45.5,0.252078,-12.8234
46,0.254848,-12.7405
46.5,0.257618,-12.6576
47,0.260388,-12.0825
47.5,0.263158,-11.9582
48,0.265928,-11.8338
48.5,0.268698,-11.9478
49,0.271468,-12.0618
49.5,0.274238,-12.1758
50,0.277008,-12.1058
50.5,0.279778,-12.0359
51,0.282548,-12.1058
51.5,0.285319,-12.1758
52,0.288089,-11.6629
52.5,0.290859,-11.1499
53,0.293629,-10.8624
53.5,0.296399,-10.5749
54,0.299169,-10.7381
54.5,0.301939,-10.9013
55,0.304709,-10.6759
55.5,0.307479,-10.4505
56,0.310249,-10.5049
56.5,0.313019,-10.5593
57,0.315789,-10.6059
57.5,0.31856,-10.6526
58,0.32133,-10.6293
58.5,0.3241,-10.6059
59,0.32687,-10.2018
59.5,0.32964,-9.7977
60,0.33241,-10.3961
60.5,0.33518,-10.9945
61,0.33795,-11.093
61.5,0.34072,-11.1914
62,0.34349,-11.2898
62.5,0.34626,-10.4505
63,0.34903,-10.194
63.5,0.351801,-9.93759
64,0.354571,-9.97385
64.5,0.357341,-10.0101
65,0.360111,-10.0464
65.5,0.362881,-10.0542
66,0.365651,-10.0619
66.5,0.368421,-9.60341
67,0.371191,-9.14489
67.5,0.373961,-9.83656
68,0.376731,-10.5282
68.5,0.379501,-10.5127
69,0.382271,-9.44021
69.5,0.385042,-9.56455
70,0.387812,-9.6889
70.5,0.390582,-9.64227
71,0.393352,-8.75632
71.5,0.396122,-9.05941
72,0.398892,-9.3625
72.5,0.401662,-9.33918
73,0.404432,-9.31587
73.5,0.407202,-9.20706
74,0.409972,-9.09826
74.5,0.412742,-8.98169
75,0.415512,-8.86512
