Time,Temperature
-2,34
-1.5,34
-1,34
-0.5,34
0,35
0.5,40
1,41
1.5,42
2,42
2.5,42
3,43
3.5,43
4,43
4.5,44
5,44
5.5,45
6,45
6.5,45
7,45
7.5,46
8,46
8.5,46
9,46
9.5,47
10,47
10.5,47
11,47
11.5,48
12,48
12.5,48
13,48
13.5,49
14,49
14.5,49
15,49
15.5,50
16,49
16.5,50
17,50
17.5,50
18,50
18.5,51
19,51
19.5,51
20,51
20.5,52
21,52
21.5,52
22,52
22.5,52
23,53
23.5,53
24,53
24.5,53
25,54
25.5,54
26,54
26.5,54
27,54
27.5,55
28,55
28.5,55
29,55
29.5,55
30,55
30.5,56
31,56
31.5,56
32,56
32.5,56
33,57
33.5,57
34,57
34.5,57
35,58
35.5,58
36,58
36.5,58
37,58
37.5,58
38,59
38.5,59
39,59
39.5,59
40,59
40.5,60
41,60
41.5,60
42,60
42.5,60
43,60
43.5,61
44,61
44.5,61
45,61
45.5,61
46,61
46.5,62
47,62
47.5,62
48,62
48.5,62
49,62
49.5,63
50,63
50.5,63
51,63
51.5,63
52,63
52.5,63
53,64
53.5,64
54,64
54.5,64
55,64
55.5,64
56,65
56.5,65
57,65
57.5,65
58,65
58.5,65
59,65
59.5,65
60,66
60.5,66
61,66
61.5,66
62,66
62.5,66
63,66
63.5,67
64,67
64.5,67
65,67
65.5,67
66,67
66.5,67
67,67
67.5,68
68,68
68.5,68
69,68
69.5,68
70,68
70.5,68
71,68
71.5,68
72,69
72.5,69
73,69
73.5,69
74,69
74.5,69
75,69
75.5,69
76,70
76.5,69
77,69
77.5,70
78,70
78.5,70
79,70
79.5,70
80,70
80.5,70
81,70
81.5,70
82,70
82.5,70
83,70
83.5,70
84,71
84.5,70
85,71
85.5,71
86,71
86.5,71
87,71
87.5,71
88,71
88.5,71
89,71
89.5,71
90,72
90.5,72
91,72
91.5,72
92,72
92.5,72
93,72
93.5,72
94,72
94.5,72
95,72
95.5,72
96,72
96.5,72
97,72
97.5,72
98,73
98.5,73
99,73
99.5,73
100,73
100.5,73
101,73
101.5,73
102,73
102.5,73
103,73
103.5,73
104,73
104.5,73
105,73
105.5,73
106,73
106.5,73
107,73
107.5,73
108,73
108.5,73
109,73
109.5,73
110,74
110.5,74
111,73
111.5,74
112,74
112.5,73
113,74
113.5,74
114,74
114.5,74
115,74
115.5,74
116,74
116.5,74
117,74
117.5,74
118,74
118.5,74
119,74
119.5,74
120,74
120.5,74
121,74
121.5,74
122,74
122.5,74
123,74
123.5,74
124,74
124.5,74
125,74
125.5,75
126,74
126.5,75
127,74
127.5,74
128,74
128.5,75
129,75
129.5,75
130,74
130.5,75
131,75
131.5,75
132,75
132.5,75
133,75
133.5,75
134,75
134.5,75
135,75
135.5,75
136,75
136.5,75
137,75
137.5,75
138,75
138.5,75
139,75
139.5,75
140,75
140.5,76
141,75
141.5,75
142,75
142.5,75
143,75
143.5,75
144,75
144.5,75
145,75
145.5,75
146,75
146.5,75
147,75
147.5,75
148,75
148.5,75
149,75
149.5,75
150,75
150.5,75
151,75
151.5,75
152,75
152.5,75
153,75
153.5,75
154,75
154.5,75
155,75
155.5,75
156,75
156.5,75
157,75
157.5,74
158,75
158.5,75
159,75
159.5,74
160,75
160.5,74
161,75
161.5,75
162,74
162.5,74
163,74
163.5,74
164,74
164.5,75
165,74
165.5,74
166,74
166.5,75
167,75
167.5,74
168,74
168.5,74
169,74
169.5,74
170,74
170.5,74
171,74
171.5,74
172,74
172.5,74
173,74
173.5,74
174,74
174.5,74
175,74
175.5,74
176,74
176.5,74
177,74
177.5,74
178,74
178.5,74
179,74
179.5,74
180,74
180.5,74
181,74
181.5,74
182,74
182.5,74
183,74
183.5,74
184,74
184.5,74
185,74
185.5,74
186,74
186.5,74
187,74
187.5,74
188,74
188.5,74
189,74
189.5,74
190,74
190.5,74
191,74
191.5,74
192,74
192.5,74
193,74
193.5,74
194,74
194.5,74
195,74
195.5,74
196,74
196.5,74
197,74
197.5,74
198,74
198.5,74
199,74
199.5,74
200,74
200.5,74
201,74
201.5,74
202,74
202.5,74
203,74
203.5,74
204,74
204.5,74
205,74
205.5,74
206,74
206.5,74
207,74
207.5,74
208,74
208.5,74
209,74
209.5,74
210,74
210.5,74
211,74
211.5,74
212,74
212.5,74
213,74
213.5,74
214,74
214.5,74
215,74
215.5,74
216,74
216.5,74
217,74
217.5,74
218,74
218.5,74
219,74
219.5,74
220,74
220.5,74
221,74
221.5,74
222,74
222.5,74
223,74
223.5,74
224,74
224.5,74
225,74
225.5,74
226,74
226.5,74
227,74
227.5,74
228,74
228.5,74
229,74
229.5,74
230,74
230.5,74
231,74
231.5,74
232,74
232.5,74
233,74
233.5,74
234,74
234.5,74
235,74
235.5,74
236,74
236.5,74
237,74
237.5,74
238,74
238.5,74
239,74
239.5,74
240,74
240.5,74
241,74
241.5,74
242,74
242.5,74
243,74
243.5,74
244,74
244.5,74
245,74
245.5,74
246,74
246.5,74
247,74
247.5,74
248,74
248.5,74
249,74
249.5,74
250,74
250.5,74
251,74
251.5,74
252,74
252.5,74
253,74
253.5,74
254,74
254.5,74
255,74
255.5,74
256,74
256.5,74
257,74
257.5,74
258,74
258.5,74
259,74
259.5,74
260,74
260.5,74
261,74
261.5,74
262,74
262.5,74
263,74
263.5,74
264,74
264.5,74
265,74
265.5,74
266,74
266.5,74
267,74
267.5,74
268,74
268.5,74
269,74
269.5,74
270,74
270.5,74
271,74
271.5,74
272,74
272.5,74
273,74
273.5,74
274,74
274.5,74
275,74
275.5,74
276,74
276.5,74
277,74
277.5,74
278,74
278.5,74
279,74
279.5,74
280,74
280.5,74
281,74
281.5,74
282,74
282.5,74
283,74
283.5,74
284,74
284.5,74
285,74
285.5,74
286,74
286.5,74
287,74
287.5,74
288,74
288.5,74
289,74
289.5,74
290,74
290.5,74
291,74
291.5,74
292,74
292.5,74
293,74
293.5,74
294,74
294.5,74
295,74
295.5,74
296,74
296.5,75
297,74
297.5,74
298,74
298.5,74
299,74
299.5,74
300,74
