Time,Temperature
-2,34
-1.5,34
-1,34
-0.5,34
0,35
0.5,47
1,48
1.5,49
2,49
2.5,50
3,50
3.5,51
4,51
4.5,51
5,52
5.5,52
6,52
6.5,53
7,53
7.5,53
8,53
8.5,54
9,54
9.5,54
10,54
10.5,55
11,55
11.5,55
12,56
12.5,56
13,56
13.5,57
14,57
14.5,57
15,57
15.5,58
16,58
16.5,58
17,58
17.5,59
18,59
18.5,59
19,59
19.5,60
20,60
20.5,60
21,61
21.5,61
22,61
22.5,61
23,61
23.5,62
24,62
24.5,62
25,62
25.5,62
26,63
26.5,63
27,63
27.5,64
28,64
28.5,64
29,64
29.5,64
30,65
30.5,65
31,65
31.5,65
32,66
32.5,66
33,66
33.5,66
34,67
34.5,67
35,67
35.5,67
36,67
36.5,68
37,68
37.5,68
38,68
38.5,68
39,69
39.5,69
40,69
40.5,69
41,69
41.5,70
42,70
42.5,70
43,70
43.5,70
44,71
44.5,71
45,71
45.5,71
46,71
46.5,71
47,72
47.5,72
48,72
48.5,72
49,73
49.5,73
50,73
50.5,73
51,73
51.5,74
52,73
52.5,74
53,74
53.5,74
54,74
54.5,75
55,75
55.5,75
56,75
56.5,75
57,75
57.5,76
58,76
58.5,76
59,76
59.5,76
60,76
60.5,76
61,77
61.5,77
62,77
62.5,77
63,77
63.5,77
64,78
64.5,77
65,78
65.5,78
66,78
66.5,78
67,78
67.5,78
68,78
68.5,79
69,79
69.5,79
70,79
70.5,79
71,79
71.5,79
72,79
72.5,79
73,80
73.5,80
74,80
74.5,80
75,80
75.5,80
76,80
76.5,80
77,80
77.5,81
78,81
78.5,81
79,81
79.5,81
80,81
80.5,81
81,81
81.5,81
82,81
82.5,81
83,81
83.5,81
84,82
84.5,82
85,82
85.5,82
86,82
86.5,82
87,82
87.5,82
88,82
88.5,82
89,82
89.5,82
90,82
90.5,83
91,82
91.5,82
92,83
92.5,83
93,82
93.5,82
94,83
94.5,83
95,83
95.5,83
96,83
96.5,83
97,83
97.5,83
98,83
98.5,83
99,83
99.5,83
100,83
100.5,83
101,83
101.5,83
102,83
102.5,83
103,83
103.5,83
104,83
104.5,83
105,83
105.5,83
106,83
106.5,83
107,82
107.5,83
108,83
108.5,83
109,83
109.5,83
110,83
110.5,83
111,83
111.5,83
112,83
112.5,83
113,83
113.5,83
114,83
114.5,83
115,83
115.5,83
116,83
116.5,83
117,83
117.5,83
118,83
118.5,83
119,83
119.5,83
120,83
120.5,83
121,83
121.5,83
122,83
122.5,83
123,83
123.5,83
124,83
124.5,83
125,83
125.5,83
126,83
126.5,83
127,83
127.5,83
128,83
128.5,83
129,83
129.5,83
130,83
130.5,83
131,83
131.5,83
132,83
132.5,83
133,83
133.5,83
134,83
134.5,83
135,83
135.5,83
136,83
136.5,83
137,83
137.5,83
138,83
138.5,83
139,83
139.5,83
140,83
140.5,83
141,83
141.5,83
142,83
142.5,83
143,83
143.5,83
144,83
144.5,83
145,83
145.5,83
146,83
146.5,83
147,83
147.5,83
148,83
148.5,83
149,83
149.5,83
150,83
150.5,83
151,83
151.5,83
152,83
152.5,83
153,83
153.5,84
154,83
154.5,83
155,83
155.5,83
156,84
156.5,84
157,83
157.5,84
158,84
158.5,84
159,84
159.5,84
160,84
160.5,84
161,84
161.5,84
162,84
162.5,84
163,84
163.5,84
164,84
164.5,84
165,84
165.5,84
166,84
166.5,84
167,84
167.5,84
168,84
168.5,84
169,84
169.5,84
170,84
170.5,84
171,84
171.5,84
172,84
172.5,84
173,84
173.5,84
174,84
174.5,84
175,84
175.5,84
176,84
176.5,84
177,84
177.5,84
178,84
178.5,84
179,84
179.5,84
180,84
180.5,84
181,84
181.5,84
182,84
182.5,84
183,84
183.5,84
184,84
184.5,84
185,84
185.5,84
186,84
186.5,84
187,84
187.5,84
188,84
188.5,84
189,84
189.5,84
190,84
190.5,84
191,84
191.5,84
192,84
192.5,84
193,84
193.5,84
194,84
194.5,84
195,84
195.5,85
196,85
196.5,85
197,84
197.5,84
198,84
198.5,85
199,85
199.5,85
200,85
200.5,84
201,84
201.5,85
202,85
202.5,85
203,85
203.5,85
204,85
204.5,85
205,85
205.5,85
206,85
206.5,85
207,85
207.5,85
208,85
208.5,85
209,85
209.5,85
210,85
210.5,85
211,85
211.5,85
212,85
212.5,85
213,85
213.5,85
214,85
214.5,85
215,85
215.5,85
216,85
216.5,85
217,85
217.5,85
218,85
218.5,85
219,85
219.5,85
220,85
220.5,85
221,85
221.5,85
222,85
222.5,85
223,85
223.5,85
224,85
224.5,85
225,85
225.5,85
226,85
226.5,85
227,85
227.5,85
228,85
228.5,85
229,85
229.5,85
230,85
230.5,85
231,85
231.5,85
232,85
232.5,85
233,85
233.5,85
234,85
234.5,85
235,85
235.5,85
236,85
236.5,85
237,85
237.5,85
238,85
238.5,85
239,86
239.5,85
240,86
240.5,85
241,86
241.5,85
242,86
242.5,85
243,86
243.5,86
244,86
244.5,86
245,86
245.5,86
246,86
246.5,85
247,86
247.5,86
248,86
248.5,86
249,86
249.5,86
250,86
250.5,86
251,86
251.5,86
252,86
252.5,86
253,86
253.5,86
254,86
254.5,86
255,86
255.5,86
256,86
256.5,86
257,86
257.5,86
258,86
258.5,86
259,86
259.5,86
260,86
260.5,86
261,86
261.5,86
262,86
262.5,86
263,86
263.5,86
264,86
264.5,86
265,86
265.5,86
266,86
266.5,86
267,86
267.5,86
268,86
268.5,86
269,86
269.5,86
270,86
270.5,86
271,86
271.5,86
272,86
272.5,86
273,86
273.5,86
274,86
274.5,86
275,86
275.5,86
276,86
276.5,86
277,86
277.5,86
278,86
278.5,85
279,86
279.5,85
280,85
280.5,85
281,85
281.5,85
282,85
282.5,85
283,85
283.5,85
284,85
284.5,85
285,85
285.5,85
286,85
286.5,85
287,85
287.5,85
288,85
288.5,85
289,85
289.5,85
290,85
290.5,85
291,85
291.5,85
292,85
292.5,85
293,85
293.5,85
294,84
294.5,85
295,84
295.5,84
296,84
296.5,85
297,84
297.5,84
298,84
298.5,84
299,84
299.5,84
300,84
