Time,Temperature
-2,34
-1.5,34.25
-1,34.5
-0.5,34.75
0,35
0.5,40
1,41
1.5,42
2,42.3333
2.5,42.6667
3,43
3.5,43.3333
4,43.6667
4.5,44
5,44.5
5.5,45
6,45.25
6.5,45.5
7,45.75
7.5,46
8,46.25
8.5,46.5
9,46.75
9.5,47
10,47.25
10.5,47.5
11,47.75
11.5,48
12,48.25
12.5,48.5
13,48.75
13.5,49
14,49.25
14.5,49.5
15,49.75
15.5,50
16,50
16.5,50
17,50.25
17.5,50.5
18,50.75
18.5,51
19,51.25
19.5,51.5
20,51.75
20.5,52
21,52.2
21.5,52.4
22,52.6
22.5,52.8
23,53
23.5,53.25
24,53.5
24.5,53.75
25,54
25.5,54.2
26,54.4
26.5,54.6
27,54.8
27.5,55
28,55.1667
28.5,55.3333
29,55.5
29.5,55.6667
30,55.8333
30.5,56
31,56.2
31.5,56.4
32,56.6
32.5,56.8
33,57
33.5,57.25
34,57.5
34.5,57.75
35,58
35.5,58.1667
36,58.3333
36.5,58.5
37,58.6667
37.5,58.8333
38,59
38.5,59.2
39,59.4
39.5,59.6
40,59.8
40.5,60
41,60.1667
41.5,60.3333
42,60.5
42.5,60.6667
43,60.8333
43.5,61
44,61.1667
44.5,61.3333
45,61.5
45.5,61.6667
46,61.8333
46.5,62
47,62.1667
47.5,62.3333
48,62.5
48.5,62.6667
49,62.8333
49.5,63
50,63.1429
50.5,63.2857
51,63.4286
51.5,63.5714
52,63.7143
52.5,63.8571
53,64
53.5,64.1667
54,64.3333
54.5,64.5
55,64.6667
55.5,64.8333
56,65
56.5,65.125
57,65.25
57.5,65.375
58,65.5
58.5,65.625
59,65.75
59.5,65.875
60,66
60.5,66.1429
61,66.2857
61.5,66.4286
62,66.5714
62.5,66.7143
63,66.8571
63.5,67
64,67.125
64.5,67.25
65,67.375
65.5,67.5
66,67.625
66.5,67.75
67,67.875
67.5,68
68,68.1111
68.5,68.2222
69,68.3333
69.5,68.4444
70,68.5556
70.5,68.6667
71,68.7778
71.5,68.8889
72,69
72.5,69.125
73,69.25
73.5,69.375
74,69.5
74.5,69.625
75,69.75
75.5,69.875
76,70
76.5,70
77,70
77.5,70
78,70.0769
78.5,70.1538
79,70.2308
79.5,70.3077
80,70.3846
80.5,70.4615
81,70.5385
81.5,70.6154
82,70.6923
82.5,70.7692
83,70.8462
83.5,70.9231
84,71
84.5,71
85,71
85.5,71.1
86,71.2
86.5,71.3
87,71.4
87.5,71.5
88,71.6
88.5,71.7
89,71.8
89.5,71.9
90,72
90.5,72.0625
91,72.125
91.5,72.1875
92,72.25
92.5,72.3125
93,72.375
93.5,72.4375
94,72.5
94.5,72.5625
95,72.625
95.5,72.6875
96,72.75
96.5,72.8125
97,72.875
97.5,72.9375
98,73
98.5,73.0417
99,73.0833
99.5,73.125
100,73.1667
100.5,73.2083
101,73.25
101.5,73.2917
102,73.3333
102.5,73.375
103,73.4167
103.5,73.4583
104,73.5
104.5,73.5417
105,73.5833
105.5,73.625
106,73.6667
106.5,73.7083
107,73.75
107.5,73.7917
108,73.8333
108.5,73.875
109,73.9167
109.5,73.9583
110,74
110.5,74
111,74
111.5,74
112,74
112.5,74
113,74
113.5,74.04
114,74.08
114.5,74.12
115,74.16
115.5,74.2
116,74.24
116.5,74.28
117,74.32
117.5,74.36
118,74.4
