Time,Temperature
-2,34
-1.5,34.25
-1,34.5
-0.5,34.75
0,35
0.5,41
1,41.5
1.5,42
2,43
2.5,43.3333
3,43.6667
3.5,44
4,44.3333
4.5,44.6667
5,45
5.5,45.3333
6,45.6667
6.5,46
7,46.25
7.5,46.5
8,46.75
8.5,47
9,47.25
9.5,47.5
10,47.75
10.5,48
11,48.25
11.5,48.5
12,48.75
12.5,49
13,49.3333
13.5,49.6667
14,50
14.5,50.2
15,50.4
15.5,50.6
16,50.8
16.5,51
17,51.25
17.5,51.5
18,51.75
18.5,52
19,52.2
19.5,52.4
20,52.6
20.5,52.8
21,53
21.5,53.25
22,53.5
22.5,53.75
23,54
23.5,54.2
24,54.4
24.5,54.6
25,54.8
25.5,55
26,55.2
26.5,55.4
27,55.6
27.5,55.8
28,56
28.5,56.25
29,56.5
29.5,56.75
30,57
30.5,57.2
31,57.4
31.5,57.6
32,57.8
32.5,58
33,58.1667
33.5,58.3333
34,58.5
34.5,58.6667
35,58.8333
35.5,59
36,59.2
36.5,59.4
37,59.6
37.5,59.8
38,60
38.5,60.2
39,60.4
39.5,60.6
40,60.8
40.5,61
41,61.25
41.5,61.5
42,61.75
42.5,62
43,62
43.5,62
44,62.25
44.5,62.5
45,62.75
45.5,63
46,63.1429
46.5,63.2857
47,63.4286
47.5,63.5714
48,63.7143
48.5,63.8571
49,64
49.5,64.1429
50,64.2857
50.5,64.4286
51,64.5714
51.5,64.7143
52,64.8571
52.5,65
53,65.2
53.5,65.4
54,65.6
54.5,65.8
55,66
55.5,66
56,66
56.5,66.1429
57,66.2857
57.5,66.4286
58,66.5714
58.5,66.7143
59,66.8571
59.5,67
60,67.125
60.5,67.25
61,67.375
61.5,67.5
62,67.625
62.5,67.75
63,67.875
63.5,68
64,68.125
64.5,68.25
65,68.375
65.5,68.5
66,68.625
66.5,68.75
67,68.875
67.5,69
68,69.1111
68.5,69.2222
69,69.3333
69.5,69.4444
70,69.5556
70.5,69.6667
71,69.7778
71.5,69.8889
72,70
72.5,70.1
73,70.2
73.5,70.3
74,70.4
74.5,70.5
75,70.6
75.5,70.7
76,70.8
76.5,70.9
77,71
77.5,71.0909
78,71.1818
78.5,71.2727
79,71.3636
79.5,71.4545
80,71.5455
80.5,71.6364
81,71.7273
81.5,71.8182
82,71.9091
82.5,72
83,72.0909
83.5,72.1818
84,72.2727
84.5,72.3636
85,72.4545
85.5,72.5455
86,72.6364
86.5,72.7273
87,72.8182
87.5,72.9091
88,73
88.5,73.0526
89,73.1053
89.5,73.1579
90,73.2105
90.5,73.2632
91,73.3158
91.5,73.3684
92,73.4211
92.5,73.4737
93,73.5263
93.5,73.5789
94,73.6316
94.5,73.6842
95,73.7368
95.5,73.7895
96,73.8421
96.5,73.8947
97,73.9474
97.5,74
98,74
98.5,74
99,74
99.5,74
100,74
100.5,74.0476
101,74.0952
101.5,74.1429
102,74.1905
102.5,74.2381
103,74.2857
103.5,74.3333
104,74.381
104.5,74.4286
105,74.4762
105.5,74.5238
106,74.5714
106.5,74.619
107,74.6667
107.5,74.7143
108,74.7619
108.5,74.8095
109,74.8571
109.5,74.9048
110,74.9524
110.5,75
111,75
111.5,75
112,75.0526
112.5,75.1053
113,75.1579
113.5,75.2105
114,75.2632
114.5,75.3158
115,75.3684
115.5,75.4211
116,75.4737
116.5,75.5263
