Time,Rate
-2,0.5
-1.5,0.5
-1,0.5
-0.5,0.5
0,18
0.5,2
1,2
1.5,1
2,1
2.5,1
3,1
3.5,0.5
4,0.5
4.5,0.5
5,0.5
5.5,0.666667
6,0.666667
6.5,0.666667
7,1
7.5,1
8,0.4
8.5,0.4
9,0.4
9.5,0.4
10,0.4
10.5,0.5
11,0.5
11.5,0.5
12,0.5
12.5,0.5
13,0.5
13.5,0.5
14,0.5
14.5,0.5
15,0.5
15.5,0.5
16,0.5
16.5,0.666667
17,0.666667
17.5,0.666667
18,0.4
18.5,0.4
19,0.4
19.5,0.4
20,0.4
20.5,0.5
21,0.5
21.5,0.5
22,0.5
22.5,0.5
23,0.5
23.5,0.5
24,0.5
24.5,0.4
25,0.4
25.5,0.4
26,0.4
26.5,0.4
27,0.5
27.5,0.5
28,0.5
28.5,0.5
29,0.4
29.5,0.4
30,0.4
30.5,0.4
31,0.4
31.5,0.5
32,0.5
32.5,0.5
33,0.5
33.5,0.4
34,0.4
34.5,0.4
35,0.4
35.5,0.4
36,0.333333
36.5,0.333333
37,0.333333
37.5,0.333333
38,0.333333
38.5,0.333333
39,0.4
39.5,0.4
40,0.4
40.5,0.4
41,0.4
41.5,0.5
42,0.5
42.5,0.5
43,0.5
43.5,0.333333
44,0.333333
44.5,0.333333
45,0.333333
45.5,0.333333
46,0.333333
46.5,0.285714
47,0.285714
47.5,0.285714
48,0.285714
48.5,0.285714
49,0.285714
49.5,0.285714
50,0.333333
50.5,0.333333
51,0.333333
51.5,0.333333
52,0.333333
52.5,0.333333
53,0.4
53.5,0.4
54,0.4
54.5,0.4
55,0.4
55.5,0.25
56,0.25
56.5,0.25
57,0.25
57.5,0.25
58,0.25
58.5,0.25
59,0.25
59.5,0.285714
60,0.285714
60.5,0.285714
61,0.285714
61.5,0.285714
62,0.285714
62.5,0.285714
63,0.25
63.5,0.25
64,0.25
64.5,0.25
65,0.25
65.5,0.25
66,0.25
66.5,0.25
67,0.25
67.5,0.25
68,0.25
68.5,0.25
69,0.25
69.5,0.25
70,0.25
70.5,0.25
71,0
71.5,0
72,0
72.5,0
73,0.25
73.5,0.25
74,0.25
74.5,0.25
75,0.25
75.5,0.25
76,0.25
76.5,0.25
77,0.181818
77.5,0.181818
78,0.181818
78.5,0.181818
79,0.181818
79.5,0.181818
80,0.181818
80.5,0.181818
81,0.181818
81.5,0.181818
82,0.181818
82.5,0.142857
83,0.142857
83.5,0.142857
84,0.142857
84.5,0.142857
85,0.142857
85.5,0.142857
86,0.142857
86.5,0.142857
87,0.142857
87.5,0.142857
88,0.142857
88.5,0.142857
89,0.142857
89.5,0.111111
90,0.111111
90.5,0.111111
91,0.111111
91.5,0.111111
92,0.111111
92.5,0.111111
93,0.111111
93.5,0.111111
94,0.111111
94.5,0.111111
95,0.111111
95.5,0.111111
96,0.111111
96.5,0.111111
97,0.111111
97.5,0.111111
98,0.111111
98.5,0
99,0
99.5,0
100,0
100.5,0
101,0
101.5,0.111111
102,0.111111
102.5,0.111111
103,0.111111
103.5,0.111111
104,0.111111
104.5,0.111111
105,0.111111
105.5,0.111111
106,0.111111
106.5,0.111111
107,0.111111
107.5,0.111111
108,0.111111
108.5,0.111111
109,0.111111
109.5,0.111111
110,0.111111
110.5,0
111,0
111.5,0
112,0
112.5,0
113,0
113.5,0
114,0
114.5,0
115,0
115.5,0
116,0
116.5,0
117,0
117.5,0
118,0
118.5,0
119,0
119.5,0
120,0
120.5,0
121,0
121.5,0
122,0
122.5,0
123,0
123.5,0
124,0
124.5,0
125,0
125.5,0
126,0
126.5,0
127,0
127.5,0
128,0
128.5,0
129,0
129.5,0
130,0
130.5,0
131,0
131.5,0
132,0
132.5,0
133,0
133.5,0
134,0
134.5,0
135,0
135.5,0
136,0
136.5,0
137,0
137.5,0
138,0
138.5,0
139,0
139.5,0
140,0
140.5,0
141,0
141.5,0
142,0
142.5,0
143,0
143.5,0
144,0
144.5,0
145,0
145.5,0
146,0
146.5,0
147,0
147.5,0
148,0
148.5,0
149,0
149.5,0
150,0
150.5,0
151,0
151.5,0
152,0
152.5,0
153,0
153.5,0
154,0
154.5,0
155,0
155.5,0
156,0
156.5,0
157,0
157.5,0
158,0
158.5,0
159,0
159.5,0
160,0
160.5,0
161,0
161.5,0
162,0
162.5,0
163,0
163.5,0
164,0
164.5,0
165,0
165.5,0
166,0
166.5,0
167,0
167.5,0
168,0
168.5,0
169,0
169.5,0
170,0
170.5,0
171,0
171.5,0
172,0
172.5,0
173,0
173.5,0
174,0
174.5,0
175,0
175.5,0
176,0
176.5,0
177,0
177.5,0
178,0
178.5,0
179,0
179.5,0.0206186
180,0.0206186
180.5,0.0206186
181,0.0206186
181.5,0.0206186
182,0.0206186
182.5,0.0206186
183,0.0206186
183.5,0.0206186
184,0.0206186
184.5,0.0206186
185,0.0206186
185.5,0.0206186
186,0.0206186
186.5,0.0206186
187,0.0206186
187.5,0.0206186
188,0.0206186
188.5,0.0206186
189,0.0206186
189.5,0.0206186
190,0.0206186
190.5,0.0206186
191,0.0206186
191.5,0.0206186
192,0.0206186
192.5,0.0206186
193,0.0206186
193.5,0.0206186
194,0.0206186
194.5,0.0206186
195,0.0206186
195.5,0.0206186
196,0.0206186
196.5,0.0206186
197,0.0206186
197.5,0.0206186
198,0.0206186
198.5,0.0206186
199,0.0206186
199.5,0.0206186
200,0.0206186
200.5,0.0206186
201,0.0206186
201.5,0.0206186
202,0.0206186
202.5,0.0206186
203,0.0206186
203.5,0.0206186
204,0.0206186
204.5,0.0206186
205,0.0206186
205.5,0.0206186
206,0.0206186
206.5,0.0206186
207,0.0206186
207.5,0.0206186
208,0.0206186
208.5,0.0206186
209,0.0206186
209.5,0.0206186
210,0.0206186
210.5,0.0206186
211,0.0206186
