Time,Rate
-2,0
-1.5,0
-1,0
-0.5,0
0,26
0.5,4
1,1
1.5,1
2,1
2.5,1
3,1
3.5,1
4,0.666667
4.5,0.666667
5,0.666667
5.5,0.666667
6,0.666667
6.5,0.666667
7,0.666667
7.5,0.666667
8,0.666667
8.5,0.5
9,0.5
9.5,0.5
10,0.5
10.5,0.666667
11,0.666667
11.5,0.666667
12,0.5
12.5,0.5
13,0.5
13.5,0.5
14,0.666667
14.5,0.666667
15,0.666667
15.5,0.5
16,0.5
16.5,0.5
17,0.5
17.5,0.5
18,0.5
18.5,0.5
19,0.5
19.5,0.4
20,0.4
20.5,0.4
21,0.4
21.5,0.4
22,0.666667
22.5,0.666667
23,0.666667
23.5,0.5
24,0.5
24.5,0.5
25,0.5
25.5,0.5
26,0.5
26.5,0.5
27,0.5
27.5,0.5
28,0.5
28.5,0.5
29,0.5
29.5,0.5
30,0.5
30.5,0.5
31,0.5
31.5,0.4
32,0.4
32.5,0.4
33,0.4
33.5,0.4
34,0.5
34.5,0.5
35,0.5
35.5,0.5
36,0.4
36.5,0.4
37,0.4
37.5,0.4
38,0.4
38.5,0.4
39,0.4
39.5,0.4
40,0.4
40.5,0.4
41,0.4
41.5,0.4
42,0.4
42.5,0.4
43,0.4
43.5,0.4
44,0.4
44.5,0.4
45,0.4
45.5,0.4
46,0.5
46.5,0.5
47,0.5
47.5,0.5
48,0.333333
48.5,0.333333
49,0.333333
49.5,0.333333
50,0.333333
50.5,0.333333
51,0.333333
51.5,0.333333
52,0.333333
52.5,0.333333
53,0.333333
53.5,0.333333
54,0.285714
54.5,0.285714
55,0.285714
55.5,0.285714
56,0.285714
56.5,0.285714
57,0.285714
57.5,0.333333
58,0.333333
58.5,0.333333
59,0.333333
59.5,0.333333
60,0.333333
60.5,0
61,0
61.5,0.333333
62,0.333333
62.5,0.333333
63,0.333333
63.5,0.333333
64,0.333333
64.5,0
65,0
65.5,0.4
66,0.4
66.5,0.4
67,0.4
67.5,0.4
68,0.2
68.5,0.2
69,0.2
69.5,0.2
70,0.2
70.5,0.2
71,0.2
71.5,0.2
72,0.2
72.5,0.2
73,0
73.5,0
74,0.25
74.5,0.25
75,0.25
75.5,0.25
76,0.25
76.5,0.25
77,0.25
77.5,0.25
78,0.133333
78.5,0.133333
79,0.133333
79.5,0.133333
80,0.133333
80.5,0.133333
81,0.133333
81.5,0.133333
82,0.133333
82.5,0.133333
83,0.133333
83.5,0.133333
84,0.133333
84.5,0.133333
85,0.133333
85.5,0
86,0
86.5,0.153846
87,0.153846
87.5,0.153846
88,0.153846
88.5,0.153846
89,0.153846
89.5,0.153846
90,0.153846
90.5,0.153846
91,0.153846
91.5,0.153846
92,0.153846
92.5,0.153846
93,0
93.5,0
94,0
94.5,0.027027
95,0.027027
95.5,0.027027
96,0.027027
96.5,0.027027
97,0.027027
97.5,0.027027
98,0.027027
98.5,0.027027
99,0.027027
99.5,0.027027
100,0.027027
100.5,0.027027
101,0.027027
101.5,0.027027
102,0.027027
102.5,0.027027
103,0.027027
103.5,0.027027
104,0.027027
104.5,0.027027
105,0.027027
105.5,0.027027
106,0.027027
106.5,0.027027
107,0.027027
107.5,0.027027
108,0.027027
108.5,0.027027
109,0.027027
109.5,0.027027
110,0.027027
110.5,0.027027
111,0.027027
111.5,0.027027
112,0.027027
112.5,0.027027
113,0.027027
113.5,0.027027
114,0.027027
114.5,0.027027
115,0.027027
115.5,0.027027
116,0.027027
116.5,0.027027
117,0.027027
117.5,0.027027
118,0.027027
118.5,0.027027
119,0.027027
119.5,0.027027
120,0.027027
120.5,0.027027
121,0.027027
121.5,0.027027
122,0.027027
122.5,0.027027
123,0.027027
123.5,0.027027
124,0.027027
124.5,0.027027
125,0.027027
125.5,0.027027
126,0.027027
126.5,0.027027
127,0.027027
127.5,0.027027
128,0.027027
128.5,0.027027
129,0.027027
129.5,0.027027
130,0.027027
130.5,0.027027
131,0.027027
131.5,0
132,0
132.5,0
133,0
133.5,0
134,0
134.5,0
135,0
135.5,0
136,0
136.5,0
137,0
137.5,0
138,0.0392157
138.5,0.0392157
139,0.0392157
139.5,0.0392157
140,0.0392157
140.5,0.0392157
141,0.0392157
141.5,0.0392157
142,0.0392157
142.5,0.0392157
143,0.0392157
143.5,0.0392157
144,0.0392157
144.5,0.0392157
145,0.0392157
145.5,0.0392157
146,0.0392157
146.5,0.0392157
147,0.0392157
147.5,0.0392157
148,0.0392157
148.5,0.0392157
149,0.0392157
149.5,0.0392157
150,0.0392157
150.5,0.0392157
151,0.0392157
151.5,0.0392157
152,0.0392157
152.5,0.0392157
153,0.0392157
153.5,0.0392157
154,0.0392157
154.5,0.0392157
155,0.0392157
155.5,0.0392157
156,0.0392157
156.5,0.0392157
157,0.0392157
157.5,0.0392157
158,0.0392157
158.5,0.0392157
159,0.0392157
159.5,0.0392157
160,0.0392157
160.5,0.0392157
161,0.0392157
161.5,0.0392157
162,0.0392157
162.5,0.0392157
163,0.0392157
163.5,0
164,0
164.5,0
165,0
165.5,0
166,0
166.5,0
167,0
167.5,0
168,0
168.5,0
169,0
169.5,0
170,0.0392157
170.5,0.0392157
171,0.0392157
171.5,0.0392157
172,0.0392157
172.5,0.0392157
173,0.0392157
173.5,0.0392157
174,0.0392157
174.5,0.0392157
175,0.0392157
175.5,0.0392157
176,0.0392157
176.5,0.0392157
177,0.0392157
177.5,0.0392157
178,0.0392157
178.5,0.0392157
179,0.0392157
179.5,0.0392157
180,0.0392157
180.5,0.0392157
181,0.0392157
181.5,0.0392157
182,0.0392157
182.5,0.0392157
183,0.0392157
183.5,0.0392157
184,0.0392157
184.5,0.0392157
185,0.0392157
185.5,0.0392157
186,0.0392157
186.5,0.0392157
187,0.0392157
187.5,0.0392157
188,0.0392157
188.5,0.0392157
189,0.0392157
189.5,0.0392157
190,0.0392157
190.5,0.0392157
191,0.0392157
191.5,0.0392157
192,0.0392157
192.5,0.0392157
193,0.0392157
193.5,0.0392157
194,0.0392157
194.5,0.0392157
195,0.0392157
195.5,0
196,0
196.5,0
197,0
197.5,0
198,0
198.5,0
199,0
199.5,0
200,0
200.5,0
201,0
201.5,0
202,0
202.5,0
203,0
203.5,0
204,0
204.5,0
205,0
205.5,0
206,0
206.5,0
207,0
207.5,0
208,0
208.5,0
209,0
209.5,0
210,0
210.5,0
211,0
211.5,0
212,0
212.5,0
213,0
213.5,0
214,0
214.5,0
215,0
215.5,0
216,0
216.5,0
217,0
217.5,0
218,0
218.5,0
219,0
219.5,0
220,0
220.5,0
221,0
221.5,0
222,0
222.5,0
223,0
223.5,0
224,0
224.5,0
225,0
225.5,0
226,0
226.5,0
227,0
227.5,0
228,0
228.5,0
229,0
229.5,0
230,0
230.5,0
231,0
231.5,0
232,0
232.5,0
233,0
233.5,0
234,0
234.5,0
235,0
235.5,0
236,0
236.5,0
237,0
237.5,0
238,0
238.5,0
239,0
239.5,0
240,-0.0487805
240.5,-0.0487805
241,-0.0487805
241.5,-0.0487805
242,-0.0487805
242.5,-0.0487805
243,-0.0487805
243.5,-0.0487805
244,-0.0487805
244.5,-0.0487805
245,-0.0487805
245.5,-0.0487805
246,-0.0487805
246.5,-0.0487805
247,-0.0487805
247.5,-0.0487805
248,-0.0487805
248.5,-0.0487805
249,-0.0487805
249.5,-0.0487805
250,-0.0487805
250.5,-0.0487805
251,-0.0487805
251.5,-0.0487805
252,-0.0487805
252.5,-0.0487805
253,-0.0487805
253.5,-0.0487805
254,-0.0487805
254.5,-0.0487805
255,-0.0487805
255.5,-0.0487805
256,-0.0487805
256.5,-0.0487805
257,-0.0487805
257.5,-0.0487805
258,-0.0487805
258.5,-0.0487805
259,-0.0487805
259.5,-0.0487805
260,-0.0487805
260.5,0
261,0
261.5,0
262,0
262.5,-0.028169
263,-0.028169
263.5,-0.028169
264,-0.028169
264.5,-0.028169
265,-0.028169
265.5,-0.028169
266,-0.028169
266.5,-0.028169
267,-0.028169
267.5,-0.028169
268,-0.028169
268.5,-0.028169
269,-0.028169
269.5,-0.028169
270,-0.028169
270.5,-0.028169
271,-0.028169
271.5,-0.028169
272,-0.028169
272.5,-0.028169
273,-0.028169
273.5,-0.028169
274,-0.028169
274.5,-0.028169
275,-0.028169
275.5,-0.028169
276,-0.028169
276.5,-0.028169
277,-0.028169
277.5,-0.028169
278,-0.028169
278.5,-0.028169
279,-0.028169
279.5,-0.028169
280,-0.028169
280.5,-0.028169
281,-0.028169
281.5,-0.028169
282,-0.028169
282.5,-0.028169
283,-0.028169
283.5,-0.028169
284,-0.028169
284.5,-0.028169
285,-0.028169
285.5,-0.028169
286,-0.028169
286.5,-0.028169
287,-0.028169
287.5,-0.028169
288,-0.028169
288.5,-0.028169
289,-0.028169
289.5,-0.028169
290,-0.028169
290.5,-0.028169
291,-0.028169
291.5,-0.028169
292,-0.028169
292.5,-0.028169
293,-0.028169
293.5,-0.028169
294,-0.028169
294.5,-0.028169
295,-0.028169
295.5,-0.028169
296,-0.028169
296.5,-0.028169
297,-0.028169
297.5,-0.028169
298,0
298.5,0
299,0
299.5,0
